,https://roic.ai/company/SMIT,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1100000,2200000,3400000,4700000,5000000,4600000,4458157,4624604,4073798,4331699,4081739,4856200,4740050,4859421,5256153,6053057,4768682,5801334,6285352,6657072,6138551,6205156,6303769,5874491,5909942,6080805,4130470,12128304
11,COGS and Expenses,2100000,3700000,5500000,8300000,9300000,8400000,8085922,9801112,6918735,7821938,7487500,9316969,9769764,10113626,10561297,11414145,8532438,11688541,14379738,13014524,12646911,13133550,13121827,13386327,13732691,14917661,6369846,16721892
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,4665,- -,- -,- -,- -,- -,- -,74000,11000,4000,- -,- -,- -,- -,- -,- -,- -,- -,67129,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,53468,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2435,19038
14,Depreciation and Amortization,- -,200000,400000,300000,300000,300000,267580,269631,245138,240265,188314,214933,210606,205911,238984,410653,362027,340689,344553,347715,328293,266572,245824,219082,205239,188348,161137,549223
15,EBITDA,500000,600000,1800000,2600000,2000000,-100000,1031243,-2097322,-1300013,-610860,704899,1217073,1994278,2200736,1350226,-1452602,-1333556,136965,439097,-200451,-201999,182990,-1249363,-826273,441793,-996203,4029509,-7925077
16,EBITDA ratio,0.2000,0.1364,0.2535,0.2476,0.1887,-0.0125,0.1165,-0.2767,-0.1891,-0.0823,0.0889,0.1156,0.1734,0.1852,0.1182,-0.1529,-0.1959,0.0119,0.0304,-0.0161,-0.0166,0.0140,-0.1069,-0.0666,0.0318,-0.0721,0.9617,-1.0077
17,Operating Income,400000,700000,1600000,2200000,1300000,-400000,768334,-2337233,-44076,-402417,437266,1213460,1733596,1768450,859960,-1912937,-1726690,-195682,57284,-562272,-512405,-64459,-1436474,-988684,155372,-1107500,-2179922,-9886131
18,Operating Income ratio,0.1600,0.1591,0.2254,0.2095,0.1226,-0.0500,0.0868,-0.3083,-0.0064,-0.0542,0.0552,0.1152,0.1507,0.1488,0.0753,-0.2013,-0.2537,-0.0170,0.0040,-0.0452,-0.0422,-0.0049,-0.1229,-0.0797,0.0112,-0.0802,-0.5203,-1.2571
19,Total Other Income Expenses (Gains),100000,-300000,-200000,100000,400000,- -,-4671,-29720,-1554543,-448708,79319,-211320,50076,226375,251282,49682,31107,-8042,37260,14106,-17887,-19123,-58713,-56671,81182,-77051,322980,1392793
20,Income Before Tax,500000,400000,1400000,2300000,1700000,-400000,763663,-2366953,-1598619,-851125,516585,1002140,1783672,1994825,1111242,-1863255,-1695583,-203724,94544,-548166,-530292,-83582,-1495187,-1045355,236554,-1184551,-1856942,-8493338
21,Income Before Tax Ratio,0.2000,0.0909,0.1972,0.2190,0.1604,-0.0500,0.0862,-0.3123,-0.2325,-0.1147,0.0652,0.0952,0.1551,0.1679,0.0973,-0.1961,-0.2491,-0.0177,0.0065,-0.0440,-0.0437,-0.0064,-0.1280,-0.0843,0.0170,-0.0858,-0.4432,-1.0800
22,Income Tax expense (Gain),200000,200000,200000,600000,400000,-100000,202204,- -,- -,636006,- -,-606000,433543,710000,8138,290269,15430,1659,17123,-8284,9332,10087,20002,28009,25915,26439,-14638,-403666
23,Net Income,300000,200000,1200000,1700000,1300000,-300000,561459,-2366953,-1598619,-1487131,516585,1608140,1350129,1284825,1103104,-2153524,-1711013,-205383,77421,-539882,-539624,-93669,-1515189,-1073364,210639,-1210990,3880575,-8089672
24,Net Income ratio,0.1200,0.0455,0.1690,0.1619,0.1226,-0.0375,0.0634,-0.3123,-0.2325,-0.2004,0.0652,0.1527,0.1174,0.1081,0.0966,-0.2267,-0.2514,-0.0179,0.0054,-0.0434,-0.0445,-0.0072,-0.1297,-0.0866,0.0152,-0.0877,0.9262,-1.0287
25,EPS,0.18,0.12,0.48,0.69,0.54,-0.09,0.21,-0.90,-0.63,-0.60,0.21,0.64,0.52,0.49,0.40,-0.75,-0.59,-0.07,0.03,-0.18,-0.18,-0.03,-0.51,-0.36,0.06,-0.28,0.98,-2.15
26,EPS Diluted,0.09,0.12,0.48,0.69,0.51,-0.09,0.21,-0.90,-0.63,-0.60,0.20,0.59,0.49,0.47,0.39,-0.75,-0.59,-0.07,0.03,-0.18,-0.18,-0.03,-0.51,-0.36,0.06,-0.28,0.98,-2.15
27,Weighted Average Shares Outstanding,1666667,1666667,2471990,2473392,2363519,2530313,2700917,2634667,2488203,2467651,2438895,2527665,2606039,2649284,2725086,2870160,2886633,2895042,2930314,2990910,2995910,2995910,2995910,2995910,3422724,4005795,3939833,3765783
28,Weighted Average Shares Outstanding Diluted,1666667,1666667,2471990,2708333,2485142,2530313,2868658,2634667,2488203,2467651,2524050,2708797,2746402,2763061,2834158,2870160,2886633,2895042,2944081,3003912,2995910,2995910,2995910,2995910,3460339,4049546,3939833,3765783
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922612/000091205701530206/a2057866z10-k405.htm,https://www.sec.gov/Archives/edgar/data/922612/000091205702033238/a2087910z10-k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465903019637/0001104659-03-019637-index.html,https://www.sec.gov/Archives/edgar/data/922612/000110465904023829/a04-9208_110k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465905041849/a05-15459_210k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465906056279/a06-18231_110k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465907057547/0001104659-07-057547-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312508178507/0001193125-08-178507-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312509163348/0001193125-09-163348-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312510172061/0001193125-10-172061-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312511216332/0001193125-11-216332-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312512347166/0001193125-12-347166-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312513334817/0001193125-13-334817-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312514303135/0001193125-14-303135-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312515288084/0001193125-15-288084-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312516673466/d177771d10k.htm,https://www.sec.gov/Archives/edgar/data/922612/000119312517258583/0001193125-17-258583-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312518254122/0001193125-18-254122-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312519226154/0001193125-19-226154-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119380520001098/0001193805-20-001098-index.htm,https://www.sec.gov/Archives/edgar/data/922612/000119380521001259/0001193805-21-001259-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,500000,1100000,300000,1264475,291083,447679,410245,604194,1176959,1552072,1513061,3020131,4174335,3545986,2760506,2776817,1909071,1510565,1795654,988686,867607,2053181,1411732,10146531,4032690
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1985940,3964650,2499863,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,500000,1100000,300000,1264475,291083,447679,410245,604194,1176959,3538012,5477711,5519994,4174335,3545986,2760506,2776817,1909071,1510565,1795654,988686,867607,2053181,1411732,10146531,4032690
34,Net Receivables,- -,- -,- -,2700000,1200000,1700000,1377422,1227157,1291672,1356859,1851311,2109143,1983090,1454179,1590975,1440984,1165990,1831811,2501669,2028780,2236533,2661455,2107514,2351683,2047032,1996240,574926,1172702
35,Inventory,- -,- -,- -,2500000,4200000,4400000,4635792,3559038,3208122,2725931,2915093,3533313,3241590,3690363,3910431,3866971,3645303,4146408,3975600,5054087,4789822,4557567,4727977,4204723,5710888,5019044,1059357,1553310
36,Other Current Assets,- -,- -,- -,300000,300000,100000,89940,220231,161880,167192,124348,196611,193706,216288,259424,171178,192167,166779,186489,219492,152237,153970,132230,115756,207276,206678,480674,198345
37,Total Current Assets,- -,- -,- -,6000000,6800000,6500000,7367629,5297509,5109353,4660227,5494946,7016026,8956398,10838541,11280824,9653468,8549446,8905504,9440575,9211430,8689157,9168646,7956407,7539769,10018377,8633694,12261488,6957047
38,PP&E,- -,- -,- -,1700000,1800000,1700000,1549550,1537197,1417743,1286032,1327915,1268506,1209372,1225778,1451779,1427838,1292948,1334175,1372136,1334890,1191591,1110878,965452,865224,770915,839374,652136,13704311
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542694,1509711,1349583,1213204,1078278,943643,824411,712881,601351,496768,392185,287602,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542694,1509711,1349583,1213204,1078278,943643,824411,712881,601351,496768,392185,287602,337725
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,613871,636006,- -,- -,- -,552380,32780,194443,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,800000,1000000,3100000,2035538,2841931,998328,325680,277612,790690,208405,373797,2800437,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174847
45,Total Non-Current Assets,- -,- -,- -,2500000,2800000,4800000,3585088,4992999,3052077,1611712,1605527,2059196,1970157,1632355,4446659,2970532,2802659,2683758,2585340,2413168,2135234,1935289,1678333,1466575,1267683,1231559,939738,14216883
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,8500000,9600000,11300000,10952717,10290508,8161430,6271939,7100473,9075222,10926555,12470896,15727483,12624000,11352105,11589262,12025915,11624598,10824391,11103935,9634740,9006344,11286060,9865253,13201226,21173930
48,Accounts Payable,- -,- -,- -,500000,700000,400000,471596,418087,239008,355329,565546,497206,403490,335820,528485,335609,665044,841416,770586,918094,512219,834002,877167,1101066,1024256,496362,267660,583750
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,300000,464845,20031,39831,32114,15204,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1584022
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188236,12239,93364
52,Other Current Liabilities,- -,- -,- -,400000,200000,300000,353050,389897,191303,227033,354047,546325,687022,770544,871593,569967,562721,590538,764088,691386,698865,781329,753533,927891,746148,679179,1028125,1747958
53,Total Current Liabilities,- -,- -,- -,900000,900000,700000,824646,1107984,895156,602393,959424,1075645,1105716,1106364,1400078,905576,1227765,1431954,1534674,1609480,1211084,1615331,1630700,2028957,1770404,1363777,1308024,4009094
54,Long-Term Debt,- -,- -,- -,200000,- -,- -,- -,252600,15617,4273,27242,20756,6408,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3253389
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,570942,- -,3591,- -,7500,- -,- -,- -,- -,- -,- -,28543,- -,10141864
58,Total Non-Current Liabilities,- -,- -,- -,200000,- -,- -,- -,252600,15617,4273,27242,20756,6407,- -,570942,- -,3591,- -,7500,- -,- -,- -,- -,- -,- -,28543,- -,13395253
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1042331
61,Total Liabilities,- -,- -,- -,1100000,900000,700000,824646,1360584,910773,606666,986666,1096401,1112123,1106364,1971020,905576,1231356,1431954,1542174,1609480,1211084,1615331,1630700,2028957,1770404,1392320,1308024,17404347
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,7300000,7259399,7407476,7343621,7332984,7360819,7496098,- -,- -,- -,- -,- -,- -,10279636,10369524,10438750,10511324,10569522,10649287,13085652,13245439,12257306,12223359
64,Retained Earnings,- -,- -,- -,2500000,3800000,3500000,4065355,1698402,99783,-1387348,-870763,737377,2087506,3372331,4509899,2356375,645362,439979,517400,-22482,-562106,-655775,-2170964,-3244328,-3033689,-4244679,-364104,-8453776
65,Other Comprehensive Income/Loss,- -,- -,- -,-500000,-700000,-900000,-896394,-1081854,-1174560,-1307100,-1395634,-1462637,-1643047,-1333738,-1409405,-1563840,-1720880,-1876234,-2019692,-2203924,-2370329,-2480924,-2589002,-2539350,-1000000,-1000000,-1890633,- -
66,Other Total Stockholders Equity,- -,- -,- -,5400000,5600000,700000,- -,905900,981813,1026737,1019385,1207983,9369973,9325939,10655969,10925889,11196267,11593563,1706397,1872000,2106992,2113979,2194484,2111778,463693,472173,1890633,- -
67,Total Stockholders Equity,- -,- -,- -,7400000,8700000,10600000,10128071,8929924,7250657,5665273,6113807,7978821,9814432,11364532,13756463,11718424,10120749,10157308,10483741,10015118,9613307,9488604,8004040,6977387,9515656,8472933,11893202,3769583
68,Total Liabilities And Stockholders Equity,- -,- -,- -,8500000,9600000,11300000,10952717,10290508,8161430,6271939,7100473,9075222,10926555,12470896,15727483,12624000,11352105,11589262,12025915,11624598,10824391,11103935,9634740,9006344,11286060,9865253,13201226,21173930
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,8500000,9600000,11300000,10952717,10290508,8161430,6271939,7100473,9075222,10926555,12470896,15727483,12624000,11352105,11589262,12025915,11624598,10824391,11103935,9634740,9006344,11286060,9865253,13201226,21173930
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922612/000091205701530206/a2057866z10-k405.htm,https://www.sec.gov/Archives/edgar/data/922612/000091205702033238/a2087910z10-k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465903019637/0001104659-03-019637-index.html,https://www.sec.gov/Archives/edgar/data/922612/000110465904023829/a04-9208_110k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465905041849/a05-15459_210k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465906056279/a06-18231_110k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465907057547/0001104659-07-057547-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312508178507/0001193125-08-178507-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312509163348/0001193125-09-163348-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312510172061/0001193125-10-172061-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312511216332/0001193125-11-216332-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312512347166/0001193125-12-347166-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312513334817/0001193125-13-334817-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312514303135/0001193125-14-303135-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312515288084/0001193125-15-288084-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312516673466/d177771d10k.htm,https://www.sec.gov/Archives/edgar/data/922612/000119312517258583/0001193125-17-258583-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312518254122/0001193125-18-254122-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312519226154/0001193125-19-226154-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119380520001098/0001193805-20-001098-index.htm,https://www.sec.gov/Archives/edgar/data/922612/000119380521001259/0001193805-21-001259-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,200000,1200000,1700000,1300000,-300000,561459,-2366953,-1598619,-1487131,516585,1608140,1350129,1284825,1103104,-2153524,-1711013,-205383,77421,-539882,-539624,-93669,-1515189,-1073364,210639,-1210990,3880575,-8089672
74,Depreciation and Amortization,- -,200000,400000,300000,300000,300000,267580,269631,245138,240265,188314,214933,210606,205911,238984,410653,362027,340689,344553,347715,328293,266572,245824,219082,205239,188348,161137,549223
75,Deferred Income Tax,- -,100000,- -,200000,-100000,- -,139757,1646517,122865,636006,- -,-640000,-28460,490723,-405895,353253,- -,-114,- -,- -,- -,- -,- -,- -,- -,- -,- -,-453238
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175326,93420,202603,199396,89888,57726,72574,58198,79765,50336,94621,354048,266545
77,Change in Working Capital,-100000,- -,- -,5100000,800000,-100000,742983,-2353458,24672,-156363,477688,1404859,1910301,1881495,148569,-1132854,-1426211,151869,432351,-303951,-123877,75242,-1227608,-814895,2737161,-978056,3683547,-8005511
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416604,-21075,-652700,-686578,510531,-224309,-455905,548650,-272506,311433,24538,56200,-579719
79,Inventory,-300000,-500000,-600000,-200000,-1700000,-300000,-191780,-495524,350916,80518,-189162,-618220,291723,-441984,-220068,20554,247986,-483802,159002,-1082931,292594,205399,-192509,478532,-1494009,96610,181775,138147
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-183508,324569,- -,- -,149574,-411954,326899,46787,230242,-78049,-523410,165094,316090
81,Other Working Capital,- -,- -,- -,5100000,5900000,5800000,6542983,4189525,4214197,4057834,4535522,5940381,7850682,9732177,9880746,8747892,7321681,7473550,7905901,7601950,7478073,7553315,6325707,5510812,8247973,7269917,10953464,2947953
82,Other Non-Cash Items,200000,-800000,-600000,-6700000,-1000000,-600000,-478304,1927135,1458407,1332306,-774427,-2136917,-1083640,-1732207,-194397,1164744,2265265,-1049093,-890323,-272882,-114894,69427,1618967,1441124,-4206224,1189464,-8050566,8792691
83,Cash Provided by Operating Activities,400000,-300000,1000000,600000,1300000,-700000,1233475,-877128,252463,565083,408160,451015,2358936,2130747,890365,-1182402,-416512,-559429,163398,-679112,-392376,390146,-819808,-148288,-1002849,-716613,28741,-6939962
84,CAPEX,- -,-600000,-400000,-500000,-500000,-100000,-190086,-147616,-110458,-74505,-108796,-93060,-116868,-197235,-386016,-171733,-54838,-227620,-277045,-175835,-56192,-66627,-3520,-52633,-8467,-6473,-32982,-1404830
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1665854
86,Purchases of Investments,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1985940,-11478710,-10059693,-1019199,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,11524479,3519062,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-500000,- -,-400000,- -,- -,47145,130671,39377,26399,-1686,- -,- -,-195000,-484058,- -,-104839,4004,48925,291,19500,17500,14950,52535,1500,- -,10422940,35500
89,Cash Used for Investing Activites,-600000,-1100000,-400000,-900000,-500000,-100000,-142941,-16945,-71081,-48106,-110482,-93060,-2102808,-2370945,594712,2328130,-159677,-223616,-228120,-175544,-36692,-49127,11430,-98,-6967,-6473,10389958,-3035184
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,-317759
91,Common Stock Issued,1500000,- -,100000,400000,100000,- -,30000,- -,- -,- -,67835,- -,115640,84728,13104,- -,- -,- -,- -,- -,- -,- -,- -,- -,2386029,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-55049,-127648,-63855,-10637,-40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1350681,-300492
93,Dividends Paid,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,400000,-200000,-300000,- -,-200000,- -,- -,80600,-72138,-456158,-35678,93215,-31258,35231,10202,- -,- -,2030,137464,- -,411500,- -,- -,- -,- -,52122,-40895,4059556
95,Cash Used/Provided by Financing Activities,1900000,-300000,-200000,400000,-100000,- -,-25049,-47048,-135993,-466795,-7843,93215,84382,119959,23306,- -,- -,2030,137464,- -,11500,- -,- -,- -,2386029,52122,-1391576,3441305
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-100000,-100000,-69898,-32271,111207,-87616,-95886,121595,34603,81228,-1313,8476,-52160,-4465,-56431,-13090,19062,-55930,1410,27307,-132287,26866,71973,- -
97,Net Change In Cash,1900000,-300000,-200000,- -,- -,-800000,995587,-973392,156596,-37434,193949,572765,375113,-39011,1507070,1154204,-628349,-785480,16311,-867746,-398506,285089,-806968,-121079,1243926,-644098,9099096,-6533841
98,Cash at the End of Period,- -,- -,- -,- -,- -,300000,1264475,291083,447679,410245,604194,1176959,1552072,1513061,3020131,4174335,3545986,2760506,2776817,1909071,1510565,1795654,988686,867607,2111533,1467435,10566531,4032690
99,Cash at the Beginning of Period,200000,1900000,100000,500000,500000,1100000,268888,1264475,291083,447679,410245,604194,1176959,1552072,1513061,3020131,4174335,3545986,2760506,2776817,1909071,1510565,1795654,988686,867607,2111533,1467435,10566531
100,Free Cash Flow,400000,-900000,600000,100000,800000,-800000,1043389,-1024744,142005,490578,299364,357955,2242068,1933512,504349,-1354135,-471350,-787049,-113647,-854947,-448568,323519,-823328,-200921,-1011316,-723086,-4241,-8344792
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922612/000091205701530206/a2057866z10-k405.htm,https://www.sec.gov/Archives/edgar/data/922612/000091205702033238/a2087910z10-k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465903019637/0001104659-03-019637-index.html,https://www.sec.gov/Archives/edgar/data/922612/000110465904023829/a04-9208_110k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465905041849/a05-15459_210k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465906056279/a06-18231_110k.htm,https://www.sec.gov/Archives/edgar/data/922612/000110465907057547/0001104659-07-057547-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312508178507/0001193125-08-178507-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312509163348/0001193125-09-163348-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312510172061/0001193125-10-172061-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312511216332/0001193125-11-216332-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312512347166/0001193125-12-347166-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312513334817/0001193125-13-334817-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312514303135/0001193125-14-303135-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312515288084/0001193125-15-288084-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312516673466/d177771d10k.htm,https://www.sec.gov/Archives/edgar/data/922612/000119312517258583/0001193125-17-258583-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312518254122/0001193125-18-254122-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119312519226154/0001193125-19-226154-index.html,https://www.sec.gov/Archives/edgar/data/922612/000119380520001098/0001193805-20-001098-index.htm,https://www.sec.gov/Archives/edgar/data/922612/000119380521001259/0001193805-21-001259-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
