,https://roic.ai/company/SCYYF,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,-15689510,-23221823,-513396,-1327163,130919,-36087,3891516,-1249652,2070000,-3157,- -,-19821,- -,- -,- -
90,Debt Repayment,- -,- -,-1857601,- -,- -,- -,-502583,-3140000,-1854875,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,48702413,5772391,1136472,4745413,205925,790508,- -,1909345,1812047,- -,1082250,1675300,799484,- -,- -
92,Common Stock Repurchased,3100000,- -,-214987,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,190000,-7434186,8088455,974310,1322088,356120,2750173,1994874,2466418,-36162,- -,195150,79806,160995,136697,- -
95,Cash Used/Provided by Financing Activities,3290000,41268228,11788259,2110782,6067501,562045,3038098,-1145126,2520888,1775885,- -,1277400,1755106,960479,136697,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-99504,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3290000,21070978,-18784414,-1087314,3541421,-3253214,-601223,594860,-367689,1832290,-1634442,-271800,-58677,-169189,54716,- -
98,Cash at the End of Period,3290000,24824391,1415745,558147,4125764,788337,190215,785075,417386,2249676,615234,343434,284757,115568,170284,- -
99,Cash at the Beginning of Period,- -,3753412,20200159,1645461,584343,4041551,791438,190215,785075,417386,2249676,615234,343434,284757,115568,- -
100,Free Cash Flow,- -,-4507739,-31287795,-3500628,-2078425,-4163943,-3542068,-3260014,-3038445,-2013595,-1634442,-1549200,-1802339,-1129668,-81981,- -
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408146/000106299312000517/0001062993-12-000517-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299313001460/0001062993-13-001460-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000113717115000005/0001137171-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000106299315002265/0001062993-15-002265-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000106299316008361/0001062993-16-008361-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299317001409/0001062993-17-001409-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299318001011/0001062993-18-001011-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299319001141/0001062993-19-001141-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000165495420002062/0001654954-20-002062-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000165495421002194/0001654954-21-002194-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000165495422003025/0001654954-22-003025-index.htm
102,false,,,,,,,,,,,,,,,,
