,https://roic.ai/company/LTH,2018,2019,2020,2021
89,Cash Used for Investing Activites,-613843000,-477814000,-6115000,-269919000
90,Debt Repayment,-267831000,-359795000,-692630000,-2179518000
91,Common Stock Issued,- -,105266000,90000000,701926000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,537520000,387845000,690025000,1765991000
95,Cash Used/Provided by Financing Activities,269689000,133316000,87395000,288399000
96,Effect of Forex Changes on Cash,-217000,208000,-55000,-9000
97,Net Change In Cash,-8178000,14428000,-14756000,-1558000
98,Cash at the End of Period,33523000,47951000,33195000,31637000
99,Cash at the Beginning of Period,41701000,33523000,47951000,33195000
100,Free Cash Flow,-268633000,-265299000,-361598000,-348938000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1869198/000186919822000010/0001869198-22-000010-index.htm
102,false,,,,
