,https://roic.ai/company/TDS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.2116,0.1742,0.1758,0.1528,0.1172,0.1599,0.1144,0.1184,0.1180,0.1489,0.1383,0.1269,-0.0025,-0.0116,0.1821,0.1805,0.1680,0.1294,0.0916,0.0593,0.1005,0.0946,0.1093,0.0252,0.0812,0.0582,0.0700,0.0344,0.0480,-0.0379,0.0767,0.0118,-0.0208,0.0401,0.0346,0.0496,0.0490
19,Total Other Income Expenses (Gains),-12400000,-13300000,-11200000,-12100000,-9100000,-3500000,-4500000,14300000,-9300000,-7600000,53000000,97600000,22800000,154600000,184900000,-125058000,-606892000,-1942024000,-137152000,-71405000,-1868000,-134559000,157552000,24852000,-20704000,-8727000,1243000,12372000,57505000,37640000,37531000,32000000,-17000000,16000000,32000000,29000000,-40000000
20,Income Before Tax,12800000,13700000,19500000,17900000,19000000,43600000,36000000,68300000,60400000,101200000,185000000,251700000,19100000,133700000,542400000,295008000,-172000000,-1555669000,178392000,149346000,396139000,278218000,685450000,153006000,387102000,281265000,363745000,196235000,292864000,-152224000,434602000,92000000,-122000000,221000000,211000000,288000000,221000000
21,Income Before Tax Ratio,0.1075,0.0884,0.1117,0.0912,0.0793,0.1480,0.1017,0.1497,0.1023,0.1385,0.1938,0.2072,0.0130,0.0740,0.2763,0.1268,-0.0664,-0.5211,0.0518,0.0401,0.1000,0.0637,0.1419,0.0300,0.0771,0.0564,0.0702,0.0367,0.0598,-0.0304,0.0840,0.0180,-0.0242,0.0433,0.0408,0.0551,0.0415
22,Income Tax expense (Gain),3500000,3900000,8200000,7300000,7900000,16400000,14900000,29800000,26500000,40700000,81000000,123600000,28600000,69300000,228200000,149481000,-44908000,-577000000,79892000,78651000,140572000,116459000,269054000,30093000,133376000,92283000,113503000,73582000,126043000,-4932000,171992000,40000000,-279000000,46000000,64000000,19000000,33000000
23,Net Income,8600000,14500000,12500000,11300000,11100000,27200000,21100000,30800000,33900000,59800000,104000000,128100000,-9500000,64400000,230000000,2237002000,-198055000,-984371000,61490000,49004000,222544000,161759000,386112000,93541000,193902000,143856000,200566000,81861000,141927000,-136355000,219037000,43000000,153000000,135000000,121000000,226000000,156000000
24,Net Income ratio,0.0722,0.0935,0.0716,0.0576,0.0463,0.0923,0.0596,0.0675,0.0574,0.0818,0.1090,0.1055,-0.0065,0.0357,0.1172,0.9614,-0.0765,-0.3297,0.0178,0.0132,0.0562,0.0371,0.0800,0.0184,0.0386,0.0288,0.0387,0.0153,0.0290,-0.0272,0.0423,0.0084,0.0303,0.0264,0.0234,0.0433,0.0293
25,EPS,0.17,0.29,0.24,0.20,0.16,0.40,0.27,0.33,0.31,0.49,0.80,0.96,-0.09,0.47,1.71,17.17,-1.55,-7.72,0.49,0.39,1.78,1.28,3.02,0.75,1.63,1.26,1.70,0.75,1.31,-1.26,2.02,0.39,1.39,1.20,1.06,1.97,1.37
26,EPS Diluted,0.17,0.29,0.24,0.20,0.16,0.40,0.27,0.33,0.31,0.49,0.80,0.96,-0.09,0.47,1.69,16.96,-1.55,-7.72,0.48,0.39,1.76,1.26,2.96,0.74,1.63,1.25,1.68,0.75,1.29,-1.26,1.98,0.39,1.37,1.17,1.03,1.93,1.36
27,Weighted Average Shares Outstanding,49201053,46197500,48496923,52580465,60872000,65725581,71484068,86356111,102210448,118954717,127566322,131376172,130440000,132574868,133561864,130270428,127529014,127492056,125485454,124561504,125326752,125987648,127857288,125893079,118851493,114255657,118006894,108671000,108490000,108485000,108645000,110000000,111000000,112000000,114000000,114000000,114000000
28,Weighted Average Shares Outstanding Diluted,49201053,46197500,48496923,52580465,60872000,65725581,71484068,86356111,102210448,118954717,127566322,132007788,130440000,132574868,135593624,131822664,127529014,127492056,125820250,125150658,126180047,127009428,129489962,126369185,119110199,114685022,118591700,108937000,109132000,108485000,109910000,111000000,112000000,114000000,116000000,115000000,115000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1051512/000105151221000009/0001051512-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1051512/000105151222000013/0001051512-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50100000,111000000,99019000,140744000,1298936000,937651000,1168581000,1095791000,1013325000,1174446000,777309000,670992000,368134000,563275000,740481000,830014000,471901000,984643000,900000000,619000000,921000000,465000000,1429000000,367000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,3616000,- -,- -,- -,- -,- -,1205344000,1917893000,27705000,113275000,402882000,246273000,115700000,50104000,- -,- -,- -,100000000,17000000,- -,3000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50100000,116000000,102635000,140744000,1298936000,937651000,1168581000,1095791000,2218669000,3092339000,805014000,784267000,771016000,809548000,856181000,880118000,471901000,984643000,900000000,719000000,938000000,465000000,1432000000,367000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284600000,317000000,337485000,435221000,488033000,409671000,440075000,496582000,520167000,530421000,516849000,511914000,512946000,628213000,583953000,733511000,797389000,872950000,861000000,963000000,1111000000,1160000000,1299000000,1335000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36600000,39900000,61450000,71370000,72441000,87270000,91556000,103211000,128981000,115818000,122377000,156987000,116330000,130044000,160692000,244560000,273707000,158222000,151000000,145000000,150000000,169000000,154000000,178000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34100000,35100000,25530000,27021000,88602000,70354000,110005000,83385000,105267000,137010000,184696000,190974000,195784000,137875000,162611000,229148000,223958000,142528000,147000000,139000000,131000000,127000000,141000000,164000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405400000,508000000,527100000,674356000,1948012000,1504946000,1810217000,1778969000,2973084000,3875588000,1628936000,1644142000,1596076000,1705680000,1763437000,2087337000,1766955000,2158343000,2059000000,1966000000,2330000000,1921000000,3026000000,2044000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2672600000,2095900000,2186025000,2558031000,3196243000,3350986000,3385481000,3526205000,3581386000,3525102000,3568924000,3507845000,3558334000,3784535000,3997266000,3878144000,3846125000,3764477000,3555000000,3424000000,3346000000,4499000000,4970000000,5401000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,869792000,647853000,679129000,707079000,707840000,728455000,797077000,797194000,836843000,771352000,765792000,766000000,509000000,509000000,547000000,547000000,547000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1694100000,1333900000,1371308000,1683219000,1146538000,2097200000,2076975000,1414381000,1546603000,1542480000,1475472000,1469614000,1490936000,1544748000,1538561000,1618901000,1762373000,2135053000,2172000000,2511000000,2448000000,2719000000,2851000000,4294000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1694100000,1333900000,1371308000,1683219000,1146538000,2097200000,2076975000,2284173000,2194456000,2221609000,2182551000,2177454000,2219391000,2341825000,2335755000,2455744000,2533725000,2900845000,2938000000,3020000000,2957000000,3266000000,3398000000,4841000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208493000,205979000,309095000,221920000,231050000,302413000,322237000,402336000,452000000,453000000,480000000,488000000,477000000,479000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,755400000,1438000000,4550176000,3131186000,3311235000,3218106000,3721168000,2815218000,1850588000,271844000,63512000,73364000,79623000,147045000,296392000,180509000,437897000,196461000,442000000,432000000,670000000,607000000,654000000,728000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5122100000,4867800000,8107509000,7372436000,7654016000,8666292000,9183624000,8625596000,7626430000,6018555000,6023480000,5964642000,6166443000,6495325000,6860463000,6816810000,7139984000,7264119000,7387000000,7329000000,7453000000,8860000000,9499000000,11449000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5527500000,5375800000,8634609000,8046792000,9602028000,10171238000,10993841000,10404565000,10599514000,9894143000,7652416000,7608784000,7762519000,8201005000,8623900000,8904147000,8906939000,9422462000,9446000000,9295000000,9783000000,10781000000,12525000000,13493000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288400000,206900000,275901000,270005000,361758000,361010000,323256000,357273000,294932000,308882000,319575000,347348000,344355000,364746000,377291000,496069000,387125000,348737000,365000000,368000000,365000000,374000000,508000000,481000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186800000,15000000,514639000,332761000,526274000,23712000,68787000,372948000,776325000,3860000,15337000,2509000,1711000,1509000,1233000,1646000,808000,14306000,12000000,20000000,21000000,126000000,134000000,147000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25192000,39644000,46110000,- -,48237000,70518000,46734000,40569000,44000000,64000000,44000000,41000000,69000000,45000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174101000,167963000,171781000,207633000,222345000,289445000,324318000,288412000,229000000,223000000,197000000,189000000,193000000,236000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148200000,147800000,193871000,213450000,279134000,312223000,349280000,325883000,1013474000,2486777000,264274000,262476000,292786000,300245000,323739000,404596000,351005000,292929000,281000000,307000000,296000000,273000000,318000000,316000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,623400000,369700000,984411000,816216000,1167166000,696945000,741323000,1056104000,2084731000,2799519000,773287000,780296000,810633000,874133000,924608000,1191756000,1063256000,944384000,887000000,918000000,879000000,962000000,1153000000,1180000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1553100000,1579900000,1172987000,1507764000,3298240000,1994913000,3664243000,3340801000,2620609000,1632226000,1621422000,1492908000,1499862000,1529857000,1721571000,1720074000,1993586000,2439827000,2433000000,2437000000,2418000000,2316000000,3424000000,3888000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,314900000,382500000,- -,- -,1170505000,1232153000,1466649000,1383031000,950348000,555593000,471623000,517762000,585468000,808713000,862580000,862975000,941519000,900054000,922000000,552000000,640000000,676000000,863000000,921000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,41900000,2102207000,1736190000,423759000,2634882000,1431572000,721132000,763684000,328930000,368045000,374589000,404892000,384618000,458814000,459245000,453567000,434046000,454000000,496000000,553000000,1423000000,1492000000,759000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000000,2004300000,3275194000,3243954000,4892504000,5861948000,6562464000,5444964000,4334641000,2516749000,2461090000,2385259000,2490222000,2723188000,3042965000,3042294000,3388672000,3773927000,3809000000,3485000000,3611000000,4415000000,5779000000,5568000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1047000000,1069000000,1101000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2523400000,2374000000,4259605000,4060170000,6059670000,6558893000,7303787000,6501068000,6419372000,5316268000,3234377000,3165555000,3300855000,3597321000,3967573000,4234050000,4451928000,4718311000,4696000000,4403000000,4490000000,5377000000,6932000000,6748000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,852000,832000,830000,830000,825000,824000,824000,824000,1000000,- -,- -,- -,- -,1074000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,624000,625000,625000,627000,628000,1258000,1259000,1259000,1261000,1270000,1270000,1326000,1327000,1327000,1327000,1328000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308400000,509000000,2680669000,2450473000,1431657000,1456954000,1442627000,1632682000,1428570000,1690651000,2229540000,2371587000,2446626000,2451899000,2464318000,2529626000,2330187000,2487491000,2454000000,2525000000,2656000000,2672000000,2802000000,2812000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1222800000,-1227300000,-1561942000,-1030257000,191704000,296820000,373505000,309009000,522113000,511776000,-16812000,-2710000,-3208000,-8854000,-8132000,-569000,6452000,355000,1000000,-1000000,-10000000,-9000000,-4000000,5000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3478300000,3209800000,2824543000,2098083000,1428637000,1349754000,1373988000,1407664000,1618478000,1722652000,1553498000,1407158000,1369234000,1517790000,1554023000,1587453000,1588312000,1636376000,1688000000,1744000000,1913000000,1989000000,2005000000,2035000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2563900000,2492100000,3943894000,3518924000,3052623000,3104155000,3190748000,3350613000,3570420000,3926338000,3768339000,3778137000,3814752000,3962991000,4012361000,4118661000,3927102000,4126374000,4145000000,4269000000,4560000000,4653000000,4804000000,5927000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5087300000,4866100000,8203499000,7579094000,9112293000,9663048000,10494535000,9851681000,9989792000,9242606000,7002716000,6943692000,7115607000,7560312000,7979934000,8352711000,8379030000,8844685000,8841000000,8672000000,9050000000,10030000000,11736000000,12675000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440200000,509700000,431110000,467698000,489735000,508190000,499306000,552884000,609722000,651537000,649700000,665092000,646912000,640693000,643966000,551436000,527909000,577777000,605000000,623000000,733000000,751000000,789000000,818000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5527500000,5375800000,8634609000,8046792000,9602028000,10171238000,10993841000,10404565000,10599514000,9894143000,7652416000,7608784000,7762519000,8201005000,8623900000,8904147000,8906939000,9422462000,9446000000,9295000000,9783000000,10781000000,12525000000,13493000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1051512/000105151221000009/0001051512-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1051512/000105151222000013/0001051512-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,11100000,27200000,21100000,30800000,33900000,59800000,104000000,128100000,-9500000,64400000,230000000,2237002000,-198055000,-984371000,61490000,49004000,222544000,161759000,386112000,93541000,193902000,143856000,200566000,81861000,141927000,-136355000,219037000,43000000,153000000,135000000,121000000,226000000,156000000
74,Depreciation and Amortization,- -,- -,- -,- -,53300000,62900000,76800000,99000000,127500000,161800000,201100000,231600000,301600000,409500000,353300000,399143000,450019000,510445000,595732000,667956000,677443000,737478000,752219000,750077000,749970000,761748000,765776000,813626000,1018077000,836532000,844361000,850000000,844000000,883000000,932000000,909000000,895000000
75,Deferred Income Tax,- -,- -,- -,- -,2300000,6000000,2800000,7000000,5800000,14500000,19600000,75000000,17200000,49300000,152200000,-370000,-266406000,-587706000,32910000,-69623000,-24313000,-195000000,-283047000,-437919000,31053000,74074000,202547000,58785000,-67150000,71713000,70849000,22000000,-369000000,33000000,34000000,190000000,52000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22693000,32486000,35128000,36837000,41871000,30338000,35793000,40400000,42000000,46000000,54000000,59000000,53000000,49000000
77,Change in Working Capital,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,-218000000,356300000,-595611000,315451000,922706000,27155000,260893000,-346029000,165488000,187716000,-220420000,8197000,-78403000,46104000,7282000,56752000,-191882000,510260000,-41959000,-124000000,403000000,-492000000,914000000,-224000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79427000,-110258000,-79182000,-95426000,-81107000,-294320000,17629000,-120230000,-23000000,-61000000,-39000000,-49000000,-16000000,-22000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25800000,10700000,-13400000,-18786000,-7100000,2473000,-16548000,-6006000,-15460000,-25287000,16848000,-17123000,-34566000,40657000,-13382000,-29917000,-83536000,-29149000,115482000,4000000,6000000,-5000000,-19000000,12000000,-25000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6804000,29646000,-4016000,29291000,-12332000,86028000,-117264000,7245000,36000000,-7000000,2000000,-60000000,173000000,-69000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218000000,138300000,-457311000,-141860000,780846000,808001000,1068894000,722865000,888353000,1076069000,855649000,863846000,785443000,831547000,838829000,895581000,703699000,1213959000,1172000000,1048000000,1451000000,959000000,1873000000,57000000
82,Other Non-Cash Items,- -,- -,- -,- -,-4800000,-3500000,-22900000,-21400000,-7000000,-11400000,-113100000,-139700000,-102800000,51000000,-468100000,-1291305000,244796000,932563000,203126000,-160841000,350578000,17432000,-101968000,640920000,86986000,185542000,3881000,101747000,-685334000,-220989000,-895213000,-133041000,226000000,-491000000,362000000,-760000000,175000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,62900000,92600000,77800000,115400000,160200000,224700000,211600000,295000000,206500000,356200000,623700000,748859000,545805000,793637000,920413000,747389000,880223000,887157000,941032000,848892000,1102594000,1121945000,1255711000,1105172000,494610000,394812000,789694000,782000000,776000000,1017000000,1016000000,1532000000,1103000000
84,CAPEX,- -,- -,- -,- -,-138700000,-136700000,-151800000,-148600000,-198700000,-321400000,-336200000,-550200000,-915300000,-676100000,-431000000,-456019000,-700150000,-899050000,-776967000,-798252000,-720557000,-722458000,-699566000,-1124112000,-700441000,-755032000,-971759000,-995517000,-883797000,-799496000,-800628000,-636000000,-685000000,-776000000,-957000000,-1368000000,-1151000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149618000,-392842000,-531174000,- -,-40786000,-190870000,-43603000,-19487000,- -,- -,-81691000,-105508000,-113200000,496550000,-107608000,56009000,-32000000,-197000000,13000000,-305000000,-146000000,-1305000000
86,Purchases of Investments,- -,- -,- -,- -,-21300000,-15900000,- -,- -,-49600000,-66400000,-346500000,-60000000,-25100000,-2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27446000,-109230000,-493750000,-180920000,-120000000,- -,- -,- -,- -,-100000000,-17000000,-11000000,-3000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,18500000,8600000,7300000,11700000,8300000,206800000,- -,120600000,166600000,135000000,- -,- -,- -,- -,- -,- -,138751000,92002000,260352000,23660000,106255000,393246000,243444000,115000000,50000000,- -,- -,- -,100000000,29000000,1000000,3000000
