,https://roic.ai/company/QTNT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-4099000,-3964000,-4491000,-8892000,-29714000,-49088000,-74059000,-69988000,-78955000,-80691000,-82508000
18,Operating Income ratio,-0.4085,-0.3244,-0.3125,-0.4501,-1.6142,-2.6503,-3.3319,-2.8299,-2.7101,-2.4709,-1.9020
19,Total Other Income Expenses (Gains),-522000,-509000,-223000,-1273000,-29345000,15210000,-11010000,-12999000,-26387000,-21421000,-24036000
20,Income Before Tax,-4621000,-4473000,-4714000,-10165000,-59059000,-33878000,-85069000,-82987000,-105342000,-102112000,-106544000
21,Income Before Tax Ratio,-0.4605,-0.3661,-0.3280,-0.5146,-3.2083,-1.8291,-3.8273,-3.3555,-3.6158,-3.1269,-2.4561
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-649000,44000,661000,1926000
23,Net Income,-4621000,-4473000,-4714000,-10165000,-59059000,-33878000,-85069000,-82338000,-105386000,-102773000,-108470000
24,Net Income ratio,-0.4605,-0.3661,-0.3280,-0.5146,-3.2083,-1.8291,-3.8273,-3.3292,-3.6173,-3.1471,-2.5005
25,EPS,-0.32,-0.31,-0.33,-0.55,-4.00,-1.73,-3.02,-2.02,-1.92,-1.44,-1.18
26,EPS Diluted,-0.32,-0.31,-0.33,-0.55,-4.00,-1.73,-3.02,-2.02,-1.92,-1.44,-1.18
27,Weighted Average Shares Outstanding,14376547,14376547,14376547,18376547,14773386,19558152,28145472,40839309,54874391,71610035,91637966
28,Weighted Average Shares Outstanding Diluted,14376547,14376547,14376547,18376547,14773386,19558152,28145472,40839309,54874391,71610035,91637966
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596946/000119312514251576/0001193125-14-251576-index.html,https://www.sec.gov/Archives/edgar/data/1596946/000156459015004794/0001564590-15-004794-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459016020106/0001564590-16-020106-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459017011695/0001564590-17-011695-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459018014671/0001564590-18-014671-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459019020748/0001564590-19-020748-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459020029174/0001564590-20-029174-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459021031561/0001564590-21-031561-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4354000,4219000,7192000,37525000,44100000,4754000,20165000,4096000,3923000,45673000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,16057000,5669000,90729000,116871000,65999000
33,Cash and Short-Term Investments,- -,4354000,4219000,7192000,37525000,44100000,20811000,25834000,94825000,120794000,111672000
34,Net Receivables,- -,1513000,1516000,2439000,1808000,2269000,2556000,2862000,3348000,5402000,5323000
35,Inventory,- -,2659000,3324000,4557000,4608000,12584000,13636000,16278000,15551000,20501000,22011000
36,Other Current Assets,- -,1443000,1112000,5200000,6129000,2780000,3629000,7065000,3202000,3775000,4870000
37,Total Current Assets,- -,9969000,10171000,19388000,50070000,61733000,40632000,52039000,116926000,150472000,143876000
38,PP&E,- -,1176000,1650000,- -,- -,- -,- -,- -,- -,- -,60541000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,1212000,1070000,967000,950000,902000,769000,914000,751000,625000,619000
41,Intangible Assets,- -,1212000,1070000,967000,950000,902000,769000,914000,751000,625000,619000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,649000,605000,237000,255000
44,Other Non-Current Assets,- -,- -,- -,9453000,30099000,57115000,68570000,70239000,59488000,75129000,13980000
45,Total Non-Current Assets,- -,2388000,2720000,10420000,31049000,58017000,69339000,71802000,60844000,75991000,75395000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,12357000,12891000,29808000,81119000,119750000,109971000,123841000,177770000,226463000,219271000
48,Accounts Payable,- -,2120000,2338000,5343000,7238000,7286000,10782000,5441000,5936000,4826000,4659000
49,Short-Term Debt,- -,- -,- -,- -,4500000,1000000,- -,- -,- -,- -,24167000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2112000,2286000,7556000,43037000,13065000,18946000,21610000,19513000,26331000,30003000
53,Total Current Liabilities,- -,4232000,4624000,12899000,54775000,21351000,29728000,27051000,25449000,31157000,58829000
54,Long-Term Debt,- -,3000000,3000000,15105000,10768000,27910000,80704000,85063000,121855000,153024000,137936000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1824000
57,Other Non-Current Liabilities,- -,23812000,28328000,33340000,17191000,23766000,23630000,26358000,28752000,47809000,49723000
58,Total Non-Current Liabilities,- -,26812000,31328000,48445000,27959000,51676000,104334000,111421000,150607000,200833000,189483000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,97000,505000,337000,515000,1875000,1548000,1937000,1336000,24662000,25633000
61,Total Liabilities,- -,31044000,35952000,61344000,82734000,73027000,134062000,138472000,176056000,231990000,248312000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,247000,84525000,155914000,172617000,253934000,368958000,459931000,540813000
64,Retained Earnings,- -,-416000,-5130000,-15295000,-74354000,-108232000,-193301000,-275639000,-381025000,-483435000,-591905000
65,Other Comprehensive Income/Loss,- -,-1176000,-1442000,-2101000,-5000000,-13000000,-19000000,-17000000,-15000000,-15000000,-16065
66,Other Total Stockholders Equity,- -,- -,- -,-14387000,-6786000,12041000,15593000,24074000,28781000,32977000,22067065
67,Total Stockholders Equity,- -,-18687000,-23061000,-31536000,-1615000,46723000,-24091000,-14631000,1714000,-5527000,-29041000
68,Total Liabilities And Stockholders Equity,- -,12357000,12891000,29808000,81119000,119750000,109971000,123841000,177770000,226463000,219271000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,12357000,12891000,29808000,81119000,119750000,109971000,123841000,177770000,226463000,219271000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1596946/000119312514251576/0001193125-14-251576-index.html,https://www.sec.gov/Archives/edgar/data/1596946/000156459015004794/0001564590-15-004794-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459016020106/0001564590-16-020106-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459017011695/0001564590-17-011695-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459018014671/0001564590-18-014671-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459019020748/0001564590-19-020748-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459020029174/0001564590-20-029174-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459021031561/0001564590-21-031561-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-4621000,-4473000,-4714000,-10165000,-59059000,-33878000,-85069000,-82338000,-105386000,-102773000,-108470000
74,Depreciation and Amortization,980000,989000,691000,622000,1676000,2945000,9461000,10405000,12767000,12276000,8620000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-649000,44000,368000,1926000
76,Stock Based Compensation,- -,- -,471000,933000,1138000,2004000,4221000,4156000,4957000,4467000,4984000
77,Change in Working Capital,84000,5452000,-190000,942000,-11194000,45087000,-29478000,14084000,66489000,27838000,-34268000
78,Accounts Receivable,-455000,-86000,-64000,-748000,362000,-519000,-584000,-87000,-637000,-2177000,568000
79,Inventory,-22000,-417000,-776000,-897000,-552000,-8126000,-1766000,-1741000,-93000,-4967000,-475000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,285000,5737000,5547000,6489000,-4705000,40382000,10904000,24988000,91477000,119315000,85047000
82,Other Non-Cash Items,- -,-5033000,124000,3288000,40848000,-63131000,44665000,-14076000,-54526000,-22822000,49626000
83,Cash Provided by Operating Activities,-3557000,-3065000,-3618000,-4380000,-26591000,-46973000,-56200000,-68418000,-75655000,-80646000,-77582000
84,CAPEX,-157000,-415000,-1125000,-7226000,-24042000,-28977000,-20226000,-21754000,-4794000,-4600000,-4240000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-30009000,-78000000,-119000000,-95000000,-87247000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,13971000,88395000,34735000,69412000,134936000
88,Other Investing Activites,-69000,-65000,-234000,94000,- -,- -,- -,14698000,- -,- -,- -
89,Cash Used for Investing Activites,-157000,-415000,-1125000,-7132000,-24042000,-28977000,-36264000,3339000,-89059000,-30188000,43449000
90,Debt Repayment,- -,-2023000,- -,-3000000,- -,- -,-33450000,-1692000,-486000,-524000,-633000
91,Common Stock Issued,- -,- -,- -,247000,69879000,71390000,16703000,84984000,115024000,90973000,80881000
92,Common Stock Repurchased,- -,-1635000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1756000,10336000,4673000,17347000,15195000,14258000,73289000,- -,30884000,24126000,- -
95,Cash Used/Provided by Financing Activities,1756000,6678000,4673000,14594000,85074000,85648000,56542000,83292000,145422000,114575000,80248000
96,Effect of Forex Changes on Cash,178000,597000,-65000,-109000,-4108000,-3123000,-3424000,-2802000,5690000,-2404000,-4358000
97,Net Change In Cash,-1780000,3795000,-135000,2973000,30333000,6575000,-39346000,15411000,-13602000,1337000,41757000
98,Cash at the End of Period,559000,4354000,4219000,7192000,37525000,44100000,4754000,20165000,11603000,12940000,54697000
99,Cash at the Beginning of Period,2339000,559000,4354000,4219000,7192000,37525000,44100000,4754000,25205000,11603000,12940000
100,Free Cash Flow,-3714000,-3480000,-4743000,-11606000,-50633000,-75950000,-76426000,-90172000,-80449000,-85246000,-81822000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596946/000119312514251576/0001193125-14-251576-index.html,https://www.sec.gov/Archives/edgar/data/1596946/000156459015004794/0001564590-15-004794-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459016020106/0001564590-16-020106-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459017011695/0001564590-17-011695-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459018014671/0001564590-18-014671-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459019020748/0001564590-19-020748-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459020029174/0001564590-20-029174-index.htm,https://www.sec.gov/Archives/edgar/data/1596946/000156459021031561/0001564590-21-031561-index.htm
102,false,,,,,,,,,,,
