,https://roic.ai/company/ATMS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,21560,21512,26429,30085,2938,3474000,2604000,3049000,4440000,4280000,3567000,1954000,2271000,3124000,1506000,1075000,554000,164000,255000,1039000,772000,168000,167000,154000
11,COGS and Expenses,21560,21512,26429,30085,3340,3608000,3017000,3833000,5303000,5388000,4071000,2327000,2725000,4017000,2023000,1639000,594000,164000,255000,1039000,772000,168000,167000,- -
12,Interest Income ,- -,- -,7342,9341,26,44000,- -,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,99000,560000,- -,2476000,- -,- -,2000,- -,- -,- -,-9000,104000,- -,6000,- -,- -
14,Depreciation and Amortization,5859,5730,1433,- -,147,151000,186000,264000,89000,236000,576000,483000,29000,23000,25000,19000,4000,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-15701,-15436,-46128,-30085,-474,-2814000,-1875000,-1949000,-2924000,-2227000,-2952000,1491000,5016000,-457000,-1049000,-279000,366000,-164000,-273000,-1039000,-772000,-168000,121000,167000
16,EBITDA ratio,-Infinity,-44.6127,-Infinity,-Infinity,-0.1760,-4.6283,-1.9634,-1.1986,-1.4605,-0.7706,-1.3679,0.4471,1.7838,-0.1219,-0.9887,-0.2166,1.5000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
17,Operating Income,-21560,-21166,-26429,-30085,-647,-3000000,-2062000,-2207000,-3302000,-2498000,-2184000,1008000,87000,-269000,-962000,-351000,-350000,-164000,-255000,-1039000,-772000,-168000,-167000,-154000
18,Operating Income ratio,-Infinity,-61.1734,-Infinity,-Infinity,-0.2403,-4.9342,-2.1592,-1.3573,-1.6494,-0.8644,-1.0120,0.3022,0.0309,-0.0718,-0.9067,-0.2725,-1.4344,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,21132,- -,- -,-9000,1000,-11000,289000,-525000,-1344000,-2476000,6382000,-58000,112000,53000,712000,25000,-9000,-104000,259000,-6000,288000,321000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3023000,-3528000,-1468000,6469000,-327000,-850000,-298000,362000,-139000,-264000,-1143000,-513000,-174000,121000,167000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.0460,-1.6348,-0.4402,2.3005,-0.0872,-0.8011,-0.2314,1.4836,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,- -,- -,100000,9000,- -,- -,- -,- -,- -,- -,- -,-53000,- -,- -
23,Net Income,-21560,-21166,2045,-20744,-621,-2965000,-2061000,-2213000,-3112000,-3078000,-3528000,-1468000,4887000,-489000,-1076000,-298000,362000,-139000,-264000,-1143000,-513000,-121000,121000,167000
24,Net Income ratio,-Infinity,-61.1734,Infinity,-Infinity,-0.2306,-4.8766,-2.1581,-1.3610,-1.5544,-1.0651,-1.6348,-0.4402,1.7379,-0.1305,-1.0141,-0.2314,1.4836,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
25,EPS,-0.93,-0.93,0.08,-0.93,-7.41,-12.00,-7.50,-7.50,-10.00,-10.00,-10.50,-4.50,6.50,-0.50,-1.50,-0.50,0.50,-0.16,-0.05,-0.20,-0.08,-0.02,-0.02,0.03
26,EPS Diluted,-0.93,-0.93,0.08,-0.93,-7.41,-12.00,-7.50,-7.50,-10.00,-10.00,-10.50,-4.50,6.00,-0.50,-1.50,-0.50,0.42,-0.16,-0.05,-0.20,-0.08,-0.02,-0.02,0.03
27,Weighted Average Shares Outstanding,18028,18164,25146,28821,85557,239643,279137,301423,304778,318255,327669,329459,735049,836079,858397,863471,863471,863471,4991830,4893022,5153380,5153461,5153461,5153461
28,Weighted Average Shares Outstanding Diluted,18028,18164,25146,28821,85557,239643,279137,301423,304778,318255,327669,329459,795401,836079,858397,863471,863471,863471,4991830,4893022,5153380,5153461,5153461,5153461
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1062128/000117891312000644/0001178913-12-000644-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891313000947/0001178913-13-000947-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891314001309/0001178913-14-001309-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1062128/000117891316004652/0001178913-16-004652-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891317001423/0001178913-17-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891318001306/0001178913-18-001306-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891319001142/0001178913-19-001142-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891320000964/0001178913-20-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891321001229/0001178913-21-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891322000921/0001178913-22-000921-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11224,5988,245542,223681,213,1432000,1648000,732000,403000,820000,1826000,1283000,1909000,1898000,596000,348000,643000,628000,907000,525000,7000,2000,1000,1000
32,Short-Term Investments,- -,- -,- -,- -,4063,21000,- -,4357000,2009000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11224,5988,245542,223681,4276,1453000,1648000,5089000,2412000,820000,1826000,1283000,1909000,1898000,596000,348000,643000,628000,907000,525000,7000,2000,1000,1000
34,Net Receivables,- -,- -,- -,- -,956,636000,414000,490000,615000,678000,177000,462000,262000,562000,169000,45000,4000,- -,65000,58000,20000,20000,10000,6000
35,Inventory,- -,- -,- -,- -,88,105000,530000,594000,506000,399000,322000,193000,229000,407000,322000,229000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,14000,1000,66000,- -,765000,1513000,359000,38000,15000,50000,249000,78000,- -,- -,- -,- -,- -,- -
37,Total Current Assets,11224,5988,245542,223681,5320,2194000,2606000,6174000,3599000,1897000,3090000,3451000,2759000,2905000,1102000,672000,896000,706000,972000,583000,27000,22000,11000,7000
38,PP&E,- -,- -,- -,- -,356,303000,264000,337000,347000,352000,279000,211000,67000,66000,48000,29000,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,271000,271000,271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,18622,12892,- -,- -,271,346000,271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,18622,12892,- -,- -,271,346000,271000,271000,271000,271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,218,96000,115000,661000,528000,402000,9000,- -,11000,8000,6000,2000,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,18622,12892,- -,- -,845,745000,650000,1269000,1146000,1025000,288000,211000,78000,74000,54000,31000,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29846,18880,245542,223681,6165,2939000,3256000,7443000,4745000,2922000,3378000,3662000,2837000,2979000,1156000,703000,896000,706000,972000,583000,27000,22000,11000,7000
48,Accounts Payable,- -,1500,1117,- -,470,362000,381000,494000,228000,284000,225000,248000,147000,221000,84000,145000,5000,- -,- -,53000,161000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7087000,8881000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,390,251000,235000,524000,336000,566000,781000,934000,961000,800000,228000,92000,61000,50000,58000,- -,163000,157000,356000,503000
53,Total Current Liabilities,- -,1500,1117,- -,860,613000,616000,1018000,564000,850000,8093000,10063000,1108000,1021000,312000,237000,66000,50000,58000,53000,324000,157000,356000,503000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,5977000,6000000,5691000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,75,119000,115000,17000,-482000,- -,- -,598000,183000,212000,106000,38000,40000,5000,- -,428000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,75,119000,115000,5994000,5518000,5691000,- -,598000,183000,212000,106000,38000,40000,5000,- -,428000,- -,103000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1500,1117,- -,935,732000,731000,7012000,6082000,6541000,8093000,10661000,1291000,1233000,418000,275000,106000,55000,58000,481000,324000,260000,356000,503000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,16816,17686,26686,26686,119,119000,150000,152000,158000,161000,164000,164000,415000,411000,432000,432000,432000,432000,2887000,52000,52000,52000,52000,52000
64,Retained Earnings,-30811,-51977,-49932,-70676,-4748,-7713000,-9774000,-11987000,-15099000,-18177000,-21705000,-20942000,-16055000,-16544000,-17620000,-17918000,-17556000,-17695000,-264000,-1407000,-1920000,-2197000,- -,-2485000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,118,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,43841,51671,267671,267671,9741,9683000,12031000,12148000,13486000,14279000,16708000,13661000,17068000,17761000,17808000,17796000,17796000,17796000,-1709000,1457000,1571000,1907000,-397000,1937000
67,Total Stockholders Equity,29846,17380,244425,223681,5230,2207000,2525000,431000,-1337000,-3619000,-4715000,-6999000,1546000,1746000,738000,428000,790000,651000,914000,102000,-297000,-238000,-345000,-496000
68,Total Liabilities And Stockholders Equity,- -,18880,245542,- -,6165,2939000,3256000,7443000,4745000,2922000,3378000,3662000,2837000,2979000,1156000,703000,896000,706000,972000,583000,27000,22000,11000,7000
69,Minority Interest,29846,- -,- -,223681,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29846,18880,245542,223681,6165,2939000,3256000,7443000,4745000,2922000,3378000,3662000,2837000,2979000,1156000,703000,896000,706000,972000,583000,27000,22000,11000,7000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1062128/000117891312000644/0001178913-12-000644-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891313000947/0001178913-13-000947-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891314001309/0001178913-14-001309-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1062128/000117891316004652/0001178913-16-004652-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891317001423/0001178913-17-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891318001306/0001178913-18-001306-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891319001142/0001178913-19-001142-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891320000964/0001178913-20-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891321001229/0001178913-21-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891322000921/0001178913-22-000921-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-21560,-21166,2045,-20744,-621,-2965000,-2061000,-2213000,-3112000,-3078000,-3528000,-1468000,4887000,-489000,-1076000,-298000,362000,-139000,-264000,-1143000,-513000,-121000,121000,167000
74,Depreciation and Amortization,5859,5730,1433,- -,147,151000,186000,264000,89000,236000,576000,483000,29000,23000,25000,19000,4000,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,601000,649000,60000,-12000,- -,- -,- -,106000,114000,17000,14000,16000
77,Change in Working Capital,-1337,-6736,239937,-20744,-219221,1576540,409000,3166000,-2121000,-1988000,-6050000,-1609000,8263000,233000,-1094000,-355000,395000,-174000,258000,-384000,-827000,162000,-210000,-151000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,-276000,59000,-324000,417000,95000,26000,- -,- -,7000,38000,- -,10000,4000
79,Inventory,- -,- -,- -,- -,125,-17000,-425000,-65000,89000,107000,77000,129000,-36000,-178000,85000,93000,229000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59000,23000,- -,- -,-137000,61000,-140000,-5000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,11224,4488,244425,223681,4460,1581000,1990000,5156000,3035000,1047000,-5003000,-6612000,1651000,1884000,790000,435000,830000,656000,914000,530000,-297000,-135000,-345000,-496000
82,Other Non-Cash Items,- -,16936,-252752,19627,218661,-1550540,-646000,-2965000,2125000,3092000,7247000,3566000,-14687000,-351000,788000,400000,-296000,123000,-270000,495000,708000,-166000,74000,-105000
83,Cash Provided by Operating Activities,-17038,-5236,-9337,-21861,-1034,-2788000,-2112000,-1748000,-3019000,-1738000,-1755000,972000,-907000,65000,-1297000,-246000,465000,-190000,-276000,-926000,-518000,-108000,-1000,-73000
84,CAPEX,- -,- -,- -,- -,-32,-33000,-72000,-188000,-99000,-102000,-22000,-15000,-13000,-22000,-7000,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-4000,- -,- -,-4357000,- -,- -,- -,- -,- -,-506000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,2348000,1992000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-1109,- -,- -,4098000,21000,- -,- -,5000,- -,- -,-11000,3000,508000,-16000,-186000,205000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1109,- -,-4032,4065000,-51000,-4545000,2249000,1895000,-14000,-15000,-24000,-525000,501000,-16000,-186000,205000,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,7500,- -,250000,- -,5770,- -,2379000,5377000,441000,260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,544000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000,- -,- -,- -,- -,608000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-493,-58000,- -,- -,- -,- -,2775000,- -,1557000,33000,- -,- -,- -,- -,575000,- -,- -,103000,- -,73000
95,Cash Used/Provided by Financing Activities,7500,- -,250000,- -,5277,-58000,2379000,5377000,441000,260000,2775000,-1500000,1557000,-57000,- -,- -,- -,- -,1183000,544000,- -,103000,- -,73000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-9538,-5236,239554,-21861,211,1219000,216000,-916000,-329000,417000,1006000,-543000,626000,-517000,-796000,-262000,279000,15000,907000,-382000,-518000,-5000,-1000,- -
98,Cash at the End of Period,11224,5988,245542,223681,213,1432000,1648000,732000,403000,820000,1826000,1283000,1909000,1392000,596000,334000,613000,628000,1535000,525000,7000,2000,1000,1000
99,Cash at the Beginning of Period,20762,11224,5988,245542,2,213000,1432000,1648000,732000,403000,820000,1826000,1283000,1909000,1392000,596000,334000,613000,628000,907000,525000,7000,2000,1000
100,Free Cash Flow,-17038,-5236,-9337,-21861,-1066,-2821000,-2184000,-1936000,-3118000,-1840000,-1777000,957000,-920000,43000,-1304000,-246000,465000,-190000,-276000,-926000,-518000,-108000,-1000,-73000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1062128/000117891312000644/0001178913-12-000644-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891313000947/0001178913-13-000947-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891314001309/0001178913-14-001309-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1062128/000117891316004652/0001178913-16-004652-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891317001423/0001178913-17-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891318001306/0001178913-18-001306-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891319001142/0001178913-19-001142-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891320000964/0001178913-20-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891321001229/0001178913-21-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1062128/000117891322000921/0001178913-22-000921-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
