,https://roic.ai/company/RETA,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,37168000,18903000,1695000,1810000,2228000,2935000,13144000,10260000,138541000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,229468000,125604000,78954000,89093000,135337000,345208000,682420000,857598000,735016000
48,Accounts Payable,2421000,765000,3531000,3830000,2067000,4473000,1908000,4790000,13505000
49,Short-Term Debt,- -,- -,- -,- -,1229000,- -,- -,1229000,3142000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,51030000,49595000,49730000,46603000,28183000,31335000,4701000,4688000,1648000
52,Other Current Liabilities,61600000,7738000,7559000,9198000,16138000,20112000,185405000,108495000,35699000
53,Total Current Liabilities,115051000,58098000,60820000,59631000,47617000,55920000,192014000,119202000,53994000
54,Long-Term Debt,- -,- -,- -,- -,18385000,79219000,155017000,- -,132891000
55,Deferred Revenue,390028000,340771000,291041000,244438000,216255000,194386000,4688000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1445000,981000,249000,72000,53000,524000,73844000,320965000,362142000
58,Total Non-Current Liabilities,391473000,341752000,291290000,244510000,234693000,274129000,233549000,320965000,495033000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,136033000
61,Total Liabilities,506524000,399850000,352110000,304141000,282310000,330049000,425563000,440167000,549027000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,102000,102000,16000,23000,27000,30000,33000,36000,36000
64,Retained Earnings,-282366000,-281677000,-283127000,-289354000,-337143000,-420323000,-710493000,-958245000,-1255631000
65,Other Comprehensive Income/Loss,-9928000,-12080000,-12965000,-13161000,-12294000,-12714000,-13269000,- -,- -
66,Other Total Stockholders Equity,15136000,19409000,22920000,87444000,202437000,448166000,980586000,1375640000,- -
67,Total Stockholders Equity,-277056000,-274246000,-273156000,-215048000,-146973000,15159000,256857000,417431000,185989000
68,Total Liabilities And Stockholders Equity,229468000,125604000,78954000,89093000,135337000,345208000,682420000,857598000,735016000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,229468000,125604000,78954000,89093000,135337000,345208000,682420000,857598000,735016000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1358762/000156459017003245/0001564590-17-003245-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459018004193/0001564590-18-004193-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459019005161/0001564590-19-005161-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459020005272/0001564590-20-005272-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459021009624/0001564590-21-009624-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459022007338/0001564590-22-007338-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-35105000,689000,-1450000,-6227000,-47671000,-80546000,-290170000,-247752000,-297386000
74,Depreciation and Amortization,2927000,2512000,1819000,682000,437000,431000,932000,1136000,1203000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2361000,1523000,2075000,2367000,6530000,10550000,26381000,57633000,56806000
77,Change in Working Capital,-1376000,-28646000,-32164000,11213000,57840000,200861000,190909000,250874000,-49575000
78,Accounts Receivable,- -,-223000,198000,- -,- -,- -,- -,-22217000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,182000,-1656000,2754000,299000,-1763000,1955000,-2114000,2879000,8713000
81,Other Working Capital,77249000,48603000,16439000,27652000,85492000,286353000,477262000,728136000,19177000
82,Other Non-Cash Items,-37753000,-64708000,-14900000,-27294000,-100392000,-215079000,-179203000,-384231000,53251000
83,Cash Provided by Operating Activities,-68946000,-88630000,-44620000,-19259000,-83256000,-83783000,-251151000,-322340000,-235701000
84,CAPEX,-325000,-183000,-272000,-340000,-344000,-679000,-2673000,-927000,-1329000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2476000,43000,12000,1000,1000,- -,- -,- -,- -
89,Cash Used for Investing Activites,2151000,-140000,-260000,-339000,-343000,-679000,-2673000,-927000,-1329000
90,Debt Repayment,- -,- -,-45000,-45000,-45000,- -,- -,-167170000,- -
91,Common Stock Issued,- -,- -,- -,64705000,108910000,233496000,492453000,333278000,- -
92,Common Stock Repurchased,-145000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-460000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2256000,1000,-825000,-2338000,19782000,58976000,87905000,310985000,9138000
95,Cash Used/Provided by Financing Activities,1651000,1000,-870000,62322000,128647000,292472000,580358000,477093000,9138000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-65144000,-88769000,-45750000,42724000,45048000,208010000,326534000,153826000,-227892000
98,Cash at the End of Period,176527000,87758000,42008000,84732000,129780000,337790000,664324000,818150000,590258000
99,Cash at the Beginning of Period,241671000,176527000,87758000,42008000,84732000,129780000,337790000,664324000,818150000
100,Free Cash Flow,-69271000,-88813000,-44892000,-19599000,-83600000,-84462000,-253824000,-323267000,-237030000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1358762/000156459017003245/0001564590-17-003245-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459018004193/0001564590-18-004193-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459019005161/0001564590-19-005161-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459020005272/0001564590-20-005272-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459021009624/0001564590-21-009624-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459022007338/0001564590-22-007338-index.htm
102,false,,,,,,,,,
