,https://roic.ai/company/EVOP,2016,2017,2018,2019,2020,2021
61,Total Liabilities,1457005000,1674829000,2397069000,2589051000,2462821000,1392946000
62,Preferred Stock,100530000,148266000,1010093000,- -,154118000,164007000
63,Common Stock,63916000,135166000,8000,7000,8000,5000
64,Retained Earnings,-124028000,-237330000,-223799000,-587358000,-675209000,-652871000
65,Other Comprehensive Income/Loss,-127464000,-67679000,-2993000,-1948000,1045000,-9154000
66,Other Total Stockholders Equity,-100530000,-148266000,-831917000,- -,- -,- -
67,Total Stockholders Equity,-187576000,-169843000,-48608000,-589299000,-520038000,-498013000
68,Total Liabilities And Stockholders Equity,1269429000,1504986000,2348461000,1999752000,1942783000,894933000
69,Minority Interest,-10187000,3312000,-814074000,-293348000,-185062000,858452000
70,Total Liabilities & Equity,1259242000,1508298000,1534387000,1706404000,1757721000,1753385000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1704596/000155837019002408/0001558370-19-002408-index.html,https://www.sec.gov/Archives/edgar/data/1704596/000155837020001658/0001558370-20-001658-index.html,https://www.sec.gov/Archives/edgar/data/1704596/000155837021001824/0001558370-21-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1704596/000155837022001757/0001558370-22-001757-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,47705000,-40242000,-14712000,-10105000,-1676000,8653000
74,Depreciation and Amortization,64012000,74136000,87184000,92059000,85924000,83389000
75,Deferred Income Tax,-1770000,11514000,-1778000,-9182000,2599000,8258000
76,Stock Based Compensation,- -,- -,55519000,10921000,20664000,27419000
77,Change in Working Capital,-25765000,15532000,48877000,18971000,95851000,-47306000
78,Accounts Receivable,16569000,-10243000,3141000,-1719000,-267000,293000
79,Inventory,-2160000,-1378000,2049000,-276000,3993000,801000
80,Accounts Payable,4535000,2330000,-12426000,-35962000,-8326000,2475000
81,Other Working Capital,-16439000,-907000,47970000,66941000,162792000,-53813000
82,Other Non-Cash Items,-51429000,-52730000,26908000,-74775000,-87342000,23184000
83,Cash Provided by Operating Activities,32753000,8210000,201998000,27889000,116020000,103597000
84,CAPEX,-31998000,-59331000,-69455000,-44821000,-27302000,-55945000
85,Acquisitions Net,-13984000,-124964000,-56193000,-38832000,906000,-18809000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,53161000,205000,- -,250000,- -,- -
88,Other Investing Activites,-124716000,108664000,-20621000,-1253000,-6392000,-22500000
89,Cash Used for Investing Activites,-117247000,-58116000,-125565000,-76643000,-25967000,-74704000
90,Debt Repayment,-687294000,-868990000,-853487000,-580795000,-322729000,-734353000
91,Common Stock Issued,- -,- -,256467000,381619000,115538000,- -
92,Common Stock Repurchased,- -,- -,- -,-364454000,-116883000,-4577000
93,Dividends Paid,-2249000,-1726000,- -,- -,- -,- -
94,Other Financing Activites,731723000,909187000,677663000,567550000,333837000,714548000
95,Cash Used/Provided by Financing Activities,42180000,38471000,80643000,3920000,9763000,-24382000
96,Effect of Forex Changes on Cash,-8062000,13253000,-11521000,-1774000,14634000,-12435000
97,Net Change In Cash,-50376000,1818000,145555000,-46608000,114450000,-7924000
98,Cash at the End of Period,203324000,205142000,350697000,304089000,418539000,410615000
99,Cash at the Beginning of Period,253700000,203324000,205142000,350697000,304089000,418539000
100,Free Cash Flow,755000,-51121000,132543000,-16932000,88718000,47652000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1704596/000155837019002408/0001558370-19-002408-index.html,https://www.sec.gov/Archives/edgar/data/1704596/000155837020001658/0001558370-20-001658-index.html,https://www.sec.gov/Archives/edgar/data/1704596/000155837021001824/0001558370-21-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1704596/000155837022001757/0001558370-22-001757-index.htm
102,false,,,,,,
