,https://roic.ai/company/OGEN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1174940/000114420406011313/v038440_10-ksba.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312507062141/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312508059549/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1174940/000114420409018117/0001144204-09-018117-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000114420410016984/0001144204-10-016984-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312511082222/d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312512163736/d263778d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312513126950/0001193125-13-126950-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312514077374/d649879d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312515070177/d833684d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312516523810/0001193125-16-523810-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312517058912/0001193125-17-058912-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312518048564/0001193125-18-048564-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000156459019010173/0001564590-19-010173-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000149315220003343/0001493152-20-003343-index.htm,https://www.sec.gov/Archives/edgar/data/1174940/000149315221005122/0001493152-21-005122-index.htm,https://www.sec.gov/Archives/edgar/data/1174940/000149315222007664/0001493152-22-007664-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3583757,3666244,937789,707278,475508,1165933,301592,132103,171739,9925967,16276510,10448921,5083355,4080618,6166143,20208301,18267994,17639575,27265703
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3583757,3666244,937789,707278,475508,1165933,301592,132103,171739,9925967,16276510,10448921,5083355,4080618,6166143,20208301,18267994,17639575,27265703
34,Net Receivables,- -,- -,- -,- -,- -,6286,162813,485190,92644,69795,64434,15608,21115,- -,- -,- -,- -,- -,6987
35,Inventory,- -,- -,- -,- -,- -,11814,132112,266628,475592,124178,288383,439189,321509,- -,- -,- -,- -,- -,- -
36,Other Current Assets,24637,108895,112047,73871,116520,86666,2530839,615540,378291,283601,175242,119410,211749,141086,1027029,1724975,570071,343106,434699
37,Total Current Assets,3608394,3775139,1049836,781149,592028,1270699,3127356,1499461,1118266,10403541,16804569,11023128,5637728,4221704,7193172,21933276,18838065,17982681,27707389
38,PP&E,42371,690932,1096564,824698,559349,323424,75480,228202,148686,84591,26913,109292,140651,87462,21659,116276,914652,697851,523590
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,42371,690932,1096564,824698,559349,323424,75480,228202,148686,84591,26913,109292,140651,87462,21659,116276,914652,697851,523590
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3650765,4466071,2146400,1605847,1151377,1594123,3202836,1727663,1266952,10488132,16831482,11132420,5778379,4309166,7214831,22049552,19752717,18680532,28230979
48,Accounts Payable,140614,429627,374830,327573,331494,- -,194025,- -,631274,440376,249234,483641,383888,461344,618360,828706,1207231,330379,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,27687,35012,98906,7553092,47977,64051,64840,63352,66377,80478,124213,143864,228227,497686
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,50086,13188,178462,76489,18839,21222,14215,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,70254,- -,- -,- -,- -,1743684,284086,1514885,1083442,691644,660723,226569,585899,815722,199684,214650,499280,783541,947574
53,Total Current Liabilities,210868,429627,374830,327573,331494,1771371,563209,1626979,9446270,1256486,992847,796272,1047354,1343443,898522,1167569,1850375,1342147,1445260
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299520
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,670690,493790,-1445260
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,670690,493790,-1145740
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,835786,670690,- -
61,Total Liabilities,210868,429627,374830,327573,331494,1771371,563209,3626979,9446270,1256486,992847,796272,1047354,1343443,898522,1167569,2521065,1835937,299520
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6309608,6100182,6513396,7174854,- -
63,Common Stock,13296,14595,18146,22405,28002,38316,106083,5663,5894,27383,35994,36179,39859,49114,4928,29433,46125,91767,116395
64,Retained Earnings,-2394096,-5471984,-8723362,-11659081,-13970793,-19992535,-25511883,-33317048,-40995916,-54086362,-70155116,-75944635,-87655968,-94669272,-101400797,-111373608,-127352826,-154444983,-171274128
65,Other Comprehensive Income/Loss,-16605,-58592,-316492,-596401,-869631,-1074325,-1256593,-1299328,-1377960,-1453149,-1529636,-1557027,-1447913,-1518692,-1584495,-1614605,-1664127,- -,- -
66,Other Total Stockholders Equity,5837302,9552425,10793278,13511351,15632305,20851296,29302020,32711397,34188664,64743774,87487393,87801631,93795047,99104573,102987065,127740581,139689084,164022957,197643932
67,Total Stockholders Equity,3439897,4036444,1771570,1278274,819883,-177248,2639627,-1899316,-8179318,9231646,15838635,10336148,4731025,2965723,6316309,20881983,17231652,16844595,26486199
68,Total Liabilities And Stockholders Equity,3650765,4466071,2146400,1605847,1151377,1594123,3202836,1727663,1266952,10488132,16831482,11132420,5778379,4309166,7214831,22049552,19752717,18680532,26785719
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1445260
70,Total Liabilities & Equity,3650765,4466071,2146400,1605847,1151377,1594123,3202836,1727663,1266952,10488132,16831482,11132420,5778379,4309166,7214831,22049552,19752717,18680532,28230979
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1174940/000114420406011313/v038440_10-ksba.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312507062141/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312508059549/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1174940/000114420409018117/0001144204-09-018117-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000114420410016984/0001144204-10-016984-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312511082222/d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312512163736/d263778d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312513126950/0001193125-13-126950-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312514077374/d649879d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312515070177/d833684d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312516523810/0001193125-16-523810-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312517058912/0001193125-17-058912-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312518048564/0001193125-18-048564-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000156459019010173/0001564590-19-010173-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000149315220003343/0001493152-20-003343-index.htm,https://www.sec.gov/Archives/edgar/data/1174940/000149315221005122/0001493152-21-005122-index.htm,https://www.sec.gov/Archives/edgar/data/1174940/000149315222007664/0001493152-22-007664-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-1672954,-3077888,-3251378,-2935719,-2311712,-6021742,-5519348,-7805165,-7678868,-13090446,-16068754,-5789519,-11711333,-7013304,-6731525,-9914141,-15566003,-26430699,-15711614
74,Depreciation and Amortization,12545,41987,260636,280901,273230,253857,239760,42735,79516,75190,76487,27667,71152,75044,65803,30110,62622,51705,41237
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,513611,392129,667222,1262217,1280642,3449650,287032,1034704,638418,560478,1020358,552997,1491165,1688022
77,Change in Working Capital,157965,-52014,-2670506,-221430,-193042,-761206,3064819,-2691665,-8200486,17475059,6664667,-5584866,-5636482,-1712113,3416389,14471057,-3778017,-347156,9621595
78,Accounts Receivable,- -,- -,- -,- -,- -,-6286,-156527,39841,30328,22849,5361,48826,-5507,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-11814,-120298,-134516,-208964,351414,-164205,-150806,117680,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-603730,10554
81,Other Working Capital,3397526,3345512,675006,453576,260534,-500672,2564147,-127518,-8328004,9147055,15811722,10226856,4590374,2878261,6294650,20765707,16987690,16640534,26262129
82,Other Non-Cash Items,283534,342672,2226866,651710,317764,2180290,-3976841,3338439,9042863,-10952302,-886583,5500556,11137574,936870,-3674998,-14687201,5715558,8282121,-9109452
83,Cash Provided by Operating Activities,-1218910,-2745243,-3434382,-2224538,-1913760,-3835190,-5799481,-6448434,-5494758,-5211857,-6764533,-5559130,-5104385,-7075085,-6363853,-9079817,-13012843,-16952864,-13470212
84,CAPEX,-50258,-690548,-666268,-12011,-12906,-55322,-9073,-88084,- -,-11095,-18809,-110673,-102511,-27179,- -,-124727,-25214,- -,-43876
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,5000,3046,42250,40000,- -,- -,- -,- -,424,1280,1702198,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-50258,-690548,-666268,-7011,-9860,-13072,30927,-88084,- -,-11095,-18809,-110249,-101231,1675019,- -,-124727,-25214,- -,-43876
90,Debt Repayment,- -,- -,- -,- -,- -,-51831,-215787,-107314,-172552,-140029,-140931,-158210,-159950,-158100,-157946,-200755,-252926,-329421,- -
91,Common Stock Issued,4912799,3518278,1372195,2001038,1691850,4511000,6470000,1500000,- -,11888336,- -,- -,- -,2640147,- -,13941956,11350676,11339375,363139
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-3751,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661458,-1117531
94,Other Financing Activites,-85454,- -,- -,- -,- -,79518,-1350000,4974343,5710697,3228873,13274816,- -,- -,1969437,8607324,9505501,- -,4653033,23894608
95,Cash Used/Provided by Financing Activities,4827345,3518278,1372195,2001038,1691850,4538687,4904213,6367029,5534394,14977180,13133885,-158210,-159950,4451484,8449378,23246702,11097750,16324445,23140216
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3558177,82487,-2728455,-230511,-231770,690425,-864341,-169489,39636,9754228,6350543,-5827589,-5365566,-1002737,2085525,14042158,-1940307,-628419,9626128
98,Cash at the End of Period,3583757,3666244,937789,707278,475508,1165933,301592,132103,171739,9925967,16276510,10448921,5083355,4080618,6166143,20208301,18267994,17639575,27265703
99,Cash at the Beginning of Period,25580,3583757,3666244,937789,707278,475508,1165933,301592,132103,171739,9925967,16276510,10448921,5083355,4080618,6166143,20208301,18267994,17639575
100,Free Cash Flow,-1269168,-3435791,-4100650,-2236549,-1926666,-3890512,-5808554,-6536518,-5494758,-5222952,-6783342,-5669803,-5206896,-7102264,-6363853,-9204544,-13038057,-16952864,-13514088
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1174940/000114420406011313/v038440_10-ksba.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312507062141/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312508059549/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1174940/000114420409018117/0001144204-09-018117-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000114420410016984/0001144204-10-016984-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312511082222/d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312512163736/d263778d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312513126950/0001193125-13-126950-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312514077374/d649879d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312515070177/d833684d10k.htm,https://www.sec.gov/Archives/edgar/data/1174940/000119312516523810/0001193125-16-523810-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312517058912/0001193125-17-058912-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000119312518048564/0001193125-18-048564-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000156459019010173/0001564590-19-010173-index.html,https://www.sec.gov/Archives/edgar/data/1174940/000149315220003343/0001493152-20-003343-index.htm,https://www.sec.gov/Archives/edgar/data/1174940/000149315221005122/0001493152-21-005122-index.htm,https://www.sec.gov/Archives/edgar/data/1174940/000149315222007664/0001493152-22-007664-index.htm
102,false,,,,,,,,,,,,,,,,,,,
