,https://roic.ai/company/EPM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122272,55054,14214,25728,22580,30256,35991,26211,56855,85654,239150,177418,39401
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21950,65745,69092,73636,70943,81758,110780,116546,110775,102965
14,Depreciation and Amortization,-100000,96308,63115,30000,- -,- -,- -,- -,40000,260124,701264,291150,903214,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5166626
15,EBITDA,-6400000,-3138614,-1714313,-569706,-38730,-294687,-435509,-50954,- -,-1904447,41407405,-2157914,-1753214,-3618457,-3559531,207361,8855002,10723934,5558403,8509714,34302084,12966735,16297295,18975973,3866851,-16152604
16,EBITDA ratio,-12.8000,-2.5726,-2.3035,-2.2412,-38730.0000,-294687.0000,-Infinity,-Infinity,- -,-1.1647,14.4710,-1.1559,-0.4119,-0.5937,-0.7088,0.0275,0.4930,0.5023,0.3145,0.3057,1.3018,0.3760,0.3948,0.4390,0.1306,-0.4939
17,Operating Income,- -,-3410389,-1831872,-691996,-52412,-294705,-435509,-50954,- -,-1788979,-2184460,-4348524,-3510558,-3740729,-3614585,193147,8829274,10701354,5528147,8583697,1665187,12880122,16211641,17636823,3689433,-21358631
18,Operating Income ratio,- -,-2.7953,-2.4615,-2.7223,-52412.0000,-294705.0000,-Infinity,-Infinity,- -,-1.0941,-0.7634,-2.3293,-0.8248,-0.6137,-0.7198,0.0256,0.4916,0.5012,0.3128,0.3083,0.0632,0.3735,0.3927,0.4080,0.1246,-0.6531
19,Total Other Income Expenses (Gains),-100000,175467,- -,85000,13105,- -,-30000,-21,- -,- -,42890601,1899460,854130,122272,55054,14214,3778,-43165,-38836,-147619,32565954,4855,-25126,1222604,66643,-63563
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-465509,-50975,- -,- -,40706141,-2449064,-2656428,-3618457,-3559531,207361,8833052,10658189,5489311,8436078,34231141,12884977,16186515,18859427,3756076,-21422194
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,- -,- -,14.2259,-1.3119,-0.6241,-0.5937,-0.7088,0.0275,0.4918,0.4992,0.3106,0.3030,1.2991,0.3736,0.3921,0.4363,0.1269,-0.6551
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16080000,-638853,-1085454,-1016864,-1171824,448914,3700922,4029761,1891998,3444221,9570779,4840664,-3431969,3482361,-2180996,-4984261
23,Net Income,-6300000,-3234922,-1777428,-599706,-38730,-294687,-465509,-50975,- -,-2164571,24626141,-1810211,-1570974,-2601593,-2387707,-241553,5132130,6628428,3597313,4991857,24660362,8044313,19618484,15377066,5937072,-16437934
24,Net Income ratio,-12.6000,-2.6515,-2.3883,-2.3592,-38730.0000,-294687.0000,-Infinity,-Infinity,- -,-1.3237,8.6063,-0.9696,-0.3691,-0.4268,-0.4755,-0.0321,0.2857,0.3105,0.2035,0.1793,0.9359,0.2333,0.4752,0.3557,0.2006,-0.5027
25,EPS,-5389.22,-2760.00,-1520.00,-520.00,-40.00,-214.40,-3.60,-0.20,- -,-0.09,0.98,-0.07,-0.06,-0.10,-0.09,-0.01,0.16,0.21,0.09,0.13,0.73,0.21,0.59,0.46,0.18,-0.49
26,EPS Diluted,-5389.22,-2760.00,-1520.00,-520.00,-40.00,-214.40,-3.60,-0.20,- -,-0.09,0.96,-0.07,-0.06,-0.10,-0.09,-0.01,0.14,0.19,0.09,0.13,0.73,0.21,0.59,0.46,0.18,-0.49
27,Weighted Average Shares Outstanding,1169,1169,1169,1169,1169,1374,132038,251525,251525,23533922,25031125,26706713,26786270,26366677,27004066,27437496,27784298,28205467,30895832,32817456,32810375,33034480,33126469,33160283,33031149,33263701
28,Weighted Average Shares Outstanding Diluted,1169,1169,1169,1169,1169,1374,132038,251525,251525,23533922,25555992,26706713,26786270,26366677,27004066,27437496,31609929,31975131,32564067,32924018,32861231,33110560,33178535,33169718,33033091,33263701
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1006655/000104746998012405/0001047469-98-012405-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006655/000100665504000002/decreal10k22.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006655/000110465907072116/a07-24767_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1006655/000110465908060039/0001104659-08-060039-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465909056196/0001104659-09-056196-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465910050079/0001104659-10-050079-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465911051508/0001104659-11-051508-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465912063322/0001104659-12-063322-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000104746913009060/0001047469-13-009060-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665514000025/0001006655-14-000025-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665515000038/0001006655-15-000038-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665516000132/epm201610-k.htm,https://www.sec.gov/Archives/edgar/data/1006655/000100665517000036/0001006655-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665518000045/0001006655-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665519000033/0001006655-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665520000015/0001006655-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1006655/000100665521000037/0001006655-21-000037-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,2018539,291697,40986,7620,266,81,- -,367831,2548688,9893547,27746942,11272280,3891764,3138259,4247438,14428548,24928585,23940514,20118757,34077060,23028153,24929844,31552533,19662528,5276510
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2059147,1350000,250000,250000,250000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,500000,2018539,291697,40986,7620,266,81,- -,367831,2548688,9893547,27746942,11272280,5950911,4488259,4497438,14678548,25178585,23940514,20118757,34077060,23028153,24929844,31552533,19662528,5276510
34,Net Receivables,100000,410916,231525,- -,- -,- -,- -,- -,24387,300761,132371,633910,6257852,2760434,1278539,1674356,1532573,1964804,1457212,3122473,2638188,2726702,3941916,3168116,5162484,12211046
35,Inventory,100000,71197,- -,- -,- -,- -,- -,- -,115859,222470,76917,274813,- -,- -,- -,- -,- -,- -,- -,81538,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4800000,52357,40299,2921,895,- -,- -,- -,74067,140639,218524,265853,270938,162441,462553,402518,558668,292687,907077,370280,371202,387672,3275796,458278,491686,620818
37,Total Current Assets,5500000,2553009,563521,43907,8515,266,81,- -,582144,3212558,10321359,28921518,17801070,8873786,6229351,6574312,16769789,27436076,26304803,23693048,37086450,26142527,32147556,35178927,25316698,18108374
38,PP&E,200000,121971,63833,- -,- -,- -,- -,- -,3127086,5033511,3567588,5614425,22208260,28901875,30905059,33516826,40568443,38841249,38246897,45463642,59999112,61830757,61270153,60372884,66647113,58597288
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,536016,101730,88166,93884,74238,53787,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,536016,101730,88166,93884,74238,53787,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108750,108750,108750,108750,108750,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,78350,120356,- -,- -,- -,- -,- -,301835,1219155,35069011,370049,356518,53162,60665,77287,1617254,278971,464052,190021,155009,98468,42201,27045,11888,- -
45,Total Non-Current Assets,400000,200321,184189,- -,- -,- -,- -,- -,3428921,6252666,38636599,5984474,22564778,28955037,30965724,33594113,42185697,39120220,38710949,46189679,60364601,62126141,61514988,60582917,66821538,58597288
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5900000,2753330,747710,43907,8515,266,81,- -,4011065,9465224,48957958,34905992,40365848,37828823,37195075,40168425,58955486,66556296,65015752,69882727,97451051,88268668,93662544,95761844,92138236,76705662
48,Accounts Payable,100000,36117,38733,9688,13026,8867,41591,39090,139188,240389,310272,993894,2892459,690639,678609,514177,407570,642018,441722,8173878,5809107,2101055,3432568,2084140,1471679,5609367
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,200000,250965,776235,6754,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54290,64234
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157736,202334,298594,91967,233548,87575,284917,684684,150062,375338,237037,388167,180955
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,100000,313813,83005,7953,7953,- -,30000,30020,50073,366183,3499486,602664,1278589,547265,609090,1914227,4681347,1990732,2558004,1155379,2719801,617839,997646,668554,2752890,920559
53,Total Current Liabilities,200000,349930,121738,17641,20979,8867,271591,320075,965496,613326,3809758,1596558,4171048,1237904,1287699,2428404,5088917,2632750,2999726,9329257,8528908,2718894,4430214,2752694,4278859,6594160
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2906548,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4020745
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77858,- -,85412,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13101350,338001,2901929,3721317,2949880,3330266,6205093,8418969,9897272,11242551,11840693,15826291,10555435,11322691,11061023,5957202
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,311442,433250,914179,188287,289137,1035150,1480303,859586,1038688,668416,241232,734342,760300,1253628,1387416,1560601,2673872,5538752
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,311442,3339798,14015529,526288,3191066,4834325,4430183,4275264,7243781,9087385,10138504,11976893,12600993,17079919,11942851,12883292,13734895,15516699
59,Other Liabilities,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139268,84979
61,Total Liabilities,300000,349930,121738,17641,20979,8867,271591,320075,1276938,3953124,17825287,2122846,7362114,6072229,5717882,6703668,12332698,11720135,13138230,21306150,21129901,19798813,16373065,15635986,18013754,22110859
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317,317,317,317,317,- -,- -,- -,- -,- -
63,Common Stock,- -,46774,46774,46774,46774,125,10058,276,22945,24774,26300,26776,26870,27318,27849,28400,28670,29410,32615,32845,32907,33087,33080,33183,32956,33515
64,Retained Earnings,-9800000,-13030066,-14807494,-15407200,-15445930,-15740617,-16006126,-16057101,-1364587,-3529158,21096983,20358997,18788023,16186430,13798723,13557170,18058909,24013035,17212213,11696126,29116363,27474811,35498754,37603762,32800080,12020064
65,Other Comprehensive Income/Loss,-200000,- -,- -,- -,- -,- -,-2400,- -,-378136,-595283,-265167,-45826,-702854,-9819465,-4982126,-5545230,-6670409,-8366153,-9640506,-12862685,-17644993,-23267553,-29265988,-35404000,-41059122,- -
66,Other Total Stockholders Equity,15600000,15386692,15386692,15386692,15386692,15731891,15726958,15736750,4453905,9611767,10274555,12443199,14891695,25362311,22632747,25424417,35205301,39159552,44272883,49709974,64816556,64229510,71023633,77892913,82350568,42541224
67,Total Stockholders Equity,5600000,2403400,625972,26266,-12464,-8601,-271510,-320075,2734127,5512100,31132671,32783146,33003734,31756594,31477193,33464757,46622788,54836161,51877522,48576577,76321150,68469855,77289479,80125858,74124482,54594803
68,Total Liabilities And Stockholders Equity,5900000,2753330,747710,43907,8515,266,81,- -,4011065,9465224,48957958,34905992,40365848,37828823,37195075,40168425,58955486,66556296,65015752,69882727,97451051,88268668,93662544,95761844,92138236,76705662
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5900000,2753330,747710,43907,8515,266,81,- -,4011065,9465224,48957958,34905992,40365848,37828823,37195075,40168425,58955486,66556296,65015752,69882727,97451051,88268668,93662544,95761844,92138236,76705662
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1006655/000104746998012405/0001047469-98-012405-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006655/000100665504000002/decreal10k22.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006655/000110465907072116/a07-24767_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1006655/000110465908060039/0001104659-08-060039-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465909056196/0001104659-09-056196-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465910050079/0001104659-10-050079-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465911051508/0001104659-11-051508-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465912063322/0001104659-12-063322-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000104746913009060/0001047469-13-009060-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665514000025/0001006655-14-000025-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665515000038/0001006655-15-000038-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665516000132/epm201610-k.htm,https://www.sec.gov/Archives/edgar/data/1006655/000100665517000036/0001006655-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665518000045/0001006655-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665519000033/0001006655-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665520000015/0001006655-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1006655/000100665521000037/0001006655-21-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6300000,-3234922,-1777428,-599706,-38730,-294687,-465509,-50975,- -,-2164571,24626141,-1810211,-1570974,-2601593,-2387707,-241553,5132130,6628428,3597313,4991857,24660362,8044313,19618484,15377066,5937072,-16437934
74,Depreciation and Amortization,-100000,96308,63115,30000,- -,- -,- -,- -,40000,260124,701264,291150,903214,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5166626
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2563928,819388,-771437,380386,2549592,2512978,1344812,1422489,575235,4090919,-5270856,767256,-261668,-5103821
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2405900,2148400,1536007,1475995,1531745,1352322,943653,1750209,1180618,1366764,888162,1285663,1257684
77,Change in Working Capital,-400000,-3096921,-1761296,-415517,-38730,3863,-262909,-48565,-63277,2982584,3912369,20813359,-13694938,-5994140,-2694230,-795744,7534964,13122454,-1498249,-8941286,14193751,-5133909,4293709,4708891,-11388394,-9523625
78,Accounts Receivable,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216057,-289506,176707,-1666009,- -,- -,- -,- -,- -,- -
79,Inventory,-100000,63656,71197,- -,- -,- -,- -,- -,- -,-106611,145553,-197896,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-100000,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,538057,663645,551452,822730,-1626648,-107081,-90891,-486010,4498801
81,Other Working Capital,5300000,2203079,441783,26266,-12464,-8601,-271510,-320075,-383352,2599232,6511601,27324960,13630022,7635882,4941652,4145908,11680872,24803326,23305077,14363791,28557542,23423633,27717342,32426233,21037839,11514214
82,Other Non-Cash Items,600000,2968676,1806246,509698,30989,83470,525633,46094,-626723,-2155672,-29976978,-33786346,10935734,11325223,6050155,2176020,-6317275,-11862099,3312711,11964062,-10526364,8308916,528476,2316525,16823978,29373895
83,Cash Provided by Operating Activities,-6200000,-3266859,-1669363,-475525,-46471,-207354,-202785,-53446,-650000,-1077535,-737204,-14492048,-863036,5954778,2345181,3055116,10375406,11933506,8108909,10380775,30653193,16490857,20536577,24057900,12396651,4732825
84,CAPEX,-300000,-26343,-4977,- -,- -,- -,- -,- -,-210000,-2066565,-4064056,-574608,-20064336,-10695198,-3797955,-3507795,-7121259,-4918274,-1339136,-5203968,-21102784,-10191220,-3698691,-6757651,-11062545,-18769414
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1918757,31582,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-10200000,-180832,-32979,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1757312,-1350000,- -,- -,- -,- -,- -,- -,-272318,- -,- -,- -,- -
87,Sales/Maturities of Investments,5500000,3395000,1563522,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2059147,- -,- -,- -,250000,- -,3633831,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,58300,-52500,224814,13105,- -,- -,- -,- -,-712058,15886681,34854340,4421052,-33350,-13220,1281760,479172,3447816,27440,-151376,-168228,-10191220,-27128,-11509,- -,- -
89,Cash Used for Investing Activites,-5100000,3246125,1473066,224814,13105,- -,- -,- -,-210000,-2778623,11822625,32360975,-15611702,-12457225,-3102028,-2225171,-6580911,-1470458,-748806,-5042285,-17630298,-10463538,-3717973,-6757651,-11062545,-18769414
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000
91,Common Stock Issued,- -,- -,- -,- -,- -,200000,5000,- -,- -,4729091,999385,125,76,130,42,28,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,1060000,- -,- -,- -,- -,-882022,- -,- -,- -,-137818,-1655251,-333841,-1357185,-8392833,-571083,-156791,-2483357,-7347
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-630391,-674302,-10398135,-10507944,-7240125,-8683425,-11594541,-13272058,-10740754,-4342082
94,Other Financing Activites,11600000,- -,- -,- -,- -,- -,197600,53365,-660000,1307924,-4739947,-15657,- -,3823,3300,279206,7017006,849109,3705212,1681538,9532718,32,- -,- -,- -,7000000
95,Cash Used/Provided by Financing Activities,11600000,- -,- -,- -,- -,200000,202600,53365,400000,6037015,-3740562,-15532,76,-878069,3342,279234,6386615,36989,-8348174,-9160247,935408,-17076226,-12165624,-13428849,-13224111,-349429
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,11600000,-20734,-196297,-250711,-33366,-7354,-185,53365,-460000,2180857,7344859,17853395,-16474662,-7380516,-753505,1109179,10181110,10500037,-988071,-3821757,13958303,-11048907,4652980,3871400,-11890005,-14386018
98,Cash at the End of Period,- -,487994,291697,40986,7620,266,81,- -,-460000,2548688,9893547,27746942,11272280,3891764,3138259,4247438,14428548,24928585,23940514,20118757,34077060,23028153,27681133,31552533,19662528,5276510
99,Cash at the Beginning of Period,100000,508728,487994,291697,40986,7620,266,81,- -,367831,2548688,9893547,27746942,11272280,3891764,3138259,4247438,14428548,24928585,23940514,20118757,34077060,23028153,27681133,31552533,19662528
100,Free Cash Flow,-6500000,-3293202,-1674340,-475525,-46471,-207354,-202785,-53446,-860000,-3144100,-4801260,-15066656,-20927372,-4740420,-1452774,-452679,3254147,7015232,6769773,5176807,9550409,6299637,16837886,17300249,1334106,-14036589
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1006655/000104746998012405/0001047469-98-012405-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006655/000100665504000002/decreal10k22.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1006655/000110465907072116/a07-24767_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1006655/000110465908060039/0001104659-08-060039-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465909056196/0001104659-09-056196-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465910050079/0001104659-10-050079-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465911051508/0001104659-11-051508-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000110465912063322/0001104659-12-063322-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000104746913009060/0001047469-13-009060-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665514000025/0001006655-14-000025-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665515000038/0001006655-15-000038-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665516000132/epm201610-k.htm,https://www.sec.gov/Archives/edgar/data/1006655/000100665517000036/0001006655-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665518000045/0001006655-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665519000033/0001006655-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1006655/000100665520000015/0001006655-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1006655/000100665521000037/0001006655-21-000037-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
