,https://roic.ai/company/LYSCF,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3183876,12352556,7240438,7185572,64036478,244083000,16710000,405245000,433956000,205438000,141371000,38144000,51973000,43348000,63925000,42292000,89710000,101731000,680827000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6526828,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3183876,12352556,13767266,7185572,64036478,244083000,16710000,405245000,433956000,205438000,141371000,38144000,51973000,43348000,63925000,42292000,89710000,101731000,680827000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128101,356161,164000,266042,3001984,2546000,2349000,1052000,4566000,2470000,1765000,9586000,6032000,3065000,4518000,12365000,12873000,5380000,23890000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11569000,52419000,78380000,64427000,59511000,53643000,37448000,51658000,58332000,68132000,62888000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148246,2716,19599,67609,90748,804000,898000,801000,1182000,- -,3995000,3889000,3146000,2140000,2944000,2358000,1976000,3819000,6442000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3460223,12711433,13950865,7519223,67129210,247433000,19957000,407098000,451273000,260327000,225511000,116046000,120662000,102196000,108835000,108673000,162891000,179062000,774047000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14414068,16132841,8308098,18022980,25095934,66350000,176968000,201935000,390357000,732945000,927989000,715932000,704137000,656271000,580399000,613141000,659393000,681908000,635644000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620000,15000,315000,346000,321000,431000,350000,207000,100000,17000,- -,- -,540000,405000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620000,15000,315000,346000,321000,431000,350000,207000,100000,17000,- -,- -,540000,405000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7670021,- -,- -,- -,- -,- -,3330000,13383000,16792000,19198000,11042000,18163000,28259000,26616000,38708000,51816000,65147000,63060000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71527,- -,- -,430420,- -,33584000,21009000,27985000,18674000,13272000,14555000,8976000,2329000,219000,515000,4109000,4705000,9468000,4434000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14485595,23802862,8308098,18453400,25095934,100554000,197992000,233565000,422760000,763330000,962173000,736300000,724836000,684849000,607547000,655958000,715914000,757063000,703543000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17945818,36514295,22258963,25972623,92225144,347987000,217949000,640663000,874033000,1023657000,1187684000,852346000,845498000,787045000,716382000,764631000,878805000,936125000,1477590000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491799,397528,129282,308261,5098556,12266000,7730000,12354000,27268000,21521000,- -,14216000,57841000,32770000,44286000,35012000,37029000,13180000,11077000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57443,179071,4947482,- -,- -,- -,- -,- -,- -,10949000,122094000,267799000,26878000,19516000,- -,29308000,35374000,22624000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5420000,- -,- -,1178000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,598591,686370,335967,6182181,668323,624000,6349000,5651000,3625000,31373000,53685000,34503000,2415000,52318000,36974000,3003000,2595000,46544000,74040000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2090390,1141341,644320,11437924,5766879,12890000,14079000,18005000,30893000,52894000,70054000,170813000,328055000,113144000,100776000,38015000,68932000,95098000,107741000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3227828,7750000,5000000,- -,- -,77176000,- -,- -,212364000,403062000,447068000,322858000,279629000,535686000,439928000,225112000,163673000,166585000,152341000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447406,364076,352265,220335,369782,36658000,5832000,3515000,4009000,4207000,41854000,56635000,54583000,67005000,84277000,67026000,113852000,156061000,134088000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3675234,8114076,5352265,220335,369782,113834000,5832000,3515000,216373000,407269000,488922000,379493000,334212000,602691000,524205000,292138000,277525000,322646000,286429000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5765624,9255417,5996585,11658259,6136661,126724000,19911000,21520000,247266000,460163000,558976000,550306000,662267000,715835000,624981000,330153000,346457000,417744000,394170000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29062415,48563869,51713869,53840034,131938908,285624000,288314000,719857000,821994000,823161000,994645000,1034634000,1083898000,1088469000,1094403000,1395417000,1398264000,1424847000,1859598000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16882221,-21304991,-35451491,-40274292,-46474951,-67957000,-97239000,-140280000,-199366000,-287136000,-430691000,-776179000,-894864000,-988946000,-1003822000,-936361000,-856331000,-872677000,-715594000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216154,624526,3596000,6963000,39566000,4139000,27469000,64754000,43585000,-5803000,-28313000,820000,-24578000,-9585000,-33789000,-60584000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12180194,27258878,16262378,14314364,86088483,221263000,198038000,619143000,626767000,563494000,628708000,302040000,183231000,71210000,91401000,434478000,532348000,518381000,1083420000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17945818,36514295,22258963,25972623,92225144,347987000,217949000,640663000,874033000,1023657000,1187684000,852346000,845498000,787045000,716382000,764631000,878805000,936125000,1477590000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17945818,36514295,22258963,25972623,92225144,347987000,217949000,640663000,874033000,1023657000,1187684000,852346000,845498000,787045000,716382000,764631000,878805000,936125000,1477590000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1415000,-297000,-347000,-131000,-163000,151000,621000,1863307,-4460629,-10596838,-3024126,2669265,-3604214,-1146647,-5086838,-4422770,-14146500,-4502061,-6200659,-21481000,-29282000,-43041000,-59086000,-87770000,-143555000,-345488000,-118685000,-94082000,-14876000,53119000,80030000,-19395000,157083000
74,Depreciation and Amortization,7000,5000,9000,6000,6000,23000,913000,2584480,7175506,- -,- -,- -,2872107,353738,192136,127629,122565,105037,150012,294000,639000,1158000,1220000,7250000,18635000,37030000,39111000,41806000,48158000,47804000,44305000,66018000,65784000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,1408000,292000,338000,23000,16000,343000,2197000,5216559,1632076,10596838,3024126,-2669265,3801257,-3398759,4894702,-813988,8382796,-218116,3082391,-4237000,1104000,32994000,23789000,-6393000,18678000,205250000,47627000,56423000,711000,-100923000,-124335000,-46623000,-222867000
83,Cash Provided by Operating Activities,- -,- -,- -,-102000,-141000,517000,3731000,9664346,4346953,- -,- -,- -,3069150,-4191668,- -,-5109129,-5641139,-4615140,-2968256,-25424000,-27539000,-8889000,-34077000,-86913000,-106242000,-103208000,-31947000,4147000,33993000,- -,- -,- -,- -
84,CAPEX,- -,- -,- -,-125000,-493000,-3813000,-15407000,-3212655,-3704620,-3935724,-5750018,-2076051,-4748071,-2955839,-2093982,-2045724,-66950,-4093189,-5024297,-38953000,-106537000,-35958000,-196703000,-348917000,-114596000,-24221000,-10023000,-10667000,-2276000,-24220000,-32279000,-12089000,-40444000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-702977,-22758,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-703000,-22758,- -,- -,-10000,- -,- -,-7670021,- -,- -,-2581267,- -,- -,- -,-1769000,-749000,- -,- -,- -,- -,-6830000,-1575000,-77000,-39000,-100338000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,20000,- -,100753,- -,214350,171579,- -,- -,- -,- -,- -,6526828,- -,- -,- -,- -,- -,- -,- -,2703000,385000,- -,2193000,267000,14000,6000,19000
88,Other Investing Activites,- -,- -,- -,-75000,-483000,-3418000,-2303000,-2810019,-1217554,-3673613,-5354331,-1938972,-4602026,189087,-2050591,-1585451,195971,-3377236,-2202257,-3939000,-518000,-1304000,-498000,-9544000,-2896000,5944000,-6000,392000,- -,-29139000,-8289000,-9644000,2505000
89,Cash Used for Investing Activites,- -,- -,- -,-75000,-491000,-3790000,-15495000,-3172093,-4244189,-3957741,-5311868,-1935393,-4734774,-266752,-1568982,-9652450,129021,2434109,-6938402,-38953000,-104927000,-35958000,-198472000,-349666000,-114247000,-8594000,-9638000,-10275000,-6913000,-54667000,-40631000,-21766000,-138258000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-2500000,-5500000,- -,- -,-2245910,-5542513,-529061,-182315,-500000,- -,-2750000,- -,-11207150,- -,- -,- -,- -,- -,- -,-11270000,-11371000,-2767000,-3950000,-65542000,-6973000,- -,- -
91,Common Stock Issued,- -,- -,- -,380000,480000,4974000,8025000,51000,- -,500000,536055,4555871,4768972,400,6450000,13930259,3150000,2126165,78098874,257356000,- -,450089000,101623000,1167000,175226000,42095000,82977000,102000,5934000,6506000,- -,11628000,425324000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35760,-319507,- -,- -,- -,- -,- -,- -,-18546000,-1851000,- -,-5350000,-2106000,-5062000,- -,- -,- -,- -,- -,-11458000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-154000,7771000,-216404,- -,500000,7328040,- -,- -,- -,3500000,10000000,- -,- -,- -,-12901000,4924000,- -,-23181000,205022000,-14757000,-20503000,-14690000,7000,-4953000,-26587000,-9840000,-9632000,-8275000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,380000,480000,4820000,13296000,-5665404,- -,1000000,5618185,-986642,4239911,-217675,9130493,23930259,400000,2126165,66891724,244455000,4924000,431543000,76591000,206189000,155119000,8216000,51854000,-2658000,-2969000,-85623000,-16813000,1996000,405591000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134162,-31000,-1228000,1839000,-50876000,1872000,1303000,359000,3560000,161000,-3534000,177000,749000,-280000,-3302000
97,Net Change In Cash,- -,- -,- -,203000,-152000,1547000,1532000,826848,102765,-3598740,-79422,3262049,2574287,-4676095,1435014,9168680,-5112118,-54866,56850905,180047000,-128770000,388535000,-206834000,-228518000,-64067000,-103227000,13829000,-8625000,20577000,-21633000,47418000,12021000,479096000
98,Cash at the End of Period,- -,- -,- -,410000,258000,1805000,3337000,4164018,4266783,668043,588621,3850670,6424957,1748862,3183876,12352556,7240438,7185572,64036478,244083000,16710000,405245000,198411000,205438000,141371000,38144000,51973000,43348000,63925000,42292000,89710000,101731000,580827000
99,Cash at the Beginning of Period,- -,- -,- -,207000,410000,258000,1805000,3337170,4164018,4266783,668043,588621,3850670,6424957,1748862,3183876,12352556,7240438,7185573,64036000,145480000,16710000,405245000,433956000,205438000,141371000,38144000,51973000,43348000,63925000,42292000,89710000,101731000
100,Free Cash Flow,- -,- -,- -,-227000,-634000,-3296000,-11676000,6451690,642334,-4576723,-6135757,4108033,-1678921,-7147507,-8220479,-7154853,-5708089,-8708329,-7992553,-64377000,-134076000,-44847000,-230780000,-435830000,-220838000,-127429000,-41970000,-6520000,31717000,94260000,71834000,19982000,174621000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.7564,0.7933,0.7668,0.7483,0.6658,0.7274,0.7095,0.788,0.754,0.6208,0.6683,0.5967,0.5114,0.5635,0.6737,0.6985,0.7625,0.7423,0.8488,0.9579,0.8069,0.84,1.0717,1.0233,0.9136,0.943,0.7704,0.745,0.7686,0.7402,0.702,0.6902,0.7498
