,https://roic.ai/company/TGLS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,0.0699,0.1692,0.1461,0.0332,0.1287,0.0366,0.0390,0.0863,0.0992,0.1951
22,Income Tax expense (Gain),- -,- -,3223000,8696000,8538000,20691000,16072000,5793000,5976000,12928000,13001000,28485000
23,Net Income,- -,- -,5892000,22312000,20318000,-12765000,23180000,5449000,9031000,24535000,24210000,68151000
24,Net Income ratio,- -,- -,0.0452,0.1217,0.1029,-0.0534,0.0760,0.0173,0.0243,0.0569,0.0646,0.1372
25,EPS,- -,- -,0.29,1.08,0.83,-0.06,0.80,0.16,0.23,0.55,0.52,1.43
26,EPS Diluted,- -,- -,0.29,1.08,0.73,-0.06,0.77,0.16,0.22,0.55,0.52,1.43
27,Weighted Average Shares Outstanding,- -,- -,20567141,20677067,24347620,25447564,29231054,34822313,37511851,44464097,46398428,47674773
28,Weighted Average Shares Outstanding Diluted,- -,- -,20567141,20714275,27737679,27949642,30253068,35321393,38062635,44464097,46398428,47674773
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1534675/000114420415023016/0001144204-15-023016-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000114420416105670/0001144204-16-105670-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315217002342/0001493152-17-002342-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315218003346/0001493152-18-003346-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315219003046/0001493152-19-003046-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315220003520/0001493152-20-003520-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315221005578/0001493152-21-005578-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315222006996/0001493152-22-006996-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2135000,2866000,15930000,18496000,26918000,40923000,33040000,47862000,66899000,85011000
32,Short-Term Investments,- -,- -,2675000,1353000,1209000,1470000,1537000,1680000,1163000,2304000,2387000,1977000
33,Cash and Short-Term Investments,- -,- -,4810000,4219000,17139000,19966000,28455000,42603000,34203000,50166000,69286000,86988000
34,Net Receivables,- -,- -,54146000,120911000,85118000,91618000,111122000,130210000,148566000,162775000,125577000,131458000
35,Inventory,- -,- -,21559000,24181000,28965000,46011000,55092000,71656000,91849000,82714000,80742000,84975000
36,Other Current Assets,- -,- -,7929000,11259000,10274000,9784000,16067000,17429000,18781000,27194000,11198000,22854000
37,Total Current Assets,- -,- -,88444000,160570000,141496000,167379000,210736000,261898000,293399000,322849000,286803000,326275000
38,PP&E,- -,- -,63032000,87382000,103980000,135974000,170797000,168701000,149199000,154609000,152266000,166629000
39,Goodwill,- -,- -,- -,- -,- -,1330000,1330000,23130000,23561000,23561000,23561000,23561000
40,Intangible Assets,- -,- -,- -,- -,- -,1920000,4555000,11517000,9006000,6703000,5112000,3337000
41,Intangible Assets,- -,- -,- -,- -,- -,3250000,5885000,34647000,32567000,30264000,28673000,26898000
42,Investments,- -,- -,1198000,- -,- -,4944000,500000,500000,500000,46096000,47535000,51160000
43,Tax Assets,- -,- -,- -,- -,- -,640000,- -,103000,4770000,4595000,268000,596000
44,Other Non-Current Assets,- -,- -,1344000,262000,10415000,4012000,6812000,2151000,9339000,11255000,16480000,20005000
45,Total Non-Current Assets,- -,- -,65574000,87644000,114395000,148820000,183994000,206102000,196375000,246819000,245222000,265288000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,154018000,248214000,255891000,316199000,394730000,468000000,489774000,569668000,532025000,591563000
48,Accounts Payable,- -,- -,19189000,37682000,33493000,39142000,42546000,55182000,65510000,61878000,42178000,68084000
49,Short-Term Debt,- -,- -,7125000,29800000,55005000,17000000,2651000,3260000,21606000,16084000,1764000,10700000
50,Tax Payable,- -,- -,4063000,4847000,7930000,18228000,16845000,12076000,7154000,- -,- -,- -
51,Deferred Revenue,- -,- -,17867000,28470000,5782000,11841000,7780000,11429000,16789000,12459000,24694000,45213000
52,Other Current Liabilities,- -,- -,12420000,12545000,18756000,68766000,25409000,51578000,18690000,38590000,22907000,31018000
53,Total Current Liabilities,- -,- -,56601000,108497000,113036000,136749000,78386000,121449000,122595000,129011000,91543000,155015000
54,Long-Term Debt,- -,- -,50130000,48097000,39273000,121493000,196946000,220998000,221309000,243727000,222722000,188355000
55,Deferred Revenue,- -,- -,- -,8220000,8333000,4404000,2310000,1571000,1436000,187000,977000,78000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,3523000,2317000,2706000,411000,3170000,3417000
57,Other Non-Current Liabilities,- -,- -,- -,18280000,19991000,20414000,- -,- -,8500000,9122000,645000,- -
58,Total Non-Current Liabilities,- -,- -,50130000,74597000,67597000,146311000,202779000,224886000,233951000,253447000,227514000,191850000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,106731000,183094000,180633000,283060000,281165000,346335000,356546000,382458000,319057000,346865000
62,Preferred Stock,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,2000,- -,3000,3000,3000,4000,5000,5000,5000
64,Retained Earnings,- -,- -,-3824000,18488000,38806000,17354000,26548000,22212000,10439000,16213000,34326000,91045000
65,Other Comprehensive Income/Loss,- -,- -,6890000,5937000,-10064000,-29802000,-27833000,-27284000,-35691000,-37897000,-41239000,-66478000
66,Other Total Stockholders Equity,- -,- -,44219000,40693000,- -,45584000,114847000,125317000,157604000,208283000,219290000,219290000
67,Total Stockholders Equity,- -,- -,47287000,65120000,75258000,33139000,113565000,120248000,132356000,186604000,212382000,243862000
68,Total Liabilities And Stockholders Equity,- -,- -,154018000,248214000,255891000,316199000,394730000,466583000,488902000,569062000,531439000,590727000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1417000,872000,606000,586000,836000
70,Total Liabilities & Equity,- -,- -,154018000,248214000,255891000,316199000,394730000,468000000,489774000,569668000,532025000,591563000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1534675/000114420415023016/0001144204-15-023016-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000114420416105670/0001144204-16-105670-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315217002342/0001493152-17-002342-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315218003346/0001493152-18-003346-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315219003046/0001493152-19-003046-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315220003520/0001493152-20-003520-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315221005578/0001493152-21-005578-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315222006996/0001493152-22-006996-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,- -,5892000,22312000,20318000,-12765000,23180000,5449000,9031000,24535000,24210000,68151000
74,Depreciation and Amortization,- -,- -,7668000,7238000,8542000,11869000,15522000,20969000,23157000,22735000,20590000,20923000
75,Deferred Income Tax,- -,- -,496000,4513000,-915000,-119000,-247000,-6137000,-3289000,-2698000,6581000,4400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,300000,284000,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-21622000,52080525,-23613000,2170000,101720000,8099000,30355000,23034000,1422000,8242000
78,Accounts Receivable,- -,- -,- -,-20891000,- -,-22376000,-25979000,2497000,-23700000,-19615000,4557000,-38515000
79,Inventory,- -,- -,-5229000,-6143000,-10696000,-27820000,-4305000,-16447000,-28064000,8419000,-2121000,-16747000
80,Accounts Payable,- -,- -,2677000,-11216000,11846000,15734000,1574000,13055000,34588000,-2396000,-20943000,38001000
81,Other Working Capital,- -,- -,31843000,52073000,28460000,30630000,132350000,140449000,170804000,193838000,195260000,34799000
82,Other Non-Cash Items,- -,- -,283000,-75409525,-9142000,-363000,-143560000,-14455000,-64285000,-40867000,18631000,15537000
83,Cash Provided by Operating Activities,- -,- -,-7283000,10734000,-4810000,792000,-3085000,14209000,-5031000,26739000,71434000,117253000
84,CAPEX,- -,- -,-25938000,-20001000,-24848000,-14901000,-22906000,-7027000,-13117000,-24952000,-18323000,-51513000
85,Acquisitions Net,- -,- -,- -,3000,- -,- -,- -,-7873000,-6000000,-34100000,- -,- -
86,Purchases of Investments,- -,- -,-1278000,-107000,400000,-877000,-26975000,-600000,-1184000,-1684000,-218000,-63000
87,Sales/Maturities of Investments,- -,- -,3451000,3222000,1225000,1913000,24486000,571000,1575000,1583000,471000,685000
88,Other Investing Activites,- -,- -,13793000,-3746000,6842000,4470000,686000,- -,- -,- -,6000,130000
89,Cash Used for Investing Activites,- -,- -,-9972000,-20629000,-16381000,-9395000,-24709000,-14929000,-18726000,-59153000,-18064000,-50761000
90,Debt Repayment,- -,- -,-48590000,-12865000,-77924000,-102356000,-163126000,-205330000,-8860000,-29507000,-64694000,-258407000
91,Common Stock Issued,- -,- -,- -,- -,1000000,- -,- -,- -,- -,36478000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-3004000,-2471000,-2714000,-5227000,-3801000,-5243000
94,Other Financing Activites,- -,- -,57767000,21237000,110449000,112805000,197672000,222562000,28600000,45527000,34959000,219861000
95,Cash Used/Provided by Financing Activities,- -,- -,9177000,8372000,33525000,10449000,31542000,14761000,17026000,47271000,-33536000,-43789000
96,Effect of Forex Changes on Cash,- -,- -,5650000,2254000,730000,720000,499000,-36000,-1152000,-35000,-797000,-5360000
97,Net Change In Cash,- -,- -,-2428000,731000,13064000,2566000,4247000,14005000,-7883000,14822000,19037000,17343000
98,Cash at the End of Period,- -,- -,2135000,2866000,15930000,18496000,26918000,40923000,33040000,47862000,66899000,85011000
99,Cash at the Beginning of Period,- -,- -,4563000,2135000,2866000,15930000,22671000,26918000,40923000,33040000,47862000,67668000
100,Free Cash Flow,- -,- -,-33221000,-9267000,-29658000,-14109000,-25991000,7182000,-18148000,1787000,53111000,65740000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1534675/000114420415023016/0001144204-15-023016-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000114420416105670/0001144204-16-105670-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315217002342/0001493152-17-002342-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315218003346/0001493152-18-003346-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315219003046/0001493152-19-003046-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315220003520/0001493152-20-003520-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315221005578/0001493152-21-005578-index.htm,https://www.sec.gov/Archives/edgar/data/1534675/000149315222006996/0001493152-22-006996-index.htm
102,false,,,,,,,,,,,,
