,https://roic.ai/company/SPLK,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1353283/000104746913003746/0001047469-13-003746-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328314000007/0001353283-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328315000006/a01311510k.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328316000033/0001353283-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328317000008/0001353283-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328318000004/0001353283-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328319000005/0001353283-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328320000008/0001353283-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328321000009/0001353283-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328322000011/0001353283-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23400000,9600000,11805000,19737000,31599000,305939000,897453000,387315000,424541000,421346000,545947000,1876165000,778653000,1771064000,1428691000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,462849000,584498000,662096000,619203000,881220000,976508000,87847000,286337000
33,Cash and Short-Term Investments,- -,23400000,9600000,11805000,19737000,31599000,305939000,897453000,850164000,1009039000,1083442000,1165150000,2757385000,1755161000,1858911000,1715028000
34,Net Receivables,- -,- -,- -,6590000,14148000,34495000,63948000,83348000,128413000,181665000,238281000,391799000,469658000,838743000,1114199000,1306666000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,920000,1307000,4261000,6861000,12019000,21256000,26565000,38650000,70021000,151420000,228911000,299270000,255193000
37,Total Current Assets,- -,- -,- -,19315000,35192000,70355000,376748000,992820000,999833000,1217269000,1360373000,1626970000,3378463000,2822815000,3272380000,3276887000
38,PP&E,- -,- -,- -,1762000,2418000,8919000,13205000,15505000,50374000,134995000,166395000,160880000,158276000,424014000,539076000,354098000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,19070000,19070000,123318000,124642000,161382000,503388000,1292840000,1334888000,1401628000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,12294000,10416000,49482000,37713000,48142000,91622000,238415000,206153000,164769000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,31364000,29486000,172800000,162355000,209524000,595010000,1531255000,1541041000,1566397000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,165082000,1500000,5000000,5375000,110588000,35370000,13728000,46431000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,838000,1181000,2949000,492000,642000,3016000,10275000,24423000,41711000,257906000,626017000,502261000,547062000
45,Total Non-Current Assets,- -,- -,- -,2600000,3599000,11868000,13697000,47511000,247958000,319570000,358173000,417490000,1121780000,2616656000,2596106000,2513988000
46,Other Assets,- -,26600000,18500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,26600000,18500000,21915000,38791000,82223000,390445000,1040331000,1247791000,1536839000,1718546000,2044460000,4500243000,5439471000,5868486000,5790875000
48,Accounts Payable,- -,- -,- -,837000,1442000,1455000,1632000,2079000,3726000,4868000,7503000,11040000,20418000,18938000,9319000,59206000
49,Short-Term Debt,- -,- -,- -,- -,- -,982000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,10640000,19500000,42923000,79568000,149156000,249883000,347121000,478707000,635253000,673018000,829377000,1030484000,1384605000
52,Other Current Liabilities,- -,- -,- -,3900000,10181000,23853000,35759000,56619000,93039000,145777000,181163000,222525000,351702000,463981000,484945000,654931000
53,Total Current Liabilities,- -,- -,- -,15377000,31123000,69213000,116959000,207854000,346648000,497766000,667373000,868818000,1045138000,1312296000,1524748000,2098742000
54,Long-Term Debt,- -,- -,- -,- -,- -,1307000,- -,- -,- -,- -,- -,- -,1634474000,1714630000,2633605000,3363287000
55,Deferred Revenue,- -,- -,- -,677000,2807000,9742000,35144000,43165000,54202000,102382000,146752000,269954000,204929000,176832000,110418000,86584000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,600000,41107000,41364000,561000,798000,4404000,33620000,77277000,99260000,98383000,95245000,236284000,5710000,19491000
58,Total Non-Current Liabilities,- -,- -,- -,41784000,44171000,11610000,35942000,47569000,87822000,179659000,246012000,368337000,1934648000,2127746000,2749733000,3469362000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,348000,173000,- -,- -,- -,- -,- -,- -,- -,- -,235631000,330970000,- -
61,Total Liabilities,- -,- -,- -,57161000,75294000,80823000,152901000,255423000,434470000,677425000,913385000,1237155000,2979786000,3440042000,4274481000,5568104000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,17000,19000,80000,101000,116000,123000,132000,137000,143000,149000,157000,163000,167000
64,Retained Earnings,- -,- -,- -,-39220000,-43026000,-54018000,-90699000,-169707000,-386823000,-665595000,-1020784000,-1279887000,-1232044000,-1561471000,-2469451000,-3808548000
65,Other Comprehensive Income/Loss,- -,-33400000,-61600000,-2603000,-3559000,-5660000,-9715000,-17438000,-1000000,-4000000,-3000000,-76265000,-3000000,-5000000,-592000,-1199000
66,Other Total Stockholders Equity,- -,16700000,30800000,6560000,10063000,60998000,337857000,971937000,1201021000,1528877000,1828808000,2163314000,2755352000,3565743000,4063885000,4032351000
67,Total Stockholders Equity,- -,-16700000,-30800000,-35246000,-36503000,1400000,237544000,784908000,813321000,859414000,805161000,807305000,1520457000,1999429000,1594005000,222771000
68,Total Liabilities And Stockholders Equity,- -,-16700000,-30800000,21915000,38791000,82223000,390445000,1040331000,1247791000,1536839000,1718546000,2044460000,4500243000,5439471000,5868486000,5790875000
69,Minority Interest,- -,43300000,49300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,26600000,18500000,21915000,38791000,82223000,390445000,1040331000,1247791000,1536839000,1718546000,2044460000,4500243000,5439471000,5868486000,5790875000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1353283/000104746913003746/0001047469-13-003746-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328314000007/0001353283-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328315000006/a01311510k.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328316000033/0001353283-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328317000008/0001353283-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328318000004/0001353283-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328319000005/0001353283-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328320000008/0001353283-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328321000009/0001353283-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328322000011/0001353283-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-14800000,-7451000,-3806000,-10992000,-36681000,-79008000,-217116000,-278772000,-355189000,-259103000,-275577000,-336668000,-907980000,-1339097000
74,Depreciation and Amortization,- -,- -,800000,938000,958000,2120000,4674000,6692000,12494000,19491000,34852000,40941000,52430000,67661000,93666000,99145000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-1374000,-327000,-11140000,-326000,-4822000,-4064000,-6120000,-3590000,-579000
76,Stock Based Compensation,- -,- -,- -,1300000,1585000,3760000,19480000,69368000,214179000,292257000,378041000,358463000,441930000,545424000,618655000,794818000
77,Change in Working Capital,- -,- -,1300000,3938000,131000,-2927000,258647000,525177000,-131781000,66318000,-26503000,65152000,1575173000,-822806000,237113000,-569487000
78,Accounts Receivable,- -,- -,- -,-2160000,-8002000,-20594000,-29453000,-19400000,-45065000,-53252000,-56616000,-153518000,-65469000,-679891000,-153724000,-87491000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,462000,535000,55000,187000,171000,1766000,965000,2720000,3409000,9240000,-5441000,-9082000,33115000
81,Other Working Capital,- -,- -,- -,3938000,4069000,1142000,259789000,784966000,653185000,719503000,693000000,758152000,2333325000,1510519000,1747632000,1178145000
82,Other Non-Cash Items,- -,- -,1500000,2172000,9511000,22661000,-199472000,-447007000,226531000,67468000,170959000,62273000,-1493438000,264873000,-228726000,1143248000
83,Cash Provided by Operating Activities,- -,- -,-11200000,897000,8379000,14622000,46648000,73848000,103980000,155622000,201834000,262904000,296454000,-287636000,-190862000,128048000
84,CAPEX,- -,- -,-2200000,-359000,-1471000,-8180000,-9077000,-9308000,-13950000,-51332000,-45349000,-20503000,-23160000,-103708000,-51709000,-8576000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-29738000,-2500000,-142693000,- -,-59350000,-394910000,-594870000,-56383000,-80333000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-820710000,-480610000,-683787000,-645762000,-1109852000,-1086317000,-87135000,-388741000
87,Sales/Maturities of Investments,- -,- -,- -,4877000,- -,- -,- -,- -,192000000,522645000,605175000,687485000,754138000,1080812000,995878000,178124000
88,Other Investing Activites,- -,- -,4500000,201000,161000,128000,514000,- -,- -,-1500000,-3500000,-375000,-5494000,-6487000,-18063000,-43587000
89,Cash Used for Investing Activites,- -,- -,2300000,4719000,-1310000,-8052000,-8563000,-39046000,-645160000,-153490000,-127461000,-38505000,-779278000,-707981000,797190000,-333752000
90,Debt Repayment,- -,- -,- -,- -,- -,-884000,-2289000,- -,-523000,- -,- -,-1808000,-2522000,- -,-668929000,-200957000
91,Common Stock Issued,- -,- -,- -,1492000,930000,1987000,225225000,539339000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,500000,-39000,-67000,4189000,13299000,17360000,32133000,35485000,-77862000,-99611000,1815947000,-100234000,1051811000,1064288000
95,Cash Used/Provided by Financing Activities,- -,- -,600000,1453000,863000,5292000,236235000,556699000,31610000,35485000,-77862000,-101419000,1813425000,-100234000,382882000,-136669000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,20000,13000,-568000,-391000,294000,1621000,-383000,-1661000,3201000,- -
97,Net Change In Cash,- -,- -,-8400000,7069000,7932000,11862000,274340000,591514000,-510138000,37226000,-3195000,124601000,1330218000,-1097512000,992411000,-342373000
98,Cash at the End of Period,- -,- -,15000000,11805000,19737000,31599000,305939000,897453000,387315000,424541000,421346000,545947000,1876165000,778653000,1771064000,1428691000
99,Cash at the Beginning of Period,- -,- -,23400000,4736000,11805000,19737000,31599000,305939000,897453000,387315000,424541000,421346000,545947000,1876165000,778653000,1771064000
100,Free Cash Flow,- -,- -,-13400000,538000,6908000,6442000,37571000,64540000,90030000,104290000,156485000,242401000,273294000,-391344000,-242571000,119472000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1353283/000104746913003746/0001047469-13-003746-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328314000007/0001353283-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328315000006/a01311510k.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328316000033/0001353283-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328317000008/0001353283-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328318000004/0001353283-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328319000005/0001353283-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328320000008/0001353283-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1353283/000135328321000009/0001353283-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1353283/000135328322000011/0001353283-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,
