,https://roic.ai/company/QLYS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2187000,3774000,4377000,4679000,15048000,7945000,9808000,16524000,13974000,18692000,19142000,32112000
37,Total Current Assets,- -,31489000,49072000,147354000,130456000,175259000,229236000,300688000,369350000,378965000,395616000,475345000,546398000
38,PP&E,- -,8210000,13861000,18148000,23075000,26618000,31329000,39401000,58557000,61442000,101130000,109688000,98870000
39,Goodwill,- -,317000,317000,317000,317000,317000,317000,317000,1549000,7225000,7447000,7447000,7447000
40,Intangible Assets,- -,3580000,3175000,2811000,2394000,2001000,1360000,987000,12401000,21976000,16795000,12006000,6545000
41,Intangible Assets,- -,3897000,3492000,3128000,2711000,2318000,1677000,1304000,13950000,29201000,24242000,19453000,13992000
42,Investments,- -,- -,- -,- -,35608000,39448000,43277000,45725000,67224000,79210000,119508000,98458000,111198000
43,Tax Assets,- -,- -,- -,- -,- -,14119000,16079000,16590000,25066000,26387000,18830000,15811000,25087000
44,Other Non-Current Assets,- -,764000,2364000,1688000,753000,2262000,1916000,3296000,3378000,10475000,16282000,18064000,19014000
45,Total Non-Current Assets,- -,12871000,19717000,22964000,62147000,84765000,94278000,106316000,168175000,206715000,279992000,261474000,268161000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,44360000,68789000,170318000,192603000,260024000,323514000,407004000,537525000,585680000,675608000,736819000,814559000
48,Accounts Payable,- -,1010000,2254000,2031000,1930000,5661000,2368000,2051000,1144000,5588000,848000,731000,1296000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11672000,12608000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,37811000,46717000,56497000,67505000,81147000,98025000,114964000,143186000,164624000,192172000,213494000,257872000
52,Other Current Liabilities,- -,5885000,10455000,8986000,9842000,10353000,11786000,13317000,21444000,26695000,30447000,29833000,32504000
53,Total Current Liabilities,- -,44706000,59426000,67514000,79277000,97161000,112179000,130332000,165774000,196907000,223467000,255730000,304280000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45700000,35914000
55,Deferred Revenue,- -,1734000,4713000,8616000,8889000,10064000,14564000,15528000,17136000,20423000,20935000,30540000,32753000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,67321000,69074000,2633000,1320000,972000,1205000,2731000,11071000,10361000,44403000,367000,4898000
58,Total Non-Current Liabilities,- -,69055000,73787000,11249000,10209000,11036000,15769000,18259000,28207000,30784000,65338000,76607000,73565000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,3053000,4393000,1991000,805000,- -,- -,- -,- -,1565000,51678000,57372000,48522000
61,Total Liabilities,- -,113761000,133213000,78763000,89486000,108197000,127948000,148591000,193981000,227691000,288805000,332337000,377845000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5000,5000,31000,32000,34000,34000,36000,39000,39000,39000,39000,39000
64,Retained Earnings,- -,-78326000,-76372000,-74092000,-72468000,-43350000,-27485000,-8261000,39924000,27964000,23194000,3568000,-41655000
65,Other Comprehensive Income/Loss,- -,-16037000,-20484000,-1000000,-34852000,-45271000,-58145000,-59505000,-1000000,-1000000,1000000,-484000,1007000
66,Other Total Stockholders Equity,- -,24957000,32427000,166616000,210405000,240414000,281162000,326143000,304581000,330986000,362570000,401359000,477323000
67,Total Stockholders Equity,- -,-69401000,-64424000,91555000,103117000,151827000,195566000,258413000,343544000,357989000,386803000,404482000,436714000
68,Total Liabilities And Stockholders Equity,- -,44360000,68789000,170318000,192603000,260024000,323514000,407004000,537525000,585680000,675608000,736819000,814559000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,44360000,68789000,170318000,192603000,260024000,323514000,407004000,537525000,585680000,675608000,736819000,814559000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1107843/000110784313000003/0001107843-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784314000004/0001107843-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784315000003/0001107843-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784316000022/0001107843-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784317000003/0001107843-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784318000003/0001107843-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000162828019002099/0001628280-19-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000162828020001963/0001628280-20-001963-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000143774921003648/0001437749-21-003648-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000143774922004075/0001437749-22-004075-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,859000,847000,1954000,2280000,1624000,30244000,15865000,19224000,40440000,57304000,69336000,91572000,70960000
74,Depreciation and Amortization,3923000,4569000,5373000,7341000,9612000,11897000,14360000,16994000,20636000,28904000,31201000,32845000,35897000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-22599000,6564000,-440000,-10414000,-2521000,7095000,3512000,-9723000
76,Stock Based Compensation,1120000,1870000,2147000,3452000,5506000,10549000,17494000,20149000,26961000,30090000,34892000,40035000,67579000
77,Change in Working Capital,1448000,-18378000,2863000,90194000,-28661000,26919000,38959000,53299000,33220000,-21518000,-9909000,47466000,30995000
78,Accounts Receivable,-3061000,-1166000,-6651000,-4014000,-4343000,-4882000,-10183000,-4898000,-17966000,-11467000,-2456000,-22631000,-9221000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-292000,-82000,1248000,-242000,-112000,2332000,-3293000,-1220000,-454000,3515000,-1076000,-389000,-32000
81,Other Working Capital,5161000,-13217000,-10354000,79840000,51179000,78098000,117057000,170356000,203576000,182058000,172149000,219615000,46591000
82,Other Non-Cash Items,121000,20988000,4853000,-81315000,37065000,-15587000,-27282000,-41116000,-3197000,33205000,27992000,-35344000,4908000
83,Cash Provided by Operating Activities,7471000,9896000,17190000,21952000,25146000,41423000,65960000,68110000,107646000,125464000,160607000,180086000,200616000
84,CAPEX,-3889000,-1510000,-7499000,-11237000,-13663000,-14012000,-20150000,-23245000,-37818000,-22775000,-27573000,-30037000,-25654000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-14000000,-4000000,-1500000,- -
86,Purchases of Investments,- -,- -,- -,-83547000,-145263000,-157660000,-146707000,-222953000,-299891000,-342362000,-331756000,-391693000,-368450000
87,Sales/Maturities of Investments,- -,- -,- -,- -,138124000,157339000,105509000,149708000,231996000,285224000,328350000,341879000,363941000
88,Other Investing Activites,- -,-2751000,- -,-49000,114000,-98000,-99000,- -,-482000,367000,-50000,419000,-599000
89,Cash Used for Investing Activites,-3889000,-4261000,-7499000,-94784000,-20688000,-14333000,-61348000,-96490000,-118195000,-93546000,-35029000,-80932000,-29532000
90,Debt Repayment,-1424000,-1149000,-1476000,-2401000,-1186000,-805000,- -,- -,- -,-1617000,-1709000,-114000,-90000
91,Common Stock Issued,- -,- -,- -,84534000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85040000,-86424000,-126729000,-129977000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200000,602000,1466000,1069000,4263000,7898000,10582000,23419000,10403000,9174000,9088000,14262000,22179000
95,Cash Used/Provided by Financing Activities,-1224000,-547000,-10000,83202000,3077000,7093000,10582000,23419000,10403000,-77483000,-79045000,-112581000,-107888000
96,Effect of Forex Changes on Cash,-64000,-27000,-143000,-33000,-51000,-48000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2294000,5061000,9538000,10337000,7484000,34135000,15194000,-4961000,-146000,-45565000,46533000,-13427000,63196000
98,Cash at the End of Period,9949000,15010000,24548000,34885000,42369000,76504000,91698000,86737000,86591000,42226000,88759000,75332000,138528000
99,Cash at the Beginning of Period,7655000,9949000,15010000,24548000,34885000,42369000,76504000,91698000,86737000,87791000,42226000,88759000,75332000
100,Free Cash Flow,3582000,8386000,9691000,10715000,11483000,27411000,45810000,44865000,69828000,102689000,133034000,150049000,174962000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107843/000110784313000003/0001107843-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784314000004/0001107843-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784315000003/0001107843-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784316000022/0001107843-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784317000003/0001107843-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784318000003/0001107843-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000162828019002099/0001628280-19-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000162828020001963/0001628280-20-001963-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000143774921003648/0001437749-21-003648-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000143774922004075/0001437749-22-004075-index.htm
102,false,,,,,,,,,,,,,
