,https://roic.ai/company/AIKI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348443,37646,6109,3455,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2220,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,200000,300000,400000,500000,500000,600000,600000,600000,500000,400000,500000,700000,600000,1300000,1700000,1314962,1424714,1593380,1503002,2277682,2574247,2601218,210417,85718,84377,77865,69827,63675,291000,9831000,6318000,2138000,1376000,1443000,- -,- -,- -
15,EBITDA,300000,800000,1300000,800000,- -,- -,800000,1700000,-100000,400000,1000000,900000,400000,-800000,-3200000,1906032,1992537,-1328546,-753768,-544364,-274501,6219149,-4135972,-4600399,-9064254,-7791571,-3377328,-3793349,-17674000,-20701000,-45147000,-4338000,-1930000,3170000,-4183000,-736000,-9441000
16,EBITDA ratio,0.0448,0.1000,0.1238,0.0588,- -,- -,0.0530,0.1018,-0.0074,0.0250,0.0730,0.0652,0.0294,-0.0500,-0.2520,0.1119,0.0999,-0.0878,-0.0417,-0.0244,-0.0119,0.2504,-26.7358,-4.4840,-6.6693,-5.4393,-4.1141,-190.4100,-654.5926,-2070.1000,-1368.0909,-4.9464,-1.5615,113.2143,-464.7778,-Infinity,-Infinity
17,Operating Income,200000,600000,1100000,400000,-400000,-300000,- -,1000000,700000,- -,500000,400000,-300000,-2000000,-2600000,411047,453768,-3003041,-2274646,-2845493,-2885893,-2479819,-9637061,-6511559,-9186277,-8011459,-4346871,-3472005,-15347000,-30611000,-52010000,-8551000,-3822000,-6874000,-5685000,-6546000,-9441000
18,Operating Income ratio,0.0299,0.0750,0.1048,0.0294,-0.0261,-0.0189,- -,0.0599,0.0515,- -,0.0365,0.0290,-0.0221,-0.1250,-0.2047,0.0241,0.0228,-0.1985,-0.1258,-0.1273,-0.1252,-0.0998,-62.2960,-6.3468,-6.7590,-5.5928,-5.2951,-174.2799,-568.4074,-3061.1000,-1576.0606,-9.7503,-3.0922,-245.5000,-631.6667,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-100000,-200000,-100000,-100000,-300000,400000,100000,-100000,- -,- -,-200000,100000,-100000,-2300000,- -,114055,81115,17876,23447,37145,6097750,377978,340229,37646,142023,899716,583972,-2618000,79000,545000,2075000,516000,8601000,1502000,-5791000,2270000
20,Income Before Tax,- -,500000,900000,300000,-500000,-600000,200000,1100000,600000,- -,500000,200000,-200000,-2100000,-4900000,- -,567823,-2921926,-2256770,-2822046,-2848748,3617931,-9259083,-6171330,-9148631,-7869436,-3447155,-2888033,-17965000,-30532000,-51465000,-6476000,-3306000,1727000,-4183000,-12337000,-7171000
21,Income Before Tax Ratio,- -,0.0625,0.0857,0.0221,-0.0327,-0.0377,0.0132,0.0659,0.0441,- -,0.0365,0.0145,-0.0147,-0.1313,-0.3858,- -,0.0285,-0.1931,-0.1248,-0.1263,-0.1236,0.1457,-59.8526,-6.0152,-6.7313,-5.4937,-4.1991,-144.9670,-665.3704,-3053.2000,-1559.5455,-7.3843,-2.6748,61.6786,-464.7778,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,200000,400000,100000,-200000,-200000,100000,400000,200000,100000,100000,100000,-100000,-100000,300000,- -,- -,- -,- -,- -,- -,105050,-3408015,-552803,- -,-133194,14485,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,100000,300000,500000,200000,-300000,-400000,100000,700000,-800000,-100000,400000,100000,-100000,-2000000,-5200000,591070,567823,-2921926,-2256770,-2822046,-2848748,3512881,-938374,-4135534,-9148631,-7736242,-3461640,-3857024,-17965000,-30532000,-51465000,-6476000,-3306000,1727000,-4183000,-12337000,-7171000
24,Net Income ratio,0.0149,0.0375,0.0476,0.0147,-0.0196,-0.0252,0.0066,0.0419,-0.0588,-0.0063,0.0292,0.0072,-0.0074,-0.1250,-0.4094,0.0347,0.0285,-0.1931,-0.1248,-0.1263,-0.1236,0.1414,-6.0658,-4.0309,-6.7313,-5.4007,-4.2168,-193.6063,-665.3704,-3053.2000,-1559.5455,-7.3843,-2.6748,61.6786,-464.7778,-Infinity,-Infinity
25,EPS,323.00,646.00,968.99,484.50,-807.49,-968.99,323.00,1453.49,-1614.99,-161.50,824.74,204.08,-183.82,-3603.60,-8623.55,890.17,855.16,-4162.29,-3192.04,-3813.58,-3723.85,4108.63,-1059.11,-4657.13,-8622.65,-6944.45,-2131.78,-1138.57,-1101.42,-125.16,-106.17,28.73,-2.55,0.89,-1.67,-0.44,-0.26
26,EPS Diluted,323.00,646.00,968.99,484.50,-807.49,-968.99,323.00,1453.49,-1614.99,-161.50,824.74,204.08,-183.82,-3603.60,-8623.55,890.17,855.16,-4162.29,-3192.04,-3813.58,-3723.85,4108.63,-1059.11,-4657.13,-8622.65,-6944.45,-2131.78,-1138.57,-1101.42,-125.16,-106.17,27.67,-2.55,0.89,-1.67,-0.44,-0.26
27,Weighted Average Shares Outstanding,482,482,482,483,483,483,483,483,483,483,485,490,544,555,603,664,664,702,707,740,765,855,886,888,1061,1118,1625,3387,16309,244420,398438,870608,1303191,1896037,2511566,28074116,28074116
28,Weighted Average Shares Outstanding Diluted,482,482,482,483,483,483,483,483,483,483,485,490,544,555,603,664,664,702,707,740,765,855,886,888,1061,1118,1625,3387,16309,244420,398438,903144,1303191,1896726,2511566,28074116,28074116
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12239/000110465905014060/0001104659-05-014060-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12239/000110465912022224/0001104659-12-022224-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588913000470/0001415889-13-000470-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588914001024/0001415889-14-001024-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588915001506/0001415889-15-001506-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577416004766/0001615774-16-004766-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577417001405/0001615774-17-001405-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577418002232/0001615774-18-002232-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577419003916/0001615774-19-003916-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390020002309/0001213900-20-002309-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390021017738/0001213900-21-017738-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390022015575/0001213900-22-015575-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,300000,100000,- -,100000,- -,- -,- -,- -,- -,- -,800000,5200000,2300000,1400000,5549866,6582203,8656069,4267001,3475846,2667733,10951275,15839959,9404843,9026002,5575310,4911350,4498237,3125000,805000,142000,134000,197000,17000,91000,2715000,65562000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2000000,- -,- -,1894434,375003,- -,- -,- -,- -,3500000,3392000,6025000,3998000,2700000,857000,24801000,11427000
33,Cash and Short-Term Investments,- -,300000,100000,- -,100000,- -,- -,- -,- -,- -,- -,800000,5200000,2300000,1400000,5549866,6582203,8656069,4267001,6175846,4667733,10951275,15839959,11299277,9401005,5575310,4911350,4498237,3125000,4305000,3534000,6159000,4195000,2717000,948000,27516000,76989000
34,Net Receivables,1800000,1700000,2800000,1800000,2800000,2900000,3300000,3600000,3200000,3800000,2200000,2000000,1500000,1800000,1800000,2342602,1593155,2182815,1508910,1883013,2410348,2179364,205810,318565,275101,630097,286358,3425,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,200000,100000,200000,300000,300000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,200000,- -,1300000,200000,600000,400000,500000,1100000,600000,1300000,1000000,600000,700000,1000000,950982,675979,749227,3553303,638983,582279,643461,372242,282971,209255,619583,330207,204739,151000,107000,330000,135000,150000,188000,181000,215000,13900000
37,Total Current Assets,2100000,2300000,3100000,3400000,3400000,3500000,3700000,4200000,4300000,4400000,3500000,3800000,7300000,4800000,4200000,8843450,8851337,11588111,9329214,8697842,7660360,13774100,16418011,11900813,9885361,6824990,5527915,4706401,3276000,4412000,3864000,6294000,4345000,2905000,1129000,27731000,90889000
38,PP&E,1300000,1300000,2600000,3100000,3100000,2800000,2500000,2100000,1500000,1700000,1600000,1600000,3400000,6400000,4200000,4457841,4163224,3653356,4665457,5517279,4603032,3914300,55088,310365,225958,154161,91000,24009,- -,4000,5000,6000,3000,1000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1712000,1712000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,149967,226367,211673,172586,1028828,854871,687526,32371,14433,8364,2296,- -,- -,64835000,55004000,9799000,4951000,3578000,- -,- -,- -,- -
41,Intangible Assets,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,149967,226367,211673,172586,1028828,854871,687526,32371,14433,8364,2296,- -,- -,66547000,56716000,9799000,4951000,3578000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35625,- -,35625,- -,- -,- -,- -,- -,- -,1020000,10345000,10153000,2764000,9465000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,200000,200000,200000,100000,100000,- -,100000,- -,- -,- -,100000,500000,300000,100000,- -,- -,- -,- -,- -,- -,- -,35625,- -,35625,- -,36107,25625,30000,26000,26000,26000,26000,- -,- -,- -,2302000
45,Total Non-Current Assets,1500000,1600000,2900000,3400000,3300000,3000000,2600000,2300000,1600000,1800000,1700000,1800000,4000000,6800000,4400000,4607808,4389591,3865029,4838043,6546107,5457903,4601826,123084,360423,269947,192082,127107,49634,66577000,56746000,9830000,4983000,4627000,10346000,10153000,2764000,11767000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3600000,3900000,6000000,6800000,6700000,6500000,6300000,6500000,5900000,6200000,5200000,5600000,11300000,11600000,8600000,13451258,13240928,15453140,14167257,15243949,13118263,18375926,16541095,12261236,10155308,7017072,5655022,4756035,69853000,61158000,13694000,11277000,8972000,13251000,11282000,30495000,102656000
48,Accounts Payable,- -,- -,- -,- -,- -,500000,600000,700000,700000,1300000,1000000,1300000,1500000,1600000,1100000,742830,339546,1146846,1718496,1493683,1950584,690000,1046537,524000,961000,312000,106000,210000,270000,728000,384000,123000,56000,132000,68000,567000,- -
49,Short-Term Debt,100000,100000,200000,200000,200000,200000,1400000,700000,1700000,1500000,300000,100000,500000,1100000,2200000,657021,296027,749604,1734474,1984908,1465963,225451,- -,- -,- -,- -,- -,- -,- -,173000,178000,183000,48000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103662,- -,34632,- -,- -,15165,39347,90915,170641,72871,- -,- -,- -,290000,1216000,957000,- -,- -,- -,- -
52,Other Current Liabilities,600000,1000000,1300000,1800000,1400000,1300000,800000,1200000,600000,700000,900000,900000,1100000,1800000,800000,1086005,1076568,800497,832572,969046,1104102,1993066,413072,491637,1141805,1463267,713811,523303,1233000,329000,3604000,1148000,1517000,1021000,682000,310000,1061000
53,Total Current Liabilities,700000,1100000,1500000,2000000,1600000,2000000,2800000,2600000,3000000,3500000,2200000,2300000,3100000,4500000,4100000,2485856,1712141,2800609,4285542,4482269,4520649,2908517,1474774,1054984,2193720,1945908,892682,733303,1503000,1230000,4456000,2670000,2578000,1153000,750000,877000,1061000
54,Long-Term Debt,500000,100000,1100000,900000,1700000,1700000,300000,- -,- -,- -,- -,100000,1000000,1300000,500000,87664,- -,63310,45579,27456,10810,138748,- -,- -,- -,- -,- -,- -,- -,407000,229000,44000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000,3245000,2288000,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,200000,300000,900000,400000,300000,400000,300000,200000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,200000,200000,300000,- -,400000,400000,500000,600000,500000,400000,500000,300000,1400000,1200000,1800000,1297791,1337667,1327763,346900,366534,707584,778064,615531,796736,689712,630945,47675,3168248,20048000,5935000,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,900000,500000,1700000,1800000,2500000,2400000,1200000,900000,700000,600000,600000,400000,2400000,2500000,2300000,1385455,1337667,1391073,392479,393990,718394,916812,615531,796736,689712,630945,47675,3168248,20048000,6342000,488000,3289000,2288000,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63310,45579,27456,- -,138748,- -,- -,- -,- -,- -,- -,- -,580000,407000,227000,48000,- -,- -,- -,- -
61,Total Liabilities,1600000,1600000,3200000,3800000,4100000,4400000,4000000,3500000,3700000,4100000,2800000,2700000,5500000,7000000,6400000,3871311,3049808,4191682,4678021,4876259,5239043,3825329,2090305,1851720,2883432,2576853,940357,3901551,21551000,7572000,4944000,5959000,4866000,1153000,750000,877000,1061000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38539,40143,57063,57434,60157,62242,69463,71996,72188,86155,107182,31030,82,- -,3000,- -,- -,- -,1000,- -,3000,9000
64,Retained Earnings,1300000,1600000,2000000,2200000,1900000,1400000,1500000,2200000,1400000,1300000,1700000,1800000,1600000,-300000,-5500000,-4957573,-4389855,-7311781,-9568551,-12390597,-15239345,-11726464,-12664838,-16800372,-25949003,-33685245,-37146885,-35311218,-53276000,-83808000,-135273000,-141749000,-145055000,-140083000,-144266000,-156603000,-163774000
65,Other Comprehensive Income/Loss,-1400000,-1300000,-1300000,-1700000,-2100000,-2700000,-3200000,-3800000,-2300000,-2700000,-2800000,-1100000,-1700000,-2800000,-3600000,-3647404,-4305381,-5252858,-4537696,-5172758,-6077074,-6161000,-6161000,-174000,-126042,-198000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,2100000,2000000,2100000,2500000,2800000,3400000,4000000,4600000,3100000,3500000,3500000,2200000,5900000,7700000,11300000,18146385,18846213,23769034,23538049,27870888,29133397,32368598,33204632,27311700,33260766,38216282,41830520,36165620,- -,137391000,- -,- -,- -,152180000,- -,186218000,265360000
67,Total Stockholders Equity,2000000,2300000,2800000,3000000,2600000,2100000,2300000,3000000,2200000,2100000,2400000,2900000,5800000,4600000,2200000,9579947,10191120,11261458,9489236,10367690,7879220,14550597,14450790,10409516,7271876,4440219,4714665,854484,48302000,53586000,8750000,5318000,4106000,12098000,10532000,29618000,101595000
68,Total Liabilities And Stockholders Equity,3600000,3900000,6000000,6800000,6700000,6500000,6300000,6500000,5900000,6200000,5200000,5600000,11300000,11600000,8600000,13451258,13240928,15453140,14167257,15243949,13118263,18375926,16541095,12261236,10155308,7017072,5655022,4756035,69853000,61158000,13694000,11277000,8972000,13251000,11282000,30495000,102656000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3600000,3900000,6000000,6800000,6700000,6500000,6300000,6500000,5900000,6200000,5200000,5600000,11300000,11600000,8600000,13451258,13240928,15453140,14167257,15243949,13118263,18375926,16541095,12261236,10155308,7017072,5655022,4756035,69853000,61158000,13694000,11277000,8972000,13251000,11282000,30495000,102656000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12239/000110465905014060/0001104659-05-014060-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12239/000110465912022224/0001104659-12-022224-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588913000470/0001415889-13-000470-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588914001024/0001415889-14-001024-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588915001506/0001415889-15-001506-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577416004766/0001615774-16-004766-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577417001405/0001615774-17-001405-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577418002232/0001615774-18-002232-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577419003916/0001615774-19-003916-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390020002309/0001213900-20-002309-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390021017738/0001213900-21-017738-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390022015575/0001213900-22-015575-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-400000,100000,700000,-800000,-100000,400000,100000,-100000,-2000000,-5200000,591070,567823,-2921926,-2256770,-2822046,-2848748,3512881,-938374,-4135534,-9148631,-7736242,-3461640,-3857024,-17965000,-30532000,-51465000,-6476000,-3306000,1727000,-4183000,-12337000,-7171000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,600000,600000,600000,500000,400000,500000,700000,600000,1300000,1700000,1314962,1424714,1593380,1503002,2277682,2574247,2601218,210417,85718,84377,77865,69827,63675,291000,9831000,6318000,2138000,1376000,1443000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,100000,-100000,- -,-100000,- -,-200000,-400000,200000,300000,- -,- -,- -,- -,- -,- -,- -,- -,-552803,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94260,77338,37085,35534,56448,9971000,12676000,371000,562000,23000,320000,329000,84000,314000
77,Change in Working Capital,- -,- -,- -,- -,- -,100000,-600000,700000,-300000,-400000,400000,200000,2700000,-3900000,-200000,6257594,781602,1648306,-3743830,-828099,-1075862,7725872,4077654,-4097408,-3154188,-2812559,-243849,-662135,-2200098,1409000,-3774000,4216000,-1857000,-15000,-1373000,26475000,62974000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5042,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-100000,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193491,-158000,458000,-344000,-261000,-67000,74000,-64000,499000,-186000
81,Other Working Capital,- -,- -,- -,- -,- -,1500000,900000,1600000,1300000,900000,1300000,1500000,4200000,300000,100000,6357594,7139196,8787502,5043672,4215573,3139711,10865583,14943237,10845829,7691641,4879082,4635233,3973098,1773000,3182000,-592000,3624000,1767000,1752000,379000,26854000,89828000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,300000,-700000,- -,1000000,100000,-100000,-300000,3300000,2300000,-6466382,-345997,-1871854,3811618,986561,824623,-7182314,-11978311,2196512,4308479,1740656,-759532,583349,4633098,-2900000,43930000,-370000,492000,-6204000,2210000,-18243000,-62720000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,300000,500000,1200000,-600000,800000,1400000,700000,2500000,-1100000,-1100000,1697244,2428142,-1552094,-685980,-385902,-525740,6657657,-8628614,-6409255,-7832625,-8693195,-4359660,-3815687,-5270000,-9516000,-4620000,70000,-3272000,-2729000,-3017000,-4021000,-6603000
84,CAPEX,- -,- -,- -,- -,- -,-300000,-200000,-200000,-400000,-700000,-500000,-800000,-1500000,-3900000,-1400000,-1887828,-1170322,-1005151,-2246219,-3212340,-1359283,-1417381,-25258,-183403,- -,- -,-4852,-2309,-2000000,-1004000,-2000,-4000,- -,-36000,-360000,-1469000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15291000,2070091,- -,- -,- -,- -,2662000,- -,- -,- -,-675000,- -,- -,460000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1894434,- -,- -,- -,- -,- -,- -,-7994000,-18035000,-12274000,-15202000,-8661000,-98827000,-93432000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1519431,375003,- -,- -,- -,- -,8121000,15065000,14213000,15061000,10277000,74873000,103043000
88,Other Investing Activites,- -,- -,- -,- -,- -,-100000,- -,-100000,- -,- -,- -,300000,- -,- -,-100000,-28999,-100725,-14230,-18386,-706643,700000,2003600,-1316588,15187,700,- -,- -,4102,-2000000,-996000,- -,- -,- -,26000,-360000,-1469000,-18464000
