,https://roic.ai/company/GLGI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,4152160,3965860,93240,5201000,11026000,17950000,24061000,24728000,26171000,26111000,26111000,26111201,26111201,27480039,27674939,27771466,28042200,28906086,28993110,29009415,32343657,32364942
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088413/000135448814004445/0001354488-14-004445-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315215004084/0001493152-15-004084-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315216012968/0001493152-16-012968-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315217009864/0001493152-17-009864-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315218012700/0001493152-18-012700-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315219013488/0001493152-19-013488-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315220016617/0001493152-20-016617-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315221020834/0001493152-21-020834-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,6209,274085,1410,925,340334,201301,274765,163749,169420,194400,366896,661263,598887,897377,579021,379632,1255408,1131850,4387533
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,6209,274085,1410,925,340334,201301,274765,163749,169420,194400,366896,661263,598887,897377,579021,379632,1255408,1131850,4387533
34,Net Receivables,- -,- -,- -,347844,951596,1573635,842375,1019415,1286948,952352,1605160,1769387,2715893,2239594,2243068,1973075,3686687,6233723,5011193,6371195,6765122,4739684
35,Inventory,- -,- -,- -,384557,521376,535523,631236,237769,899485,1061569,649943,543557,956638,1044379,1616165,1429344,1304495,1587552,3089267,2620991,4229895,3441974
36,Other Current Assets,- -,- -,- -,- -,- -,10932,8913,57653,61114,67382,68673,723392,45090,119198,1174170,1242359,70058,136395,215617,239146,7488,52315
37,Total Current Assets,- -,- -,- -,738610,1747057,2121500,1483449,1655171,2448848,2356068,2487525,3205756,3912021,3770067,5694666,5243665,5958617,8536691,8695709,10486740,12134355,12621506
38,PP&E,- -,- -,- -,7921542,6589028,7189652,8028275,7037764,8878716,8208888,7545205,3891163,7798178,7044139,8776137,8509315,12565319,19706782,25353876,32499678,34323932,31108001
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,6164435,149351,- -,127140,118440,103655,95176,100693,62910,52645,33466,129634,153495,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,6164435,149351,- -,127140,118440,103655,95176,100693,62910,52645,33466,129634,153495,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585000,1159000,1133000,557127,1283682,281415,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,141198,490441,15600,151661,- -,- -,- -,- -,3822445,23544,18726,129722,- -,-60905,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,8062740,13243904,7354603,8179936,7164904,8997156,8312543,7640381,7814301,8469632,8274510,10072325,9196076,13941591,19988197,25353876,32499678,34323932,31108001
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,8801350,14990961,9476103,9663385,8820075,11446004,10668611,10127906,11020057,12381653,12044577,15766991,14439741,19900208,28524888,34049585,42986418,46458287,43729507
48,Accounts Payable,- -,- -,- -,971133,1578917,2631676,2740555,4481578,3628815,4002946,3813120,4274080,3867501,1643339,782591,798470,2642112,5727903,4651695,6520721,4929234,3754556
49,Short-Term Debt,- -,- -,- -,901422,3856279,3069438,2199391,8655518,9013395,9339343,9005904,4072754,1286312,1344160,3979376,2278164,2088327,4754796,4484853,4547259,6328652,5038091
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3404334,2201067,3793167,6430607
52,Other Current Liabilities,- -,- -,- -,- -,60582,33785,907827,1088808,2828998,1958012,2282122,- -,2924108,3435113,1863602,2197590,2535695,58802,55104,112192,84110,- -
53,Total Current Liabilities,- -,- -,- -,1872555,5495778,5734899,5847773,14225904,15471208,15300301,15101146,8346834,8077921,6422612,6625569,5274224,7266134,10541501,12595986,13381239,15135163,15223254
54,Long-Term Debt,- -,- -,- -,7000000,6390499,8026739,10886176,4297427,4465291,3249953,2708296,12378214,10757561,9658020,10524745,10300847,13358421,15310754,16836180,19629148,22054539,14872571
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490965,926642,1109052,2380642
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,128000,80000,- -,- -,- -,- -,- -,- -,- -,- -,1532503,1733007,5238190,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,7000000,6390499,8026739,10886176,4425427,4545291,3281953,2708296,12378214,10757561,9658020,10524745,10300847,13358421,16843257,19060152,25793980,23163591,17253213
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3794063,3893814,6754819,5637181,3703020
61,Total Liabilities,- -,- -,- -,8872555,11886277,13761638,16733949,18651331,20016499,18582254,17809442,20725048,18835482,16080632,17150314,15575071,20624555,27384758,31656138,39175219,38298754,32476467
62,Preferred Stock,- -,- -,- -,75,5,5,5,5,5,5,5,- -,5,5,5,5,5,5,5,5,5,5
63,Common Stock,- -,- -,- -,594,1279,2406,2406,2606,2611,2611,2611,2611,2611,2611,2646,2741,2789,2836,2836,2836,2836,2836
64,Retained Earnings,- -,- -,- -,-42040998,-45162096,-56502478,-59351569,-62527093,-62107364,-61625637,-61527891,-62297986,-60586143,-58321266,-55715203,-55657638,-55385912,-53724991,-52485313,-51108677,-46807092,-43776927
65,Other Comprehensive Income/Loss,- -,- -,- -,-695586,-741151,-1312056,-2060091,-2707489,-3693398,-4657485,-5183521,-5346073,-7335883,-8710820,-9126961,-9563157,-11081196,-13739697,-16587460,-21026051,-26301923,- -
66,Other Total Stockholders Equity,- -,- -,- -,42664710,49006647,53526588,54338685,55400715,56518779,57578834,58200838,53435371,60425176,61853537,62463067,63066592,64695007,67530461,70378224,74816815,80092687,53790764
67,Total Stockholders Equity,- -,- -,- -,-71205,3104684,-4285535,-7070564,-9831256,-9279367,-8701672,-8507958,-14206077,-7494234,-5175933,-2376446,-2151457,-1769307,68614,1308292,2684928,6986513,10016678
68,Total Liabilities And Stockholders Equity,- -,- -,- -,8801350,14990961,9476103,9663385,8820075,10737132,9880582,9301484,6518971,11341248,10904699,14773868,13423614,18855248,27453372,32964430,41860147,45285267,42493145
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,708872,788029,826422,4501086,1040405,1139878,993123,1016127,1044960,1071516,1085155,1126271,1173020,1236362
70,Total Liabilities & Equity,- -,- -,- -,8801350,14990961,9476103,9663385,8820075,11446004,10668611,10127906,11020057,12381653,12044577,15766991,14439741,19900208,28524888,34049585,42986418,46458287,43729507
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088413/000135448814004445/0001354488-14-004445-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315215004084/0001493152-15-004084-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315216012968/0001493152-16-012968-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315217009864/0001493152-17-009864-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315218012700/0001493152-18-012700-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315219013488/0001493152-19-013488-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315220016617/0001493152-20-016617-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315221020834/0001493152-21-020834-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3095442,-1478721,-288706,-3214852,-2460927,-10421825,-2335153,-2599976,928420,842240,421856,-770095,2345460,2591658,2931063,609569,836134,2246908,1871101,2057207,4700421,3353384
74,Depreciation and Amortization,315509,1001348,157364,230794,413008,1296601,768439,806725,846828,975577,1017690,1015561,1165795,1387987,1309573,1431823,1555283,2772465,3686121,4533757,5281032,5801517
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-585000,-574000,-1051000,430763,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,95968,95968,71976,- -,53424,53424,53424,53424,- -,- -,- -,- -,- -
77,Change in Working Capital,197297,- -,- -,-1133945,-2614776,135322,-750925,-8206409,-451627,78127,330612,7472543,975178,1513355,1721642,900344,-1276958,-697293,-1895467,1005778,-106309,399060
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,274018,-652808,-816629,- -,- -,216031,501236,-2083158,-1224120,1208997,-1369727,-349896,2084637
79,Inventory,-3785,-128966,-61757,-180111,-136819,-14147,-95713,393467,-661716,-162084,411626,106386,-413081,-87741,-571786,186821,124849,-283057,-1501715,468276,-1608904,761171
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-1133945,-3748721,-3613399,-4364324,-12570733,-13022360,-12944233,-12613621,-5141078,-4165900,-2652545,-930903,-30559,-1307517,-2004810,-3900277,-2894499,-3000808,-2601748
82,Other Non-Cash Items,2295754,52160,-3411176,1433694,2698290,6025898,1594318,10197199,-579381,-759742,-557957,-7673656,-1684884,-2886758,-2803517,-118454,1747182,1929225,4400331,-775052,-1241235,5628668
83,Cash Provided by Operating Activities,-286882,-425213,-3542518,-2684309,-1964405,-2964004,-723321,197539,744240,1232170,1308169,116329,2216549,2085666,2161185,3307469,2915065,6251305,8062086,6821690,8633909,15182629
84,CAPEX,-233049,-1804231,-3997531,-1474475,-4450436,-426054,-1626658,-580250,-362882,-294259,-342518,-1171849,-801960,-620898,-2246101,-991950,-4323131,-2698665,-6710210,-7016662,-6284934,-2905640
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,250185,2742379,582148,- -,- -,- -,- -,993234,- -,- -,- -,-18727,- -,- -,- -,- -,- -,- -,3000,968168,- -,- -
89,Cash Used for Investing Activites,17136,938148,-3415383,-1474475,-4450436,-426054,-1626658,412984,-362882,-294259,-342518,-1190576,-801960,-620898,-2246101,-991950,-4323131,-2698665,-6707210,-6048494,-6284934,-2905640
90,Debt Repayment,-9355,- -,- -,- -,- -,- -,- -,- -,- -,-1240539,-1333596,-4046710,-1400937,-1291693,-9140891,-2839607,-2025631,-4068286,-5663955,-8921475,-10859809,-11340177
91,Common Stock Issued,- -,- -,1498830,27750,5000000,1850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-263184,-404555,-34463,- -,- -,- -,- -,- -,-63672,-102079,-3895604,-502288,-529885,-589710,-647510,-316263,-426918,-407329
94,Other Financing Activites,546273,-700348,5392123,4123722,1945901,1671938,2383957,-271114,-520391,376092,256929,5126628,75000,101500,13415778,964000,4262072,787000,4757200,9340318,8814194,2726200
95,Cash Used/Provided by Financing Activities,536918,-700348,6890953,4151472,6682717,3117383,2349494,-271114,-520391,-864447,-1076667,1079918,-1389609,-1292272,379283,-2377895,1706556,-3870996,-1554265,102580,-2472533,-9021306
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,267172,-187413,-66948,-7312,267876,-272675,-485,339409,-139033,73464,-111016,5671,24980,172496,294367,-62376,298490,-318356,-199389,875776,-123558,3255683
98,Cash at the End of Period,267882,80469,13521,6209,274085,1410,925,340334,201301,274765,163749,169420,194400,366896,661263,598887,897377,579021,379632,1255408,1131850,4387533
99,Cash at the Beginning of Period,710,267882,80469,13521,6209,274085,1410,925,340334,201301,274765,163749,169420,194400,366896,661263,598887,897377,579021,379632,1255408,1131850
100,Free Cash Flow,-519931,-2229444,-7540049,-4158784,-6414841,-3390058,-2349979,-382711,381358,937911,965651,-1055520,1414589,1464768,-84916,2315519,-1408066,3552640,1351876,-194972,2348975,12276989
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1088413/000135448814004445/0001354488-14-004445-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315215004084/0001493152-15-004084-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315216012968/0001493152-16-012968-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315217009864/0001493152-17-009864-index.html,https://www.sec.gov/Archives/edgar/data/1088413/000149315218012700/0001493152-18-012700-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315219013488/0001493152-19-013488-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315220016617/0001493152-20-016617-index.htm,https://www.sec.gov/Archives/edgar/data/1088413/000149315221020834/0001493152-21-020834-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
