,https://roic.ai/company/GP,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,37750,- -,47638,654872,317477,391769,744801,332741,- -,2098761
77,Change in Working Capital,- -,-2710,13605,-120068,-770704,-911432,-967313,-2053886,-2962408,-1913349,-12461410
78,Accounts Receivable,- -,- -,- -,- -,-1159,1163,- -,-246679,-1230388,404430,-3492997
79,Inventory,- -,- -,- -,- -,-817833,-1695642,-998706,-2236935,-1982729,- -,-8757529
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,505238,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,229799,- -,481085,219865,-419113,-301152
82,Other Non-Cash Items,- -,-4,25284,93982,1320275,24908,102179,280677,743486,6480760,1369918
83,Cash Provided by Operating Activities,-10195,-69982,-19891,-153392,-1510405,-2207436,-3109084,-3887320,-5914124,- -,-16392222
84,CAPEX,- -,- -,- -,-92486,-4447,-54651,-86216,-365664,-140050,-161860,-352682
85,Acquisitions Net,- -,- -,- -,73529,14121,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-26034,-46927,-338501,- -,- -,- -,- -,319635,- -,- -
89,Cash Used for Investing Activites,- -,-26034,-46927,-264971,9674,-54651,-86216,-365664,179585,-161860,-352682
90,Debt Repayment,- -,- -,- -,- -,- -,-37248,-22462,-92713,-586900,1757061,-3144934
91,Common Stock Issued,143149,342273,- -,283105,2632429,1577156,623997,- -,- -,- -,37700000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-37298,-1,- -,264,12119,571686,1604834,5257961,5547988,3745691,-3031435
95,Cash Used/Provided by Financing Activities,105852,342272,- -,283370,2644549,2111594,2206369,5165248,4961088,5502752,31523631
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-30622,30221,-683,38070,-34958,25485,-22384
97,Net Change In Cash,- -,246261,-66818,-134994,1113195,-120272,-989614,950334,-808409,252685,14756343
98,Cash at the End of Period,95656,340356,263724,107656,1163794,1046609,56995,1007329,198920,- -,15207948
99,Cash at the Beginning of Period,- -,94095,330542,242650,50599,1166881,1046609,56995,1007329,- -,451605
100,Free Cash Flow,-10195,-69982,-19891,-245878,-1514853,-2262087,-3195300,-4252984,-6054174,- -,-16744904
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,
