,https://roic.ai/company/MGP,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-Infinity,-Infinity,0.0756,0.0546,0.0669,0.1024,0.0961,0.2628
25,EPS,-4.92,-5.24,0.52,0.67,0.94,0.97,0.59,1.36
26,EPS Diluted,-4.92,-5.24,0.52,0.66,0.94,0.97,0.59,1.36
27,Weighted Average Shares Outstanding,50000000,50000000,57502158,61733136,70997589,93046859,129490918,151000000
28,Weighted Average Shares Outstanding Diluted,50000000,50000000,57751489,61916546,71185674,93299233,129652625,151194000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1656936/000162828017002206/0001628280-17-002206-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000162828018002611/0001628280-18-002611-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000162828019002106/0001628280-19-002106-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000165693620000007/0001656936-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000165693621000011/0001656936-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1656936/000165693622000003/0001656936-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,111200000,360492000,259722000,59817000,202101000,626385000,8056000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,111200000,360492000,259722000,59817000,202101000,626385000,8056000
34,Net Receivables,- -,- -,9503000,6385000,14990000,566000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,10906000,18487000,37837000,30919000,25525000,22237000
37,Total Current Assets,- -,111200000,380901000,284594000,112644000,233586000,651910000,30293000
38,PP&E,- -,- -,- -,- -,784295000,280093000,280565000,278102000
39,Goodwill,- -,- -,- -,- -,17915000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,251214000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,269129000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,810066000,816756000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7867812000,7804339000,9125839000,10066526000,9785239000,11396593000,8857765000,9305955000
45,Total Non-Current Assets,7867812000,7804339000,9125839000,10066526000,10838663000,11676686000,9948396000,10400813000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7867812000,7915539000,9506740000,10351120000,10951307000,11910272000,10600306000,10431106000
48,Accounts Payable,- -,- -,10478000,10240000,49602000,37421000,124109000,57543000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1740465000,- -,120412000,135260000,145458000,191027000,185305000,196622000
53,Total Current Liabilities,1740465000,- -,130890000,145500000,195060000,228448000,309414000,254165000
54,Long-Term Debt,- -,3142625000,3621942000,3934628000,4666949000,4307354000,4510092000,4554337000
55,Deferred Revenue,- -,- -,72322000,127640000,163977000,108593000,156760000,221542000
56,Deferred Tax Liabilities,1740465000,- -,25368000,28544000,33634000,29909000,33298000,41217000
57,Other Non-Current Liabilities,- -,- -,47957000,47069000,46181000,337956000,- -,- -
58,Total Non-Current Liabilities,1740465000,3142625000,3767589000,4137881000,4910741000,4783812000,4700150000,4817096000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,337956000,341133000,337460000
61,Total Liabilities,1740465000,3142625000,3898479000,4283381000,5105801000,5012260000,5009564000,5071261000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6127347000,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,-29758000,-94948000,-150908000,-244381000,-422897000,-537715000
65,Other Comprehensive Income/Loss,- -,- -,- -,3000000,4000000,-7000000,-51197000,-41189000
66,Other Total Stockholders Equity,- -,4772914000,1363575000,1716598000,1712879000,2766280000,- -,- -
67,Total Stockholders Equity,6127347000,1147335000,1333817000,1624650000,1565971000,2514899000,2640237000,3156823000
68,Total Liabilities And Stockholders Equity,7867812000,4289960000,5232296000,5908031000,6671772000,7527159000,7649801000,8228084000
69,Minority Interest,- -,3625579000,4274444000,4443089000,4279535000,4383113000,2950505000,2203022000
70,Total Liabilities & Equity,7867812000,7915539000,9506740000,10351120000,10951307000,11910272000,10600306000,10431106000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1656936/000162828017002206/0001628280-17-002206-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000162828018002611/0001628280-18-002611-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000162828019002106/0001628280-19-002106-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000165693620000007/0001656936-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000165693621000011/0001656936-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1656936/000165693622000003/0001656936-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-246242000,-261954000,35346000,41775000,67065000,90260000,76129000,205503000
74,Depreciation and Amortization,186262000,196816000,220667000,260455000,273031000,294705000,236853000,235485000
75,Deferred Income Tax,- -,- -,2264000,4906000,5090000,-3725000,3389000,7919000
76,Stock Based Compensation,- -,- -,510000,1336000,2093000,2277000,2854000,4827000
77,Change in Working Capital,- -,1851665000,138811000,-110917000,-221510000,87554000,337358000,-5023000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,5101000,158000,-4532000,-1616000,-3255000,-10908000
81,Other Working Capital,-1740465000,111200000,250011000,139094000,-82416000,5138000,342496000,- -
82,Other Non-Cash Items,- -,-1845000000,-99817000,285023000,454438000,-354774000,47118000,230309000
83,Cash Provided by Operating Activities,-59980000,-58473000,297781000,482578000,580207000,116297000,703701000,679020000
84,CAPEX,-90504000,-129308000,-138987000,-462988000,-1578000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-1068000000,4000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-90504000,-129308000,-138987000,-488000,31888000,-233000,58615000,-400000000
89,Cash Used for Investing Activites,-90504000,-129308000,-138987000,-462988000,-1036112000,3767000,58615000,-400000000
90,Debt Repayment,- -,- -,-4561600000,-466875000,- -,-1361325000,-1693750000,- -
91,Common Stock Issued,- -,- -,1207500000,404685000,- -,1250006000,524616000,792852000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1400000000,-1181276000
93,Dividends Paid,- -,- -,-150829000,-385435000,-454260000,-533735000,-601719000,-544912000
94,Other Financing Activites,150484000,187781000,3706627000,327265000,710260000,700775000,2832821000,35987000
95,Cash Used/Provided by Financing Activities,150484000,187781000,201698000,-120360000,256000000,55721000,-338032000,-897349000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-100770000,-199905000,198106000,424284000,-618329000
98,Cash at the End of Period,- -,- -,360492000,259722000,59817000,202101000,626385000,8056000
99,Cash at the Beginning of Period,- -,- -,- -,360492000,259722000,3995000,202101000,626385000
100,Free Cash Flow,-150484000,-187781000,158794000,19590000,578629000,116297000,703701000,679020000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1656936/000162828017002206/0001628280-17-002206-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000162828018002611/0001628280-18-002611-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000162828019002106/0001628280-19-002106-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000165693620000007/0001656936-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1656936/000165693621000011/0001656936-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1656936/000165693622000003/0001656936-22-000003-index.htm
102,false,,,,,,,,
