,https://roic.ai/company/GLMD,2012,2013,2014,2015,2016,2017,2018,2019,2020
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,30000,13000,774000,883000,718000,491000,194000,709000,570000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,762000,166000,32925000,24263000,16450000,19643000,90600000,77139000,52381000
48,Accounts Payable,401000,1355000,875000,2259000,3122000,2276000,1814000,5999000,7046000
49,Short-Term Debt,20000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1094000,538000,- -,- -,- -
52,Other Current Liabilities,92000,334000,243000,282000,363000,1034000,892000,935000,966000
53,Total Current Liabilities,513000,1689000,1118000,2541000,4579000,3848000,2706000,6934000,8012000
54,Long-Term Debt,1824000,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,529000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,404000,428000,400000,177000,267000,- -,- -,352000,216000
58,Total Non-Current Liabilities,2228000,428000,400000,177000,796000,- -,- -,352000,216000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,352000,216000
61,Total Liabilities,2741000,2117000,1518000,2718000,5375000,3848000,2706000,7286000,8228000
62,Preferred Stock,- -,- -,32000,- -,- -,- -,- -,- -,- -
63,Common Stock,7000,20000,32000,32000,34000,40000,58000,58000,58000
64,Retained Earnings,-10157000,-27642000,-36745000,-47367000,-64320000,-76619000,-86475000,-106936000,-135707000
65,Other Comprehensive Income/Loss,-17000,-17000,4000,-206000,-85000,-7000,-11000,35000,272000
66,Other Total Stockholders Equity,8188000,25688000,68084000,69086000,75446000,92381000,174322000,176696000,179530000
67,Total Stockholders Equity,-1979000,-1951000,31407000,21545000,11075000,15795000,87894000,69853000,44153000
68,Total Liabilities And Stockholders Equity,762000,166000,32925000,24263000,16450000,19643000,90600000,77139000,52381000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,762000,166000,32925000,24263000,16450000,19643000,90600000,77139000,52381000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1595353/000114420415019665/0001144204-15-019665-index.htm,https://www.sec.gov/Archives/edgar/data/1595353/000114420416089349/0001144204-16-089349-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420417016148/0001144204-17-016148-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420418014234/0001144204-18-014234-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420419013601/0001144204-19-013601-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000110465920032166/0001104659-20-032166-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-3149000,-17485000,9103000,10622000,-16953000,-12299000,-9856000,-20461000,-28771000
74,Depreciation and Amortization,5000,4000,9000,50000,169000,239000,387000,35000,39000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,208000,10851000,601000,970000,1628000,1394000,1783000,2231000,2066000
77,Change in Working Capital,-143000,1218000,-748000,986000,2752000,-1398000,-1205000,3435000,1101000
78,Accounts Receivable,-11000,-2000,-149000,-214000,95000,129000,-63000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-89000,954000,-480000,1384000,863000,-846000,-462000,4185000,1047000
81,Other Working Capital,60000,38000,-28000,-223000,1713000,-1352000,-538000,- -,- -
82,Other Non-Cash Items,- -,2888000,-18206000,-21102000,275000,-3000,-132000,-177000,-722000
83,Cash Provided by Operating Activities,-3079000,-2524000,-9241000,-8474000,-12129000,-12067000,-9023000,-14937000,-26287000
84,CAPEX,-32000,-13000,-770000,-159000,-17000,-12000,-90000,-12000,-44000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-8246000,-26541000,-7615000,-3869000,-98346000,-94408000,-30618000
87,Sales/Maturities of Investments,- -,- -,- -,15594000,13955000,10325000,38421000,101098000,47198000
88,Other Investing Activites,- -,16000,- -,- -,13000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-32000,3000,-9016000,-11106000,6336000,6444000,-60015000,6678000,16536000
90,Debt Repayment,-6000,-20000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,120000,41856000,- -,4479000,15017000,79149000,- -,707000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3689000,1840000,- -,- -,255000,530000,1027000,143000,61000
95,Cash Used/Provided by Financing Activities,3683000,1940000,41856000,- -,4734000,15547000,80176000,143000,768000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,572000,-581000,23599000,-19580000,-1059000,9924000,11138000,-8116000,-8983000
98,Cash at the End of Period,718000,137000,23736000,4156000,3097000,13021000,24159000,16043000,7060000
99,Cash at the Beginning of Period,146000,718000,137000,23736000,4156000,3097000,13021000,24159000,16043000
100,Free Cash Flow,-3111000,-2537000,-10011000,-8633000,-12146000,-12079000,-9113000,-14949000,-26331000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1595353/000114420415019665/0001144204-15-019665-index.htm,https://www.sec.gov/Archives/edgar/data/1595353/000114420416089349/0001144204-16-089349-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420417016148/0001144204-17-016148-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420418014234/0001144204-18-014234-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420419013601/0001144204-19-013601-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000110465920032166/0001104659-20-032166-index.html,- -
102,false,,,,,,,,,
