,https://roic.ai/company/CXDO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,11700000,57093511,34610181,27107778,38073524,54323351,42422000,54857000,85190000,93146000,- -,50593000,36186000,18190000,11717000,10611000,9085000,8257000,7745000,8295000,8950000,10449000,30902000
11,COGS and Expenses,- -,11300000,65765475,43035756,33633578,48975894,73069621,71698000,85823000,132187000,131301000,- -,72367000,53915000,23282000,15808000,14193000,12662000,11882000,11202000,12114000,13301000,15396000,41562000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1725776,3773000,3227000,7079000,8858000,- -,4746000,4751000,1907000,501000,150000,24000,15000,10000,7000,6000,3000,1000
13,Interest Expense (Gain),- -,- -,- -,3287905,1950687,- -,43359,91000,26000,3000,3000,- -,4000,2000,- -,- -,- -,28000,138000,209000,12000,12000,76000,-84000
14,Depreciation and Amortization,- -,700000,6478041,2418390,3078953,350798,137280,241000,307000,620000,1196000,- -,1379000,1349000,1374000,1145000,663000,270000,146000,106000,92000,94000,258000,1626000
15,EBITDA,- -,-9700000,-37630388,-504461,7228409,5384870,9780917,-28571000,102627000,27310000,7380000,- -,-235000,173000,-2779000,-4075000,-5636000,-4255000,-2496000,-698000,-104000,1251000,2233000,-1368000
16,EBITDA ratio,- -,-97.0000,-1.3721,-0.0117,0.1935,0.1012,0.1207,-0.7312,0.5545,0.1801,0.0576,- -,-0.0036,0.0036,-0.1619,-0.3946,-0.7422,-0.5439,-0.2737,-0.0673,-0.0087,0.0867,0.1363,-0.0487
17,Operating Income,- -,-11200000,-38340716,-35223,3717272,4249189,7957896,-32623000,99266000,19430000,-3253000,- -,-6574000,-5891000,-6115000,-5745000,-6599000,-4839000,-2763000,-825000,-206000,1135000,991000,-2810000
18,Operating Income ratio,- -,-112.0000,-1.3980,-0.0008,0.0995,0.0798,0.0982,-0.8349,0.5363,0.1282,-0.0254,- -,-0.0999,-0.1227,-0.3562,-0.5563,-0.8690,-0.6186,-0.3030,-0.0795,-0.0173,0.0786,0.0605,-0.1000
19,Total Other Income Expenses (Gains),- -,-100000,-1192572,-991388,-1518533,-14243519,1642382,3720000,3028000,7257000,9434000,- -,4956000,4713000,1962000,525000,300000,286000,-17000,-188000,-2000,10000,908000,-100000
20,Income Before Tax,- -,- -,- -,- -,2198739,- -,9600278,-28903000,102294000,26687000,6181000,- -,-1618000,-1178000,-4153000,-5220000,-6299000,-4553000,-2780000,-1013000,-208000,1145000,1899000,-2910000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0589,- -,0.1185,-0.7397,0.5527,0.1760,0.0483,- -,-0.0246,-0.0245,-0.2419,-0.5054,-0.8295,-0.5820,-0.3049,-0.0976,-0.0175,0.0793,0.1159,-0.1036
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-12292871,614000,-8328000,2686000,3039000,- -,692000,5052000,-212000,-257000,77000,-12000,12000,7000,15000,6000,-6041000,-465000
23,Net Income,- -,-10400000,-44108429,-6210756,2198769,5034072,21893149,-29517000,110622000,24001000,3142000,- -,-2310000,-6230000,-3941000,-4963000,-6376000,-4541000,-2792000,-1020000,-223000,1139000,7940000,-2445000
24,Net Income ratio,- -,-104.0000,-1.6083,-0.1444,0.0589,0.0946,0.2702,-0.7554,0.5977,0.1583,0.0245,- -,-0.0351,-0.1297,-0.2296,-0.4805,-0.8396,-0.5805,-0.3062,-0.0983,-0.0187,0.0789,0.4845,-0.0870
25,EPS,- -,-11.80,-23.80,-1.60,0.37,0.46,1.93,-2.49,9.09,1.94,0.27,- -,-0.20,-0.59,-0.37,-0.46,-0.57,-0.35,-0.21,-0.07,-0.02,0.08,0.50,-0.16
26,EPS Diluted,- -,-11.80,-23.80,-1.60,0.37,0.44,1.80,-2.49,8.76,1.87,0.26,- -,-0.20,-0.59,-0.37,-0.46,-0.57,-0.35,-0.21,-0.07,-0.02,0.07,0.46,-0.16
27,Weighted Average Shares Outstanding,- -,881356,1851113,2227965,5873654,11019094,11329699,11835330,12164425,12344306,11676188,11371303,11357434,10596231,10625530,10714353,11163592,12960625,13358311,13938342,14332092,14570286,15767874,15244804
28,Weighted Average Shares Outstanding Diluted,- -,881356,1851113,2227965,5878404,11552621,12180714,12327647,12624746,12829873,11857808,11371303,11357434,10596231,10625530,10714353,11163592,12960625,13358311,13938342,14332092,15559863,17420476,15244804
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1075736/000091205700042186/0000912057-00-042186-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1075736/000102048803000023/0001020488-03-000023-index.html,https://www.sec.gov/Archives/edgar/data/1075736/000104746904028467/0001047469-04-028467-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465906015344/0001104659-06-015344-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465906060526/0001104659-06-060526-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465907067095/0001104659-07-067095-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1075736/000135448811000701/0001354488-11-000701-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448812001045/0001354488-12-001045-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448813001253/0001354488-13-001253-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448814000990/0001354488-14-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448815000935/0001354488-15-000935-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448816006418/0001354488-16-006418-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495417001754/0001654954-17-001754-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495418002211/0001654954-18-002211-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495419002316/0001654954-19-002316-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495420002213/0001654954-20-002213-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495421002518/0001654954-21-002518-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495422003516/0001654954-22-003516-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,600000,2607491,149165,519748,2319618,4956512,10691000,30023000,36859000,26184000,21549000,14207000,8658000,7440000,3076000,2906000,1497000,619000,1282000,1849000,4180000,17579000,7468000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,600000,2607491,149165,519748,2319618,4956512,10691000,30523000,36859000,26184000,21549000,14207000,8658000,7440000,3076000,2906000,1497000,619000,1282000,1849000,4180000,17579000,7468000
34,Net Receivables,- -,100000,2398356,2484355,2247129,5015769,12427366,21787000,13419000,28109000,29516000,14549000,13361000,9972000,3505000,1239000,714000,495000,467000,491000,499000,549000,987000,2177000
35,Inventory,- -,- -,98372,44726,23416,34194,71416,74000,151000,427000,627000,243000,1067000,232000,171000,217000,72000,134000,170000,131000,270000,382000,504000,231000
36,Other Current Assets,- -,700000,1121722,119155,1630558,1138184,5456920,2783000,2739000,10505000,7740000,5085000,3413000,2690000,1777000,1107000,1165000,1173000,794000,640000,715000,620000,711000,1684000
37,Total Current Assets,- -,1400000,6225941,2797401,4420851,8507765,22912214,35335000,46832000,75900000,64067000,41426000,32048000,21552000,12893000,5639000,4857000,3299000,2050000,2544000,3333000,5731000,19781000,11560000
38,PP&E,- -,500000,3026487,774862,409460,200174,524427,508000,696000,1786000,1672000,1446000,3139000,4055000,3172000,2195000,68000,33000,18000,8000,124000,206000,2735000,3521000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1276000,- -,- -,265000,265000,265000,75000,272000,272000,272000,272000,272000,272000,272000,36972000
40,Intangible Assets,- -,1600000,2167024,588544,455177,455177,455177,- -,- -,- -,1831000,1206000,987000,79000,6000,571000,676000,466000,335000,239000,167000,465000,252000,22161000
41,Intangible Assets,- -,1600000,2167024,588544,455177,455177,455177,- -,- -,1276000,1831000,1206000,1252000,344000,271000,646000,948000,738000,607000,511000,439000,737000,524000,59133000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,802000,- -,733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,9406523,- -,9976000,4387000,4385000,5298000,5024000,279000,103000,244000,381000,482000,- -,- -,- -,- -,6054000,986000
44,Other Non-Current Assets,- -,- -,889948,1894190,2091124,2358429,7127734,3084000,8508000,13361000,14659000,6264000,10181000,6097000,1088000,883000,1260000,1108000,858000,383000,653000,1109000,1611000,1952000
45,Total Non-Current Assets,- -,2100000,6083459,3257596,2955761,3013780,17513861,3592000,19180000,20810000,22547000,15016000,19596000,11508000,4634000,3968000,2657000,2361000,1483000,902000,1216000,2052000,10924000,65592000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3500000,12309400,6054997,7376612,11521545,40426075,38927000,66012000,96710000,86614000,56442000,51644000,33060000,17527000,9607000,7514000,5660000,3533000,3446000,4549000,7783000,30705000,77152000
48,Accounts Payable,- -,300000,2839727,2663066,1327102,1528037,2849632,2376000,2752000,3174000,4760000,3154000,3328000,1153000,418000,201000,47000,76000,116000,79000,398000,652000,561000,476000
49,Short-Term Debt,- -,1700000,190223,3109547,231274,147742,1434397,854000,91000,- -,64000,- -,- -,- -,- -,- -,- -,57000,66000,69000,84000,80000,101000,2320000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,- -,- -,- -,- -,7000,- -,315000,343000,480000,529000,438000,11000
51,Deferred Revenue,- -,- -,- -,- -,- -,653463,562076,33146000,20064000,30298000,32859000,15827000,13757000,9288000,3052000,1199000,726000,775000,809000,957000,641000,791000,778000,- -
52,Other Current Liabilities,- -,900000,18040845,8377139,2573037,651597,4241034,5171000,4433000,6673000,5826000,4841000,3575000,2730000,3113000,1390000,1930000,1393000,1002000,961000,888000,1363000,1123000,7776000
53,Total Current Liabilities,- -,2900000,21070795,14149752,4131413,2980839,9087139,41547000,27340000,40145000,43509000,23822000,20660000,13171000,6583000,2790000,2703000,2301000,1993000,2066000,2011000,2886000,2563000,10572000
54,Long-Term Debt,- -,- -,47379,442172,393560,435857,400000,- -,- -,- -,115000,- -,- -,- -,- -,- -,- -,965000,966000,10000,- -,- -,1873000,164000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6447000,9523000,6123000,399000,116000,64000,81000,43000,31000,422000,423000,450000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,1473077,414743,27906,1802,201053,80983000,8693000,12157000,10515000,191000,1341000,419000,253000,- -,203000,109000,16000,- -,116000,87000,55000,483000
58,Total Non-Current Liabilities,- -,100000,1520456,856915,421466,437659,601053,80983000,8693000,12157000,10630000,6638000,10864000,6542000,652000,116000,267000,1155000,1025000,41000,538000,510000,2378000,647000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1802,201053,79000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000,167000,85000,- -
61,Total Liabilities,- -,3000000,22591251,15006667,4552879,3418498,9688192,122530000,36033000,52302000,54139000,30460000,31524000,19713000,7235000,2906000,2970000,3456000,3018000,2107000,2549000,3396000,4941000,11219000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,21649,24460,10996,11063,11537,12000,12000,12000,11000,11000,11000,11000,11000,11000,13000,13000,14000,14000,14000,15000,18000,22000
64,Retained Earnings,- -,-15100000,-68080932,-71719230,-69520461,-64486389,-42593240,-158417000,-47795000,-26236000,-20851000,-27062000,-29372000,-35602000,-39543000,-44506000,-50882000,-55423000,-58215000,-59235000,-59167000,-58028000,-50088000,-52533000
65,Other Comprehensive Income/Loss,- -,-100000,-985245,-985245,-1894742,-27376,-11014,-5000,-1614000,-2233000,- -,- -,-5540000,-6640000,-3018000,-3302000,-2917000,-2360000,-2375000,-2385000,-1758000,-1664000,- -,12000
66,Other Total Stockholders Equity,- -,15700000,58762677,63728345,74227940,72605749,73330600,74807000,79376000,72865000,- -,- -,55021000,55578000,52842000,54498000,58330000,59974000,61091000,62945000,62911000,64064000,75834000,118432000
67,Total Stockholders Equity,- -,500000,-10281851,-8951670,2823733,8103047,30737883,-83603000,29979000,44408000,32475000,25982000,20120000,13347000,10292000,6701000,4544000,2204000,515000,1339000,2000000,4387000,25764000,65933000
68,Total Liabilities And Stockholders Equity,- -,3500000,12309400,6054997,7376612,11521545,40426075,38927000,66012000,96710000,86614000,56442000,51644000,33060000,17527000,9607000,7514000,5660000,3533000,3446000,4549000,7783000,30705000,77152000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3500000,12309400,6054997,7376612,11521545,40426075,38927000,66012000,96710000,86614000,56442000,51644000,33060000,17527000,9607000,7514000,5660000,3533000,3446000,4549000,7783000,30705000,77152000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1075736/000091205700042186/0000912057-00-042186-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1075736/000102048803000023/0001020488-03-000023-index.html,https://www.sec.gov/Archives/edgar/data/1075736/000104746904028467/0001047469-04-028467-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465906015344/0001104659-06-015344-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465906060526/0001104659-06-060526-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465907067095/0001104659-07-067095-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1075736/000135448811000701/0001354488-11-000701-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448812001045/0001354488-12-001045-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448813001253/0001354488-13-001253-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448814000990/0001354488-14-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448815000935/0001354488-15-000935-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448816006418/0001354488-16-006418-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495417001754/0001654954-17-001754-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495418002211/0001654954-18-002211-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495419002316/0001654954-19-002316-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495420002213/0001654954-20-002213-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495421002518/0001654954-21-002518-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495422003516/0001654954-22-003516-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-10400000,-44108429,-6210756,2198769,5034072,21893149,-29517000,110622000,24001000,3142000,-7542000,-2310000,-6230000,-3941000,-4963000,-6376000,-4541000,-2792000,-1020000,-223000,1139000,7940000,-2445000
74,Depreciation and Amortization,- -,700000,6478041,2418390,3078953,350798,137280,241000,307000,620000,1196000,1468000,1379000,1349000,1374000,1145000,663000,270000,146000,106000,92000,94000,258000,1626000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-13121255,- -,-9976000,-760000,2460000,- -,331000,5082000,- -,- -,- -,- -,- -,- -,- -,- -,-6054000,-499000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1544000,1041000,919000,812000,808000,1049000,- -,653000,573000,438000,399000,623000,1628000
77,Change in Working Capital,- -,800000,3492503,11641789,5237488,8298149,-20037075,25704000,16263000,-15197000,-4221000,1267000,-6216000,-3007000,-2071000,-3461000,-695000,-1156000,-941000,421000,844000,1523000,14373000,-16230000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7812000,-1138000,6047000,12079000,2232000,599000,162000,56000,-17000,-26000,43000,-152000,-501000
79,Inventory,- -,- -,-54239,17299,21310,-10778,-37222,-3000,-77000,-276000,-200000,371000,-824000,555000,26000,-46000,145000,-62000,-36000,39000,-139000,-112000,-122000,285000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246000,378000,- -,-245000
81,Other Working Capital,- -,-14844854,-11352351,289438,5526926,13825075,-6212000,19492000,35755000,20558000,16337000,17604000,11388000,8381000,6310000,2849000,2154000,998000,57000,478000,1322000,2845000,17218000,988000
82,Other Non-Cash Items,- -,4300000,17498112,-15851766,-14064141,-11602241,12432420,10486000,-98333000,13890000,7784000,-3722000,5814000,239000,3380000,1089000,1021000,2453000,1808000,214000,-699000,-1517000,-16493000,14914000
83,Cash Provided by Operating Activities,- -,-4600000,-16639773,-8002343,-3548931,2080778,1304519,6914000,18883000,22554000,10361000,-6985000,39000,-1648000,-446000,-5382000,-4338000,-2974000,-1126000,294000,452000,1638000,647000,-1006000
84,CAPEX,- -,-300000,-2946055,-100765,-99579,-129000,-173037,-242000,-497000,-2986000,-604000,-613000,-2534000,-1463000,-1172000,-62000,-8000,-25000,- -,- -,-7000,-72000,-921000,-101000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-56000,- -,-300000,-195000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-3800000,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000,3800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-700000,30000,300000,660,- -,- -,-500000,- -,-1000000,- -,- -,210000,-877000,543000,1222000,2355000,21000,12000,252000,- -,- -,-176000,-9766000
89,Cash Used for Investing Activites,- -,-1100000,-2916055,199235,-98919,-129000,-173037,-742000,-497000,-3986000,-4237000,3187000,-2574000,-2396000,-629000,860000,2152000,-4000,11000,252000,-7000,-72000,-921000,-9867000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64000,- -,- -,- -,- -,- -,-110000,-163000,-1156000,-163000,-84000,-88000,-99000
91,Common Stock Issued,- -,4500000,26516553,291200,4714439,67187,327497,1388000,- -,4546000,916000,- -,- -,- -,- -,- -,2000000,690000,- -,- -,- -,- -,10771000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13745000,-12581000,-734000,-3823000,-682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2442000,-5113000,-1714000,-915000,-851000,-635000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1500000,-5320237,5054082,-696006,-219095,1177915,-1826000,946000,-91000,-21000,600000,-69000,28000,492000,158000,16000,989000,400000,1273000,285000,849000,2990000,749000
95,Cash Used/Provided by Financing Activities,- -,6000000,21196316,5345282,4018433,-151908,1505412,-438000,946000,-11732000,-16799000,-1912000,-4807000,-1505000,-143000,158000,2016000,1569000,237000,117000,122000,765000,13673000,650000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000
97,Net Change In Cash,- -,300000,1640488,-2457826,370583,1799870,2636894,5734000,19332000,6836000,-10675000,-5710000,-7342000,-5549000,-1218000,-4364000,-170000,-1409000,-878000,663000,567000,2331000,13399000,-10211000
98,Cash at the End of Period,- -,600000,2607491,149165,519748,2319618,4956512,10691000,30023000,36859000,26184000,20474000,14207000,8658000,7440000,3076000,2906000,1497000,619000,1282000,1949000,4280000,17679000,7468000
99,Cash at the Beginning of Period,- -,300000,967003,2606991,149165,519748,2319618,4957000,10691000,30023000,36859000,26184000,21549000,14207000,8658000,7440000,3076000,2906000,1497000,619000,1382000,1949000,4280000,17679000
100,Free Cash Flow,- -,-4900000,-19585828,-8103108,-3648510,1951778,1131482,6672000,18386000,19568000,9757000,-7598000,-2495000,-3111000,-1618000,-5444000,-4346000,-2999000,-1126000,294000,445000,1566000,-274000,-1107000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1075736/000091205700042186/0000912057-00-042186-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1075736/000102048803000023/0001020488-03-000023-index.html,https://www.sec.gov/Archives/edgar/data/1075736/000104746904028467/0001047469-04-028467-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465906015344/0001104659-06-015344-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465906060526/0001104659-06-060526-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000110465907067095/0001104659-07-067095-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1075736/000135448811000701/0001354488-11-000701-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448812001045/0001354488-12-001045-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448813001253/0001354488-13-001253-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448814000990/0001354488-14-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448815000935/0001354488-15-000935-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000135448816006418/0001354488-16-006418-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495417001754/0001654954-17-001754-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495418002211/0001654954-18-002211-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495419002316/0001654954-19-002316-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495420002213/0001654954-20-002213-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495421002518/0001654954-21-002518-index.htm,https://www.sec.gov/Archives/edgar/data/1075736/000165495422003516/0001654954-22-003516-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
