,https://roic.ai/company/AXAS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1700000,1100000,2200000,5800000,8800000,10900000,11538000,34752000,36748000,59354000,64300000,54778000,22646000,95801000,34772000,14671000,19553000,18631000,30470000,51815000,44723000,47208000,33728000,12876000,56517000,50509000,37993000,42502000,55316000,64007000,242461000,48374000
11,COGS and Expenses,2400000,1700000,3600000,6200000,8900000,11000000,17827000,55781000,116584000,79657000,65017000,55480000,23213000,96410000,35443000,26521000,32148000,30686000,57961000,52573000,51436000,52974000,65147000,73379000,93854000,80262000,62316000,64927000,91639000,103569000,242461000,48374000
12,Interest Income ,- -,- -,- -,- -,- -,- -,254000,- -,805000,- -,530000,78000,92000,30000,10000,19000,29000,408000,187000,15000,8000,7000,4000,3000,2000,2000,1000,1000,1000,65000,39000,-15000
13,Interest Expense (Gain),100000,100000,700000,2500000,2400000,3900000,6241000,- -,30848000,- -,31140000,31523000,24689000,21361000,19524000,13989000,16767000,8392000,10496000,11708000,9106000,4898000,5520000,4580000,2570000,3906000,4319000,2948000,7053000,12335000,-21281000,35773000
14,Depreciation and Amortization,200000,-400000,-1000000,-2400000,-4300000,-5600000,- -,31841000,32797000,36147000,37948000,31985000,10979000,12481000,9061000,10503000,15984000,14963000,24371000,17886000,16212000,- -,- -,26632000,- -,- -,- -,- -,- -,- -,24432000,15312000
15,EBITDA,-900000,200000,-4300000,-2200000,-4300000,-2900000,7930000,21465000,-24473000,-13158000,81242000,46192000,-82859000,90929000,33692000,43609000,33997000,80340000,-17536000,12104000,27005000,18564000,-12961000,70559000,65552000,-123483000,-92059000,18954000,64874000,-52669000,-181371000,6518000
16,EBITDA ratio,-1.8000,0.1333,-1.2647,-0.2933,-0.3805,-0.2101,0.2975,0.3026,-0.4073,-0.1971,1.0606,0.5980,-3.7145,2.3304,0.9952,0.8968,0.6573,1.6633,-0.1748,0.2295,0.4575,0.2873,-0.1890,0.7480,0.4900,-1.8422,-1.6278,0.2197,0.4349,-0.4078,-4.2137,0.0827
17,Operating Income,- -,- -,- -,- -,- -,- -,8826000,15150000,-56500000,-12887000,11583000,19125000,-33756000,11542000,10972000,22104000,19575000,11161000,-74017000,177000,2807000,11648000,-16348000,14927000,39922000,-141805000,-73387000,21337000,57528000,-25716000,-199418000,30484000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,0.3311,0.2136,-0.9404,-0.1930,0.1512,0.2476,-1.5132,0.2958,0.3241,0.4546,0.3785,0.2311,-0.7379,0.0034,0.0476,0.1802,-0.2384,0.1582,0.2984,-2.1155,-1.2976,0.2473,0.3857,-0.1991,-4.6330,0.3866
19,Total Other Income Expenses (Gains),800000,200000,-3200000,-3000000,- -,- -,-6640000,-25191000,-31614000,-36418000,79000,-34765000,-27090000,45150000,-9188000,-15833000,-18329000,43982000,8114000,-27412000,-1120000,2018000,-2133000,24420000,21742000,14436000,-22991000,-5331000,293000,-39288000,14896000,-75051000
20,Income Before Tax,- -,- -,- -,-1700000,- -,- -,2186000,-10041000,-88114000,-49305000,11662000,-15640000,-60846000,56692000,1784000,6271000,1246000,55143000,-65903000,-27235000,1687000,13666000,-18481000,39347000,61664000,-127369000,-96378000,16006000,57821000,-65004000,-184522000,-44567000
21,Income Before Tax Ratio,- -,- -,- -,-0.2267,- -,- -,0.0820,-0.1416,-1.4665,-0.7384,0.1522,-0.2025,-2.7277,1.4529,0.0527,0.1290,0.0241,1.1416,-0.6570,-0.5163,0.0286,0.2115,-0.2695,0.4171,0.4609,-1.9002,-1.7041,0.1855,0.3876,-0.5033,-4.2869,-0.5652
22,Income Tax expense (Gain),- -,- -,- -,200000,- -,- -,176000,-3891000,-4158000,-12625000,3705000,2402000,- -,377000,-6060000,- -,- -,283000,- -,1290000,-79000,-77000,310000,700000,-287000,-279000,- -,- -,- -,- -,- -,- -
23,Net Income,-1200000,- -,-4000000,-2500000,-2400000,-1200000,1513000,-6485000,-83960000,-36680000,8449000,-19718000,-118527000,56710000,11167000,19117000,1246000,56702000,-52403000,-18780000,1766000,13743000,-18791000,38647000,63269000,-127110000,-96378000,16006000,57821000,-65004000,-184522000,-44567000
24,Net Income ratio,-2.4000,- -,-1.1765,-0.3333,-0.2124,-0.0870,0.0568,-0.0914,-1.3974,-0.5493,0.1103,-0.2553,-5.3134,1.4534,0.3299,0.3932,0.0241,1.1739,-0.5224,-0.3560,0.0299,0.2127,-0.2740,0.4097,0.4729,-1.8963,-1.7041,0.1855,0.3876,-0.5033,-4.2869,-0.5652
25,EPS,-64.00,-5.60,-78.40,-26.80,-12.00,-6.80,3.40,-22.20,-265.20,-108.20,7.40,-15.20,-79.00,31.60,6.20,9.80,0.60,24.40,-21.40,-6.80,0.40,3.00,-4.00,8.40,12.80,-24.20,-15.80,2.00,7.00,-7.80,-22.01,-5.32
26,EPS Diluted,-64.00,-5.60,-78.40,-26.80,-12.00,-6.80,3.40,-22.20,-265.20,-108.20,5.20,-15.20,-79.00,31.00,5.80,9.20,0.60,23.80,-21.40,-6.80,0.40,3.00,-4.00,8.20,12.40,-24.20,-15.80,2.00,6.80,-7.80,-22.01,-5.32
27,Weighted Average Shares Outstanding,21875,24390,53571,76271,216667,235294,339722,315217,317308,1129750,1141757,1297237,1500342,1794620,1801129,1950714,2076667,2323852,2450250,2774950,3796150,4507550,4595700,4622550,4941750,5230250,6106600,8057050,8281750,8312350,8382000,8382000
28,Weighted Average Shares Outstanding Diluted,21875,24390,53571,76271,216667,235294,339722,315217,317308,1129750,1141757,1297237,1500342,1829355,1925345,2077935,2076667,2382437,2450250,2774950,3861200,4612200,4595700,4676900,5073400,5230250,6106600,8142200,8384450,8315600,8382000,8382000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/867665/000086766506000015/0000867665-06-000015-index.html,- -,https://www.sec.gov/Archives/edgar/data/867665/000086766508000015/0000867665-08-000015-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766509000017/0000867665-09-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/867665/000086766512000010/0000867665-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766513000012/0000867665-13-000012-index.html,- -,https://www.sec.gov/Archives/edgar/data/867665/000086766515000013/0000867665-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766516000100/0000867665-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766517000031/0000867665-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766518000014/0000867665-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774919005085/0001437749-19-005085-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774920013989/0001437749-20-013989-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774921011204/0001437749-21-011204-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774922007770/0001437749-22-007770-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,200000,700000,2500000,100000,4200000,8290000,2836000,61390000,3799000,2004000,7605000,557000,493000,1284000,42000,43000,18936000,1924000,1861000,99000,- -,2061000,5205000,3772000,3540000,- -,1618000,867000,- -,3,10
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,200000,700000,2500000,100000,4200000,8290000,2836000,61390000,3799000,2004000,7605000,557000,493000,1284000,42000,43000,18936000,1924000,2186000,99000,- -,2061000,5205000,3772000,3540000,- -,1618000,867000,- -,3,10
34,Net Receivables,400000,500000,800000,2800000,3600000,4400000,14384000,14602000,10505000,14352000,20718000,8047000,6029000,8323000,5261000,8597000,6240000,6128000,7966000,8769000,12745000,12906000,20431000,33615000,21603000,9506000,13524000,32093000,39636000,19645000,10,14
35,Inventory,- -,- -,200000,- -,100000,100000,451000,367000,504000,447000,1411000,1251000,1021000,782000,735000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,100000,200000,700000,300000,100000,187000,508000,844000,431000,179000,443000,74563000,572000,53352000,1638000,470000,3035000,23404000,514000,15794000,11807000,529000,729000,13057000,19628000,10415000,778000,10228000,1276000,11,0
37,Total Current Assets,500000,800000,1900000,6000000,4100000,8800000,23312000,18313000,73243000,19029000,24312000,17346000,82170000,10170000,60632000,10277000,6753000,28099000,33294000,11469000,28638000,24713000,23021000,39549000,38432000,32674000,23939000,34489000,50731000,20921000,24,24
38,PP&E,7800000,12200000,16000000,35800000,70700000,75100000,271390000,310845000,208449000,294666000,304784000,281894000,95926000,111563000,78077000,105248000,104957000,117027000,160308000,156156000,117248000,179552000,212832000,180645000,322879000,224838000,136311000,237767000,363218000,329285000,39,106
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24027000,26215000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,100000,200000,1600000,600000,1200000,10140000,9370000,9806000,8589000,6464000,4473000,3329000,4704000,7916000,6341000,5776000,1993000,18237000,8611000,12996000,10670000,4754000,3456000,13588000,10360000,1398000,1550000,11941000,4425000,- -,0
45,Total Non-Current Assets,7800000,12300000,16200000,37400000,71300000,76300000,281530000,320215000,218255000,303255000,311248000,286367000,99255000,116267000,92053000,111589000,110733000,119020000,178545000,164767000,154271000,216437000,217586000,184101000,336467000,235198000,137709000,239317000,375159000,333710000,39,106
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8300000,13100000,18100000,43400000,75400000,85100000,304842000,338528000,291498000,322284000,335560000,303713000,181425000,126437000,152685000,121866000,117486000,147119000,211839000,176236000,182909000,241150000,240607000,223650000,374899000,267872000,161648000,273806000,425890000,354631000,64,130
48,Accounts Payable,- -,900000,1500000,2900000,3800000,3900000,12396000,17120000,10499000,8445000,22721000,10542000,4171000,6756000,5622000,13295000,5268000,7413000,10748000,8773000,23589000,21373000,42387000,52793000,63549000,24825000,18397000,45570000,39571000,19280000,6,5
49,Short-Term Debt,400000,600000,6300000,500000,- -,- -,- -,- -,- -,- -,1128000,415000,63500000,- -,- -,- -,- -,- -,40134000,8141000,152000,181000,657000,2142000,2235000,2330000,786000,262000,267000,378000,202804000,213
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2200000,600000,1300000,1200000,1600000,2300000,4483000,10337000,12055000,17889000,14292000,11383000,64496000,5858000,73214000,1862000,5204000,9338000,8412000,11986000,13798000,17968000,11446000,27800000,15514000,7914000,11934000,23018000,24525000,29814000,-202803787,23
53,Total Current Liabilities,2600000,2100000,9100000,4600000,5400000,6200000,16879000,27457000,22554000,26334000,38141000,22340000,132167000,12614000,78836000,15157000,10472000,16751000,59294000,28900000,37539000,39522000,54490000,82735000,81298000,35069000,31117000,68850000,64363000,49472000,219,240
54,Long-Term Debt,3900000,7100000,6600000,12500000,41200000,41600000,215119000,248617000,299698000,273421000,266441000,285184000,190979000,184649000,126425000,129527000,127614000,45900000,130835000,143592000,140940000,126258000,124101000,41790000,76554000,138402000,96616000,87354000,183091000,192718000,203,2
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,200000,200000,200000,32928000,27751000,19820000,16935000,21079000,20621000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2103000,7890000,12948000,4603000,4305000,4056000,533000,1377000,888000,883000,1019000,5124000,9959000,22107000,19406000,12719000,15316000,12219000,9552000,9936000,15410000,11294000,11926000,8622000,- -,5
58,Total Non-Current Liabilities,3900000,7100000,6600000,12700000,41400000,41800000,250150000,284258000,332466000,294959000,291825000,309861000,191512000,186026000,127313000,130410000,128633000,51024000,140794000,165699000,160346000,138977000,139417000,54009000,86106000,148338000,112026000,98648000,195017000,201340000,203,7
59,Other Liabilities,10200000,7100000,13300000,12700000,82900000,41800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301000,203000,- -
61,Total Liabilities,8900000,9200000,15800000,17300000,46900000,48000000,267029000,311715000,355020000,321293000,329966000,332201000,323679000,198640000,206149000,145567000,139105000,67775000,200088000,194599000,197885000,178499000,193907000,136744000,167404000,183407000,143143000,167498000,259380000,250812000,231,247
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,58000,63000,65000,227000,227000,301000,301000,360000,366000,421000,428000,490000,496000,762000,764000,923000,927000,929000,1062000,1063000,1351000,1659000,1667000,1684000,0,0
64,Retained Earnings,-2500000,-2200000,-6100000,-9500000,-12100000,-13700000,-12517000,-19185000,-103145000,-139825000,-131376000,-151094000,-269621000,-213701000,-202534000,-188193000,-186947000,-130791000,-183194000,-201974000,-200208000,-186465000,-205256000,-166609000,-103340000,-230450000,-326828000,-310822000,-253001000,-318005000,- -,-547
65,Other Comprehensive Income/Loss,-3200000,-17300000,-18200000,-300000,-500000,-300000,-38653000,-74597000,-165867000,-219687000,-253569000,-282462000,-8800000,267000,3068000,1684000,975000,502000,113000,202000,245000,-287000,31000,-607000,- -,-604289000,-696892000,-724606000,-768140000,-872431000,- -,- -
66,Other Total Stockholders Equity,5100000,23400000,26600000,35900000,41100000,51100000,88925000,120532000,205425000,360276000,390312000,404767000,135866000,140871000,145636000,162387000,163925000,185646000,187243000,182647000,- -,248480000,250998000,253193000,309773000,918141000,1040874000,1140077000,1185984000,1292571000,-72967000,430
67,Total Stockholders Equity,-600000,3900000,2300000,26100000,28500000,37100000,37813000,26813000,-63522000,991000,5594000,-28488000,-142254000,-72203000,-53464000,-23701000,-21619000,55847000,4658000,-18363000,-14976000,62651000,46700000,86906000,207495000,84465000,18505000,106308000,166510000,103819000,-72967000,-117
68,Total Liabilities And Stockholders Equity,8300000,13100000,18100000,43400000,75400000,85100000,304842000,338528000,291498000,322284000,335560000,303713000,181425000,126437000,152685000,121866000,117486000,123622000,204746000,176236000,182909000,241150000,240607000,223650000,374899000,267872000,161648000,273806000,425890000,354631000,-72966769,130
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23497000,7093000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72966833,- -
70,Total Liabilities & Equity,8300000,13100000,18100000,43400000,75400000,85100000,304842000,338528000,291498000,322284000,335560000,303713000,181425000,126437000,152685000,121866000,117486000,147119000,211839000,176236000,182909000,241150000,240607000,223650000,374899000,267872000,161648000,273806000,425890000,354631000,64,130
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/867665/000086766506000015/0000867665-06-000015-index.html,- -,https://www.sec.gov/Archives/edgar/data/867665/000086766508000015/0000867665-08-000015-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766509000017/0000867665-09-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/867665/000086766512000010/0000867665-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766513000012/0000867665-13-000012-index.html,- -,https://www.sec.gov/Archives/edgar/data/867665/000086766515000013/0000867665-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766516000100/0000867665-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766517000031/0000867665-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000086766518000014/0000867665-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774919005085/0001437749-19-005085-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774920013989/0001437749-20-013989-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774921011204/0001437749-21-011204-index.htm,https://www.sec.gov/Archives/edgar/data/867665/000143774922007770/0001437749-22-007770-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-4000000,-2500000,-2400000,-1200000,1513000,-6485000,-83960000,-36680000,8449000,-19718000,-118527000,56710000,11167000,19117000,1246000,56702000,-52403000,-18780000,1766000,13743000,-18791000,38647000,63269000,-127110000,-96378000,16006000,57821000,-65004000,-184522000,-44567000
74,Depreciation and Amortization,- -,-400000,-1000000,-2400000,-4300000,-5600000,- -,31841000,32797000,36147000,37948000,31985000,10979000,12481000,9061000,10503000,15984000,14963000,24371000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24432000,15312000
75,Deferred Income Tax,- -,- -,- -,200000,- -,- -,- -,-4135000,-4389000,-13116000,4938000,1897000,- -,377000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1404000,1239000,1560000,1987000,2091000,2114000,2703000,3912000,3194000,3238000,2366000,1911000,1312000,946000
77,Change in Working Capital,- -,- -,-5900000,8600000,-2700000,3900000,3833000,-15577000,59833000,-57994000,-6524000,8835000,-45003000,47553000,-15760000,13324000,1161000,15067000,-37348000,8569000,8530000,-5908000,-16660000,-11717000,320000,40471000,-4783000,-27183000,20729000,-14919000,28550805,-21
78,Accounts Receivable,- -,100000,-400000,-1900000,-800000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1838000,-803000,-3976000,-182000,-7506000,-13215000,11881000,12097000,-4018000,-18569000,-7543000,19991000,9596000,-3498000
79,Inventory,- -,-400000,-200000,200000,- -,- -,-82000,- -,- -,57000,-538000,-76000,201000,78000,47000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,900000,1000000,1300000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4082000,-1545000,14210000,756000,22024000,27294000,1596000,-45970000,-3535000,6231000,11576000,-10491000,-15304000,3151000
81,Other Working Capital,- -,-1300000,-7200000,1400000,-1300000,2600000,6433000,-9144000,50689000,-7305000,-13829000,-4994000,-49997000,-2444000,-18204000,-4880000,-3719000,11348000,-26000000,-17431000,-8901000,-14809000,-31469000,-43186000,-42866000,-2395000,-7178000,-34361000,-13632000,-28551000,-195,-216
82,Other Non-Cash Items,- -,300000,11400000,-3200000,13700000,7300000,8198000,30997000,564000,75525000,-23439000,-6736000,162163000,-93271000,25797000,-25977000,-2830000,-68400000,107363000,53108000,12246000,14673000,84735000,22610000,29911000,89706000,124839000,46062000,-916000,151659000,146212195,60728021
83,Cash Provided by Operating Activities,- -,-100000,500000,700000,4300000,4400000,13544000,36641000,4845000,3882000,21372000,16263000,9612000,23850000,30265000,16967000,15561000,18332000,43387000,44136000,24102000,24495000,51375000,51654000,96203000,6979000,26872000,38123000,80000000,73647000,15985000,32419000
84,CAPEX,- -,-2800000,-5500000,-18100000,-29200000,-12300000,-87793000,-84111000,-57412000,-128708000,-74412000,-57056000,-15896000,-18349000,-9269000,-35350000,-26346000,-26908000,-174586000,-16471000,-36448000,-79012000,-68552000,-95043000,-192799000,-69391000,-31663000,-108236000,-179509000,-108673000,-12557000,-887000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,335000,- -,- -,- -,34482000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,200000,1000000,-6800000,-6700000,2300000,-172913000,-74505000,1977000,17494000,21157000,26259000,11995000,85810000,-24138000,51342000,12244000,- -,-173944000,-14096000,-15048000,-70555000,-47003000,32486000,-186468000,-69253000,-14071000,-91053000,-176204000,-84967000,-12557000,-518000
89,Cash Used for Investing Activites,- -,-2600000,-4500000,-25200000,-35900000,-10000000,-172578000,-74505000,1977000,-111214000,-18773000,-30797000,-3901000,67461000,-33407000,15992000,-14102000,-26908000,-173944000,-14096000,-15048000,-70555000,-47003000,32486000,-186468000,-69253000,-14071000,-91053000,-176204000,-84967000,-12557000,-518000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-131969000,- -,-32433000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10015000,-32736000,-13641000,-65153000,-32181000,-122826000,-47143000,-6064000,-65330000,-91786000,-31258000,-124692000,-9059000,-25816000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,11000,3926000,- -,- -,16000,- -,177000,3465000,11783000,455000,122441000,88000,- -,- -,62346000,- -,- -,53755000,- -,27135000,65224000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-434000,- -,-979000,- -,-78000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-100000,-400000,-366000,-183000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2900000,4600000,26400000,29300000,10200000,295799000,33497000,82003000,49124000,-3740000,20669000,-5158000,-95799000,46933000,-43720000,-1913000,-94972000,123472000,2633000,2825000,48773000,29870000,41812000,82220000,68106000,21854000,81110000,126711000,135145000,8406000,1174000
95,Cash Used/Provided by Financing Activities,- -,2900000,4600000,26400000,29200000,9800000,163030000,33325000,52517000,49124000,-3818000,20685000,-5158000,-95622000,50398000,-31937000,-1458000,27469000,113545000,-30103000,-10816000,45966000,-2311000,-81014000,88832000,62042000,-16341000,54548000,95453000,10453000,-653000,-24642000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-965000,-825000,617000,-576000,-550000,-187000,-78000,- -,- -,- -,- -,- -,- -,- -,-5000,- -,18000,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2900000,4600000,26400000,29200000,9800000,3996000,-5504000,58514000,-57591000,-1795000,5601000,-3036000,-4389000,50398000,-1242000,1000,18893000,-17012000,-63000,-1762000,45966000,-2311000,3144000,-1433000,-232000,-16341000,54548000,-751000,10453000,-653000,7259000
