,https://roic.ai/company/VRME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-1362299,-1050753,-1107120,-1406506,-1266811,-1610000,-970000,-930000,-690000,-720000,-670000,-1200000,-16390000,-7918500,-2301890,-1646260,-3385340,-2932460,-2507800,-5902000,3612000
21,Income Before Tax Ratio,-115.4197,-8.3196,-17.8220,-13.0007,-6.0567,-13.4167,-3.2333,-15.5000,-34.5000,-14.4000,-67.0000,-60.0000,-Infinity,-63.5514,-10.5946,-44.4215,-Infinity,-39.1621,-10.2464,-17.2070,4.1661
22,Income Tax expense (Gain),-310000,145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1052299,-1195753,-1107120,-1406506,-1266811,-1610000,-970000,-930000,-690000,-720000,-670000,-1200000,-16390000,-7918500,-2301890,-1646260,-3385340,-2932460,-2507800,-5902000,3612000
24,Net Income ratio,-89.1552,-9.4676,-17.8220,-13.0007,-6.0567,-13.4167,-3.2333,-15.5000,-34.5000,-14.4000,-67.0000,-60.0000,-Infinity,-63.5514,-10.5946,-44.4215,-Infinity,-39.1621,-10.2464,-17.2070,4.1661
25,EPS,-297.49,-254.99,-170.00,-127.50,-85.00,-85.00,-42.50,-1.08,-0.64,-42.50,-19.49,-42.50,-297.49,-127.50,-19.26,-9.88,-3.72,-1.43,-1.12,-1.48,0.91
26,EPS Diluted,-297.49,-254.99,-170.00,-127.50,-85.00,-85.00,-42.50,-1.08,-0.64,-42.50,-19.49,-42.50,-297.49,-127.50,-19.26,-9.88,-3.72,-1.43,-1.12,-1.48,0.91
27,Weighted Average Shares Outstanding,3318,4320,6625,12576,14258,16152,17280,860000,1080000,31991,34371,35426,58835,71472,119540,166613,1070466,2044063,2232112,3980202,3980202
28,Weighted Average Shares Outstanding Diluted,3318,4320,6625,12576,14258,16152,17280,860000,1080000,31991,34371,35426,58835,71472,119540,166613,1070466,2044063,2232112,3980202,3980202
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104038/000118811213001507/0001188112-13-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000118811214000884/0001188112-14-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000119312515366067/0001193125-15-366067-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104038/000121465917002515/0001214659-17-002515-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465918002854/0001214659-18-002854-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465919002423/0001214659-19-002423-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465920002426/0001214659-20-002426-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465921003448/0001214659-21-003448-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465922003917/0001214659-22-003917-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,122593,810264,676593,6705,- -,- -,- -,20000,80000,50000,2990000,1290000,63960,4150,22640,693000,1673200,252770,7939,9422000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,122593,810264,676593,6705,- -,- -,- -,20000,80000,50000,2990000,1290000,63960,4150,22640,693000,1673200,252770,7939,9422000
34,Net Receivables,- -,27358,994,27943,21778,10000,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,30370,81110,31,297000
35,Inventory,- -,- -,- -,20423,58820,40000,30000,20000,20000,20000,40000,20000,30000,97360,28690,17090,- -,41980,30160,54,52000
36,Other Current Assets,- -,11250,10197,9811,- -,140000,- -,10000,10000,170000,130000,760000,190000,181080,- -,9430,18670,25790,83290,177,240000
37,Total Current Assets,- -,161201,821455,734770,87303,190000,30000,30000,50000,280000,220000,3770000,1510000,342400,32840,49160,711670,1771340,447330,8201,10011000
38,PP&E,- -,7556,3022,21416,19401,10000,10000,10000,- -,- -,- -,- -,140000,144070,7840,- -,- -,- -,177020,- -,204000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,137993,53097,80297,132189,140000,150000,140000,130000,130000,120000,310000,120000,107590,259290,231950,191510,279280,318800,- -,509000
41,Intangible Assets,- -,137993,53097,80297,132189,140000,150000,140000,130000,130000,120000,310000,120000,107590,259290,231950,191510,279280,318800,- -,509000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10964000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,10000,- -,- -,20000,10000,- -,- -,50000,-32050,37200,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,145549,56119,101713,151590,160000,160000,150000,150000,140000,120000,310000,310000,219610,304330,231950,191510,279280,495820,- -,11677000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,573,- -
47,Total Assets,- -,306750,877574,836483,238893,350000,190000,180000,200000,420000,340000,4080000,1820000,562010,337170,281110,903180,2050620,943150,8774,21688000
48,Accounts Payable,- -,36736,104994,43328,333287,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122480,- -,- -,383,450000
49,Short-Term Debt,- -,- -,- -,- -,- -,805000,1245000,- -,- -,50000,50000,200000,50000,926553,50000,68069,50000,- -,297997,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,12500,12500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,385000,645000,890000,1190000,1440000,1580000,760000,1130000,5277657,2455350,1490901,923200,480250,712833,- -,- -
53,Total Current Liabilities,- -,36736,117494,55828,333287,1190000,1890000,890000,1190000,1490000,1630000,960000,1180000,6204210,2505350,1558970,1095680,480250,1010830,383,450000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1620000,1660000,2080000,2010000,1610000,330000,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,10000,3380000,6300000,6483590,- -,- -,- -,- -,- -,- -,71000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1620000,1660000,2070000,2020000,4990000,6630000,6483590,- -,- -,- -,- -,- -,- -,71000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,36736,117494,55828,333287,1190000,1890000,2510000,2850000,3560000,3650000,5950000,7810000,12687800,2505350,1558970,1095680,480250,1010830,455,521000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633333,633333,442,2478,325,305,- -,- -,- -
63,Common Stock,- -,19335,41990,60590,63590,70000,70000,70000,130000,160000,170000,250000,320000,337370,5980,8330,53520,102200,111540,6,7000
64,Retained Earnings,- -,-2669994,-3777114,-5183620,-6450431,-8060000,-9020000,-10110000,-10800000,-11520000,-12190000,-13390000,-29780000,-37696410,-39998290,-41644550,-56331090,-59263550,-61771350,- -,-64061000
65,Other Comprehensive Income/Loss,- -,-1889,-3275,-7965,-13203,-20000,-20000,-30000,-30000,-30000,-30000,-30000,-90000,- -,-3684660,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,2922562,4498479,5911650,6305650,7162336,7272517,7740000,8050000,8246550,8740949,13705743,22917546,24599914,41508348,40355889,56084741,60731410,61592130,8318994,- -
67,Total Stockholders Equity,- -,270014,760080,780655,-94394,-847664,-1697483,-2330000,-2650000,-3143450,-3309051,535743,-5999121,-12125793,-2168180,-1277853,-192504,1570365,-67680,8319000,21167000
68,Total Liabilities And Stockholders Equity,- -,306750,877574,836483,238893,342336,192517,180000,200000,416550,340949,6485743,1810879,562007,337170,281117,903176,2050615,943150,8319455,21688000
69,Minority Interest,- -,- -,- -,- -,- -,7664,-2517,- -,- -,3450,-949,-2405743,9121,3,- -,-7,4,5,- -,-8310681,- -
70,Total Liabilities & Equity,- -,306750,877574,836483,238893,350000,190000,180000,200000,420000,340000,4080000,1820000,562010,337170,281110,903180,2050620,943150,8774,21688000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104038/000118811213001507/0001188112-13-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000118811214000884/0001188112-14-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000119312515366067/0001193125-15-366067-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104038/000121465917002515/0001214659-17-002515-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465918002854/0001214659-18-002854-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465919002423/0001214659-19-002423-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465920002426/0001214659-20-002426-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465921003448/0001214659-21-003448-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465922003917/0001214659-22-003917-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1052299,-1195753,-1107120,-1406506,-1266811,-1610000,-970000,-930000,-690000,-720000,-670000,-1200000,-16390000,-7918500,-2301890,-1646260,-3385340,-2932460,-2507800,-5902000,3612000
74,Depreciation and Amortization,33988,278988,119700,9469,13105,264535,157263,- -,- -,13614,10904,13471,81929,82362,94123,30199,43095,20963,34294,98000,117000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139808,323120,138442,76000,1631000
77,Change in Working Capital,17242,579496,-25019,-924926,-754016,-860000,1000000,-280000,-70000,-200000,4220000,-2480000,-6191810,3389300,962700,1125800,1675100,-1854590,571318,2856,-258000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3473,-100,3573,- -,- -,- -,-30373,-50740,50000,-354000
79,Inventory,- -,- -,- -,-20423,-38397,15595,14499,10000,- -,-4662,-11451,15157,-14291,-63089,68673,11594,17093,-41982,11824,-24000,2000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,124465,703961,678942,-245984,-1000000,-1860000,-860000,-1140000,-1210000,-1410000,2810000,330000,-5861810,-2472510,-1509810,-384010,1291090,-563500,7818,10674,- -
82,Other Non-Cash Items,323250,-480879,371042,1309874,1400815,1355149,-608619,840000,490000,536891,-3874789,3299469,19711112,2426821,-250248,-854447,591419,2066253,184334,3444144,-8356000
83,Cash Provided by Operating Activities,-677819,-818148,-641397,-1012089,-606907,-850316,-421356,-370000,-270000,-369495,-313885,-367060,-2788769,-2020017,-1495315,-1344708,-935918,-2376714,-1579412,-2281000,-3254000
84,CAPEX,- -,-9445,- -,-23084,-3220,-15141,-20354,-10000,- -,-2500,-3577,-9025,-32527,- -,-2532,- -,-2650,-108736,-302330,-125000,-258000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2593000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-35000,-9398,-25549,-31979,-59761,5000,-5000,- -,- -,-2500,-3577,-6665,-21954,- -,-100,- -,-2650,-108736,-73815,-103000,-201000
89,Cash Used for Investing Activites,-35000,-18843,-25549,-55063,-62981,-10141,-25354,-10000,- -,-2500,-3577,-9025,-32527,- -,-2532,- -,-2650,-108736,-302330,-125000,-2851000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-58500,-6251,-150000,- -,-50000,- -,- -,- -,- -,-750000,-3000
91,Common Stock Issued,325000,690600,1354352,958481,- -,55810,- -,- -,- -,- -,400000,2060000,235000,- -,50000,- -,1327925,1153645,- -,9023000,8447000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17795,- -,- -,- -,- -,- -,- -,- -,- -,- -,-725000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,265,-25000,- -,800000,445000,370000,300000,444500,-30000,1263113,1027919,798000,1438043,1363200,281000,2312005,461307,1819000,-131000
95,Cash Used/Provided by Financing Activities,325000,690600,1354617,933481,- -,855810,445000,370000,300000,424500,293705,3316862,1112919,798000,1438043,1363200,1608925,3465650,461307,10092000,7588000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-387819,-146391,687671,-133671,-669888,-4647,-1710,- -,20000,52505,-23757,2940777,-1708377,-1222017,-59804,18492,670357,980200,-1420435,7686000,1483000
98,Cash at the End of Period,268984,122593,810264,676593,6705,2058,348,- -,20000,77330,53573,2994350,1285973,63956,4152,22644,693001,1673201,252766,7939000,9422000
99,Cash at the Beginning of Period,656803,268984,122593,810264,676593,6705,2058,- -,- -,24825,77330,53573,2994350,1285973,63956,4152,22644,693001,1673201,253000,7939000
100,Free Cash Flow,-677819,-827593,-641397,-1035173,-610127,-865457,-441710,-380000,-270000,-371995,-317462,-376085,-2821296,-2020017,-1497847,-1344708,-938568,-2485450,-1881742,-2406000,-3512000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104038/000118811213001507/0001188112-13-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000118811214000884/0001188112-14-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000119312515366067/0001193125-15-366067-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104038/000121465917002515/0001214659-17-002515-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465918002854/0001214659-18-002854-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465919002423/0001214659-19-002423-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465920002426/0001214659-20-002426-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465921003448/0001214659-21-003448-index.htm,https://www.sec.gov/Archives/edgar/data/1104038/000121465922003917/0001214659-22-003917-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
