,https://roic.ai/company/PRKR,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,500000,880952,883721,1000000,1066667,1146341,1169811,1264250,1384206,1392889,1539496,1806652,2026267,2325832,2461273,2634121,3296381,4296022,6003885,7599927,8896804,9622595,9842334,12244254,17688000,24429000,31461000,47019000,31461000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914139/000114420407011786/v067801_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000114420408015547/v107057_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834409000310/0001398344-09-000310-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834410000409/0001398344-10-000409-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834411000730/fp0002726_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834412001210/0001398344-12-001210-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834413001491/0001398344-13-001491-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834414001696/fp0009962_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413915000006/prkr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834416011416/0001398344-16-011416-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413917000025/0000914139-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413918000010/0000914139-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/914139/000156276219000094/0001562762-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413920000009/prkr-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413921000006/0000914139-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413922000007/0000914139-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1600000,2100000,10600000,2100000,31371904,4563535,1087033,17467875,6434901,10273635,13225528,13400832,4814659,13490612,213398,213438,298227,222697,218925,175401,257958,354000,1527000,57000,1627,1030
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,17500000,7947120,26908362,13867763,3008427,1363571,295555,- -,- -,- -,- -,6315911,5026398,8041904,16957489,10985000,1789947,13618,26000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,1600000,2100000,10600000,19600000,39319024,31471897,14954796,20476302,7798472,10569190,13225528,13400832,4814659,13490612,6529309,5239836,8340131,17180186,11203925,1965348,271576,380000,1527000,57000,1627,1030
34,Net Receivables,- -,- -,- -,1300000,1000000,1000000,900000,2343916,946635,2158577,988849,1587897,14854,- -,- -,- -,101305,- -,- -,- -,- -,- -,4119,1240,27000,2000,- -,- -,- -
35,Inventory,- -,- -,- -,2000000,3000000,3200000,3900000,3993009,4319539,3090884,2476985,2625763,- -,- -,- -,- -,- -,- -,- -,- -,- -,66468,160776,169539,1025000,98000,- -,- -,- -
36,Other Current Assets,- -,- -,- -,4200000,19500000,12100000,900000,3391595,3049099,2587376,2366792,1781595,1680900,1147035,1028952,855253,493157,553976,661788,977310,551961,812577,222370,1596373,2011000,658000,622000,607,599
37,Total Current Assets,- -,- -,- -,9100000,25600000,26900000,25300000,49047544,39787170,22791633,26308928,13793727,12264944,14372563,14429784,5669912,14085074,7083285,5901624,9317441,17732147,12082970,2352613,2038728,3443000,2285000,679000,2234,1629
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30,14
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,9719677,9845722,9876103,10078439,9408093,9004263,- -,8552432,8002638,7574933,6268231,5076000,3902000,2878000,2170,1785
41,Intangible Assets,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,9719677,9845722,9876103,10078439,9408093,9004263,8978101,8552432,8002638,7574933,6268231,5076000,3902000,2878000,2170,1785
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,9100000,13100000,12500000,7500000,14560350,14386634,15054337,16173882,14286911,11566686,2583107,2301051,2429884,1381908,1104325,936084,424312,309961,633084,445543,269252,391000,144000,369000,- -,12
45,Total Non-Current Assets,- -,- -,- -,9100000,13100000,13400000,7500000,14560350,14386634,15054337,16173882,14286911,11566686,12302784,12146773,12305987,11460347,10512418,9940347,9402413,8862393,8635722,8020476,6537483,5467000,4046000,3247000,2200,1811
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,18200000,38700000,40300000,32800000,63607894,54173804,37845970,42482810,28080638,23831630,26675347,26576557,17975899,25545421,17595703,15841971,18719854,26594540,20718692,10373089,8576211,8910000,6331000,3926000,4434,3440
48,Accounts Payable,- -,- -,- -,600000,600000,600000,600000,893406,938488,759242,693820,857954,446953,382489,393225,811381,264059,238783,613806,827209,1246470,475200,2318671,595271,678000,655000,2328000,4318,706
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,825000,294000,2437000,1533000,65,155
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,985612,1003466,1226929,407403,- -,- -,- -,- -,164015,118456,75804,75144,- -,- -,20981,19476,19000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,300000,600000,600000,2000000,2554314,1671626,1935900,1163403,2057430,985093,676902,1425146,815844,1079508,592121,673864,1239836,1280109,1489585,1698170,1068556,2668000,1264000,2277000,1606,785
53,Total Current Liabilities,- -,- -,- -,900000,1200000,1200000,2600000,3447720,3595726,3698608,3084152,3322787,1432046,1059391,1818371,1627225,1507582,949360,1363474,2142189,2526579,1964785,4037822,2508303,3659000,4356000,6138000,5989,1646
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16427000,1636000,3526000,146,4
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117038,42986,137878,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,139769,30748,100773,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,10000,100000,100000,- -,- -,- -,- -,- -,- -,433340,343747,238470,37495,11649,- -,57678,21669,138208,52482,14186692,68000,25649000,27359000,-17,46567
58,Total Non-Current Liabilities,- -,- -,- -,- -,10000,100000,100000,139769,30748,100773,- -,- -,- -,433340,343747,238470,154533,54635,137878,57678,21669,138208,52482,14186692,16495000,27285000,30885000,129,46571
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36428,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37495,11649,- -,33915,7290,10244,285,- -,2000,177000,555000,305000,- -
61,Total Liabilities,- -,- -,- -,900000,1200000,1300000,2700000,3587489,3626474,3799381,3084152,3322787,1432046,1492731,2162118,1865695,1662115,1003995,1501352,2199867,2548248,2102993,4090304,16694995,20154000,31641000,37023000,42288,46571
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,13678,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,100000,134457,139138,139893,179595,180063,209588,233876,251829,267161,411603,527520,675738,829036,932085,971834,110152,131830,212000,287000,341000,586,770
64,Retained Earnings,- -,- -,- -,-9400000,-12300000,-17000000,-26800000,-39772065,-56382532,-73654354,-95669152,-110483695,-133583143,-149398801,-167612223,-190686120,-212215731,-227243250,-241816603,-262138415,-290010708,-313579663,-330654670,-352163940,-371423000,-392292000,-401783000,- -,-433412
65,Other Comprehensive Income/Loss,- -,- -,- -,-2000000,-2400000,-3200000,-4000000,-4936874,-6700430,-8483517,-10399659,-8907898,-7321303,-7759686,-8235475,-8795369,-8944304,-9369891,-8951712,-9021450,-9190843,-9292065,-9346262,-9029268,-7151000,-2394000,-266000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,28700000,52200000,59200000,60800000,104594887,113491154,116030889,145287874,143969381,163094442,182107227,200010308,215324532,244631738,252677329,264433196,286850816,322315758,340515593,346173565,352942594,367118000,369089000,368611000,-43821586,387865
67,Total Stockholders Equity,- -,- -,- -,17300000,37500000,39000000,30100000,60020405,50547330,34046589,39398658,24757851,22399584,25182616,24414439,16110204,23883306,16591708,14340619,16519987,24046292,18615699,6282785,-8118784,-11244000,-25310000,-33097000,-43821000,-44777
68,Total Liabilities And Stockholders Equity,- -,- -,- -,18200000,38700000,40300000,32800000,63607894,54173804,37845970,42482810,28080638,23831630,26675347,26576557,17975899,25545421,17595703,15841971,18719854,26594540,20718692,10373089,8576211,8910000,6331000,3926000,-43778712,1794
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43783146,1646
70,Total Liabilities & Equity,- -,- -,- -,18200000,38700000,40300000,32800000,63607894,54173804,37845970,42482810,28080638,23831630,26675347,26576557,17975899,25545421,17595703,15841971,18719854,26594540,20718692,10373089,8576211,8910000,6331000,3926000,4434,3440
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914139/000114420407011786/v067801_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000114420408015547/v107057_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834409000310/0001398344-09-000310-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834410000409/0001398344-10-000409-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834411000730/fp0002726_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834412001210/0001398344-12-001210-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834413001491/0001398344-13-001491-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834414001696/fp0009962_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413915000006/prkr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834416011416/0001398344-16-011416-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413917000025/0000914139-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413918000010/0000914139-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/914139/000156276219000094/0001562762-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413920000009/prkr-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413921000006/0000914139-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413922000007/0000914139-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2400000,-3700000,-3800000,-1700000,-2900000,-4700000,-9700000,-13021773,-16610467,-17271822,-22014798,-14814543,-23099448,-15815658,-18213422,-23073897,-21529611,-15027519,-14573353,-20321812,-27872293,-23568955,-17075007,-21509270,-19259000,-20869000,-9453000,-19578000,-12330000
74,Depreciation and Amortization,300000,300000,400000,500000,600000,900000,1500000,1720383,2850856,3232236,3108323,3143821,2487761,1692058,1649014,1620550,1741199,1689218,1327794,1238044,1252142,1389115,1308511,1374577,1301000,1209000,835000,632000,368000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4993656,2727505,1437174,3553414,6931438,4528232,1101523,2210238,2164000,1050000,589000,1244000,3315000
77,Change in Working Capital,-400000,- -,- -,8200000,16200000,1300000,-3000000,22899824,-9408380,-17098419,4131751,-12753836,361958,2480274,-701759,-8568726,8534805,-6443567,-1595775,2637102,8030316,-5087383,-11803394,1215634,253575,-1855000,-3388000,5455245,3738
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101305,101305,- -,- -,- -,- -,-4119,2879,-26000,25000,2000,- -,- -
79,Inventory,100000,-500000,-900000,- -,-1100000,-500000,-900000,-390093,-646530,707082,212628,-5535571,307237,- -,- -,- -,- -,- -,- -,- -,- -,-66468,-19710,922,-980000,-207000,81000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757000,-3917000
81,Other Working Capital,- -,- -,- -,8200000,24400000,25700000,22700000,45599824,36191444,19093025,23224776,10470940,10832898,13313172,12611413,4042687,12577492,6133925,4538150,7175252,15205568,10118185,-1685209,-469575,-216000,-2071000,-5459000,-3755,-17
82,Other Non-Cash Items,-100000,-200000,-1000000,-8300000,-17300000,-3100000,3600000,-21895644,12366957,16951170,-1732142,2616024,4582795,198223,3724740,12930045,-8554133,5869561,1995185,-1770431,-7203016,4283926,14747133,2344766,1480425,10168000,8044000,7469755,941262
83,Cash Provided by Operating Activities,-2600000,-3600000,-4400000,-1300000,-3400000,-5600000,-7600000,-10297210,-10801034,-14186835,-16506866,-21808534,-15666934,-11445103,-13541427,-17092028,-14814084,-11184802,-11408975,-14663683,-18861413,-18455065,-11721234,-14364055,-14060000,-10297000,-3373000,-4777000,-7702000
84,CAPEX,- -,-400000,-600000,-900000,-1500000,-1000000,-1500000,-5115619,-1434740,-1318947,-1172715,-995567,-744043,-2421757,-1427749,-1777507,-993247,-767452,-738072,-1162277,-730538,-1074725,-744424,-158511,-313000,-21000,-23000,2000,-3000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-15100000,- -,-8800000,-11900000,-22700000,-8000000,-9700000,- -,-25252137,-16786291,-5603060,- -,-250000,- -,- -,- -,- -,-11818540,-9439760,-16799888,-27096006,-11606165,-2700706,-4404605,-4813000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,8700000,10500000,6100000,5500000,17500000,11000000,10000000,6447302,29863504,16256385,1570000,1290000,295000,- -,- -,- -,5500000,10725000,13800000,18160000,17580000,11880000,6180000,4810000,26000,- -,- -,- -
88,Other Investing Activites,- -,-200000,- -,- -,-100000,- -,-1600000,-2297536,-2252466,-1548518,-738143,10201127,-1332968,36867,- -,- -,-732392,-637607,-609851,-1026736,-652029,-673457,-688953,-152528,-43000,34000,12000,-3000,- -
89,Cash Used for Investing Activites,-15100000,8100000,1100000,-6700000,-18800000,8500000,-1800000,2586845,-22492041,10209748,8742467,10775560,-1037011,-2089890,-1427749,-1777507,-807270,-7085992,547168,-4162165,-9666544,4899110,8439070,1616884,-298000,55000,7000,-1000,-3000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11750,-22652,-25845,-26731,-22928,-49732,-151983,-51863,-2000,-134000,-1201000,-1272000,-100000
91,Common Stock Issued,16600000,- -,100000,8200000,22800000,5500000,900000,36953527,6484706,500585,24145241,- -,20542679,16486886,15144480,10298662,24271557,5016232,10556754,17555674,- -,11946365,3390623,- -,13679000,5276000,- -,4801000,6186000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15300,37500,- -,330938,1381694,28475355,1655550,- -,13792429,866000,5273000,3097000,2819000,1022000
95,Cash Used/Provided by Financing Activities,17800000,- -,100000,8200000,22800000,5500000,900000,36953527,6484706,500585,24145241,- -,20542679,16486886,15144480,10283362,24297307,4993580,10861847,18910637,28452427,13552183,3238640,13740566,14543000,10415000,1896000,6348000,7108000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,17800000,- -,100000,- -,- -,- -,-8500000,29243162,-26808369,-3476502,16380842,-11032974,3838734,2951893,175304,-8586173,8675953,-13277214,40,84789,-75530,-3772,-43524,993395,185000,173000,-1470000,1570000,-597000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,2100000,31371904,4563535,1087033,17467875,6434901,10273635,13225528,13400832,4814659,13490612,213398,213438,298227,222697,218925,175401,1168796,1354000,1527000,57000,1627000,1030000
99,Cash at the Beginning of Period,- -,100000,4500000,1300000,1600000,2100000,10600000,2128742,31371904,4563535,1087033,17467875,6434901,10273635,13225528,13400832,4814659,13490612,213398,213438,298227,222697,218925,175401,1169000,1354000,1527000,57000,1627000
100,Free Cash Flow,-2600000,-4000000,-5000000,-2200000,-4900000,-6600000,-9100000,-15412829,-12235774,-15505782,-17679581,-22804101,-16410977,-13866860,-14969176,-18869535,-15807331,-11952254,-12147047,-15825960,-19591951,-19529790,-12465658,-14522566,-14373000,-10318000,-3396000,-4775000,-7705000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914139/000114420407011786/v067801_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000114420408015547/v107057_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834409000310/0001398344-09-000310-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834410000409/0001398344-10-000409-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834411000730/fp0002726_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834412001210/0001398344-12-001210-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834413001491/0001398344-13-001491-index.html,https://www.sec.gov/Archives/edgar/data/914139/000139834414001696/fp0009962_10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413915000006/prkr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000139834416011416/0001398344-16-011416-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413917000025/0000914139-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413918000010/0000914139-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/914139/000156276219000094/0001562762-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/914139/000091413920000009/prkr-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413921000006/0000914139-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/914139/000091413922000007/0000914139-22-000007-index.htm
