,https://roic.ai/company/HMTV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1567345/000104746914003172/0001047469-14-003172-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746915002977/0001047469-15-002977-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746916011122/0001047469-16-011122-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746917001630/0001047469-17-001630-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746918001694/0001047469-18-001694-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746919001116/0001047469-19-001116-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746920001329/0001047469-20-001329-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000110465921036355/0001104659-21-036355-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000110465922034535/0001104659-22-034535-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10084000,176622000,142010000,179532000,163090000,124299000,94478000,92151000,134471000,49477000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,29782000,- -
33,Cash and Short-Term Investments,- -,10084000,176622000,142010000,179532000,163090000,124299000,94478000,92151000,164253000,49477000
34,Net Receivables,- -,10511000,17731000,26097000,27241000,27071000,22176000,31810000,30895000,36898000,33738000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,8814000,9826000,17734000,10093000,13354000,20240000,18536000,22694000,-12183000,43149000
37,Total Current Assets,- -,29409000,204179000,185841000,216866000,203515000,166715000,144824000,145740000,188968000,126364000
38,PP&E,- -,26861000,24675000,23867000,25397000,25501000,24433000,32209000,36152000,33618000,32835000
39,Goodwill,- -,10983000,130794000,164887000,164887000,164887000,164887000,169994000,167322000,165597000,231710000
40,Intangible Assets,- -,45698000,82966000,139619000,126998000,116655000,104537000,95763000,88747000,79547000,115110000
41,Intangible Assets,- -,56681000,213760000,304506000,291885000,281542000,269424000,265757000,256069000,245144000,346820000
42,Investments,- -,- -,- -,- -,- -,- -,30907000,51658000,49639000,29782000,24171000
43,Tax Assets,- -,863000,- -,- -,13280000,18638000,4802000,4290000,1208000,- -,22427000
44,Other Non-Current Assets,- -,2044000,4034000,4183000,3722000,1245000,1605000,2529000,3979000,4333000,47294000
45,Total Non-Current Assets,- -,86449000,242469000,332556000,334284000,326926000,331171000,356443000,347047000,312877000,473547000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,115858000,446648000,518397000,551150000,530441000,497886000,501267000,492787000,501845000,599911000
48,Accounts Payable,- -,912000,1566000,2176000,2463000,3525000,3465000,2515000,1925000,2350000,11533000
49,Short-Term Debt,- -,4608000,1750000,2250000,8278000,- -,2133000,2134000,2134000,2134000,2656000
50,Tax Payable,- -,- -,- -,- -,902000,1619000,70000,2265000,- -,2233000,1353000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,19306000,7400000
52,Other Current Liabilities,- -,15249000,26861000,23605000,29109000,26526000,26007000,35269000,30128000,18867000,51682000
53,Total Current Liabilities,- -,20769000,30177000,28031000,39850000,30051000,31605000,39918000,34187000,42657000,73271000
54,Long-Term Debt,- -,52404000,170731000,219541000,211645000,210270000,205509000,203957000,202406000,200856000,246919000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22427000
56,Deferred Tax Liabilities,- -,- -,2040000,11670000,17928000,17829000,18763000,19520000,19331000,19306000,22427000
57,Other Non-Current Liabilities,- -,3026000,2912000,2742000,3086000,2951000,3105000,4473000,6194000,7540000,-14681000
58,Total Non-Current Liabilities,- -,55430000,175683000,233953000,232659000,231050000,227377000,227950000,227931000,227702000,277092000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,76199000,205860000,261984000,272509000,261101000,258982000,267868000,262118000,270359000,350363000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4000,4000,4000,4000,5000,4000,5000,5000,5000
64,Retained Earnings,- -,5838000,1541000,12098000,25837000,43837000,30401000,19495000,16075000,14840000,26352000
65,Other Comprehensive Income/Loss,- -,-787000,-636000,-586000,-607000,-483000,472000,1155000,-792000,-2187000,-732000
66,Other Total Stockholders Equity,- -,49901000,239879000,244897000,253407000,225982000,208026000,211257000,213997000,218347000,223923000
67,Total Stockholders Equity,- -,39659000,240788000,256413000,278641000,269340000,238904000,231911000,229285000,231005000,249548000
68,Total Liabilities And Stockholders Equity,- -,115858000,446648000,518397000,551150000,530441000,497886000,499779000,491403000,501364000,599911000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1488000,1384000,481000,- -
70,Total Liabilities & Equity,- -,115858000,446648000,518397000,551150000,530441000,497886000,501267000,492787000,501845000,599911000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1567345/000104746914003172/0001047469-14-003172-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746915002977/0001047469-15-002977-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746916011122/0001047469-16-011122-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746917001630/0001047469-17-001630-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746918001694/0001047469-18-001694-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746919001116/0001047469-19-001116-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746920001329/0001047469-20-001329-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000110465921036355/0001104659-21-036355-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000110465922034535/0001104659-22-034535-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,7604000,11030000,-4297000,10557000,13739000,18000000,-13436000,-10906000,-3367000,-1235000,11031000
74,Depreciation and Amortization,9406000,11094000,18084000,26922000,28921000,28790000,28034000,28590000,26667000,28867000,- -
75,Deferred Income Tax,2809000,1719000,1029000,-2727000,-2838000,-5429000,14473000,1040000,3593000,1587000,- -
76,Stock Based Compensation,- -,- -,7192000,5920000,5575000,4691000,4068000,3933000,4808000,5282000,- -
77,Change in Working Capital,-7040000,8205000,165362000,-16192000,19206000,-3552000,-38354000,-30204000,6647000,34758000,-93218000
78,Accounts Receivable,-2417000,-7000,-1030000,-7430000,-1676000,-453000,4803000,-9831000,-993000,-7608000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-241000,-55000,563000,610000,287000,1062000,-60000,-1209000,-590000,425000,- -
81,Other Working Capital,435000,8640000,174002000,157810000,177016000,173464000,135110000,104906000,111553000,146311000,53093000
82,Other Non-Cash Items,842000,-15559000,-180352000,-1206000,-22411000,-15055000,30926000,44337000,-2729000,-13280000,82187000
83,Cash Provided by Operating Activities,13621000,16489000,7018000,23274000,42192000,27445000,25711000,36790000,35619000,55979000,- -
84,CAPEX,-2122000,-3800000,-1802000,-2971000,-5358000,-3392000,-2496000,-10628000,-5376000,-2386000,- -
85,Acquisitions Net,- -,- -,- -,-101891000,- -,-111000,-39986000,-54554000,-31747000,-9364000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-111000,-39986000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2083000,-3750000,-1786000,-2961000,-5355000,-3271000,40740000,-7071000,-1998000,-1229000,- -
89,Cash Used for Investing Activites,-2083000,-3750000,-1786000,-104852000,-5355000,-3493000,-39232000,-61625000,-33745000,-10593000,- -
90,Debt Repayment,-1650000,-7338000,-89984000,-21941000,-2250000,-8278000,-2133000,-2133000,-2133000,-2134000,- -
91,Common Stock Issued,- -,- -,- -,1000,5407000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-938000,-1023000,-1183000,-31925000,-22234000,-2873000,-2175000,-932000,- -
93,Dividends Paid,-24000000,-5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19194000,- -,252228000,69929000,-1289000,-191000,-903000,20000,107000,- -,- -
95,Cash Used/Provided by Financing Activities,-6456000,-12838000,161306000,46966000,685000,-40394000,-25270000,-4986000,-4201000,-3066000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5082000,-99000,166538000,-34612000,37522000,-16442000,-38791000,-29821000,-2327000,42320000,- -
98,Cash at the End of Period,10183000,10084000,176622000,142010000,179532000,163090000,124299000,94478000,92151000,134471000,- -
99,Cash at the Beginning of Period,5101000,10183000,10084000,176622000,142010000,179532000,163090000,124299000,94478000,92151000,134471000
100,Free Cash Flow,11499000,12689000,5216000,20303000,36834000,24053000,23215000,26162000,30243000,53593000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1567345/000104746914003172/0001047469-14-003172-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746915002977/0001047469-15-002977-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746916011122/0001047469-16-011122-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746917001630/0001047469-17-001630-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746918001694/0001047469-18-001694-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746919001116/0001047469-19-001116-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000104746920001329/0001047469-20-001329-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000110465921036355/0001104659-21-036355-index.htm,https://www.sec.gov/Archives/edgar/data/1567345/000110465922034535/0001104659-22-034535-index.htm
102,false,,,,,,,,,,,
