,https://roic.ai/company/WMG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,-6026000000,-1353000000,-68000000,-224000000,13000000,274000000,282000000,45000000,-186000000,-34000000,133000000,29000000,-13000000,231000000,329000000,243000000,836000000,676000000,-64000000,881000000
16,EBITDA ratio,- -,-1.8316,-0.4008,-0.0384,-0.0640,0.0037,0.0809,0.0808,0.0142,-0.0623,-0.0614,0.0478,0.0101,-0.0043,0.0779,0.1014,0.0680,0.2087,0.1511,-0.0143,0.1662
17,Operating Income,- -,-1542000000,- -,18000000,84000000,283000000,215000000,207000000,135000000,90000000,34000000,109000000,75000000,19000000,127000000,214000000,222000000,217000000,356000000,-229000000,609000000
18,Operating Income ratio,- -,-0.4687,- -,0.0102,0.0240,0.0805,0.0635,0.0593,0.0425,0.0302,0.0614,0.0392,0.0261,0.0063,0.0428,0.0659,0.0621,0.0542,0.0796,-0.0513,0.1149
19,Total Other Income Expenses (Gains),- -,- -,- -,-226000000,-198000000,-176000000,-187000000,-193000000,-185000000,-194000000,-62000000,-217000000,-271000000,-369000000,-202000000,-173000000,-224000000,225000000,-89000000,-218000000,-153000000
20,Income Before Tax,- -,- -,- -,-208000000,-114000000,107000000,28000000,14000000,-50000000,-104000000,-28000000,-108000000,-196000000,-350000000,-75000000,41000000,-2000000,442000000,267000000,-447000000,456000000
21,Income Before Tax Ratio,- -,- -,- -,-0.1176,-0.0326,0.0304,0.0083,0.0040,-0.0157,-0.0349,-0.0505,-0.0388,-0.0683,-0.1156,-0.0253,0.0126,-0.0006,0.1104,0.0597,-0.1002,0.0860
22,Income Tax expense (Gain),- -,- -,- -,30000000,-55000000,-47000000,-49000000,-49000000,-50000000,-41000000,-3000000,1000000,-31000000,-26000000,13000000,11000000,-151000000,130000000,9000000,23000000,149000000
23,Net Income,- -,-6026000000,-1353000000,-238000000,-169000000,60000000,77000000,63000000,-100000000,-145000000,-31000000,-112000000,-198000000,-308000000,-91000000,25000000,143000000,307000000,256000000,-475000000,304000000
24,Net Income ratio,- -,-1.8316,-0.4008,-0.1345,-0.0483,0.0171,0.0227,0.0180,-0.0315,-0.0486,-0.0560,-0.0403,-0.0690,-0.1018,-0.0307,0.0077,0.0400,0.0767,0.0572,-0.1064,0.0573
25,EPS,- -,-12.00,-2.70,-0.47,-1.40,0.42,-0.14,-0.38,-0.67,-0.96,-0.06,-0.71,-0.39,-0.61,-0.18,0.05,0.28,0.61,0.51,-0.95,0.58
26,EPS Diluted,- -,-12.00,-2.70,-0.47,-1.40,0.40,-0.14,-0.38,-0.67,-0.96,-0.06,-0.71,-0.39,-0.61,-0.18,0.05,0.28,0.61,0.51,-0.95,0.58
27,Weighted Average Shares Outstanding,- -,501991944,501991944,501991944,120900000,142800000,146200000,148300000,149400000,149700000,510000000,501991944,501991944,501991944,501991944,501991944,501991944,501991944,501991944,500000000,524137931
28,Weighted Average Shares Outstanding Diluted,- -,501991944,501991944,501991944,120900000,150900000,146200000,148300000,149400000,149700000,510000000,501991944,501991944,501991944,501991944,501991944,501991944,501991944,501991944,500000000,524137931
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1319161/000119312505234771/0001193125-05-234771-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000119312506244913/0001193125-06-244913-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000119312507255544/0001193125-07-255544-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312508242720/0001193125-08-242720-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312509240833/0001193125-09-240833-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312510262567/0001193125-10-262567-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312511334332/0001193125-11-334332-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312512500884/0001193125-12-500884-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312513470757/0001193125-13-470757-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459014006162/0001564590-14-006162-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459015011396/0001564590-15-011396-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459016029963/0001564590-16-029963-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459017024528/0001564590-17-024528-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459018031166/0001564590-18-031166-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000131916119000010/0001319161-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000131916120000032/0001319161-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000131916121000036/0001319161-21-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,41000000,144000000,555000000,288000000,367000000,333000000,98000000,188000000,176000000,154000000,302000000,155000000,157000000,246000000,359000000,647000000,514000000,619000000,553000000,499000000
32,Short-Term Investments,- -,- -,- -,- -,21000000,18000000,146000000,-185000000,-332000000,-454000000,195000000,167000000,2811000000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,41000000,144000000,555000000,309000000,385000000,479000000,-87000000,-144000000,-278000000,349000000,469000000,2966000000,157000000,246000000,359000000,647000000,514000000,619000000,553000000,499000000
34,Net Receivables,- -,- -,- -,571000000,637000000,585000000,555000000,538000000,544000000,434000000,385000000,398000000,511000000,383000000,349000000,329000000,404000000,447000000,775000000,771000000,839000000
35,Inventory,- -,- -,- -,65000000,52000000,59000000,58000000,57000000,46000000,37000000,29000000,28000000,33000000,39000000,42000000,41000000,39000000,42000000,74000000,79000000,99000000
36,Other Current Assets,- -,- -,- -,347000000,244000000,271000000,103000000,-410000000,-258000000,-17000000,86000000,44000000,-2616000000,203000000,190000000,179000000,185000000,173000000,223000000,275000000,459000000
37,Total Current Assets,- -,- -,- -,1538000000,1242000000,1300000000,1195000000,98000000,188000000,176000000,849000000,939000000,894000000,782000000,827000000,908000000,1275000000,1176000000,1691000000,1678000000,1896000000
38,PP&E,- -,- -,- -,189000000,157000000,146000000,133000000,117000000,100000000,121000000,182000000,152000000,180000000,227000000,220000000,203000000,213000000,229000000,300000000,604000000,632000000
39,Goodwill,- -,- -,- -,- -,869000000,929000000,1065000000,1078000000,1040000000,1057000000,1366000000,1380000000,1668000000,1661000000,1632000000,1627000000,1685000000,1692000000,1761000000,1831000000,1830000000
40,Intangible Assets,- -,- -,- -,3015000000,1815000000,1711000000,1632000000,1496000000,1317000000,1119000000,102000000,102000000,120000000,120000000,2633000000,2317000000,2207000000,2005000000,1874000000,1807000000,2171000000
41,Intangible Assets,- -,- -,- -,3015000000,2684000000,2640000000,2697000000,2574000000,2357000000,2176000000,1468000000,1482000000,1788000000,1781000000,4265000000,3944000000,3892000000,3697000000,3635000000,3638000000,4001000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,227000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,51000000,43000000,46000000,302000000,269000000,190000000,165000000,172000000,68000000,31000000
44,Other Non-Current Assets,- -,- -,- -,348000000,- -,- -,- -,-2876000000,-3018000000,-2746000000,2916000000,2654000000,3347000000,3118000000,7000000,11000000,148000000,77000000,219000000,422000000,651000000
45,Total Non-Current Assets,- -,- -,- -,3552000000,2841000000,2786000000,2830000000,-185000000,-334000000,-440000000,4620000000,4339000000,5358000000,5172000000,4794000000,4427000000,4443000000,4168000000,4326000000,4732000000,5315000000
46,Other Assets,- -,5679000000,4484000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5679000000,4484000000,5090000000,4083000000,4086000000,4025000000,-87000000,-146000000,-264000000,5469000000,5278000000,6252000000,5954000000,5621000000,5335000000,5718000000,5344000000,6017000000,6410000000,7211000000
48,Accounts Payable,- -,- -,- -,226000000,247000000,209000000,225000000,219000000,219000000,206000000,165000000,156000000,280000000,215000000,173000000,204000000,208000000,281000000,260000000,264000000,302000000
49,Short-Term Debt,- -,- -,- -,354000000,17000000,17000000,17000000,17000000,- -,- -,- -,- -,13000000,13000000,13000000,- -,- -,- -,- -,39000000,43000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,117000000,113000000,100000000,101000000,101000000,139000000,219000000,206000000,178000000,197000000,208000000,180000000,297000000,348000000
52,Other Current Liabilities,- -,- -,- -,1600000000,1484000000,1573000000,1640000000,-350000000,-330000000,1415000000,1299000000,1349000000,1568000000,1438000000,1465000000,1460000000,1695000000,1884000000,2379000000,2120000000,2457000000
53,Total Current Liabilities,- -,- -,- -,2180000000,1748000000,1799000000,1882000000,3000000,2000000,1721000000,1565000000,1606000000,2000000000,1885000000,1857000000,1842000000,2100000000,2373000000,2819000000,2720000000,3150000000
54,Long-Term Debt,- -,- -,- -,1828000000,17000000,17000000,17000000,17000000,1939000000,1945000000,2217000000,2206000000,2854000000,3017000000,2981000000,2778000000,2811000000,2819000000,2974000000,3104000000,3633000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,265000000,- -,- -,- -,- -,- -,- -,420000000,375000000,439000000,383000000,352000000,269000000,190000000,165000000,172000000,163000000,207000000
57,Other Non-Current Liabilities,- -,- -,- -,333000000,226000000,224000000,225000000,-4000000,-5000000,1000000,154000000,147000000,216000000,279000000,210000000,251000000,324000000,321000000,341000000,468000000,175000000
58,Total Non-Current Liabilities,- -,- -,- -,2426000000,243000000,241000000,242000000,13000000,1934000000,1946000000,2791000000,2728000000,3518000000,3679000000,3543000000,3298000000,3325000000,3305000000,3487000000,3735000000,4015000000
59,Other Liabilities,- -,2678000000,2897000000,- -,2904000000,2904000000,2968000000,- -,- -,- -,5599000000,5473000000,7044000000,7377000000,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338000000,330000000
61,Total Liabilities,- -,2678000000,2897000000,4606000000,4409000000,4462000000,4608000000,-1000000,-3000000,1000000,4373000000,4351000000,5526000000,5583000000,5400000000,5140000000,5425000000,5678000000,6306000000,6455000000,7165000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,0,0,0,- -,- -,- -,- -,- -,1000000,1000000
64,Retained Earnings,- -,- -,- -,-238000000,- -,- -,- -,- -,- -,- -,-31000000,-143000000,-341000000,-649000000,-740000000,-715000000,-654000000,-1272000000,-1177000000,-1749000000,-1710000000
65,Other Comprehensive Income/Loss,- -,- -,- -,6000000,21000000,7000000,-1000000,10000000,42000000,53000000,-33000000,-59000000,-61000000,-108000000,-167000000,-218000000,-181000000,-190000000,-240000000,-222000000,-202000000
66,Other Total Stockholders Equity,- -,3001000000,1587000000,716000000,68000000,51000000,- -,- -,- -,- -,1129000000,1129000000,1128000000,1128000000,1146000000,1143000000,1143000000,1142000000,1148000000,1907000000,- -
67,Total Stockholders Equity,- -,3001000000,1587000000,280000000,89000000,58000000,-36000000,-86000000,-143000000,-265000000,1065000000,927000000,726000000,371000000,221000000,195000000,293000000,-334000000,-289000000,-63000000,31000000
68,Total Liabilities And Stockholders Equity,- -,5679000000,4484000000,4886000000,4498000000,4520000000,4572000000,-87000000,-146000000,-264000000,5438000000,5278000000,6252000000,5954000000,5621000000,5335000000,5718000000,5344000000,6017000000,6392000000,7196000000
69,Minority Interest,- -,- -,- -,204000000,-415000000,-434000000,-547000000,- -,- -,- -,31000000,- -,- -,- -,- -,- -,- -,- -,- -,18000000,15000000
70,Total Liabilities & Equity,- -,5679000000,4484000000,5090000000,4083000000,4086000000,4025000000,-87000000,-146000000,-264000000,5469000000,5278000000,6252000000,5954000000,5621000000,5335000000,5718000000,5344000000,6017000000,6410000000,7211000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1319161/000119312505234771/0001193125-05-234771-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000119312506244913/0001193125-06-244913-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000119312507255544/0001193125-07-255544-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312508242720/0001193125-08-242720-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312509240833/0001193125-09-240833-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312510262567/0001193125-10-262567-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312511334332/0001193125-11-334332-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312512500884/0001193125-12-500884-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312513470757/0001193125-13-470757-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459014006162/0001564590-14-006162-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459015011396/0001564590-15-011396-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459016029963/0001564590-16-029963-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459017024528/0001564590-17-024528-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459018031166/0001564590-18-031166-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000131916119000010/0001319161-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000131916120000032/0001319161-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000131916121000036/0001319161-21-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-6026000000,-1353000000,-238000000,-169000000,60000000,77000000,63000000,-100000000,-145000000,-31000000,-112000000,-198000000,-308000000,-91000000,25000000,143000000,307000000,256000000,-475000000,304000000
74,Depreciation and Amortization,- -,- -,- -,140000000,- -,- -,246000000,268000000,- -,- -,- -,244000000,258000000,321000000,309000000,293000000,251000000,261000000,269000000,261000000,306000000
75,Deferred Income Tax,- -,- -,- -,8000000,- -,- -,-2000000,-3000000,- -,- -,- -,26000000,73000000,55000000,-11000000,-26000000,-192000000,66000000,-68000000,-57000000,27000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,10000000,11000000,- -,- -,- -,- -,19000000,8000000,3000000,23000000,70000000,62000000,50000000,608000000,45000000
77,Change in Working Capital,- -,- -,- -,-642000000,136000000,7000000,-188000000,782000000,91000000,-1731000000,829000000,49000000,-439000000,3000000,73000000,96000000,109000000,-372000000,69000000,86000000,-81000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,73000000,28000000,- -,- -,- -,-16000000,-15000000,72000000,6000000,17000000,-60000000,-43000000,-90000000,18000000,-58000000
79,Inventory,- -,- -,- -,-10000000,- -,- -,3000000,2000000,- -,- -,- -,1000000,-5000000,-7000000,-6000000,- -,1000000,-3000000,3000000,-2000000,-19000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-185000000,- -,- -,- -,- -,- -,- -,82000000,3000000,-32000000,91000000
81,Other Working Capital,- -,- -,- -,-642000000,-506000000,-499000000,-687000000,95000000,186000000,-1545000000,-716000000,-667000000,-1106000000,-1103000000,-1030000000,-934000000,-825000000,-1197000000,-1128000000,-1042000000,39000000
82,Other Non-Cash Items,- -,6013000000,1631000000,818000000,33000000,-67000000,159000000,-817000000,9000000,1864000000,-997000000,2000000,446000000,51000000,-61000000,-69000000,154000000,101000000,-176000000,40000000,37000000
83,Cash Provided by Operating Activities,- -,-13000000,278000000,86000000,- -,- -,302000000,304000000,- -,-12000000,-199000000,209000000,159000000,130000000,222000000,342000000,535000000,425000000,400000000,463000000,638000000
84,CAPEX,- -,-88000000,-51000000,-15000000,- -,- -,- -,- -,- -,- -,- -,-32000000,-34000000,-76000000,-63000000,-42000000,-44000000,-74000000,-104000000,-125000000,-574000000
85,Acquisitions Net,- -,- -,- -,-2638000000,- -,- -,- -,- -,-16000000,-7000000,-1340000000,-8000000,- -,- -,-16000000,-53000000,73000000,-23000000,-231000000,-94000000,-64000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-365000000,-65000000,-10000000,-24000000,-123000000,-244000000,-110000000,98000000,-78000000,1542000000,-50000000,-808000000,-155000000,-79000000,45000000,-199000000,428000000,-145000000,-125000000,-574000000
89,Cash Used for Investing Activites,- -,-365000000,-65000000,-2663000000,-54000000,-153000000,-255000000,-167000000,82000000,-85000000,154000000,-58000000,-808000000,-155000000,-95000000,-8000000,-126000000,405000000,-376000000,-219000000,-638000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-17000000,-17000000,- -,- -,- -,- -,-129000000,-10000000,-13000000,-309000000,-173000000,-635000000,- -,-1375000000,-849000000
91,Common Stock Issued,- -,- -,- -,1253000000,554000000,554000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-202000000,- -,- -,- -,- -,- -,- -,-154000000,-302000000,-155000000,-157000000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-8000000,- -,- -,-79000000,-42000000,- -,- -,- -,- -,- -,- -,- -,- -,-84000000,-925000000,-94000000,-344000000,-265000000
94,Other Financing Activites,- -,385000000,-121000000,1618000000,-970000000,-635000000,2000000,- -,-343000000,-3000000,370000000,299000000,795000000,204000000,-6000000,93000000,129000000,605000000,182000000,1403000000,1053000000
95,Cash Used/Provided by Financing Activities,- -,385000000,-121000000,2661000000,-416000000,-81000000,-94000000,-59000000,-343000000,-3000000,216000000,-3000000,511000000,37000000,-19000000,-216000000,-128000000,-955000000,88000000,-316000000,-61000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2000000,6000000,13000000,- -,- -,-7000000,- -,- -,-9000000,-10000000,-19000000,-5000000,7000000,-8000000,-7000000,6000000,7000000
97,Net Change In Cash,- -,- -,- -,84000000,40000000,40000000,-34000000,78000000,90000000,-12000000,154000000,148000000,-147000000,2000000,89000000,113000000,288000000,-133000000,105000000,-66000000,-54000000
98,Cash at the End of Period,- -,- -,- -,555000000,40000000,40000000,333000000,411000000,188000000,176000000,154000000,302000000,155000000,157000000,89000000,359000000,647000000,514000000,619000000,553000000,499000000
99,Cash at the Beginning of Period,- -,- -,- -,471000000,- -,- -,367000000,333000000,98000000,188000000,- -,154000000,302000000,155000000,- -,246000000,359000000,647000000,514000000,619000000,553000000
100,Free Cash Flow,- -,-101000000,227000000,71000000,- -,- -,302000000,304000000,- -,-12000000,-199000000,145000000,88000000,28000000,143000000,275000000,475000000,337000000,255000000,338000000,64000000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1319161/000119312505234771/0001193125-05-234771-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000119312506244913/0001193125-06-244913-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000119312507255544/0001193125-07-255544-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312508242720/0001193125-08-242720-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312509240833/0001193125-09-240833-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312510262567/0001193125-10-262567-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312511334332/0001193125-11-334332-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312512500884/0001193125-12-500884-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000119312513470757/0001193125-13-470757-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459014006162/0001564590-14-006162-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459015011396/0001564590-15-011396-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459016029963/0001564590-16-029963-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459017024528/0001564590-17-024528-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000156459018031166/0001564590-18-031166-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000131916119000010/0001319161-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1319161/000131916120000032/0001319161-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1319161/000131916121000036/0001319161-21-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
