,https://roic.ai/company/MITC,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,4626030,6438243,9888698,1326327,393208,12922,4109,5380,41075,575,133025,21370,13556000,19176000
32,Short-Term Investments,643040,54910,1062292,79611,- -,- -,- -,- -,- -,- -,54166,- -,149000,154000
33,Cash and Short-Term Investments,5269070,6493153,10950989,1405938,393208,12922,4109,5380,41075,575,187191,21370,13705000,19330000
34,Net Receivables,309230,316791,627397,388071,52731,- -,- -,273077,131545,286282,266582,- -,111000,2039000
35,Inventory,- -,131732,702933,449028,116704,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,0,- -,0,- -,242509,- -,1284,19213,7279,7193,-47528,378018,20000,743000
37,Total Current Assets,5578300,6941676,12281320,2243037,805152,12922,5393,297669,179899,294050,406245,399388,13836000,22112000
38,PP&E,238662,555176,1075257,1068839,- -,- -,- -,92990,79551,1766889,1546121,18193,1074000,3329000
39,Goodwill,- -,- -,2256207,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,3001382,3823136,1550173,662375,23823,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,3001382,3823136,3806381,662375,23823,- -,- -,- -,- -,- -,- -,- -,- -,13453000
42,Investments,- -,- -,- -,- -,- -,- -,- -,2267872,2962356,2798366,1473634,1661372,2513000,1355000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,87098,133365,- -,- -,102518,- -,- -
44,Other Non-Current Assets,28280,75238,195322,132948,82978,- -,- -,795407,1622732,13523,12479,-0,51000,405000
45,Total Non-Current Assets,3268325,4453549,5076959,1864162,106800,- -,- -,3243366,4798003,4578778,3032234,1782084,3638000,18542000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8846625,11395225,17358279,4107199,911953,12922,5393,3541036,4977903,4872828,3438479,2181472,17474000,40654000
48,Accounts Payable,324031,307551,1050172,401997,110548,8615,25424,127060,203036,152492,45138,62666,351000,382000
49,Short-Term Debt,- -,- -,- -,1839,- -,- -,- -,- -,- -,- -,- -,119268,- -,165000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,4611,- -,- -,- -,- -,- -,218000
52,Other Current Liabilities,387991,711459,890927,631634,957456,78679,67284,302537,439089,1191449,264458,129664,1492000,2021000
53,Total Current Liabilities,712022,1019010,1941099,1035470,1068004,87294,92708,434208,642126,1343941,309596,311598,1843000,2786000
54,Long-Term Debt,- -,- -,- -,151077,- -,- -,- -,339425,207976,156807,17790,- -,- -,246000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,126548,230333,214351,235781,14150,- -,- -
57,Other Non-Current Liabilities,1638920,2632531,1497186,1779296,- -,- -,- -,312015,732075,772528,461208,- -,- -,- -
58,Total Non-Current Liabilities,1638920,2632531,1497186,1930373,- -,- -,- -,777988,1170384,1143687,714779,14150,- -,246000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1555976,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,151077,256696,- -,- -,238750,504601,555588,461208,- -,180000,411000
61,Total Liabilities,2350942,3651541,3438285,2965843,1068004,87294,92708,1212196,1812510,2487628,1024375,325748,1843000,3032000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,395392,470698,718435,702312,1081655,- -,- -,659381,669162,740592,2418618,5189442,30481000,69610000
64,Retained Earnings,- -,- -,63984115,61124540,-65616418,-70458866,-63139039,371446,997504,-74232,-1655249,-4929537,-18949000,-36971000
65,Other Comprehensive Income/Loss,-33039256,-37867576,-52471399,-60685497,- -,- -,- -,-8454,-24437,-55242,-26552,-35520,-70000,4983000
66,Other Total Stockholders Equity,38899035,44985071,859078,0,64378711,70384494,63051724,1306466,1523163,1774082,1677287,1631339,4169000,- -
67,Total Stockholders Equity,6255170,7588193,13090229,1141356,-156052,-74372,-87315,2328840,3165393,2385200,2414104,1855724,15631000,37622000
68,Total Liabilities And Stockholders Equity,8606112,11239734,16528513,4107199,911953,12922,5393,3541036,4977903,4872828,3438479,2181472,17474000,40654000
69,Minority Interest,240512,155491,829766,-0,- -,-0,-0,- -,0,- -,0,- -,- -,- -
70,Total Liabilities & Equity,8846625,11395225,17358279,4107199,911953,12922,5393,3541036,4977903,4872828,3438479,2181472,17474000,40654000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-2653564,-4866697,-12042311,-11771151,-3792887,-67193,-124810,-626591,620548,-1100817,-1586745,-3129260,-18524000,-18022000
74,Depreciation and Amortization,207475,103485,186585,312664,249469,2872,2054,7685,15858,28197,11683,21000,213000,680000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,106567,57193,21579,129574,- -,- -,- -
76,Stock Based Compensation,510098,404436,729145,802417,- -,- -,- -,- -,20798,11221,156126,- -,3958000,3965000
77,Change in Working Capital,210382,138332,186303,129795,-1309175,-42785,27992,-146017,381116,7768,-320748,91544,467000,-1353000
78,Accounts Receivable,- -,-27191,-61725,18655,-248933,-59440,17720,-48416,108927,-108758,-45138,-36000,5000,- -
79,Inventory,- -,-131732,-562290,206253,340744,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,96734,-16104,721817,-565949,- -,- -,- -,18700,74091,-72218,-95853,- -,126000,-97000
81,Other Working Capital,-18237,-7392,280722,421703,-1273307,-1149,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-1965065,22439,1604570,881240,1236904,-595262,6934,356076,-1053138,574289,604057,3016715,10054000,770000
83,Cash Provided by Operating Activities,-3690675,-4198005,-9335708,-9645034,-3615690,-702369,-87829,-302280,42375,-457763,-1006054,- -,-3832000,-13960000
84,CAPEX,-305794,-431099,-660374,-182869,- -,- -,-770,-98882,-1040,-575,-3983,-126000,-681000,-1828000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-643040,- -,-1003667,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6808000
87,Sales/Maturities of Investments,- -,587383,- -,1525223,- -,82412,- -,- -,- -,- -,17790,- -,- -,- -
88,Other Investing Activites,-173380,-76558,39459,-33894,31317,-33309,- -,-1537,60053,- -,-66380,-41000,-1194000,-704000
89,Cash Used for Investing Activites,-948834,103485,-1600061,1342354,31317,49103,- -,-100419,59013,-575,-52573,-41000,-1875000,-9340000
90,Debt Repayment,- -,- -,- -,- -,- -,-14358,- -,- -,-41335,-104730,-144708,-14000,-140000,-346000
91,Common Stock Issued,754839,5493943,9157016,348660,2611123,- -,15922,- -,- -,- -,1214221,- -,15109000,29281000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2910728,376981,5156723,- -,- -,258722,64459,407310,-24437,518184,121608,2568291,2376000,88000
95,Cash Used/Provided by Financing Activities,3665566,5870924,14313738,348660,2611123,244365,80382,407310,-65772,413454,1191121,2554291,17345000,29023000
96,Effect of Forex Changes on Cash,-120785,41183,-363022,62007,15257,- -,- -,- -,- -,- -,- -,- -,644000,-103000
97,Net Change In Cash,-1094727,1817587,3014946,-7892013,-957992,-408902,-7447,4611,35616,-44884,132494,1243000,12282000,5620000
98,Cash at the End of Period,4626030,6438243,9888698,1326327,393208,12922,4109,5380,41075,575,133025,- -,13556000,19176000
99,Cash at the Beginning of Period,5720757,4620656,6873751,9218339,1351199,421823,11556,769,5459,45460,531,- -,1274000,13556000
100,Free Cash Flow,-3996469,-4629104,-9996082,-9827903,-3615690,-702369,-87829,-401162,41335,-458338,-1010037,- -,-4513000,-15788000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,
