,https://roic.ai/company/HSII,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1066605/000095013100001995/0000950131-00-001995-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000095013101500399/0000950131-01-500399-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000094018002000635/0000940180-02-000635-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000095013103001660/0000950131-03-001660-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312504040211/0001193125-04-040211-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312505047867/0001193125-05-047867-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312506051126/0001193125-06-051126-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312507055649/0001193125-07-055649-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312508042019/0001193125-08-042019-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312509041239/0001193125-09-041239-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312510044906/0001193125-10-044906-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312511068793/0001193125-11-068793-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312512115953/0001193125-12-115953-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312513109907/0001193125-13-109907-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312514098019/0001193125-14-098019-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312515087394/0001193125-15-087394-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000162828016012581/0001628280-16-012581-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660517000007/0001066605-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660518000003/0001066605-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660519000003/0001066605-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660520000005/0001066605-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660521000014/0001066605-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660522000008/0001066605-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15700000,76800000,184836000,108732000,110220000,119289000,222753000,203689000,147440000,260580000,234531000,123030000,181124000,185390000,117605000,181646000,211352000,190452000,165011000,207534000,279906000,271719000,316473000,545225000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,73375000,22275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61153000,19999000,- -
33,Cash and Short-Term Investments,15700000,76800000,184836000,108732000,110220000,119289000,222753000,203689000,220815000,282855000,234531000,123030000,181124000,185390000,117605000,181646000,211352000,190452000,165011000,207534000,279906000,332872000,336472000,545225000
34,Net Receivables,24100000,87400000,113691000,60111000,45326000,50038000,56296000,57797000,88166000,88108000,84538000,72188000,102996000,98351000,85046000,84344000,84254000,80867000,98038000,102633000,142572000,135834000,113631000,173902000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9300000,27500000,37854000,71008000,42930000,9022000,11121000,20293000,24697000,31735000,35201000,46236000,28346000,26584000,23631000,24784000,34723000,37644000,35381000,33623000,28389000,25776000,22583000,26261000
37,Total Current Assets,49100000,191700000,336381000,239851000,198476000,178349000,290170000,281779000,333678000,402698000,354270000,241454000,312466000,310325000,226282000,290774000,330329000,308963000,298430000,343790000,450867000,494482000,472686000,745388000
38,PP&E,14900000,52400000,52660000,54364000,38230000,33466000,27677000,21104000,18648000,18730000,28172000,26092000,34406000,44781000,42362000,34961000,30417000,36498000,35099000,39514000,33871000,128041000,116163000,99405000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,75961000,84217000,101234000,109010000,109888000,90696000,120940000,123274000,122176000,131122000,151844000,118892000,122092000,126831000,91643000,138524000
40,Intangible Assets,2500000,45800000,66208000,63705000,60501000,56398000,55708000,52894000,17884000,15363000,13543000,8636000,6480000,2556000,32020000,26637000,20939000,18687000,20690000,2158000,2216000,1935000,1129000,9169000
41,Intangible Assets,2500000,45800000,66208000,63705000,60501000,56398000,55708000,52894000,93845000,99580000,114777000,117646000,116368000,93252000,152960000,149911000,143115000,149809000,172534000,121050000,124308000,128766000,92772000,147693000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12594000,10417000,11021000,9868000,11902000,13848000,13989000,14145000,17346000,21319000,19442000,25409000,31369000,36051000
43,Tax Assets,- -,- -,- -,7089000,32176000,- -,7766000,21363000,24629000,45855000,35313000,44643000,36917000,26506000,25454000,27474000,23413000,35331000,33073000,35402000,34830000,33063000,35958000,42169000
44,Other Non-Current Assets,28500000,44800000,68395000,46097000,33681000,35819000,39963000,33782000,48970000,50021000,41831000,34595000,33849000,30833000,36032000,36256000,27438000,27972000,25020000,26129000,37311000,34412000,38864000,36092000
45,Total Non-Current Assets,45900000,143000000,187263000,171255000,164588000,125683000,131114000,129143000,186092000,214186000,232687000,233393000,232561000,205240000,268710000,262450000,238372000,263755000,283072000,243414000,249762000,349691000,315126000,361410000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,95000000,334700000,523644000,411106000,363064000,304032000,421284000,410922000,519770000,616884000,586957000,474847000,545027000,515565000,494992000,553224000,568701000,572718000,581502000,587204000,700629000,844173000,787812000,1106798000
48,Accounts Payable,7300000,8100000,10051000,13391000,8887000,7196000,10986000,6019000,7217000,8699000,11977000,5948000,8408000,9157000,8657000,7791000,5493000,6150000,7952000,9824000,9166000,8633000,8799000,20374000
49,Short-Term Debt,- -,3000000,1135000,2480000,1161000,568000,27000,- -,- -,- -,- -,- -,- -,- -,- -,6000000,6000000,- -,- -,- -,- -,30955000,28984000,19332000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3070000,3208000,4868000,709000,7596000,6684000,3442000,4617000,6924000,8240000,3928000,1186000,10004000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,10398000,12743000,20001000,- -,15782000,- -,- -,- -,23271000,27714000,30452000,29724000,28367000,31272000,40673000,41267000,38050000,51404000
52,Other Current Liabilities,55600000,126600000,204855000,131311000,108923000,105770000,118561000,103053000,175374000,245000000,199636000,107845000,164048000,175933000,120468000,134282000,163953000,193556000,184273000,224696000,269112000,264487000,242405000,443584000
53,Total Current Liabilities,62900000,137700000,216041000,147182000,118971000,113534000,139972000,121815000,202592000,253699000,227395000,113793000,172456000,185090000,152396000,175787000,205898000,229430000,220592000,265792000,318951000,345342000,318238000,534694000
54,Long-Term Debt,100000,- -,610000,1959000,294000,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000,23500000,- -,- -,- -,- -,79388000,86816000,65625000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000,107000,37000,59000,36000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,18600000,29100000,19316000,32374000,44088000,64659000,65186000,51622000,53473000,53385000,53258000,70163000,77922000,79143000,94190000,100028000,94639000,88486000,102320000,108707000,114522000,110328000,115156000,170459000
58,Total Non-Current Liabilities,18700000,29100000,19926000,34333000,44382000,64685000,65186000,51622000,53473000,53385000,53258000,70202000,78029000,79180000,94249000,129564000,118139000,88486000,102320000,108707000,114522000,189716000,201972000,236084000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110343000,115800000,84957000
61,Total Liabilities,81600000,166800000,235967000,181515000,163353000,178219000,205158000,173437000,256065000,307084000,280653000,183995000,250485000,264270000,246645000,305351000,324037000,317916000,322912000,374499000,433473000,535058000,520210000,770778000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,200000,194000,195000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000,196000
64,Retained Earnings,1200000,37400000,56862000,13935000,-26227000,-106895000,-24587000,14631000,48874000,100624000,131061000,101091000,99056000,55029000,51704000,48511000,45431000,52572000,58030000,-716000,56049000,91083000,40982000,101177000
65,Other Comprehensive Income/Loss,-12200000,-30300000,-39817000,-54976000,-7282000,4317000,6310000,-12414000,12751000,24564000,12154000,15728000,18238000,16237000,14960000,14969000,11223000,9259000,3322000,13315000,4062000,3824000,3417000,1675000
66,Other Total Stockholders Equity,24400000,160600000,270438000,270437000,233024000,228195000,234207000,235072000,201884000,184416000,162893000,173837000,177052000,179833000,181487000,184197000,187814000,192775000,197042000,199910000,206849000,214012000,223007000,232972000
67,Total Stockholders Equity,13400000,167900000,287677000,229591000,199711000,125813000,216126000,237485000,263705000,309800000,306304000,290852000,294542000,251295000,248347000,247873000,244664000,254802000,258590000,212705000,267156000,309115000,267602000,336020000
68,Total Liabilities And Stockholders Equity,95000000,334700000,523644000,411106000,363064000,304032000,421284000,410922000,519770000,616884000,586957000,474847000,545027000,515565000,494992000,553224000,568701000,572718000,581502000,587204000,700629000,844173000,787812000,1106798000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,95000000,334700000,523644000,411106000,363064000,304032000,421284000,410922000,519770000,616884000,586957000,474847000,545027000,515565000,494992000,553224000,568701000,572718000,581502000,587204000,700629000,844173000,787812000,1106798000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1066605/000095013100001995/0000950131-00-001995-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000095013101500399/0000950131-01-500399-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000094018002000635/0000940180-02-000635-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000095013103001660/0000950131-03-001660-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312504040211/0001193125-04-040211-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312505047867/0001193125-05-047867-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312506051126/0001193125-06-051126-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312507055649/0001193125-07-055649-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312508042019/0001193125-08-042019-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312509041239/0001193125-09-041239-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312510044906/0001193125-10-044906-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312511068793/0001193125-11-068793-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312512115953/0001193125-12-115953-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312513109907/0001193125-13-109907-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312514098019/0001193125-14-098019-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312515087394/0001193125-15-087394-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000162828016012581/0001628280-16-012581-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660517000007/0001066605-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660518000003/0001066605-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660519000003/0001066605-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660520000005/0001066605-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660521000014/0001066605-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660522000008/0001066605-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-17400000,5800000,19417000,-42927000,-40162000,-80668000,82308000,39218000,34243000,56463000,39074000,-20908000,7493000,-33722000,6240000,6347000,6797000,17132000,15413000,-48635000,49295000,46869000,-37707000,72572000
74,Depreciation and Amortization,4600000,10600000,19064000,22156000,15262000,14073000,13185000,11245000,10382000,11279000,10544000,11265000,11584000,10263000,10801000,16275000,15312000,13696000,16433000,14774000,12522000,10371000,26656000,19560000
75,Deferred Income Tax,-7400000,2000000,-12672000,-12388000,-12030000,59333000,-10554000,-13127000,-9612000,-21990000,11960000,-10107000,7093000,10571000,2331000,-3749000,237000,-1166000,2394000,-1690000,-3496000,1644000,-1680000,-7481000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24772000,19016000,7765000,5503000,4199000,3747000,3579000,5066000,6393000,4935000,8947000,10298000,10199000,12760000
77,Change in Working Capital,18900000,67800000,66340000,-27671000,-13164000,-14690000,85383000,9766000,-28878000,17913000,-22124000,786000,12349000,-14775000,-51349000,41101000,9444000,-44898000,-1695000,160000,53918000,17224000,5308000,173370000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2925000,7786000,-17211000,10819000,6288000,236000,-4129000,-8714000,-14425000,-1882000,-16759000,6899000,22644000,-36819000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-349000,-566000,2203000,-732000,-471000,-504000,-2113000,810000,941000,1474000,-526000,-994000,451000,-332000
81,Other Working Capital,-13800000,54000000,120340000,92669000,79505000,64815000,150198000,159964000,131086000,148999000,126875000,127661000,140010000,125235000,73886000,114987000,124431000,79533000,77838000,77998000,131916000,149140000,154448000,-11819000
82,Other Non-Cash Items,8800000,-31400000,-2790000,40337000,56124000,32356000,-144663000,-13679000,93632000,42141000,-12835000,-72781000,37256000,66934000,40271000,-19688000,21395000,67753000,-14115000,97426000,-18284000,-7761000,20577000,620000
83,Cash Provided by Operating Activities,7500000,54800000,89359000,-20493000,6030000,10404000,25659000,33423000,99767000,105806000,51391000,-72729000,83540000,44774000,12493000,44033000,56764000,57583000,24823000,66970000,102902000,78645000,23353000,271401000
84,CAPEX,-10200000,-23000000,-17885000,-24059000,-5201000,-5806000,-6021000,-6138000,-5524000,-7998000,-13402000,-12274000,-17564000,-18016000,-7504000,-3731000,-3359000,-16427000,-5351000,-14022000,-5960000,-3352000,-7322000,-6240000
85,Acquisitions Net,- -,- -,-15648000,-2400000,- -,- -,- -,- -,-36018000,-1277000,-13242000,-15453000,-554000,-3930000,-52733000,-1023000,- -,-10312000,-27722000,-364000,-3083000,-3520000,- -,-33518000
86,Purchases of Investments,- -,- -,-23417000,- -,- -,- -,- -,-112600000,-191615000,-155975000,-3145000,-1307000,- -,-1994000,-1121000,-749000,-963000,-1526000,-2475000,-2269000,-2201000,-130411000,-118904000,-2323000
87,Sales/Maturities of Investments,- -,800000,7159000,2147000,1457000,688000,128993000,238887000,118698000,207519000,23072000,13000,- -,83000,137000,252000,1084000,758000,535000,1404000,2995000,67968000,158852000,20822000
88,Other Investing Activites,200000,8100000,3755000,1558000,-204000,399000,-54619000,-18194000,-7790000,-2043000,-13268000,-7132000,-14944000,-17859000,-13534000,-3705000,-3412000,-16427000,1877000,-14025000,-5960000,-3352000,-7322000,-6240000
89,Cash Used for Investing Activites,-10000000,-14100000,-46036000,-22754000,-3948000,-4719000,68353000,101955000,-122249000,40226000,-6583000,-23879000,-15498000,-23700000,-67251000,-5225000,-3291000,-27507000,-27785000,-15254000,-8249000,-69315000,32626000,-21259000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4500000,-6000000,-29500000,- -,-40000000,-20000000,- -,-100000000,- -
91,Common Stock Issued,4900000,61200000,79657000,676000,890000,1661000,8568000,9569000,10137000,19353000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-13018000,-27721000,-81000,-3175000,-2502000,-37160000,-51726000,-67752000,-48071000,- -,- -,- -,-1123000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2295000,-8750000,-9332000,-9696000,-9723000,-11991000,-7260000,-9864000,-9991000,-9955000,-10111000,-10181000,-11835000,-12063000,-12377000
94,Other Financing Activites,6000000,-35900000,-1822000,-1015000,-2583000,-476000,-569000,- -,4155000,7940000,-7867000,-2148000,-4585000,-2853000,-2034000,38930000,-3796000,-6847000,-10137000,33051000,13193000,-6405000,95661000,-3140000
95,Cash Used/Provided by Financing Activities,10900000,25300000,64817000,-28060000,-1774000,-1990000,5497000,-27591000,-37434000,-42754000,-64688000,-11480000,-14281000,-12576000,-15148000,27170000,-19660000,-46338000,-20092000,-17060000,-16988000,-18240000,-16402000,-15517000
96,Effect of Forex Changes on Cash,-700000,-700000,-152000,-4797000,1180000,5374000,3955000,-2526000,3667000,9862000,-6169000,-3413000,4333000,-4232000,2121000,-1937000,-4107000,-4638000,-2387000,7867000,-5565000,367000,5193000,-5855000
97,Net Change In Cash,10900000,65300000,107988000,-76104000,1488000,9069000,103464000,105261000,-56249000,113140000,-26049000,-111501000,58094000,4266000,-67785000,64041000,29706000,-20900000,-25441000,42523000,72100000,-8543000,44770000,228770000
98,Cash at the End of Period,- -,76800000,184836000,108732000,110220000,119289000,222753000,203689000,147440000,260580000,234531000,123030000,181124000,185390000,117605000,181646000,211352000,190452000,165011000,207534000,280262000,271719000,316489000,545259000
99,Cash at the Beginning of Period,8100000,11500000,76848000,184836000,108732000,110220000,119289000,98428000,203689000,147440000,260580000,234531000,123030000,181124000,185390000,117605000,181646000,211352000,190452000,165011000,208162000,280262000,271719000,316489000
100,Free Cash Flow,-2700000,31800000,71474000,-44552000,829000,4598000,19638000,27285000,94243000,97808000,37989000,-85003000,65976000,26758000,4989000,40302000,53405000,41156000,19472000,52948000,96942000,75293000,16031000,265161000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1066605/000095013100001995/0000950131-00-001995-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000095013101500399/0000950131-01-500399-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000094018002000635/0000940180-02-000635-index.html,https://www.sec.gov/Archives/edgar/data/1066605/000095013103001660/0000950131-03-001660-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312504040211/0001193125-04-040211-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312505047867/0001193125-05-047867-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312506051126/0001193125-06-051126-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312507055649/0001193125-07-055649-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312508042019/0001193125-08-042019-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312509041239/0001193125-09-041239-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312510044906/0001193125-10-044906-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312511068793/0001193125-11-068793-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312512115953/0001193125-12-115953-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312513109907/0001193125-13-109907-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312514098019/0001193125-14-098019-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000119312515087394/0001193125-15-087394-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000162828016012581/0001628280-16-012581-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660517000007/0001066605-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660518000003/0001066605-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660519000003/0001066605-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660520000005/0001066605-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660521000014/0001066605-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1066605/000106660522000008/0001066605-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
