,https://roic.ai/company/POR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,110000000,110000000,108000000,101000000,96000000,114000000,112000000,120000000,124000000,128000000,136000000,137000000
14,Depreciation and Amortization,139582000,143619000,167430000,165000000,149000000,155000000,164000000,170000000,161000000,213000000,233000000,- -,- -,- -,- -,211000000,238000000,227000000,248000000,248000000,301000000,305000000,321000000,345000000,382000000,409000000,454000000,404000000
15,EBITDA,310990000,313719000,406954000,278000000,287000000,289000000,308000000,168000000,217000000,265000000,322000000,107000000,107000000,219000000,122000000,446000000,526000000,542000000,561000000,475000000,633000000,636000000,676000000,738000000,735000000,778000000,745000000,808000000
16,EBITDA ratio,0.3241,0.3190,0.3660,0.1963,0.2440,0.2097,0.1367,0.0551,0.1170,0.1513,0.2215,0.0740,0.0704,0.1256,0.0699,0.2472,0.2950,0.2990,0.3108,0.2681,0.3407,0.3414,0.3584,0.3756,0.3789,0.3793,0.3473,0.3372
17,Operating Income,154296000,195576000,224559000,208000000,200000000,190000000,206000000,134000000,135000000,124000000,150000000,172000000,159000000,269000000,217000000,208000000,267000000,309000000,302000000,206000000,293000000,309000000,333000000,376000000,346000000,353000000,269000000,378000000
18,Operating Income ratio,0.1608,0.1988,0.2020,0.1469,0.1701,0.1379,0.0914,0.0440,0.0728,0.0708,0.1032,0.1189,0.1046,0.1543,0.1244,0.1153,0.1497,0.1704,0.1673,0.1163,0.1577,0.1659,0.1766,0.1913,0.1784,0.1721,0.1254,0.1578
19,Total Other Income Expenses (Gains),71878000,89064000,109988000,-95000000,-62000000,-56000000,-62000000,-147000000,-79000000,-74000000,-61000000,-65000000,-52000000,-50000000,-95000000,-83000000,-93000000,-104000000,-98000000,-81000000,-58000000,-92000000,-90000000,-103000000,-117000000,-112000000,-114000000,-111000000
20,Income Before Tax,226174000,284640000,334547000,113000000,138000000,134000000,144000000,-13000000,56000000,50000000,89000000,107000000,107000000,219000000,122000000,125000000,174000000,205000000,204000000,125000000,235000000,217000000,243000000,273000000,229000000,241000000,155000000,267000000
21,Income Before Tax Ratio,0.2357,0.2894,0.3009,0.0798,0.1173,0.0972,0.0639,-0.0043,0.0302,0.0285,0.0612,0.0740,0.0704,0.1256,0.0699,0.0693,0.0976,0.1131,0.1130,0.0705,0.1265,0.1165,0.1288,0.1389,0.1180,0.1175,0.0723,0.1114
22,Income Tax expense (Gain),71878000,89064000,109988000,-13000000,1000000,6000000,3000000,-36000000,-10000000,-6000000,-3000000,43000000,36000000,74000000,35000000,36000000,53000000,58000000,64000000,21000000,61000000,45000000,50000000,86000000,17000000,27000000,- -,23000000
23,Net Income,99530000,81036000,129536000,126000000,137000000,128000000,141000000,34000000,66000000,58000000,92000000,64000000,71000000,145000000,87000000,95000000,125000000,147000000,141000000,105000000,175000000,172000000,193000000,187000000,212000000,214000000,155000000,244000000
24,Net Income ratio,0.1037,0.0824,0.1165,0.0890,0.1165,0.0929,0.0626,0.0112,0.0356,0.0331,0.0633,0.0443,0.0467,0.0832,0.0499,0.0527,0.0701,0.0811,0.0781,0.0593,0.0942,0.0923,0.1023,0.0952,0.1093,0.1043,0.0723,0.1018
25,EPS,1.99,1.60,2.53,2.02,2.16,2.02,2.22,0.51,1.02,0.91,1.47,1.50,1.14,2.33,1.39,1.31,1.66,1.95,1.87,1.36,2.24,2.05,2.17,2.10,2.38,2.39,1.73,2.72
26,EPS Diluted,1.99,1.60,2.53,2.01,2.15,2.01,2.22,0.51,1.02,0.91,1.47,1.50,1.14,2.33,1.39,1.31,1.66,1.95,1.87,1.35,2.18,2.04,2.16,2.10,2.37,2.39,1.72,2.72
27,Weighted Average Shares Outstanding,49896685,50766916,51144462,62500000,62500000,62500000,62500000,62500000,62500000,62500000,62500000,62500000,62501000,62512000,62544000,72790000,75275000,75333000,75498000,76821000,78180000,84180000,88896000,89056000,89215000,89353000,89485000,89481000
28,Weighted Average Shares Outstanding Diluted,49896685,50766916,51144462,62745098,62745098,62745098,62745098,62745098,62745098,62745098,62745098,62500000,62505000,62534000,62581000,72852000,75291000,75350000,75647000,77388000,80494000,84341000,89054000,89176000,89347000,89559000,89645000,89627000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/784977/000078497701500005/0000784977-01-500005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/784977/000078497705000007/frm10k.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497706000019/frm10k05.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497707000024/frm10k06.htm,https://www.sec.gov/Archives/edgar/data/784977/000119312508039700/d10k.htm,https://www.sec.gov/Archives/edgar/data/784977/000119312509036730/0001193125-09-036730-index.html,https://www.sec.gov/Archives/edgar/data/784977/000119312510039630/0001193125-10-039630-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497711000009/por2010123110k.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497712000033/0000784977-12-000033-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497713000012/0000784977-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497714000004/por201310k.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497715000005/por201410k.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497716000067/0000784977-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497717000006/0000784977-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497718000005/0000784977-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497719000010/0000784977-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497720000005/0000784977-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497721000007/0000784977-21-000007-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17542000,11919000,29802000,3000000,4000000,- -,60000000,8000000,51000000,109000000,204000000,122000000,12000000,73000000,10000000,31000000,4000000,6000000,12000000,107000000,127000000,4000000,6000000,39000000,119000000,30000000,257000000,52000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,17542000,11919000,29802000,3000000,4000000,- -,60000000,8000000,51000000,109000000,204000000,122000000,12000000,73000000,10000000,31000000,4000000,6000000,12000000,107000000,127000000,4000000,6000000,39000000,119000000,30000000,257000000,52000000
34,Net Receivables,91418000,104815000,125314000,125000000,135000000,140000000,287000000,272000000,241000000,295000000,250000000,281000000,265000000,270000000,264000000,254000000,230000000,245000000,250000000,250000000,265000000,253000000,262000000,274000000,289000000,253000000,271000000,329000000
35,Inventory,43269000,38338000,32903000,30000000,28000000,37000000,31000000,44000000,45000000,45000000,48000000,54000000,64000000,64000000,71000000,58000000,56000000,71000000,78000000,65000000,82000000,83000000,82000000,78000000,84000000,96000000,72000000,78000000
36,Other Current Assets,196606000,81469000,70930000,67000000,76000000,90000000,400000000,423000000,254000000,163000000,190000000,283000000,186000000,131000000,423000000,347000000,371000000,394000000,282000000,169000000,225000000,217000000,113000000,135000000,151000000,121000000,121000000,229000000
37,Total Current Assets,348835000,236541000,258949000,225000000,243000000,267000000,778000000,747000000,591000000,612000000,692000000,740000000,527000000,538000000,768000000,690000000,661000000,716000000,622000000,591000000,699000000,557000000,463000000,526000000,643000000,500000000,721000000,688000000
38,PP&E,1616534000,1876285000,1932854000,1818000000,1819000000,1865000000,1891000000,1953000000,1938000000,2201000000,2275000000,2436000000,2718000000,3066000000,3301000000,3858000000,4133000000,4285000000,4392000000,4880000000,5679000000,6012000000,6434000000,6741000000,6887000000,7161000000,7539000000,8005000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000000,78000000,73000000,38000000,82000000,90000000,40000000,41000000,42000000,42000000,46000000,45000000,47000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1593902000,1335191000,1391446000,1213000000,1100000000,1035000000,783000000,774000000,721000000,559000000,436000000,217000000,522000000,504000000,954000000,527000000,619000000,659000000,618000000,548000000,574000000,612000000,589000000,529000000,538000000,687000000,764000000,754000000
45,Total Non-Current Assets,3210436000,3211476000,3324300000,3031000000,2919000000,2900000000,2674000000,2727000000,2659000000,2760000000,2711000000,2898000000,3240000000,3570000000,4255000000,4482000000,4830000000,5017000000,5048000000,5510000000,6343000000,6664000000,7064000000,7312000000,7467000000,7894000000,8348000000,8806000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3559271000,3448017000,3583249000,3256000000,3162000000,3167000000,3452000000,3474000000,3250000000,3372000000,3403000000,3638000000,3767000000,4108000000,5023000000,5172000000,5491000000,5733000000,5670000000,6101000000,7042000000,7221000000,7527000000,7838000000,8110000000,8394000000,9069000000,9494000000
48,Accounts Payable,104254000,133405000,149255000,167000000,145000000,167000000,286000000,250000000,244000000,230000000,- -,260000000,212000000,227000000,217000000,- -,- -,111000000,98000000,173000000,156000000,98000000,129000000,132000000,168000000,165000000,153000000,244000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,207000000,352000000,196000000,61000000,48000000,11000000,147000000,- -,345000000,186000000,29000000,130000000,117000000,- -,375000000,139000000,150000000,- -,300000000,- -,326000000,20000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,46000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,295906000,323428000,247329000,75000000,47000000,322000000,289000000,268000000,119000000,123000000,291000000,292000000,203000000,164000000,485000000,434000000,460000000,373000000,306000000,220000000,342000000,389000000,298000000,300000000,323000000,354000000,336000000,504000000
53,Total Current Liabilities,400160000,456833000,396584000,242000000,192000000,489000000,782000000,870000000,559000000,414000000,339000000,563000000,562000000,391000000,1047000000,620000000,489000000,614000000,521000000,393000000,873000000,626000000,577000000,432000000,791000000,519000000,815000000,768000000
54,Long-Term Debt,835814000,890556000,933042000,1008000000,951000000,701000000,798000000,769000000,827000000,927000000,892000000,879000000,937000000,1313000000,1164000000,1558000000,1798000000,1635000000,1536000000,1916000000,2126000000,2071000000,2200000000,2426000000,2178000000,2597000000,3015000000,3558000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,744430000,704057000,661890000,406000000,390000000,387000000,392000000,362000000,403000000,365000000,321000000,228000000,258000000,279000000,438000000,356000000,445000000,529000000,588000000,586000000,625000000,632000000,669000000,376000000,369000000,378000000,374000000,413000000
57,Other Non-Current Liabilities,720554000,503423000,620279000,690000000,633000000,549000000,381000000,381000000,332000000,482000000,579000000,771000000,786000000,809000000,1020000000,1095000000,1160000000,1289000000,1295000000,1386000000,1507000000,1634000000,1737000000,2188000000,2266000000,2309000000,2252000000,2048000000
58,Total Non-Current Liabilities,2300798000,2098036000,2215211000,2104000000,1974000000,1637000000,1571000000,1512000000,1562000000,1774000000,1792000000,1878000000,1981000000,2401000000,2622000000,3009000000,3403000000,3453000000,3419000000,3888000000,4258000000,4337000000,4606000000,4990000000,4813000000,5284000000,5641000000,6019000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000000,145000000,293000000
61,Total Liabilities,2700958000,2554869000,2611795000,2346000000,2166000000,2126000000,2353000000,2382000000,2121000000,2188000000,2131000000,2441000000,2543000000,2792000000,3669000000,3629000000,3892000000,4067000000,3940000000,4281000000,5131000000,4963000000,5183000000,5422000000,5604000000,5803000000,6456000000,6787000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,189358000,191301000,192442000,160000000,160000000,160000000,160000000,160000000,160000000,160000000,160000000,160000000,- -,- -,- -,- -,- -,- -,841000000,911000000,918000000,1196000000,1201000000,1207000000,1212000000,1220000000,1231000000,1241000000
64,Retained Earnings,118676000,135885000,197812000,270000000,356000000,401000000,459000000,451000000,488000000,545000000,637000000,558000000,587000000,674000000,700000000,719000000,766000000,833000000,893000000,913000000,1000000000,1070000000,1150000000,1217000000,1301000000,1381000000,1393000000,1476000000
65,Other Comprehensive Income/Loss,-958465000,-1040014000,-1124337000,-1260000000,-1363000000,-1430000000,-1532000000,-1643000000,-1768000000,-1633000000,-1717000000,-3000000,-6000000,-4000000,-5000000,-6000000,-5000000,-6000000,-6000000,-5000000,-7000000,-8000000,-7000000,-8000000,-7000000,-10000000,-11000000,-10000000
66,Other Total Stockholders Equity,1508744000,1605976000,1705537000,1740000000,1843000000,1910000000,2012000000,2124000000,2249000000,2112000000,2192000000,482000000,643000000,646000000,659000000,829000000,831000000,836000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,858313000,893148000,971454000,910000000,996000000,1041000000,1099000000,1092000000,1129000000,1184000000,1272000000,1197000000,1224000000,1316000000,1354000000,1542000000,1592000000,1663000000,1728000000,1819000000,1911000000,2258000000,2344000000,2416000000,2506000000,2591000000,2613000000,2707000000
68,Total Liabilities And Stockholders Equity,3559271000,3448017000,3583249000,3256000000,3162000000,3167000000,3452000000,3474000000,3250000000,3372000000,3403000000,3638000000,3767000000,4108000000,5023000000,5171000000,5484000000,5730000000,5668000000,6100000000,7042000000,7221000000,7527000000,7838000000,8110000000,8394000000,9069000000,9494000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,7000000,3000000,2000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3559271000,3448017000,3583249000,3256000000,3162000000,3167000000,3452000000,3474000000,3250000000,3372000000,3403000000,3638000000,3767000000,4108000000,5023000000,5172000000,5491000000,5733000000,5670000000,6101000000,7042000000,7221000000,7527000000,7838000000,8110000000,8394000000,9069000000,9494000000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/784977/000078497701500005/0000784977-01-500005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/784977/000078497705000007/frm10k.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497706000019/frm10k05.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497707000024/frm10k06.htm,https://www.sec.gov/Archives/edgar/data/784977/000119312508039700/d10k.htm,https://www.sec.gov/Archives/edgar/data/784977/000119312509036730/0001193125-09-036730-index.html,https://www.sec.gov/Archives/edgar/data/784977/000119312510039630/0001193125-10-039630-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497711000009/por2010123110k.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497712000033/0000784977-12-000033-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497713000012/0000784977-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497714000004/por201310k.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497715000005/por201410k.htm,https://www.sec.gov/Archives/edgar/data/784977/000078497716000067/0000784977-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497717000006/0000784977-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497718000005/0000784977-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497719000010/0000784977-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497720000005/0000784977-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/784977/000078497721000007/0000784977-21-000007-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,99530000,81036000,129536000,126000000,137000000,128000000,141000000,34000000,66000000,58000000,92000000,64000000,71000000,145000000,87000000,95000000,125000000,147000000,141000000,105000000,175000000,172000000,193000000,187000000,212000000,214000000,155000000,244000000
74,Depreciation and Amortization,139582000,143619000,167430000,165000000,149000000,155000000,164000000,170000000,161000000,213000000,233000000,- -,- -,- -,- -,211000000,238000000,227000000,248000000,248000000,301000000,305000000,321000000,345000000,382000000,409000000,454000000,404000000
75,Deferred Income Tax,37396000,-9555000,-19979000,-58000000,-5000000,-3000000,-8000000,-31000000,55000000,-22000000,-13000000,-53000000,-38000000,22000000,22000000,82000000,67000000,56000000,47000000,11000000,39000000,40000000,37000000,70000000,28000000,-17000000,-46000000,5000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,11000000,14000000
77,Change in Working Capital,-40985000,-168967000,82657000,120635000,68000000,-273000000,218000000,-119000000,155000000,166000000,155000000,-176000000,-212000000,182000000,-426000000,349000000,102000000,-70000000,-1000000,97000000,-372000000,105000000,-45000000,208000000,-242000000,129000000,-75000000,5000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,8000000,-11000000,-9000000,-3000000,-29000000,30000000,-24000000,-64000000
79,Inventory,3264000,-7189000,5435000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-51325000,-220292000,-137635000,-17000000,51000000,-222000000,-4000000,-123000000,32000000,198000000,353000000,177000000,-35000000,147000000,-279000000,70000000,172000000,102000000,101000000,198000000,-174000000,-69000000,-114000000,94000000,-148000000,-19000000,-94000000,8000000
82,Other Non-Cash Items,15478000,210409000,-13897000,5365000,-84000000,229000000,-91000000,-121000000,-139000000,-108000000,-127000000,537000000,285000000,-5000000,500000000,-351000000,-141000000,93000000,59000000,83000000,375000000,-105000000,47000000,-213000000,250000000,-198000000,68000000,-140000000
83,Cash Provided by Operating Activities,251001000,256542000,345747000,359000000,265000000,236000000,424000000,-67000000,298000000,307000000,340000000,372000000,106000000,344000000,183000000,386000000,391000000,453000000,494000000,544000000,518000000,517000000,553000000,597000000,630000000,546000000,567000000,532000000
84,CAPEX,- -,- -,- -,-180000000,-144000000,-188000000,-173000000,-203000000,-165000000,-167000000,-194000000,-255000000,-371000000,-455000000,-383000000,-696000000,-450000000,-300000000,-303000000,-656000000,-1007000000,-598000000,-584000000,-514000000,-595000000,-606000000,-784000000,-636000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-14058000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000000,-23000000,-19000000,-36000000,-46000000,-50000000,-26000000,-26000000,-19000000,-19000000,-25000000,-18000000,-12000000,-8000000,-6000000,-10000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,21000000,23000000,36000000,69000000,46000000,23000000,25000000,17000000,22000000,27000000,21000000,15000000,13000000,9000000,12000000
88,Other Investing Activites,-237096000,-215645000,-185618000,-208000000,-148000000,-174000000,-148000000,-193000000,-153000000,-178000000,-184000000,-17000000,7000000,6000000,-3000000,-700000000,-453000000,-295000000,-291000000,-691000000,-1000000000,-525000000,-587000000,-517000000,-474000000,-609000000,-790000000,-658000000
89,Cash Used for Investing Activites,-251154000,-215645000,-185618000,-208000000,-148000000,-174000000,-148000000,-193000000,-153000000,-178000000,-184000000,-272000000,-380000000,-451000000,-382000000,-700000000,-430000000,-299000000,-294000000,-692000000,-994000000,-522000000,-585000000,-514000000,-471000000,-604000000,-787000000,-656000000
90,Debt Repayment,-67928000,-88186000,-153196000,-115000000,-214000000,-113000000,-33000000,-58000000,-174000000,-402000000,-61000000,- -,- -,- -,- -,-427000000,-197000000,-80000000,-113000000,-152000000,- -,-442000000,-133000000,-150000000,-24000000,-350000000,-223000000,-510000000
91,Common Stock Issued,50074000,10299000,3380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000,- -,- -,- -,67000000,- -,271000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-20000000,-79704000,-20000000,- -,- -,- -,- -,- -,-2000000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000
93,Dividends Paid,-59856000,-62396000,-64799000,-65000000,-51000000,-83000000,-83000000,-42000000,-2000000,-1000000,- -,-150000000,-28000000,-58000000,-60000000,-72000000,-78000000,-79000000,-81000000,-84000000,-87000000,-97000000,-110000000,-118000000,-125000000,-134000000,-140000000,-150000000
94,Other Financing Activites,85915000,173467000,92369000,13000000,149000000,130000000,-100000000,308000000,76000000,335000000,- -,-32000000,192000000,226000000,196000000,664000000,287000000,7000000,- -,412000000,583000000,150000000,277000000,218000000,70000000,453000000,810000000,591000000
95,Cash Used/Provided by Financing Activities,-11795000,-46520000,-142246000,-167000000,-116000000,-66000000,-216000000,208000000,-102000000,-71000000,-61000000,-182000000,164000000,168000000,136000000,335000000,12000000,-152000000,-194000000,243000000,496000000,-118000000,34000000,-50000000,-79000000,-31000000,447000000,-81000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,14340000,-5623000,17883000,-16000000,1000000,- -,- -,-52000000,43000000,58000000,95000000,-82000000,-110000000,61000000,-63000000,21000000,-27000000,2000000,6000000,95000000,20000000,-123000000,2000000,33000000,80000000,-89000000,227000000,-205000000
98,Cash at the End of Period,17542000,11919000,29802000,3000000,4000000,- -,60000000,8000000,51000000,109000000,204000000,122000000,12000000,73000000,10000000,31000000,4000000,6000000,12000000,107000000,127000000,4000000,6000000,39000000,119000000,30000000,257000000,52000000
99,Cash at the Beginning of Period,3202000,17542000,11919000,19000000,3000000,4000000,- -,60000000,8000000,51000000,109000000,204000000,122000000,12000000,73000000,10000000,31000000,4000000,6000000,12000000,107000000,127000000,4000000,6000000,39000000,119000000,30000000,257000000
100,Free Cash Flow,251001000,256542000,345747000,179000000,121000000,48000000,251000000,-270000000,133000000,140000000,146000000,117000000,-265000000,-111000000,-200000000,-310000000,-59000000,153000000,191000000,-112000000,-489000000,-81000000,-31000000,83000000,35000000,-60000000,-217000000,-104000000
