,https://roic.ai/company/CFMS,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,3269000
81,Other Working Capital,54277000,45036000,132894000,81577000,56942000,36581000,34659000,22425000,108920000
82,Other Non-Cash Items,165000,6794000,-91288000,51296000,30605000,28773000,20488000,10445000,-100569000
83,Cash Provided by Operating Activities,-46826000,-43539000,-54450000,-49132000,-37856000,-26982000,-2838000,-18310000,-8399000
84,CAPEX,-4112000,-2614000,-4643000,-7161000,-5233000,-4059000,-2926000,-3249000,-2300000
85,Acquisitions Net,- -,- -,- -,- -,-5780000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-65614000,-30991000,-27430000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,37050000,32125000,47115000,7250000,- -,- -
88,Other Investing Activites,-4345000,1108000,3837000,300000,-162000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-8457000,-1506000,-806000,-35425000,-10041000,15626000,4324000,-3249000,-2300000
90,Debt Repayment,-4496000,-2382000,-10483000,-485000,- -,-15225000,-15000000,- -,-21212000
91,Common Stock Issued,- -,121000,139766000,- -,1023000,22768000,4999000,19046000,5253000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,74099000,31598000,5282000,4087000,31674000,112000,18528000,4711000,98762000
95,Cash Used/Provided by Financing Activities,69603000,29337000,134565000,3602000,32697000,7655000,8527000,23757000,82803000
96,Effect of Forex Changes on Cash,167000,-613000,-24000,1027000,-3709000,1733000,1000,81000,-121000
97,Net Change In Cash,14487000,-16321000,79285000,-79928000,-18909000,-1968000,10014000,2279000,71983000
98,Cash at the End of Period,54221000,37900000,117185000,37257000,18348000,16380000,26856000,29135000,101118000
99,Cash at the Beginning of Period,39734000,54221000,37900000,117185000,37257000,18348000,16842000,26856000,29135000
100,Free Cash Flow,-50938000,-46153000,-59093000,-56293000,-43089000,-31041000,-5764000,-21559000,-10699000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1305773/000162828016013018/0001628280-16-013018-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577317000045/0001305773-17-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577318000016/0001305773-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577319000028/0001305773-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577320000024/0001305773-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577321000017/0001305773-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577322000018/0001305773-22-000018-index.htm
102,false,,,,,,,,,
