,https://roic.ai/company/BH-A,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,14700000,14800000,16000000,15600000,16800000,19100000,22200000,23800000,25400000,30000000,44500000,52000000,59000000,64800000,80859093,86813910,82747246,91132421,101190000,116515000,125201000,135004000,466559000,117273000,121715000,131064000,151309000,165880000,153377000,159912000,150184000,152256000,152227000,129728000,108582000,106068000
11,COGS and Expenses,82500000,84100000,86000000,90600000,96700000,106200000,114800000,120700000,145200000,170700000,205300000,239000000,279200000,334100000,372786554,411670847,410696070,450152631,500705000,551795000,587631000,622245000,617747000,605864000,623285000,654971000,696448000,732733000,779537000,838175000,818468000,839537000,813666000,663386000,405314000,329398000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383000,742000,4000000,8265000,1182000,9000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13736000,12984000,13376000,18228000,16380000,20019000,21361000,20925000,20122000,19884000,20258000,15536000,7160000
14,Depreciation and Amortization,4000000,4200000,4500000,4200000,4600000,5100000,5400000,5700000,7500000,9000000,11800000,14200000,15800000,14100000,16415000,17480539,23095399,24169474,24710000,26945000,28967000,32185000,33659000,31369000,29258000,28361000,26424000,25250000,24905000,24780000,22925000,21448000,19318000,29578000,32222000,30050000
15,EBITDA,4700000,7700000,9700000,11400000,12900000,10600000,12500000,14100000,18900000,25100000,32700000,39700000,46700000,44700000,47205697,51400879,59139607,56593609,67257000,71389000,71259000,47056000,-1125000,52266000,82355000,90169000,72698000,256190000,83940000,8710000,190113000,28680000,55957000,104977000,-2443000,79477000
16,EBITDA ratio,0.0554,0.0861,0.1046,0.1153,0.1219,0.0919,0.0992,0.1064,0.1192,0.1344,0.1459,0.1511,0.1522,0.1239,0.1155,0.1147,0.1283,0.1134,0.1215,0.1176,0.1115,0.0719,-0.0018,0.0834,0.1222,0.1271,0.0990,0.3390,0.1057,0.0101,0.2236,0.0342,0.0691,0.1570,-0.0056,0.2171
17,Operating Income,2300000,5300000,6700000,8300000,9100000,9200000,11200000,11800000,13400000,16000000,18800000,23700000,27700000,26700000,35899864,36279445,50116328,43750924,53381000,55117000,51294000,31897000,-7686000,7192000,50017000,52495000,43181000,- -,14274000,23277000,31608000,267000,- -,- -,- -,- -
18,Operating Income ratio,0.0271,0.0593,0.0723,0.0839,0.0860,0.0797,0.0889,0.0891,0.0845,0.0857,0.0839,0.0902,0.0903,0.0740,0.0878,0.0810,0.1088,0.0877,0.0964,0.0908,0.0803,0.0488,-0.0126,0.0115,0.0742,0.0740,0.0588,- -,0.0180,0.0270,0.0372,0.0003,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-1600000,-1800000,-1500000,-1100000,-800000,-3700000,-4100000,-3400000,-2000000,100000,2100000,1800000,3200000,2100000,-1394190,-2359105,-14072120,-11326789,-10834000,-10673000,-9002000,-17026000,-27098000,- -,-8577000,-4664000,-11983000,173304000,24742000,-60708000,114655000,-13157000,20527000,49689000,-78570000,-80330000
20,Income Before Tax,700000,3500000,5200000,7200000,8300000,5500000,7100000,8400000,11400000,16100000,20900000,25500000,30900000,28800000,34505674,33920340,36044208,32424135,42547000,44444000,42292000,14871000,-34784000,7192000,41440000,47831000,31198000,196393000,39016000,-37431000,146263000,-12890000,16755000,55141000,-50201000,42267000
21,Income Before Tax Ratio,0.0083,0.0391,0.0561,0.0728,0.0784,0.0477,0.0563,0.0634,0.0719,0.0862,0.0933,0.0971,0.1007,0.0798,0.0844,0.0757,0.0782,0.0650,0.0768,0.0732,0.0662,0.0227,-0.0570,0.0115,0.0615,0.0674,0.0425,0.2598,0.0492,-0.0435,0.1721,-0.0153,0.0207,0.0824,-0.1158,0.1155
22,Income Tax expense (Gain),200000,1500000,1700000,2900000,3300000,2200000,2900000,3200000,4200000,6100000,7900000,9400000,11200000,10100000,12197000,12125000,12955000,11485000,14885000,14222000,14291000,3063000,-11805000,1163000,12019000,13867000,6453000,74289000,10212000,-21588000,46812000,-62961000,-2637000,9761000,-12212000,6789000
23,Net Income,500000,2000000,3500000,4300000,5000000,3300000,4200000,5200000,7200000,10000000,13000000,16100000,19700000,20500000,18593697,21795340,23089208,20939135,27662000,30222000,28001000,11808000,-22979000,5998000,28094000,34565000,21593000,140271000,28804000,-15843000,99451000,50071000,19392000,45380000,-37989000,35478000
24,Net Income ratio,0.0059,0.0224,0.0378,0.0435,0.0473,0.0286,0.0333,0.0392,0.0454,0.0536,0.0580,0.0613,0.0642,0.0568,0.0455,0.0487,0.0501,0.0420,0.0500,0.0498,0.0438,0.0181,-0.0377,0.0096,0.0417,0.0487,0.0294,0.1856,0.0363,-0.0184,0.1170,0.0596,0.0239,0.0678,-0.0876,0.0969
25,EPS,2.47,13.61,21.66,23.51,23.51,14.85,17.94,20.42,27.84,28.26,30.11,36.45,33.75,32.62,38.98,47.02,51.36,48.26,62.49,68.06,62.49,25.99,-50.12,12.99,62.21,80.41,50.09,327.03,56.17,-33.93,271.23,136.00,55.70,131.65,-110.05,111.85
26,EPS Diluted,2.47,13.61,21.66,23.51,23.51,11.14,12.99,14.85,19.18,24.40,30.11,36.45,33.30,32.06,38.98,47.02,51.36,47.64,61.87,66.82,61.87,25.99,-50.12,12.99,61.84,80.00,49.96,326.33,56.07,-33.93,270.93,135.90,55.70,131.65,-110.05,111.85
27,Weighted Average Shares Outstanding,202023,146926,161618,182884,212655,222225,234068,254671,258589,355992,431124,441812,580016,518212,472944,463963,449532,436531,442598,444449,448058,452822,456638,460346,451526,429822,431199,428905,512886,466812,366678,368150,348108,344736,345192,317251
28,Weighted Average Shares Outstanding Diluted,202023,146926,161618,182884,212655,253971,234068,254671,258589,425952,432321,443430,590470,525861,474168,464099,452303,438148,447854,453487,453154,456016,456638,462082,454268,432067,432253,429821,513832,466812,367085,368431,348108,344736,345192,317251
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1726173/000119380519000242/0001193805-19-000242-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000092189520001229/0000921895-20-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000162828021003517/0001628280-21-003517-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000172617322000004/0001726173-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,3100000,3300000,2800000,600000,8300000,12600000,8800000,10300000,1400000,600000,2700000,13700000,4000000,2177780,8715136,5286311,24794540,25150000,3063000,4820000,1497000,6855000,51395000,47563000,98987000,60359000,94626000,124290000,56523000,75808000,58577000,48557000,67772000,24503000,42349000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3491598,611092,949000,466000,- -,- -,- -,- -,3001000,32523000,115321000,269858000,85479000,21523000,23750000,22297000,23289000,33860000,44856000,94861000,83061000
33,Cash and Short-Term Investments,500000,3100000,3300000,2800000,600000,8300000,12600000,8800000,10300000,1400000,600000,2700000,13700000,4000000,2177780,12206734,5897403,25743540,25616000,3063000,4820000,1497000,6855000,54396000,80086000,214308000,330217000,180105000,145813000,80273000,98105000,81866000,82417000,112628000,119364000,125410000
34,Net Receivables,500000,500000,500000,900000,900000,700000,900000,1300000,2200000,5100000,5500000,4900000,10800000,11100000,6785407,13134102,2955049,3470976,4123000,2619000,5858000,6289000,15622000,7660000,5818000,4133000,7001000,7055000,15962000,17716000,14195000,16284000,15743000,21640000,19185000,28508000
35,Inventory,1900000,1800000,1900000,2000000,2400000,2300000,2400000,2800000,3000000,3600000,3900000,4600000,4400000,4800000,5484670,5205906,5206161,5757275,6204000,6367000,7018000,7226000,6795000,6595000,6061000,5886000,6624000,6475000,6892000,7593000,6773000,7268000,7537000,4674000,2737000,3803000
36,Other Current Assets,1600000,1400000,1200000,1900000,1800000,1800000,3500000,3400000,3900000,4400000,5100000,7800000,11500000,5200000,4169898,3620352,4569111,4284206,9457000,8989000,13224000,33185000,31664000,22064000,17866000,16257000,5155000,3851000,17601000,21206000,8716000,7221000,9236000,6449000,6492000,7088000
37,Total Current Assets,4500000,6800000,6900000,7600000,5700000,13100000,19400000,16300000,19400000,14500000,15100000,20000000,40400000,25100000,18617755,34167094,18627724,39255997,45400000,21038000,30920000,48197000,60936000,90715000,109831000,240584000,348997000,197486000,186268000,126788000,127789000,112639000,114933000,145391000,147778000,164809000
38,PP&E,42000000,40300000,34900000,41800000,39000000,38500000,35100000,43500000,51700000,78100000,110700000,142800000,146300000,181900000,219698083,207018392,359721706,360878710,382868000,439620000,490142000,492610000,432690000,399635000,386181000,371736000,356638000,346147000,354147000,332324000,312264000,295800000,274716000,410346000,358954000,391889000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14485000,14503000,14503000,14503000,28759000,27529000,27529000,28251000,40164000,40022000,40003000,40081000,40052000,40040000,53596000,53547000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9537000,2152000,1959000,9446000,1567000,7959000,6950000,6248000,7721000,22907000,21673000,26051000,26564000,28114000,27349000,24065000,23463000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9537000,16637000,16462000,23949000,16070000,36718000,34479000,33777000,35972000,63071000,61695000,66054000,66645000,68166000,67389000,77661000,77010000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23497000,18783000,25266000,397699000,557238000,471689000,577637000,566021000,557480000,505542000,419550000,250399000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1400000,2200000,5000000,600000,11100000,12500000,12600000,10800000,9200000,7200000,5600000,4500000,3500000,3500000,2451013,3880669,17545559,14500876,5195000,4462000,4822000,7945000,2561000,8076000,7612000,7278000,9109000,11239000,14008000,11422000,13223000,22479000,14198000,10641000,14025000,10700000
45,Total Non-Current Assets,43400000,42500000,39900000,42400000,50100000,51000000,47700000,54300000,60900000,85300000,116300000,147300000,149800000,185400000,222149096,210899061,377267265,375379586,388063000,453619000,511601000,517017000,459200000,423781000,454008000,432276000,424790000,791057000,988464000,877130000,969178000,950945000,914560000,993918000,870190000,729998000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47900000,49300000,46800000,50000000,55800000,64100000,67100000,70600000,80300000,99800000,131400000,167300000,190200000,210500000,240766851,245066155,395894989,414635583,433463000,474657000,542521000,565214000,520136000,514496000,563839000,672860000,773787000,988543000,1174732000,1003918000,1096967000,1063584000,1029493000,1139309000,1017968000,894807000
48,Accounts Payable,- -,- -,- -,- -,- -,5200000,5400000,5500000,7200000,9200000,13500000,14300000,15100000,18400000,16031451,13989304,14695102,17460997,18563000,21304000,28262000,28195000,25302000,22293000,26752000,29236000,33210000,37511000,39207000,34649000,33961000,40616000,41967000,32626000,26537000,36684000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11616244,10505000,7836000,16798000,33755000,19330000,22859000,22707000,31413000,17851000,15989000,9387000,8477000,7129000,6748000,5720000,18738000,169626000,16898000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16656000,13067000,12986000,14072000,12413000,12254000,10571000,11214000,29275000,10922000,11392000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17870000,30872000,32728000,36958000,34366000,31199000,44423000,37594000
52,Other Current Liabilities,11300000,13000000,11000000,13700000,17200000,12000000,14100000,13000000,17300000,19800000,23800000,24200000,24700000,23100000,25066486,25016496,35596374,32718439,29872000,30908000,38023000,32624000,31685000,30381000,41304000,54220000,73233000,59514000,46570000,43557000,46193000,51170000,40932000,57254000,47861000,52465000
53,Total Current Liabilities,11300000,13000000,11000000,13700000,17200000,17200000,19500000,18500000,24500000,29000000,37300000,38500000,39800000,41500000,41097937,39005800,50291476,61795680,58940000,60048000,83083000,94574000,76317000,75533000,90763000,114869000,124294000,113014000,113034000,117555000,120011000,135492000,122985000,139817000,288447000,143641000
54,Long-Term Debt,25700000,23400000,21400000,18100000,16000000,51200000,45700000,41000000,36100000,28300000,36000000,34700000,31200000,27200000,40055990,28378889,24418571,16203175,151401000,6315000,18802000,16522000,15783000,48000,17781000,101417000,120250000,110500000,215478000,208772000,197628000,181521000,180264000,179046000,75182000,104479000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,600000,200000,100000,100000,- -,- -,- -,- -,300000,1200000,3900000,6200000,7504485,5994000,5062000,2876000,3391000,5483000,5800000,5060000,2209000,9388000,10309000,6664000,8675000,84525000,96762000,125130000,152315000,88401000,86871000,54230000,41346000,46533000
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,- -,100000,- -,- -,-100000,- -,-100000,- -,100000,- -,5891619,149068394,145146446,16000,149836000,147801000,145194000,142248000,137480000,133746000,124980000,119355000,115915000,110741000,101089000,95073000,86842000,68918000,149918000,48165000,12458000
58,Total Non-Current Liabilities,25800000,23400000,22000000,18300000,16100000,51300000,45800000,41000000,36100000,28200000,36300000,35800000,35100000,33500000,47560475,40264508,178548965,164225621,154808000,161634000,172403000,166776000,160240000,146916000,161836000,233061000,248280000,310940000,422981000,434991000,445016000,356764000,336053000,383194000,164693000,163470000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145124559,- -,147615000,143996000,139493000,134809000,134415000,128803000,121338000,116066000,112486000,106189000,95965000,89498000,80752000,64200000,154927000,129010000,121377000
61,Total Liabilities,37100000,36400000,33000000,32000000,33300000,68500000,65300000,59500000,60600000,57200000,73600000,74300000,74900000,75000000,88658412,79270308,228840441,226021301,213748000,221682000,255486000,261350000,236557000,222449000,252599000,347930000,372574000,423954000,536015000,552546000,565027000,492256000,459038000,523011000,453140000,307111000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14800000,14960304,15075809,15166420,15166420,15166000,15166000,15166000,15166000,15166000,15166000,756000,756000,756000,899000,1071000,1071000,1071000,1071000,1138000,1138000,1138000,1138000
64,Retained Earnings,14400000,16400000,17200000,18300000,18400000,-4600000,1000000,1700000,3000000,6400000,1300000,-5400000,14300000,7500000,26082398,47877738,67175420,88113794,115776000,145215000,173216000,185024000,161733000,167731000,195825000,230390000,251983000,348339000,340775000,415982000,515433000,565504000,564160000,611039000,573050000,608528000
65,Other Comprehensive Income/Loss,-32400000,-34900000,-38400000,-30300000,-33300000,-36300000,-39100000,-42300000,-46700000,-51700000,-47000000,-56400000,-64600000,-74500000,-80620128,-90279573,-126783897,-195173,-1393000,-2300000,-199296000,-220020000,-239288000,112000,-1152000,-5468000,43897000,21457000,-522000,-3679000,-3584000,-1404000,-2516000,-2810000,-1531000,-1907000
66,Other Total Stockholders Equity,28800000,31400000,35000000,30000000,37400000,36500000,39900000,51700000,63400000,87900000,103500000,154800000,165600000,187700000,191685865,193121873,211496605,85529241,90166000,94894000,297949000,323694000,345968000,108852000,53566000,54000000,52489000,193894000,297393000,37998000,19020000,6157000,7673000,6931000,-7829000,- -
67,Total Stockholders Equity,10800000,12900000,13800000,18000000,22500000,-4400000,1800000,11100000,19700000,42600000,57800000,93000000,115300000,135500000,152108439,165795847,167054548,188614282,219715000,252975000,287035000,303864000,283579000,291861000,248995000,279678000,349125000,564589000,638717000,451372000,531940000,571328000,570455000,616298000,564828000,587696000
68,Total Liabilities And Stockholders Equity,47900000,49300000,46800000,50000000,55800000,64100000,67100000,70600000,80300000,99800000,131400000,167300000,190200000,210500000,240766851,245066155,395894989,414635583,433463000,474657000,542521000,565214000,520136000,514310000,501594000,627608000,721699000,988543000,1174732000,1003918000,1096967000,1063584000,1029493000,1139309000,1017968000,894807000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186000,62245000,45252000,52088000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,47900000,49300000,46800000,50000000,55800000,64100000,67100000,70600000,80300000,99800000,131400000,167300000,190200000,210500000,240766851,245066155,395894989,414635583,433463000,474657000,542521000,565214000,520136000,514496000,563839000,672860000,773787000,988543000,1174732000,1003918000,1096967000,1063584000,1029493000,1139309000,1017968000,894807000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1726173/000119380519000242/0001193805-19-000242-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000092189520001229/0000921895-20-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000162828021003517/0001628280-21-003517-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000172617322000004/0001726173-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,3300000,4200000,5200000,7200000,10000000,13000000,16100000,19700000,20500000,18593697,21795340,23089208,20939135,27662000,30222000,28001000,11808000,-22979000,5998000,28094000,34565000,21593000,140271000,28804000,-15843000,99451000,50071000,19392000,45380000,-37989000,35478000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,5100000,5400000,5700000,7500000,9000000,11800000,14200000,15800000,14100000,16415000,17480539,23095399,24169474,24710000,26945000,28967000,32185000,33659000,31369000,29258000,28361000,26424000,25250000,24905000,24780000,22925000,21448000,19318000,29578000,32222000,30050000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-200000,-300000,500000,1100000,300000,400000,200000,1500000,2100000,1435000,2439000,-1297000,-1892000,230000,1769000,-956000,-483000,-2193000,6457000,- -,- -,-2727000,72035000,9164000,-26476000,38485000,-64321000,-2153000,-38545000,-12216000,5269000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2881000,1735000,950000,888000,526000,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,2100000,4000000,-2100000,-2900000,-9400000,-7700000,3700000,19100000,-17000000,-6080182,17641476,-26825046,9124069,8999683,-25470000,-13153000,5786000,30996000,30563000,3886000,106647000,98988000,-140231000,-11238000,-64001000,-1455000,-30631000,14801000,13626000,-146243000,-9780000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7014000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7014000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-4100000,-100000,-2200000,-5100000,-14500000,-22200000,-18500000,600000,-16400000,-22480182,-4838706,-31663752,-22539683,-13540000,-39010000,-52163000,-46377000,-15381000,15182000,19068000,125715000,224703000,84472000,73234000,9233000,7778000,-22853000,-8052000,5574000,-140669000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-3700000,-500000,4900000,11100000,11300000,-4000000,-19400000,13700000,8498841,-19223490,36952389,-1637928,-14211683,30813000,26719000,-5865000,-15053000,-24959000,5645000,-98946000,-95200000,-59059000,-24060000,134037000,-96057000,49213000,-30680000,43644000,281782000,167750000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,10300000,9600000,8800000,17800000,21000000,28800000,30200000,36700000,33400000,38862356,40132865,55014950,50702750,47390000,64279000,69578000,43431000,24430000,52309000,68618000,71577000,49966000,38792000,27575000,52497000,63349000,25780000,20678000,93683000,117556000,228767000
84,CAPEX,- -,- -,- -,- -,- -,-6400000,-6800000,-14800000,-20600000,-42900000,-46200000,-52200000,-51400000,-67000000,-73462020,-37199280,-41350633,-30707476,-46278000,-63622000,-90438000,-68643000,-31443000,-5751000,-8650000,-13018000,-8675000,-14167000,-35812000,-11083000,-12030000,-8034000,-17796000,-17679000,-20702000,-64549000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16082000,- -,- -,- -,- -,-2446000,196000,- -,-2071000,-40143000,- -,- -,- -,-39040000,-91062000,-106317000,-12300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,-5500000,-16380000,-509000,-621000,- -,- -,- -,- -,-3047000,-73228000,-171893000,-108825000,-46977000,-112530000,-114759000,-49934000,-46355000,-58642000,-154848000,-299950000,-110199000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,2000000,9270000,5171092,6199000,466000,- -,- -,- -,230000,47112000,90058000,38108000,1000,11986000,12407000,32085000,41837000,48558000,149030000,293067000,118422000
88,Other Investing Activites,- -,- -,- -,- -,- -,3100000,5600000,1700000,7100000,6700000,6600000,11500000,31900000,19700000,22095542,26603057,2351761,1632258,2684000,4365000,3124000,8533000,14851000,13517000,5788000,5154000,-8493000,2449000,5739000,135000,-10946000,-7030000,23834000,26898000,-20702000,-54448000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-3300000,-1200000,-13100000,-13500000,-36200000,-39600000,-40700000,-24500000,-42300000,-51366478,-14096223,-46108872,-24413126,-38016000,-74873000,-87314000,-60110000,-16592000,4949000,-31424000,-89503000,-87885000,-60765000,-170760000,-113300000,-28795000,-11548000,-25290000,-69982000,-129487000,-58525000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21456000,-5650000,-221847000,-130442000,-35042000,-137778000,-12529000,-15295000,-23030000,-7579000,-8010000,-29609000,-156157000
91,Common Stock Issued,- -,- -,- -,- -,- -,200000,200000,- -,700000,500000,1200000,17500000,1300000,1600000,1827090,1288791,1174136,1421487,2118000,2261000,1991000,1894000,1142000,855000,2651000,- -,- -,75595000,85873000,- -,- -,- -,- -,- -,- -,- -
