,https://roic.ai/company/HGLD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15,EBITDA,-256252,-252632,-3104196,-1492251,-846583,-5340804,-12222112,-8443774,-11726469,-11155613,-32323726,-26511000,-11374000,680000,955247,-3025534,2821506,-12465000,1844000,2979000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.1171,0.0190,137.3666,-Infinity,Infinity,-0.2592,Infinity,0.1501
17,Operating Income,-169362,-290292,-2765000,-4438392,-3646156,-5530848,-12273674,-8497957,-11812170,-10689034,-32384336,-27581000,-20371000,-3102000,-2466497,-3109074,1655914,9646000,- -,-1513000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.0007,-0.0865,-354.6875,-Infinity,Infinity,0.2006,- -,-0.0762
19,Total Other Income Expenses (Gains),80999,-43936,-339196,-1350315,-1269874,-27781587,- -,- -,- -,-596532,-783266,6330000,1961000,-3281000,-88256,-118526,86615,-34675000,- -,-799000
20,Income Before Tax,-88363,-334228,-3104196,-5788706,-4916030,-33312435,-12273674,-8497957,-11812170,-11285566,-33167602,-21251000,-18410000,-6383000,-2554753,-3227600,1742529,-25029000,- -,-2312000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.8081,-0.1780,-367.3789,-Infinity,Infinity,-0.5205,- -,-0.1165
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-476000,-3249000,372000,-88256,- -,- -,-2569000,- -,2069000
23,Net Income,-88363,-334228,-3104196,-5788706,-4916030,-33312435,-12273674,-8497957,-11812170,-11285566,-33167602,-20775000,-12257000,-6420000,-2466497,-3227600,1742529,-20581000,- -,-4406000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2038,-0.1790,-354.6875,-Infinity,Infinity,-0.4280,- -,-0.2220
25,EPS,-0.00,-0.00,-0.02,-0.02,-0.02,-0.12,-0.04,-0.02,-0.02,-0.02,-0.05,-2.56,-1.43,-0.61,-1.23,0.00,0.00,-0.87,-0.03,-0.01
26,EPS Diluted,-0.00,-0.00,-0.02,-0.02,-0.02,-0.12,-0.04,-0.02,-0.02,-0.02,-0.05,-2.56,-1.43,-0.61,-1.23,0.00,0.00,-0.87,-0.03,-0.01
27,Weighted Average Shares Outstanding,96025000,104707000,224232000,227261899,252281435,269548193,333053212,423543344,572842503,647624975,715991612,8126308,8556525,10466023,10599554,1391295477,1826750000,23634749,282306312,325483780
28,Weighted Average Shares Outstanding Diluted,96025000,106000000,224232000,227261899,252281435,269548193,333053212,423543344,572842503,647624975,715991612,8126308,8556525,10466023,10599554,1391295477,1826750000,23634749,282306312,325483780
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551206/000100201417000119/0001002014-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1551206/000100201417000122/0001002014-17-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1551206/000172171618000093/0001721716-18-000093-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1551206/000172171620000030/0001721716-20-000030-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,5505357,6329600,254663,1892596,1312841,1565452,4679592,10515241,11326281,4663000,981000,5588000,32683,108272,78145,654000,685000,819000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1792000,- -,- -,55092,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,5505357,6329600,254663,1892596,1312841,1565452,4679592,10515241,11326281,4663000,981000,7380000,32683,108272,133237,654000,685000,819000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485000,1119000,752000,85982,126453,2144830,4788000,- -,2041000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2239458,4880000,2941000,3525000,- -,- -,333320,5907000,3347000,3289000
36,Other Current Assets,- -,- -,258929,655977,784638,397719,446207,95186,145530,104902,358997,721000,116000,126000,- -,17593,13750,133000,1516000,- -
37,Total Current Assets,- -,- -,5764286,6985576,1039301,2290316,1759048,1660638,4825122,10620143,13924736,10749000,5157000,11783000,118665,252318,2625137,11482000,5548000,6149000
38,PP&E,- -,- -,96429,86313,106683,78368,130887,1082197,1026794,4427800,15769453,24154000,29008000,20667000,728498,4934783,5033490,39709000,10508000,46350000
39,Goodwill,- -,- -,- -,28513887,25903366,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4379000,4009000
40,Intangible Assets,- -,- -,26866071,- -,- -,- -,- -,- -,- -,- -,3986000,8387000,3787000,3687000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,26866071,28513887,25903366,- -,- -,- -,- -,- -,3986000,8387000,3787000,3687000,- -,- -,- -,- -,4379000,4009000
42,Investments,- -,- -,151786,163035,146259,- -,- -,- -,- -,- -,- -,94000,29000,18000,7000,31000,24000,11000,334000,16000
43,Tax Assets,- -,- -,5505357,6329600,254663,1892596,1312841,1565452,4679592,10515241,11326281,- -,3569000,2694000,- -,- -,- -,1633000,- -,- -
44,Other Non-Current Assets,- -,- -,-5505357,-6329600,-254663,-1281323,-325235,503756,-1866016,-6654225,-4669804,329000,7418000,8721000,413987,853027,848701,3075000,-334000,3544000
45,Total Non-Current Assets,- -,- -,27114286,28763235,26156308,689642,1118493,3151405,3840370,8288816,26411930,32964000,43811000,35787000,1149485,5818810,5906191,44428000,14887000,53919000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,32878571,35748811,27195609,2979957,2877541,4812043,8665492,18908959,40336666,43713000,48968000,47570000,1268150,6071128,8531328,55910000,20435000,60068000
48,Accounts Payable,- -,- -,282143,331824,283915,413393,842836,1994523,2522517,3114177,6497692,5509000,10187000,7197000,1508028,3087611,6673319,5071000,5992000,2654000
49,Short-Term Debt,- -,- -,- -,997391,894762,- -,- -,- -,- -,272432,380755,- -,6831000,8046000,13346000,18010000,25317000,22492000,15323000,9999000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271000,169000,462000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190269,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,41071,180298,254663,176329,218146,155227,211827,455619,744414,460000,1000000,1044000,-13235005,-12866729,-24056360,1862000,6717000,1874000
53,Total Current Liabilities,- -,- -,323214,1509514,1433340,589722,1060982,2149750,2734343,3842228,7622861,5969000,18018000,16287000,1619023,8421151,7933959,29425000,28032000,14527000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4634000,2786000,- -,3471311,1368594,674000,334000,14917000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1075000,- -,4023000
57,Other Non-Current Liabilities,- -,- -,- -,117002,37855,- -,- -,303132,1617,189450,851647,1104000,1076000,1133000,250000,-2499616,773436,1354000,17247000,5196000
58,Total Non-Current Liabilities,- -,- -,- -,117002,37855,- -,- -,303132,1617,189450,851647,1104000,5710000,3919000,250000,971695,2142030,3103000,17581000,24136000
59,Other Liabilities,- -,- -,- -,- -,75711,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000,23000
61,Total Liabilities,- -,- -,323214,1626515,1471196,589722,1060982,2452883,2735960,4031678,8474507,7073000,23728000,20206000,1869023,9392846,10075989,32528000,45613000,38663000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4003571,4839267,4341317,5350600,7097670,6935434,9598499,10454179,11380674,13126000,14108000,16256000,24560711,24695186,24695186,301000,2588000,7320000
64,Retained Earnings,- -,- -,-3755357,-10184901,-14023677,-49279991,-62034705,-54357345,-71815727,-81903333,-115000292,-135112000,-147294000,-153461000,-34540496,-37649570,-35993656,-178499000,- -,-190541000
65,Other Comprehensive Income/Loss,- -,- -,-8929,-47952,-120449,-137145,-134854,-174265,-239316,-339757,2868869,-8929000,-21547000,-15453000,-11746000,18991000,300000,22910000,-575000,19744000
66,Other Total Stockholders Equity,- -,- -,32316071,39515882,35527221,46456770,56888448,49955336,68386074,86666192,128626641,163569000,178891000,179275000,30444785,12971384,44374470,- -,7406000,186177000
67,Total Stockholders Equity,- -,- -,32555357,34122296,25724413,2390235,1816559,2359161,5929531,14877281,27875892,32654000,24158000,26617000,8719000,19008000,33376000,24854000,9419000,22700000
68,Total Liabilities And Stockholders Equity,- -,- -,32878571,35748811,27195609,2979957,2877541,4812043,8665492,18908959,36350399,39727000,47886000,46823000,10588023,28400846,43451989,57382000,55032000,61363000
69,Minority Interest,- -,- -,0,- -,-0,-0,- -,- -,- -,- -,3986267,3986000,1082000,747000,-9319873,-22329718,-34920661,-1472000,-34597000,-1295000
70,Total Liabilities & Equity,- -,- -,32878571,35748811,27195609,2979957,2877541,4812043,8665492,18908959,40336666,43713000,48968000,47570000,1268150,6071128,8531328,55910000,20435000,60068000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551206/000100201417000119/0001002014-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1551206/000100201417000122/0001002014-17-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1551206/000172171618000093/0001721716-18-000093-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1551206/000172171620000030/0001721716-20-000030-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-88363,-334228,-3104196,-5788706,-4916030,-33312435,-12273674,-8497957,-11812170,-11285566,-33167602,-20775000,-12257000,-6420000,-2466497,-3227600,1742529,-20581000,- -,-4406000
74,Depreciation and Amortization,- -,1569,- -,1492251,1435061,41143,47595,46861,75999,114296,814348,1050000,3503000,5717000,2728000,2587000,4862000,9318000,1944000,3216000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298000,2069000
76,Stock Based Compensation,- -,- -,- -,- -,- -,27429,196331,136190,2043885,760930,8480724,5284000,2271000,555000,97000,67000,42000,190000,127000,382000
77,Change in Working Capital,41236,-32952,- -,-569664,-110125,27942243,174517,512543,-523907,61062,-1080100,-6688000,12507000,-2196000,3636000,-5182000,-11517000,5485000,4195000,-1157000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2239458,-2641000,1939000,-584000,1272000,-7910000,-11936000,1045000,1477000,239000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2815000,-1349000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-329000,1618000,932000,-2622000,1482000,2200000,1297000,1764000,1000
82,Other Non-Cash Items,30927,36090,3104196,-0,- -,-793480,4190382,-98115,-43659,-115862,-226899,-20000,-8084000,-526000,-13358503,7241600,-4442529,-1974000,-3790000,-639000
83,Cash Provided by Operating Activities,-16200,-329520,- -,-4866119,-3591094,-6095100,-7664849,-7900479,-10259852,-10465139,-25179528,-21149000,-2060000,-2870000,-9364000,1486000,-9313000,-7562000,2774000,-535000
84,CAPEX,- -,-15691,- -,-23017,-89476,- -,-99157,-1032407,-116424,-3568230,-12490302,-8314000,-11881000,-3166000,-547000,-22452000,-6826000,-20165000,-993000,-1918000
85,Acquisitions Net,- -,-9415,- -,- -,-1743066,1702553,- -,- -,- -,- -,- -,- -,- -,-1490000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-817354,39229,-4302786,-266610,5129396,101879,95191,98115,43659,114296,228453,1038000,4122000,2779000,3114000,110000,7604000,7622000,113000,417000
89,Cash Used for Investing Activites,-817354,14122,-4302786,-289627,3296855,1847534,-3966,-934292,-72765,-3453934,-12261849,-7276000,-7759000,-1877000,2567000,-22342000,778000,-12543000,-880000,-1501000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16790000,-14512000,-25609000,-25169000,-38468000,-10530000,-5527000
91,Common Stock Issued,879208,266755,- -,5305355,- -,5916812,7333664,8925564,14276474,19392760,38383162,23663000,9245000,13406000,- -,10779000,10399000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,7169732,- -,- -,- -,- -,- -,6468,- -,- -,1756000,246000,11495000,17734000,35904000,24892000,36449000,11123000,6646000
95,Cash Used/Provided by Financing Activities,879208,266755,7169732,5305355,- -,5916812,7333664,8925564,14282942,19392760,38383162,25419000,9491000,8111000,3222000,21074000,10122000,-2019000,593000,1102000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-66613,-267724,506685,-999305,183000,-235000,-3277000,-3354000,1243000,-319000,-1177000,-1038000,21494000,-2462000,1068000
97,Net Change In Cash,45654,-1208241,7169732,-5032281,51621,1602633,-602876,597478,2951021,3727000,704000,-6283000,-3682000,4607000,-3894000,-959000,549000,-630000,25000,134000
98,Cash at the End of Period,863008,-326382,260393,150318,-294239,1892596,1312841,1566916,4679592,6621000,10946000,4663000,981000,5588000,1694000,735000,1284000,654000,685000,819000
99,Cash at the Beginning of Period,817354,881859,- -,5182599,-345860,289963,1915716,969438,1728571,2894000,10242000,10946000,4663000,981000,5588000,1694000,735000,1284000,660000,685000
100,Free Cash Flow,-16200,-345212,- -,-4889136,-3680570,-6095100,-7764006,-8932886,-10376275,-14033369,-37669830,-29463000,-13941000,-6036000,-9911000,-20966000,-16139000,-27727000,1781000,-2453000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551206/000100201417000119/0001002014-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1551206/000100201417000122/0001002014-17-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1551206/000172171618000093/0001721716-18-000093-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1551206/000172171620000030/0001721716-20-000030-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,
