,https://roic.ai/company/NOVA,2017,2018,2019,2020,2021
53,Total Current Liabilities,153895000,95403000,195002000,210853000,310897000
54,Long-Term Debt,723697000,916430000,1346419000,1924653000,3135681000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,80012000,152133000,299711000,307519000,436043000
58,Total Non-Current Liabilities,803709000,1068563000,1646130000,2232172000,3571724000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,561000,1206000,1850000
61,Total Liabilities,957604000,1163966000,1841132000,2443025000,3882621000
62,Preferred Stock,1044000,1352000,- -,- -,- -
63,Common Stock,202000,202000,8000,10000,11000
64,Retained Earnings,-242757000,-286312000,-361824000,-530995000,-459715000
65,Other Comprehensive Income/Loss,-60082000,-99078000,-148159000,- -,- -
66,Other Total Stockholders Equity,672777000,884955000,1155910000,1482716000,- -
67,Total Stockholders Equity,371184000,501119000,645935000,951731000,1189495000
68,Total Liabilities And Stockholders Equity,1328788000,1665085000,2487067000,3394756000,5072116000
69,Minority Interest,- -,- -,- -,192826000,432118000
70,Total Liabilities & Equity,1328788000,1665085000,2487067000,3587582000,5504234000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1772695/000177269520000016/0001772695-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1772695/000177269521000022/0001772695-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1772695/000177269522000011/0001772695-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-91085000,-74246000,-144351000,-252284000,-138128000
74,Depreciation and Amortization,29482000,39423000,49340000,66066000,106954000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1495000,2984000,9235000,10873000,17236000
77,Change in Working Capital,-28464000,66748000,85188000,166484000,-226643000
78,Accounts Receivable,-841000,-4983000,-9349000,-4297000,-53261000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-1220000,-996000,5292000,-1141000,-6392000
81,Other Working Capital,-72618000,-5870000,79318000,245802000,- -
82,Other Non-Cash Items,39605000,-46479000,-169674000,-122605000,31351000
83,Cash Provided by Operating Activities,-48967000,-11570000,-170262000,-131466000,-209230000
84,CAPEX,-240578000,-252618000,-430822000,-578369000,-554541000
85,Acquisitions Net,-1000000,- -,- -,- -,- -
86,Purchases of Investments,-52405000,-108354000,-159303000,-285238000,-728926000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,4850000,12123000,21809000,34088000,42251000
89,Cash Used for Investing Activites,-289133000,-348849000,-568316000,-829519000,-1241216000
90,Debt Repayment,-591012000,-334556000,-404532000,-972227000,-984009000
91,Common Stock Issued,23000,- -,164452000,152277000,10513000
92,Common Stock Repurchased,- -,- -,-2510000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,960882000,700243000,1044413000,2008537000,2437946000
95,Cash Used/Provided by Financing Activities,369893000,365687000,801823000,1188587000,1464450000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,31793000,5268000,63245000,227602000,14004000
98,Cash at the End of Period,81778000,87046000,150291000,377893000,391897000
99,Cash at the Beginning of Period,49985000,81778000,87046000,150291000,377893000
100,Free Cash Flow,-289545000,-264188000,-601084000,-709835000,-763771000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1772695/000177269520000016/0001772695-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1772695/000177269521000022/0001772695-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1772695/000177269522000011/0001772695-22-000011-index.htm
102,false,,,,,
