,https://roic.ai/company/SMMT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,1233510,1172986,2429955,1702171,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29517643,25525139,1089908,569000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,3736404,1470122,1504937,- -,- -,- -,- -,1000452,945667,706224,3367399,2196865,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2314588,2346438,1903952,1885165,324413,321912,- -,- -,- -,103966,7504719,6696580,2427700,2511000,4467000
58,Total Non-Current Liabilities,- -,- -,1233510,3487574,8512796,5076245,3390101,324413,321912,- -,- -,1000452,1049633,37728585,35589118,5714473,3155000,4467000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,643824,- -,- -,- -,- -,- -,- -,- -,- -,30090000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,465000,- -
61,Total Liabilities,3649,350210,2492012,6327848,15301557,7767144,5153849,2236078,2339751,2410324,3082937,6674702,5615609,51348074,62403748,22591645,23045000,30090000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1824,5895201,5589175,7300759,12746326,8066934,11039397,10966752,11182124,13880684,16618831,619256,873033,772471,1041785,2103745,826000,980000
64,Retained Earnings,-40139,-86611,-1988611,-8108903,-28348148,-52836471,-43903569,-50910731,-54748595,-61742825,-74529889,-45585355,-67425764,-92205292,-114508549,-99799331,-214740000,-299548000
65,Other Comprehensive Income/Loss,- -,-1883,-228494,-917989,-2453817,-3166527,-5233728,-1604659,-1741465,-3068977,-3205001,27289438,25736666,22624152,32636451,30265591,- -,-2197000
66,Other Total Stockholders Equity,180624,20720755,20003927,41839117,72135059,60263469,51322810,47369087,49086084,55434285,68971035,40226006,70913622,64442583,94808063,- -,293367000,83284000
67,Total Stockholders Equity,142310,26527461,23375997,40112983,54079421,12327405,13224910,5820449,3778148,4503167,7854975,22549345,30097558,-4366086,13977749,55796446,79453000,83284000
68,Total Liabilities And Stockholders Equity,145959,26877671,25868009,46440831,69380978,20094549,18378758,8056527,6117898,6913491,10937912,29224047,35713167,46981988,76381497,78388091,102498000,113374000
69,Minority Interest,- -,-0,- -,- -,- -,- -,0,-0,0,- -,0,- -,0,-0,- -,- -,- -,- -
70,Total Liabilities & Equity,145959,26877671,25868009,46440831,69380978,20094549,18378758,8056527,6117898,6913491,10937912,29224047,35713167,46981988,76381497,78388091,102498000,113374000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1599298/000119312516587491/0001193125-16-587491-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000119312517104086/0001193125-17-104086-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000162828018004229/0001628280-18-004229-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1599298/000159929821000011/0001599298-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000159929822000032/0001599298-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-41963,-86611,-1895785,-5923776,-20127662,-32289355,-8657379,-7421943,-4230395,-6673406,-10050475,-17120687,-24336680,-26712748,-10093704,9872123,-52697000,-88602
74,Depreciation and Amortization,- -,9414,240990,737530,3281036,2738462,3783110,710544,295217,146894,42887,49721,68361,72497,348205,1492557,2003000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,119602,792452,966414,305555,-28757,117105,97359,181643,372790,1447943,1652069,1723685,2274657,6220736,1766000,- -
77,Change in Working Capital,- -,26345612,-4179419,13285150,-17078669,-13411354,3731083,-4842055,-1860186,2064272,-2174442,15196321,7918456,2913119,-4063673,20429503,619000,-21616000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212000,- -
79,Inventory,- -,- -,-48198,-313842,-157092,-77830,289165,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1642000,- -
81,Other Working Capital,142310,26487922,22308502,35593653,18514983,5103629,8834713,3992657,2132471,4196743,2022301,17218623,25137079,28050198,23986525,44416027,5372000,46168000
82,Other Non-Cash Items,41963,-26211929,4088379,-14850439,16832094,27935294,-1473679,7100288,1891593,-753284,2128255,-16636731,-9772761,37179127,-9257298,-73158206,198000,-50882398
83,Cash Provided by Operating Activities,- -,56485,-1626234,-5959083,-16126787,-14721397,-2645621,-4336061,-3806413,-5033880,-9680984,-17063432,-24470555,15175681,-20791813,-35143288,-48111000,-72587000
84,CAPEX,- -,-13180,-2452739,-3371844,-3863668,-1653167,-140589,-193065,-190007,-120042,-77527,-52735,-93997,-109996,-678009,-163945,-421000,- -
85,Acquisitions Net,- -,- -,- -,-500186,807334,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6758861,-251820,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-25983318,3937950,1549597,1541092,438154,25562,22155,17273,-50544,166601,76842,42726,1250,-151455,-2623,- -,-306000
89,Cash Used for Investing Activites,- -,-25996498,1485210,-2322434,-1515242,-1215013,-115027,-170910,-172733,-102668,105569,24107,-51271,-99996,-7419884,-410519,-421000,-306000
90,Debt Repayment,- -,- -,- -,-182421,-141184,-294024,-84673,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,182448,26467210,- -,19558267,282368,5621054,9115890,31650,2295782,7897522,7691673,33147506,37172969,- -,21134356,45442980,50000000,426947000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1351327,0,1193104,-14413,-894654,-6330,-160171,-702879,-341449,-2193762,-5646942,516231,-1452270,-1588301,551000,-349031000
95,Cash Used/Provided by Financing Activities,182448,26467210,1351327,19375846,1334288,5312617,8136563,25320,2135611,7194642,7350224,30953744,31526027,516231,19682086,43854679,50551000,77916000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172328,-894966,-2737516,560037,556000,351000
97,Net Change In Cash,182448,-25604865,-20014638,11094329,-16307741,-10623793,5375915,-4481651,-1843535,2058094,-2225191,13914419,7176529,14696949,-11267127,8860909,2575000,5374000
98,Cash at the End of Period,145959,530963,1210304,35874149,20060053,3916001,9716586,5143137,3259948,5337145,3348509,16973030,23220110,35076185,28453742,35225916,66417000,- -
99,Cash at the Beginning of Period,- -,26135829,21224942,24779820,36367794,14539794,4340672,9624788,5103483,3279051,5573700,3058611,16043580,20379236,39720870,26365008,63842000,66417000
100,Free Cash Flow,- -,43306,-4078973,-9330927,-19990455,-16374564,-2786210,-4529126,-3996420,-5153923,-9758511,-17116167,-24564552,15065685,-21469822,-35307233,-48532000,-72587000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1599298/000119312516587491/0001193125-16-587491-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000119312517104086/0001193125-17-104086-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000162828018004229/0001628280-18-004229-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1599298/000159929821000011/0001599298-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1599298/000159929822000032/0001599298-22-000032-index.htm
102,false,,,,,,,,,,,,,,,,,,
