,https://roic.ai/company/TEVA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,20500000,35400000,59100000,56200000,97400000,80900000,120900000,145500000,175300000,188400000,274100000,314200000,334800000,384157000,411654000,470837000,571400000,634100000,1064900000,1167700000,2163000000,2482000000,4699000000,4301000000,4766000000,5505000000,6473000000,6746000000,6566000000,6242000000,7207000000,6834000000,5427000000,4816000000,4668000000,4495000000
11,COGS and Expenses,79300000,120300000,188600000,236900000,288700000,275000000,350700000,414000000,481000000,552500000,824500000,943100000,970900000,1083360000,1374644000,1700914000,1994600000,2391600000,3624500000,3937500000,6312000000,7013000000,9816000000,10833000000,11822000000,14302000000,16138000000,16353000000,15782000000,14538000000,17251000000,18394000000,15985000000,14167000000,13601000000,12779000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318000000,230000000,225000000,153000000,355000000,314000000,300000000,270000000,546000000,875000000,920000000,881000000,963000000,891000000
14,Depreciation and Amortization,3500000,5100000,7800000,100000,12600000,13800000,18600000,19600000,23500000,25400000,43700000,52000000,58700000,68424000,94985000,109129000,96900000,127700000,220400000,242500000,431000000,521000000,493000000,908000000,977000000,1069000000,1708000000,1642000000,1508000000,1308000000,1524000000,2112000000,1842000000,1722000000,1557000000,1330000000
15,EBITDA,16400000,27100000,26900000,25200000,43100000,50800000,71200000,104600000,122100000,133100000,138000000,192200000,158400000,230592000,302970000,450991000,592000000,1000200000,819400000,1551000000,1132000000,2870000000,1631000000,3304000000,4816000000,4108000000,3889000000,3182000000,5454000000,3800000000,2920000000,-15211000000,417000000,1326000000,-1638000000,2849000000
16,EBITDA ratio,0.1798,0.1941,0.1274,0.0896,0.1310,0.1553,0.1751,0.2084,0.2078,0.1993,0.1447,0.1721,0.1419,0.1798,0.1731,0.2171,0.2351,0.3053,0.1707,0.2954,0.1346,0.3051,0.1471,0.2377,0.2987,0.2243,0.1914,0.1566,0.2690,0.1934,0.1333,-0.6795,0.0221,0.0785,-0.0983,0.1794
17,Operating Income,11900000,19300000,22500000,44200000,40300000,52100000,56000000,88000000,106700000,115200000,129300000,173800000,145000000,199046000,244528000,360792000,524000000,877400000,577800000,1312900000,801000000,2395000000,1145000000,2405000000,3871000000,3109000000,2205000000,1649000000,3951000000,3352000000,2154000000,-17484000000,-1637000000,-443000000,-3572000000,1716000000
18,Operating Income ratio,0.1305,0.1383,0.1066,0.1572,0.1225,0.1593,0.1377,0.1753,0.1816,0.1725,0.1356,0.1556,0.1299,0.1552,0.1397,0.1737,0.2081,0.2678,0.1204,0.2501,0.0953,0.2546,0.1033,0.1730,0.2401,0.1698,0.1085,0.0812,0.1949,0.1706,0.0983,-0.7811,-0.0868,-0.0262,-0.2144,0.1081
19,Total Other Income Expenses (Gains),1000000,2700000,-3400000,-19100000,-9800000,-15100000,-3400000,-3000000,-8100000,-7500000,-35000000,-33600000,-45300000,-36878000,-36543000,-18930000,-24600000,-5000000,25900000,-4300000,-95000000,-42000000,-318000000,-202000000,-225000000,-153000000,-386000000,-399000000,-313000000,-1000000000,-1330000000,-895000000,-959000000,-822000000,-834000000,-1058000000
20,Income Before Tax,12900000,22000000,19100000,25100000,30500000,37000000,52600000,85000000,98600000,107700000,94300000,140200000,99700000,162168000,207985000,341862000,499400000,872400000,603700000,1308600000,706000000,2353000000,827000000,2203000000,3646000000,2956000000,1819000000,1250000000,3638000000,2352000000,824000000,-18379000000,-2596000000,-1265000000,-4406000000,658000000
21,Income Before Tax Ratio,0.1414,0.1576,0.0905,0.0893,0.0927,0.1131,0.1293,0.1693,0.1678,0.1613,0.0989,0.1255,0.0893,0.1265,0.1189,0.1646,0.1983,0.2663,0.1258,0.2492,0.0840,0.2501,0.0746,0.1585,0.2262,0.1614,0.0895,0.0615,0.1795,0.1197,0.0376,-0.8210,-0.1377,-0.0749,-0.2645,0.0414
22,Income Tax expense (Gain),5300000,7200000,7100000,8200000,9700000,13300000,20000000,27500000,27000000,27900000,20900000,38700000,30900000,44335000,59568000,63650000,84800000,181500000,267200000,236200000,155000000,397000000,185000000,166000000,283000000,127000000,-137000000,-43000000,591000000,634000000,521000000,-1933000000,-195000000,-278000000,-168000000,211000000
23,Net Income,7600000,14800000,12000000,16900000,20800000,23700000,32600000,57500000,71600000,79800000,73400000,101500000,68800000,117833000,148417000,278212000,410300000,691000000,331800000,1072300000,546000000,1952000000,635000000,2000000000,3331000000,2759000000,1963000000,1269000000,3055000000,1588000000,329000000,-16265000000,-2150000000,-999000000,-3990000000,417000000
24,Net Income ratio,0.0833,0.1060,0.0568,0.0601,0.0632,0.0725,0.0802,0.1145,0.1218,0.1195,0.0770,0.0909,0.0617,0.0919,0.0848,0.1339,0.1629,0.2109,0.0691,0.2042,0.0649,0.2075,0.0573,0.1439,0.2066,0.1507,0.0966,0.0625,0.1507,0.0808,0.0150,-0.7266,-0.1140,-0.0592,-0.2395,0.0263
25,EPS,0.24,0.01,0.04,0.05,0.05,0.07,0.08,0.14,0.17,0.18,0.15,0.21,0.14,0.23,0.29,0.53,0.78,1.28,0.54,1.73,0.72,2.54,0.81,2.29,3.72,3.10,2.25,1.49,3.58,1.84,0.07,-16.26,-2.35,-0.91,-3.64,0.38
26,EPS Diluted,0.22,0.01,0.04,0.05,0.05,0.06,0.08,0.14,0.17,0.18,0.15,0.21,0.14,0.23,0.28,0.51,0.76,1.20,0.50,1.59,0.69,2.38,0.78,2.23,3.67,3.09,2.25,1.49,3.56,1.82,0.07,-16.26,-2.35,-0.91,-3.64,0.38
27,Weighted Average Shares Outstanding,436912000,436912000,342857143,338000000,396190476,364615385,420645161,425925926,433939394,437260274,489333333,489156627,478608696,501417021,516233043,529927619,529000000,536800000,612700000,618400000,756000000,768000000,780000000,872000000,896000000,890000000,872000000,849000000,853000000,855000000,955000000,1016000000,1021000000,1091000000,1095000000,1095000000
28,Weighted Average Shares Outstanding Diluted,436912000,436912000,342857143,338000000,396190476,412173913,420645161,425925926,433939394,437260274,489333333,489156627,478608696,501417021,520761404,545513725,561600000,590000000,688000000,680800000,805000000,830000000,820000000,896000000,921000000,893000000,873000000,850000000,858000000,864000000,961000000,1016000000,1021000000,1091000000,1095000000,1095000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818686/000119312519043564/0001193125-19-043564-index.html,https://www.sec.gov/Archives/edgar/data/818686/000119312520044221/0001193125-20-044221-index.html,https://www.sec.gov/Archives/edgar/data/818686/000119312521036239/0001193125-21-036239-index.htm,https://www.sec.gov/Archives/edgar/data/818686/000119312522032667/0001193125-22-032667-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,809900000,1057300000,784100000,1275600000,1332000000,1488000000,1854000000,1995000000,1248000000,1096000000,2879000000,1038000000,2226000000,6946000000,988000000,963000000,1782000000,1975000000,2177000000,2165000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235700000,322100000,256800000,935500000,712000000,1387000000,53000000,253000000,36000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1045600000,1379400000,1040900000,2211100000,2044000000,2875000000,1907000000,2248000000,1284000000,1096000000,2879000000,1038000000,2226000000,6946000000,988000000,963000000,1782000000,1975000000,2177000000,2165000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1074700000,1332400000,1874300000,2180000000,2922000000,3546000000,4653000000,5019000000,5476000000,6213000000,5572000000,5338000000,5408000000,5350000000,7523000000,7128000000,5822000000,5676000000,4581000000,4529000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,781100000,1004600000,1286300000,1114200000,1879000000,2440000000,3396000000,3332000000,3866000000,5012000000,5502000000,5053000000,4371000000,3966000000,4954000000,4924000000,4731000000,4422000000,4403000000,3818000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,795000000,998000000,1470000000,1542000000,1416000000,2132000000,2402000000,2291000000,2391000000,2136000000,3496000000,2367000000,1459000000,1391000000,1844000000,2061000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2901400000,3716400000,4201500000,5505300000,7640000000,9859000000,11426000000,12141000000,12042000000,14453000000,16355000000,13720000000,14396000000,18398000000,16961000000,15382000000,13794000000,13464000000,13005000000,12573000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675400000,827400000,1278200000,1360900000,2193000000,2515000000,3699000000,3766000000,4357000000,5947000000,6315000000,6635000000,6535000000,6544000000,8073000000,7673000000,6868000000,6950000000,6854000000,6477000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8038000000,8407000000,12297000000,12674000000,15232000000,18293000000,18856000000,18981000000,18408000000,19025000000,44409000000,28414000000,24917000000,24846000000,20624000000,20040000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736500000,927000000,3308700000,3110600000,1987000000,1919000000,4581000000,4053000000,5751000000,10316000000,7745000000,6476000000,5512000000,7675000000,21487000000,17640000000,14005000000,11232000000,8923000000,7466000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736500000,927000000,3308700000,3110600000,10025000000,10326000000,16878000000,16727000000,20983000000,28609000000,26601000000,25457000000,23920000000,26700000000,65896000000,46054000000,38922000000,36078000000,29547000000,27506000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425000000,534000000,632000000,991000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476000000,642000000,138000000,142000000,- -,- -,- -,- -,725000000,574000000,368000000,386000000,695000000,596000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313500000,445100000,843600000,410600000,613000000,712000000,- -,- -,- -,- -,1338000000,1696000000,1569000000,2616000000,1235000000,932000000,731000000,591000000,538000000,515000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1725400000,2199500000,5430500000,4882100000,12831000000,13553000000,21478000000,21669000000,26110000000,35689000000,34254000000,33788000000,32024000000,35860000000,75929000000,55233000000,46889000000,44005000000,37634000000,35094000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88011000000,75269000000,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4626800000,5915900000,9632000000,10387400000,20471000000,23412000000,32904000000,33810000000,38152000000,50142000000,50609000000,47508000000,46420000000,54258000000,92890000000,70615000000,60683000000,57470000000,50640000000,47666000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,785700000,1050700000,1643500000,1884600000,2557000000,1383000000,- -,- -,- -,- -,- -,- -,- -,- -,2157000000,2069000000,1853000000,1718000000,1756000000,1686000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,738500000,644200000,560400000,375500000,742000000,1841000000,2906000000,1301000000,2771000000,4280000000,3006000000,1804000000,1761000000,1585000000,3276000000,3646000000,2216000000,2345000000,3188000000,1426000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,772000000,2147000000,5575000000,6301000000,6923000000,9567000000,9882000000,10161000000,10528000000,11420000000,13086000000,12206000000,10253000000,9611000000,8220000000,7915000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1524200000,1694900000,2203900000,2260100000,4071000000,5371000000,8481000000,7602000000,9694000000,13847000000,12888000000,11965000000,12289000000,13005000000,18519000000,17921000000,14322000000,13674000000,13164000000,11027000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1161400000,815400000,1513400000,1773300000,4585000000,3347000000,5537000000,4311000000,4110000000,10236000000,11712000000,10387000000,8566000000,8383000000,32524000000,28829000000,26700000000,24997000000,23210000000,22033000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43700000,34600000,212300000,219300000,486000000,459000000,1723000000,1741000000,1348000000,2610000000,1849000000,1247000000,1101000000,1748000000,5215000000,3277000000,2140000000,1096000000,964000000,784000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63200000,74900000,302600000,84400000,152000000,475000000,803000000,897000000,998000000,1106000000,1293000000,1273000000,1109000000,1195000000,1639000000,1843000000,1727000000,2640000000,2241000000,2578000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1268300000,924900000,2028300000,2077000000,5223000000,4281000000,8063000000,6949000000,6456000000,13952000000,14854000000,12907000000,10776000000,11326000000,39378000000,33949000000,30567000000,28733000000,26415000000,25395000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,479000000,416000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2792500000,2619800000,4232200000,4337100000,9294000000,9652000000,16544000000,14551000000,16150000000,27799000000,27742000000,24872000000,23065000000,24331000000,57897000000,51870000000,44889000000,42407000000,39579000000,36422000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3291000000,3620000000,3631000000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33900000,34300000,42100000,42600000,46000000,46000000,48000000,49000000,49000000,50000000,50000000,50000000,50000000,52000000,54000000,54000000,56000000,56000000,57000000,57000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1345700000,1960300000,2171400000,3081600000,3398000000,5041000000,5288000000,6662000000,9325000000,11284000000,12346000000,12535000000,14436000000,14851000000,13607000000,-3803000000,-5958000000,-6956000000,-10946000000,-10529000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31700000,135500000,140400000,-471700000,651000000,1365000000,390000000,555000000,350000000,-589000000,-17000000,-91000000,-1343000000,-1955000000,-3159000000,-1853000000,-2459000000,-2312000000,-2399000000,-2683000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481500000,1159300000,3035000000,3389800000,7047000000,7272000000,10574000000,11956000000,12223000000,11450000000,10389000000,10071000000,10170000000,13530000000,19215000000,19330000000,23068000000,23184000000,23314000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1829400000,3289400000,5388900000,6042300000,11142000000,13724000000,16300000000,19222000000,21947000000,22195000000,22768000000,22565000000,23313000000,29769000000,33337000000,17359000000,14707000000,13972000000,10026000000,10278000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4621900000,5909200000,9621100000,10379400000,20436000000,23376000000,32844000000,33773000000,38097000000,49994000000,50510000000,47437000000,46378000000,54100000000,91234000000,69229000000,59596000000,56379000000,49605000000,46700000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,6700000,10900000,8000000,35000000,36000000,60000000,37000000,55000000,148000000,99000000,71000000,42000000,158000000,1656000000,1386000000,1087000000,1091000000,1035000000,966000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4626800000,5915900000,9632000000,10387400000,20471000000,23412000000,32904000000,33810000000,38152000000,50142000000,50609000000,47508000000,46420000000,54258000000,92890000000,70615000000,60683000000,57470000000,50640000000,47666000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818686/000119312519043564/0001193125-19-043564-index.html,https://www.sec.gov/Archives/edgar/data/818686/000119312520044221/0001193125-20-044221-index.html,https://www.sec.gov/Archives/edgar/data/818686/000119312521036239/0001193125-21-036239-index.htm,https://www.sec.gov/Archives/edgar/data/818686/000119312522032667/0001193125-22-032667-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,23700000,32600000,57500000,71600000,79800000,73400000,101500000,68800000,117833000,148417000,278212000,410300000,691000000,331800000,1072300000,546000000,1952000000,635000000,2000000000,3331000000,2759000000,1963000000,1269000000,3055000000,1588000000,329000000,-16265000000,-2150000000,-999000000,-3990000000,417000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,13800000,18600000,19600000,23500000,25400000,43700000,52000000,58700000,68424000,94985000,109129000,96900000,127700000,220400000,242500000,431000000,521000000,493000000,908000000,977000000,1069000000,1708000000,1642000000,1508000000,1308000000,1524000000,2112000000,1842000000,1722000000,1557000000,1330000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,2100000,4300000,-2100000,-500000,200000,-8700000,20800000,3200000,3285000,-3296000,-874000,-31700000,-28600000,27100000,-7200000,-89000000,111000000,27000000,-140000000,-199000000,-500000000,-690000000,-1380000000,-226000000,237000000,15000000,-2331000000,-837000000,-985000000,-696000000,-120000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000000,54000000,80000000,91000000,82000000,64000000,95000000,117000000,124000000,133000000,155000000,119000000,129000000,119000000
77,Change in Working Capital,- -,- -,- -,- -,- -,-31900000,-26000000,-35100000,-59400000,-3100000,-124400000,22600000,-61000000,-52552000,-114224000,-137197000,-141100000,-89900000,29600000,89000000,-218000000,-854000000,76000000,445000000,-253000000,597000000,414000000,968000000,290000000,967000000,1219000000,-363000000,-1823000000,-896000000,-2188000000,-1701000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-775000000,-181000000,-362000000,- -,936000000,85000000,710000000,763000000,343000000,514000000,88000000,-394000000,-293000000,-574000000
79,Inventory,- -,- -,- -,- -,- -,-16300000,-18500000,-38700000,-9000000,-9200000,-77700000,17000000,-4800000,16568000,-56211000,-73358000,-149100000,-155600000,-84700000,103100000,-112000000,-421000000,-548000000,163000000,-16000000,-410000000,-449000000,399000000,230000000,129000000,753000000,266000000,26000000,271000000,41000000,380000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1399000000,463000000,-295000000,543000000,-19000000,378000000,-614000000,-12000000,640000000,-1801000000,-500000000,643000000,-463000000,764000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1400000,-1300000,-2200000,3000000,3100000,9200000,-3300000,500000,16617000,39744000,23878000,19300000,-73600000,639900000,-26600000,1388000000,83000000,1937000000,106000000,200000000,118000000,1095000000,674000000,405000000,1325000000,2014000000,20221000000,5259000000,1787000000,6404000000,753000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,9100000,28200000,37700000,38200000,105400000,-6800000,193600000,70200000,153607000,165626000,273148000,353700000,626600000,1248800000,1370000000,2058000000,1813000000,3231000000,3373000000,4136000000,4134000000,4572000000,3237000000,5127000000,5542000000,5225000000,3507000000,2446000000,748000000,1216000000,798000000
84,CAPEX,- -,- -,- -,- -,- -,-22300000,-27300000,-45300000,-79500000,-112600000,-135300000,-63400000,-135600000,-67072000,-89416000,-134066000,-160400000,-207500000,-311000000,-310100000,-390000000,-542000000,-681000000,-719000000,-710000000,-1053000000,-1104000000,-1031000000,-929000000,-772000000,-901000000,-874000000,-651000000,-525000000,-578000000,-562000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-220729000,-30526000,- -,-156300000,-8400000,-1988800000,-34400000,-3587000000,-18000000,-4749000000,- -,-4951000000,-6561000000,- -,-39000000,-363000000,-3309000000,-36148000000,43000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-6200000,- -,-12000000,- -,-2400000,-400000,-1700000,-7700000,-1229000,-5718000,-61640000,-351300000,-472500000,-536100000,-613900000,-563000000,-5298000000,-2155000000,-433000000,-436000000,-217000000,-201000000,-160000000,-324000000,-2003000000,-481000000,-200000000,-119000000,-8000000,-55000000,-47000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,4600000,700000,4700000,- -,2000000,200000,5400000,8052000,13203000,- -,4000000,269800000,436100000,421500000,519000000,4520000000,3381000000,236000000,613000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172000000
