,https://roic.ai/company/LLNW,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.5189,-0.1306,- -,0.0327,-0.0237,-0.6849,-0.4868,0.2732,-0.1277,-0.1886,-0.1640,-0.1994,-0.1519,-0.1386,-0.4358,-0.0391,0.0530,-0.0762,-0.0809,-0.2463
22,Income Tax expense (Gain),- -,17000,- -,300000,2187000,2401000,16000,1084000,-3052000,-2238000,481000,387000,203000,267000,603000,426000,538000,750000,645000,1154000
23,Net Income,-990000,-202000,516000,397000,-3713000,-73020000,-63067000,34890000,-20351000,-25288000,-32896000,-35402000,-24591000,-23952000,-73925000,-7630000,9842000,-16044000,-19277000,-54761000
24,Net Income ratio,-0.5189,-0.1205,0.0461,0.0186,-0.0577,-0.7082,-0.4869,0.2650,-0.1110,-0.1476,-0.1825,-0.2041,-0.1516,-0.1401,-0.4394,-0.0414,0.0503,-0.0800,-0.0837,-0.2516
25,EPS,-0.03,-0.02,0.01,0.01,-0.15,-1.26,-0.77,-0.02,-0.22,-0.23,-0.32,-0.37,-0.25,-0.24,-0.71,-0.07,0.09,-0.14,-0.16,-0.43
26,EPS Diluted,-0.03,-0.02,0.01,0.00,-0.15,-1.26,-0.77,-0.02,-0.22,-0.23,-0.32,-0.37,-0.25,-0.24,-0.71,-0.07,0.08,-0.14,-0.16,-0.43
27,Weighted Average Shares Outstanding,32829000,30350000,52032000,52105500,25591500,57982000,82060000,84012000,94300000,109236000,101283000,96851000,98365000,100105000,104350000,108814000,112114000,115890000,121196000,127789000
28,Weighted Average Shares Outstanding Diluted,32829000,30350000,57630000,60789000,25591500,57982000,82060000,87708000,94300000,109236000,101283000,96851000,98365000,100105000,104350000,108814000,120010000,115890000,121196000,127789000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1391127/000095015308000564/0000950153-08-000564-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312509053785/0001193125-09-053785-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312510055072/0001193125-10-055072-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312511064135/0001193125-11-064135-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312512094571/0001193125-12-094571-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312513086661/0001193125-13-086661-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112714000023/0001391127-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112715000010/0001391127-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112716000172/0001391127-16-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112717000035/0001391127-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112718000016/0001391127-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112719000016/0001391127-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112720000015/0001391127-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112721000034/0001391127-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112722000025/0001391127-22-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25000,97000,- -,1536000,7611000,113824000,138180000,89509000,56741000,120349000,108915000,85956000,57767000,44680000,21734000,20912000,25383000,18335000,46795000,41918000
32,Short-Term Investments,- -,- -,- -,- -,- -,83273000,36463000,64870000,12009000,19850000,19040000,32506000,35317000,28322000,44453000,28404000,25083000,- -,76928000,37367000
33,Cash and Short-Term Investments,25000,97000,- -,1536000,7611000,197097000,174643000,154379000,68750000,140199000,127955000,118462000,93084000,73002000,66187000,49316000,50466000,18335000,123723000,79285000
34,Net Receivables,- -,- -,- -,4503000,21030000,25982000,36907000,26980000,42661000,28076000,30585000,23389000,22859000,26965000,28839000,33933000,34145000,37626000,36135000,47059000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,867000,2286000,1854000,4416000,9654000,9628000,20708000,8834000,6697000,9703000,9667000,3657000,3943000,6807000,6852000,11196000,8255000
37,Total Current Assets,- -,- -,- -,6906000,30927000,224933000,215966000,191013000,121039000,188983000,167374000,148548000,125646000,109634000,98683000,87192000,91418000,62813000,171054000,134599000
38,PP&E,- -,- -,- -,11986000,41784000,46968000,40185000,35524000,54407000,56368000,41251000,32905000,32636000,36143000,30352000,28991000,27378000,58978000,56568000,39960000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,619000,94364000,80105000,80278000,77035000,76133000,76143000,76243000,77054000,76407000,77102000,77753000,114511000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,370000,19406000,9207000,6387000,2354000,1071000,15000,- -,- -,- -,- -,- -,14613000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,989000,113770000,89312000,86665000,79389000,77204000,76158000,76243000,77054000,76407000,77102000,77753000,129124000
42,Investments,- -,- -,- -,- -,- -,- -,- -,12000,1755000,51000,18000,46000,40000,40000,40000,40000,40000,40000,40000,40000
43,Tax Assets,- -,- -,- -,- -,173000,- -,- -,- -,718000,1177000,2838000,1307000,1364000,1252000,1017000,1506000,1462000,1319000,1530000,1893000
44,Other Non-Current Assets,- -,- -,- -,691000,1044000,1527000,641000,8132000,6951000,10454000,6735000,6103000,4451000,2400000,1794000,1665000,2220000,9117000,7233000,5485000
45,Total Non-Current Assets,- -,- -,- -,12677000,43001000,48495000,40826000,44657000,177601000,157362000,137507000,119750000,115695000,115993000,109446000,109256000,107507000,146556000,143124000,176502000
46,Other Assets,735000,2127000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,735000,2127000,- -,19583000,73928000,273428000,256792000,235670000,298640000,346345000,304881000,268298000,241341000,225627000,208129000,196448000,198925000,209369000,314178000,311101000
48,Accounts Payable,- -,- -,- -,3500000,7200000,8753000,8920000,5144000,12236000,6797000,6730000,5473000,7065000,9137000,8790000,4439000,9216000,12020000,4587000,11631000
49,Short-Term Debt,- -,- -,- -,3434000,3183000,- -,- -,846000,1049000,1750000,1301000,466000,223000,466000,- -,- -,- -,2056000,2465000,1861000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,3405000,1407000,1548000,1438000,248000,204000,188000,452000,124000,178000,253000,873000
51,Deferred Revenue,- -,- -,- -,- -,- -,4237000,9865000,12199000,6877000,7287000,7253000,4158000,3509000,2890000,2138000,1187000,1883000,976000,933000,3266000
52,Other Current Liabilities,- -,- -,- -,1799000,6511000,57442000,80573000,13294000,20000000,13969000,15024000,15186000,14631000,11061000,31024000,36959000,22046000,13576000,17813000,20165000
53,Total Current Liabilities,- -,- -,- -,8733000,16894000,70432000,99358000,31483000,40162000,29803000,30308000,25283000,25428000,23554000,41952000,42585000,33145000,28628000,25798000,36923000
54,Long-Term Debt,- -,- -,- -,8606000,20410000,8189000,- -,10600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100945000,131398000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1377000,- -,539000,797000,1500000,405000,92000,22000,16000,42000,161000,220000,116000
56,Deferred Tax Liabilities,- -,- -,- -,188000,- -,- -,- -,10000,598000,580000,461000,321000,170000,137000,152000,144000,152000,239000,279000,308000
57,Other Non-Current Liabilities,- -,- -,- -,233000,35000,770000,7303000,-10600000,1771000,6318000,6085000,3863000,3175000,3747000,28435000,9558000,435000,13804000,11744000,777000
58,Total Non-Current Liabilities,- -,- -,- -,9027000,20445000,8959000,7303000,1387000,2369000,7437000,7343000,5684000,3750000,3976000,28609000,9718000,629000,14204000,113188000,132599000
59,Other Liabilities,- -,1953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,203000,5000,- -,- -,340000,2799000,3874000,2125000,824000,358000,1902000,- -,- -,- -,15544000,13730000,11477000
61,Total Liabilities,-122000,1953000,- -,17760000,37339000,79391000,106661000,32870000,42531000,37240000,37651000,30967000,29178000,27530000,70561000,52303000,33774000,42832000,138986000,169522000
62,Preferred Stock,- -,- -,- -,7000,45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,35000,22000,83000,83000,85000,100000,104000,98000,98000,98000,102000,107000,111000,114000,118000,124000,134000
64,Retained Earnings,- -,- -,- -,-1341000,-5054000,-77738000,-140805000,-105915000,-126266000,-151554000,-184450000,-219852000,-244443000,-268395000,-342320000,-349950000,-338612000,-354656000,-373933000,-427017000
65,Other Comprehensive Income/Loss,- -,- -,- -,-162000,-113000,106000,260000,93000,329000,-509000,-709000,-1663000,-7786000,-10812000,-11038000,-8328000,-10033000,-9210000,-7511000,-8345000
66,Other Total Stockholders Equity,857000,174000,- -,3284000,41689000,271586000,290593000,308537000,381946000,461064000,452291000,458748000,464294000,477202000,490819000,502312000,513682000,530285000,556512000,576807000
67,Total Stockholders Equity,857000,174000,- -,1823000,36589000,194037000,150131000,202800000,256109000,309105000,267230000,237331000,212163000,198097000,137568000,144145000,165151000,166537000,175192000,141579000
68,Total Liabilities And Stockholders Equity,735000,2127000,- -,19583000,73928000,273428000,256792000,235670000,298640000,346345000,304881000,268298000,241341000,225627000,208129000,196448000,198925000,209369000,314178000,311101000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,735000,2127000,- -,19583000,73928000,273428000,256792000,235670000,298640000,346345000,304881000,268298000,241341000,225627000,208129000,196448000,198925000,209369000,314178000,311101000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1391127/000095015308000564/0000950153-08-000564-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312509053785/0001193125-09-053785-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312510055072/0001193125-10-055072-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312511064135/0001193125-11-064135-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312512094571/0001193125-12-094571-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312513086661/0001193125-13-086661-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112714000023/0001391127-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112715000010/0001391127-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112716000172/0001391127-16-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112717000035/0001391127-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112718000016/0001391127-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112719000016/0001391127-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112720000015/0001391127-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112721000034/0001391127-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112722000025/0001391127-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,397000,-3713000,-73020000,-63067000,34890000,-20351000,-25288000,-32896000,-35402000,-24591000,-23952000,-73925000,-7630000,9842000,-16044000,-19277000,-54761000
74,Depreciation and Amortization,- -,- -,- -,2951000,10542000,21596000,27031000,26402000,28726000,32817000,33835000,28746000,20202000,20904000,20484000,20514000,18590000,20065000,23170000,25302000
75,Deferred Income Tax,- -,- -,- -,-125000,-538000,318000,-91000,- -,-997000,-214000,-38000,-328000,-359000,46000,170000,-325000,17000,270000,-94000,-414000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,17463000,17401000,15881000,14475000,12345000,10491000,12338000,13459000,12744000,15830000,13778000,15717000,20480000
77,Change in Working Capital,- -,- -,- -,-1139000,15860000,140468000,-37893000,42922000,-78653000,78303000,-22114000,-13801000,-23047000,-14138000,-29349000,-12124000,13666000,-24088000,111071000,5740000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,2348000,-7120000,5000,-567000,2581000,-1600000,-5210000,-760000,-5912000,5438000,-10228000,2000000,-9109000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-5204000,842000,-2491000,2419000,-2192000,2276000,85000,-1757000,4019000,-4333000,1292000,-1069000,8903000
81,Other Working Capital,- -,- -,- -,-1827000,14033000,154501000,116608000,159530000,80877000,159180000,137066000,123265000,100218000,86080000,56731000,44607000,58273000,34185000,145256000,-879000
82,Other Non-Cash Items,- -,- -,- -,393000,-15858000,-64355000,67860000,-122139000,68831000,-102004000,19121000,14028000,17768000,11243000,75719000,-7681000,-38223000,7765000,-109259000,3667000
83,Cash Provided by Operating Activities,- -,- -,- -,2477000,6293000,25007000,-6160000,-462000,14957000,-505000,12383000,5588000,464000,6441000,6558000,5498000,19722000,1746000,21328000,14000
84,CAPEX,- -,- -,- -,-10852000,-40609000,-22731000,-18073000,-20407000,-34174000,-30363000,-18390000,-18575000,-18581000,-24714000,-9563000,-20725000,-16113000,-34704000,-25085000,-15810000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,22000,-66529000,-7360000,- -,12341000,- -,- -,- -,- -,- -,- -,- -,-30968000
86,Purchases of Investments,- -,- -,- -,- -,- -,-109570000,-65125000,-71235000,-28509000,-22712000,-27280000,-59047000,-25482000,-16821000,-45629000,-14930000,-20631000,-10279000,-88754000,-62076000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,27300000,112150000,43300000,81101000,14932000,37779000,46138000,22150000,22620000,29315000,30756000,23865000,35364000,11172000,99760000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,- -,- -,- -,- -,504000,97000,135000,51000,2000,247000
89,Cash Used for Investing Activites,- -,- -,- -,-10852000,-40609000,-105001000,28952000,-48320000,-48111000,15497000,-7891000,-19143000,-21913000,-18915000,-25373000,-4802000,-12744000,-9568000,-102665000,-8847000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-409000,-1384000,-1749000,-1301000,-466000,-453000,-4685000,- -,- -,- -,-859000,- -
91,Common Stock Issued,- -,- -,- -,78000,129131000,208683000,1295000,- -,- -,77049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-102121000,- -,- -,- -,- -,-24373000,-20851000,-5512000,-4542000,-957000,- -,- -,-3800000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,9297000,13381000,-22476000,-177000,274000,369000,-463000,-493000,-2109000,-414000,1391000,761000,-1848000,1380000,799000,110377000,4529000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,9375000,40391000,186207000,1118000,274000,-40000,50829000,-23093000,-8922000,-5422000,-19000,-3924000,-1848000,-2420000,799000,109518000,4529000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,446000,-163000,426000,351000,-274000,-606000,-1732000,-594000,-207000,330000,-87000,-25000,279000,-573000
97,Net Change In Cash,- -,- -,- -,1000000,6075000,106213000,24356000,-48671000,-32768000,65488000,-11434000,-22959000,-28189000,-13087000,-22946000,-822000,4471000,-7048000,28460000,-4877000
98,Cash at the End of Period,- -,- -,- -,1536000,7611000,113824000,138180000,89509000,56741000,120349000,108915000,85956000,57767000,44680000,21734000,20912000,25383000,18335000,46795000,41918000
99,Cash at the Beginning of Period,- -,- -,- -,536000,1536000,7611000,113824000,138180000,89509000,54861000,120349000,108915000,85956000,57767000,44680000,21734000,20912000,25383000,18335000,46795000
100,Free Cash Flow,- -,- -,- -,-8375000,-34316000,2276000,-24233000,-20869000,-19217000,-30868000,-6007000,-12987000,-18117000,-18273000,-3005000,-15227000,3609000,-32958000,-3757000,-15796000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1391127/000095015308000564/0000950153-08-000564-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312509053785/0001193125-09-053785-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312510055072/0001193125-10-055072-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312511064135/0001193125-11-064135-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312512094571/0001193125-12-094571-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000119312513086661/0001193125-13-086661-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112714000023/0001391127-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112715000010/0001391127-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112716000172/0001391127-16-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112717000035/0001391127-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112718000016/0001391127-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112719000016/0001391127-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112720000015/0001391127-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112721000034/0001391127-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1391127/000139112722000025/0001391127-22-000025-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
