,https://roic.ai/company/NEWR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.6404,-0.7550,-0.6242,-0.4522,-0.3731,-0.2328,-0.1318,-0.0691,-0.1426,-0.2567
19,Total Other Income Expenses (Gains),-73000,-144000,-789000,-318000,453000,530000,2447000,-7953000,-5279000,-18931000
20,Income Before Tax,-7542000,-22541000,-40225000,-50234000,-67185000,-60813000,-44361000,-41059000,-90768000,-190331000
21,Income Before Tax Ratio,-0.6467,-0.7599,-0.6367,-0.4551,-0.3706,-0.2308,-0.1249,-0.0857,-0.1514,-0.2851
22,Income Tax expense (Gain),- -,- -,- -,-85000,302000,264000,959000,697000,211000,559000
23,Net Income,-7542000,-22541000,-40225000,-50149000,-67487000,-61077000,-45320000,-40893000,-88937000,-192610000
24,Net Income ratio,-0.6467,-0.7599,-0.6367,-0.4543,-0.3722,-0.2318,-0.1276,-0.0853,-0.1483,-0.2885
25,EPS,-0.20,-0.55,-1.07,-1.98,-1.39,-1.18,-0.83,-0.72,-1.52,-3.15
26,EPS Diluted,-0.20,-0.55,-1.07,-1.98,-1.39,-1.18,-0.83,-0.72,-1.52,-3.15
27,Weighted Average Shares Outstanding,37033000,40810000,37033000,25290000,48410000,51715000,54814000,56884000,58601000,61070000
28,Weighted Average Shares Outstanding Diluted,37033000,40810000,37033000,25290000,48410000,51715000,54814000,56884000,58601000,61070000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448056/000119312515204300/0001193125-15-204300-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000119312516604334/0001193125-16-604334-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805617000010/0001448056-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805618000016/0001448056-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805619000020/0001448056-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805620000014/0001448056-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805621000025/0001448056-21-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,57099000,19453000,105257000,65914000,88305000,132479000,234356000,292523000,240821000
32,Short-Term Investments,- -,- -,- -,95503000,125414000,118101000,115441000,510372000,512574000,575254000
33,Cash and Short-Term Investments,- -,57099000,19453000,200760000,191328000,206406000,247920000,744728000,805097000,816075000
34,Net Receivables,- -,2628000,5532000,13813000,32514000,62032000,99488000,120605000,147361000,174027000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1682000,2491000,4299000,6109000,8169000,15591000,48999000,47995000,58154000
37,Total Current Assets,- -,61409000,27476000,218872000,229951000,276607000,362999000,914332000,1000453000,1048256000
38,PP&E,- -,10352000,20183000,35397000,40147000,50728000,53899000,80742000,158071000,148733000
39,Goodwill,- -,- -,- -,2053000,11828000,11828000,11828000,41512000,45112000,144253000
40,Intangible Assets,- -,- -,- -,2300000,3661000,2499000,1312000,13855000,13691000,12986000
41,Intangible Assets,- -,- -,- -,4353000,15489000,14327000,13140000,55367000,58803000,157239000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,5146000,7549000,6089000,8857000,10607000,13288000,39786000,41107000,44391000
45,Total Non-Current Assets,- -,15498000,27732000,45839000,64493000,75662000,80327000,175895000,257981000,350363000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,76907000,55208000,264711000,294444000,352269000,443326000,1090227000,1258434000,1398619000
48,Accounts Payable,- -,1278000,4109000,4969000,4450000,6522000,2985000,10249000,12565000,24171000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7886000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1042000
51,Deferred Revenue,- -,4970000,10359000,29185000,72397000,125269000,189633000,267000000,313161000,373594000
52,Other Current Liabilities,- -,4045000,4982000,9911000,16356000,23542000,26033000,38109000,50856000,56370000
53,Total Current Liabilities,- -,10293000,19450000,44065000,93203000,155333000,218651000,315358000,376582000,462021000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,405937000,427044000,509304000
55,Deferred Revenue,- -,- -,- -,- -,2326000,1135000,649000,4597000,3166000,1674000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,97853000,100423000,5776000,5682000,8957000,8922000,14705000,61003000,11645000
58,Total Non-Current Liabilities,- -,97853000,100423000,5776000,8008000,10092000,9571000,425239000,491213000,522623000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,66076000,67810000
61,Total Liabilities,- -,108146000,119873000,49841000,101211000,165425000,228222000,740597000,867795000,984644000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16000,16000,47000,50000,53000,56000,58000,60000,64000
64,Retained Earnings,- -,-41226000,-81451000,-131600000,-199087000,-260164000,-305484000,-305569000,-394506000,-587116000
65,Other Comprehensive Income/Loss,- -,-4251000,-8628000,-16754000,-30669000,-47180000,-67049000,1000000,5000000,-19000
66,Other Total Stockholders Equity,- -,14222000,25398000,363177000,422939000,494135000,587581000,654141000,780085000,1001046000
67,Total Stockholders Equity,- -,-31239000,-64665000,214870000,193233000,186844000,215104000,349630000,390639000,413975000
68,Total Liabilities And Stockholders Equity,- -,76907000,55208000,264711000,294444000,352269000,443326000,1090227000,1258434000,1398619000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,76907000,55208000,264711000,294444000,352269000,443326000,1090227000,1258434000,1398619000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1448056/000119312515204300/0001193125-15-204300-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000119312516604334/0001193125-16-604334-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805617000010/0001448056-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805618000016/0001448056-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805619000020/0001448056-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805620000014/0001448056-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805621000025/0001448056-21-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-7542000,-22541000,-40225000,-50149000,-67487000,-61077000,-45320000,-40893000,-88937000,-192610000
74,Depreciation and Amortization,1166000,1916000,4536000,9044000,15119000,18805000,23243000,53794000,75743000,89312000
75,Deferred Income Tax,- -,- -,- -,-422000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,603000,8686000,6220000,11666000,23268000,31946000,40598000,56198000,99536000,135143000
77,Change in Working Capital,566000,49177000,-43090000,166781000,-38059000,-15474000,23074000,454626000,24897000,-37636000
78,Accounts Receivable,-857000,-1285000,-3036000,-8565000,-19456000,-30251000,-38315000,-22557000,-28425000,-27084000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,220000,701000,2284000,1012000,-774000,658000,-1823000,245000,7436000,11766000
81,Other Working Capital,1939000,51116000,8026000,174807000,136748000,121274000,144348000,598974000,623871000,586235000
82,Other Non-Cash Items,74000,-44438000,51846000,-150541000,71165000,44728000,-5945000,-408208000,-17820000,75657000
83,Cash Provided by Operating Activities,-5133000,-7200000,-20713000,-13621000,4006000,18928000,35650000,115517000,93419000,69866000
84,CAPEX,-2132000,-8571000,-16226000,-21645000,-18480000,-25459000,-26211000,-48465000,-64859000,-32231000
85,Acquisitions Net,- -,- -,- -,-2000000,-5000000,- -,- -,-30000000,-4000000,-41536000
86,Purchases of Investments,- -,- -,- -,-114468000,-110978000,-168938000,-128669000,-659428000,-391079000,-405054000
87,Sales/Maturities of Investments,- -,- -,- -,18717000,80397000,175877000,131135000,267657000,395559000,335964000
88,Other Investing Activites,-1358000,-7473000,-6200000,716000,-3990000,- -,-87000,-432000,-250000,-13494000
89,Cash Used for Investing Activites,-2132000,-13171000,-17227000,-118680000,-58051000,-18520000,-23832000,-470668000,-64629000,-142857000
90,Debt Repayment,-61000,- -,- -,-271000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,130000,255000,294000,121133000,12459000,16700000,24764000,17383000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14959000,59767000,- -,97243000,2243000,5283000,7592000,440248000,26213000,21290000
95,Cash Used/Provided by Financing Activities,15028000,60022000,294000,218105000,14702000,21983000,32356000,457631000,26213000,21290000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7763000,39651000,-37646000,85804000,-39343000,22391000,44174000,102480000,55003000,-51701000
98,Cash at the End of Period,17448000,57099000,19453000,105257000,65914000,88305000,132479000,243161000,298164000,246463000
99,Cash at the Beginning of Period,9685000,17448000,57099000,19453000,105257000,65914000,88305000,140681000,243161000,298164000
100,Free Cash Flow,-7265000,-15771000,-36939000,-35266000,-14474000,-6531000,9439000,67052000,28560000,37635000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448056/000119312515204300/0001193125-15-204300-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000119312516604334/0001193125-16-604334-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805617000010/0001448056-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805618000016/0001448056-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805619000020/0001448056-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805620000014/0001448056-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1448056/000144805621000025/0001448056-21-000025-index.htm
102,false,,,,,,,,,,
