,https://roic.ai/company/EIG,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.62,1.83,1.81,2.61,3.21,2.19,2.07,1.80,1.51,1.28,3.37,2.00,3.14,2.90,3.24,3.06,4.24,4.83,3.97,4.18
27,Weighted Average Shares Outstanding,52715221,52715221,52715221,52715221,53527907,54923744,49217829,45953868,41390984,37284425,31476056,31142534,31529621,32070911,32434580,32501576,32884828,32120578,29912063,28236398
28,Weighted Average Shares Outstanding Diluted,52715221,52715221,52715221,52715221,53527907,54923744,49261228,46090832,41520319,37424065,31703426,31938167,32069069,32561453,32976835,33060760,33311337,32539718,30204864,28455062
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1379041/000095013608001340/0000950136-08-001340-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000093041309001044/0000930413-09-001044-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000093041310000988/0000930413-10-000988-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904111000002/0001379041-11-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904112000005/0001379041-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904113000005/0001379041-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904114000008/0001379041-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904115000005/0001379041-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904116000232/0001379041-16-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904117000017/0001379041-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904118000030/0001379041-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904119000023/0001379041-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904120000030/0001379041-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904121000019/0001379041-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904122000021/0001379041-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,283351000,166213000,60414000,61083000,79984000,149703000,202893000,191572000,119825000,252300000,140661000,34503000,103573000,56600000,67200000,73300000,101400000,154900000,160400000,75000000
32,Short-Term Investments,- -,- -,- -,15006000,7989000,- -,75024000,- -,- -,- -,- -,- -,- -,- -,16000000,4000000,25000000,- -,26600000,- -
33,Cash and Short-Term Investments,283351000,166213000,60414000,76089000,87973000,149703000,277917000,191572000,119825000,252300000,140661000,34503000,103573000,56600000,83200000,77300000,126400000,154900000,187000000,75000000
34,Net Receivables,- -,- -,- -,59811000,51311000,36402000,91273000,124068000,114035000,158598000,1058898000,1055262000,1002342000,966200000,924500000,902300000,876200000,838600000,749700000,742400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,-36402000,-166297000,-124068000,-114035000,-158598000,-1058898000,-1055262000,-1002342000,-966800000,-940700000,-906600000,-901600000,-839500000,178700000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,149703000,202893000,191572000,119825000,252300000,140661000,34503000,103573000,56000000,67000000,73000000,101000000,154000000,1115400000,- -
38,PP&E,- -,- -,- -,10115000,15598000,14133000,14098000,13059000,11712000,11360000,14680000,16616000,21032000,24900000,22200000,13900000,18200000,37800000,36500000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,36192000,36192000,36192000,36192000,36192000,36192000,36200000,36200000,36200000,36200000,36200000,36200000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,54410000,15442000,13279000,11728000,10558000,9685000,9034000,8500000,8200000,7900000,7700000,13500000,13500000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,54410000,51634000,49471000,47920000,46750000,45877000,45226000,44700000,44400000,44100000,43900000,49700000,49700000,- -
42,Investments,- -,- -,- -,1595771000,1715673000,1726280000,2042941000,2029560000,2080494000,1950745000,2149514000,2344858000,2448454000,2487200000,2552600000,2677700000,2727700000,2749300000,2721000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-1726280000,-2042941000,-2029560000,-971863000,-891769000,-1212791000,-1422343000,-1592916000,-1645900000,766300000,700400000,669900000,726700000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,14133000,68508000,64693000,1169814000,1118256000,998153000,985008000,921796000,910900000,3385500000,3436100000,3459700000,3563500000,2807200000,- -
46,Other Assets,2683916000,2738295000,2935686000,3094229000,3195725000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6729800000,3783200000
47,Total Assets,2683916000,2738295000,2935686000,3094229000,3195725000,163836000,271401000,256265000,1289639000,1370556000,1138814000,1019511000,1025369000,966900000,3452500000,3509100000,3560700000,3717500000,3922600000,3783200000
48,Accounts Payable,- -,- -,- -,13439000,22178000,6798000,36883000,19033000,18601000,16446000,19522000,18711000,20379000,24100000,24200000,23700000,37100000,29800000,22900000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,182000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,19869000,24262000,13884000,- -,20763000,17313000,28905000,40825000,45314000,46285000,52500000,48800000,55300000,57300000,48600000,43000000,42100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,2805002000,2911117000,3027267000,2839399000,2869154000,2840478000,2953989000,2970521000,2938900000,2876600000,2848700000,2825100000,2785500000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,2811800000,3130000000,3046300000,2858000000,2885600000,2860000000,2972700000,2990900000,2963000000,2900800000,2872400000,2862200000,2815300000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,182000000,132000000,132000000,122000000,112000000,102000000,92000000,32000000,32000000,20000000,20000000,- -,39900000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,388574000,370341000,353194000,281043000,249072000,207020000,189500000,174900000,163600000,149600000,137100000,125400000,114400000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15500000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-388574000,-370341000,-353194000,-281043000,-249072000,-207020000,-189500000,-174900000,-163600000,-130800000,-114100000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,182000000,132000000,132000000,122000000,112000000,102000000,92000000,32000000,32000000,20000000,38800000,23000000,180800000,- -
59,Other Liabilities,2911865000,2842754000,2925936000,2949622000,2891948000,- -,- -,- -,264004000,- -,- -,204046000,- -,- -,- -,- -,- -,- -,2890600000,2570100000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800000,19900000,- -
61,Total Liabilities,2911865000,2842754000,2925936000,2949622000,2891948000,2811775000,3311985000,3178254000,2990004000,3007558000,2971958000,3074746000,3082811000,2995000000,2932800000,2892400000,2901000000,2838300000,2709800000,2570100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,535000,535000,536000,538000,540000,542000,547000,549000,600000,600000,600000,600000,600000,600000,411300000
64,Retained Earnings,- -,- -,- -,103032000,274602000,104536000,194509000,266491000,319341000,358693000,445850000,502198000,595318000,682000000,777200000,842200000,1030700000,1158800000,1247900000,1338500000
65,Other Comprehensive Income/Loss,- -,- -,- -,41575000,29175000,46520000,32804000,83812000,84133000,116719000,129549000,90418000,106925000,83600000,74500000,107400000,-13700000,65300000,115100000,60600000
66,Other Total Stockholders Equity,- -,- -,9750000,41575000,29175000,227862000,216880000,147560000,86104000,-1766000,-36560000,-24460000,-15948000,-5400000,-11700000,-2500000,600000,-58900000,-150800000,- -
67,Total Stockholders Equity,-227949000,-104459000,9750000,144607000,303777000,379453000,444728000,498399000,490116000,474186000,539381000,568703000,686844000,760800000,840600000,947700000,1018200000,1165800000,1212800000,1213100000
68,Total Liabilities And Stockholders Equity,2683916000,2738295000,2935686000,3094229000,3195725000,3191228000,3756713000,3676653000,3480120000,3481744000,3511339000,3643449000,3769655000,3755800000,3773400000,3840100000,3919200000,4004100000,3922600000,3783200000
69,Minority Interest,- -,- -,- -,- -,- -,-3027392000,-3485312000,-3420388000,-2190481000,-2111188000,-2372525000,-2623938000,-2744286000,-2788900000,-320900000,-331000000,-358500000,-286600000,- -,- -
70,Total Liabilities & Equity,2683916000,2738295000,2935686000,3094229000,3195725000,163836000,271401000,256265000,1289639000,1370556000,1138814000,1019511000,1025369000,966900000,3452500000,3509100000,3560700000,3717500000,3922600000,3783200000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1379041/000095013608001340/0000950136-08-001340-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000093041309001044/0000930413-09-001044-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000093041310000988/0000930413-10-000988-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904111000002/0001379041-11-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904112000005/0001379041-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904113000005/0001379041-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904114000008/0001379041-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904115000005/0001379041-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904116000232/0001379041-16-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904117000017/0001379041-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904118000030/0001379041-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904119000023/0001379041-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904120000030/0001379041-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904121000019/0001379041-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904122000021/0001379041-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,137598000,171570000,120283000,101785000,83021000,62799000,48313000,106891000,63824000,100684000,94400000,106700000,101200000,141300000,157100000,119800000,119300000
74,Depreciation and Amortization,- -,- -,- -,2223000,9648000,12836000,7226000,9899000,7098000,6388000,5601000,6080000,6995000,8300000,8500000,8200000,6300000,9000000,8200000,7000000
75,Deferred Income Tax,- -,- -,- -,1118000,5980000,4779000,4511000,10991000,4680000,-1608000,-10999000,-10761000,-535000,-5600000,13400000,24200000,14400000,6000000,-13400000,6000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,3161000,5366000,4053000,3742000,6141000,5622000,6033000,4600000,5800000,6800000,9400000,10100000,9700000,9000000
77,Change in Working Capital,- -,- -,- -,6685000,- -,-2662097000,-265010000,72379000,116553000,104875000,-86039000,-218858000,50870000,-19673000,73200000,34400000,38200000,99900000,2661300000,85000000
78,Accounts Receivable,- -,- -,- -,- -,47337000,61186000,23203000,28558000,12265000,-48399000,73737000,6600000,53757000,34700000,46000000,22300000,30000000,69900000,82500000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-46834000,-67767000,-3527000,-13188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,-2000000
81,Other Working Capital,- -,- -,- -,- -,- -,-2662097000,-2927107000,-2854728000,-2738175000,-2633300000,-2719339000,-2938197000,-2887327000,-2907000000,-2833800000,-2799400000,-2761200000,-2661300000,- -,85000000
82,Other Non-Cash Items,- -,- -,- -,110474000,-65387000,2644353000,215641000,-140905000,-138202000,-118495000,110176000,317818000,5350000,34373000,-84800000,-32500000,-29400000,-159000000,-2752300000,-216300000
83,Cash Provided by Operating Activities,- -,- -,- -,258098000,121811000,120154000,67314000,40751000,56981000,43215000,131771000,163725000,169397000,116400000,122800000,142300000,180200000,123100000,33300000,10000000
84,CAPEX,- -,- -,- -,- -,-9635000,-4964000,-3926000,-4682000,-1905000,-4687000,-5116000,-3716000,-9299000,-11500000,-5000000,-8200000,-10200000,-12100000,-5500000,-3000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-168903000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16100000,- -,- -
86,Purchases of Investments,- -,- -,- -,-649386000,-690250000,-253312000,-114145000,-188404000,-291506000,-257943000,-486699000,-544709000,-407470000,-562000000,-525900000,-637300000,-775700000,-624500000,-972900000,-516000000
87,Sales/Maturities of Investments,- -,- -,- -,370201000,410237000,268436000,151901000,276453000,244084000,450743000,305697000,289966000,335465000,464000000,443400000,532700000,666300000,730300000,1062700000,209000000
88,Other Investing Activites,- -,- -,- -,21756000,189815000,- -,- -,- -,-2000000,11046000,1172000,-4147000,-13493000,-3200000,-6100000,-5600000,-10200000,-40500000,-5500000,306000000
89,Cash Used for Investing Activites,- -,- -,- -,-257429000,-99833000,10160000,-135073000,83267000,-51327000,199159000,-184946000,-258890000,-85498000,-101200000,-88600000,-110200000,-119600000,49200000,84300000,-1000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-3053000,-50000000,- -,-10000000,-10000000,-10000000,-10000000,-60500000,- -,-10100000,-200000,-20200000,-200000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,486670000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-75000000,-14152000,-74185000,-63592000,-91975000,-41795000,- -,- -,- -,-21100000,- -,-4200000,-67500000,-99400000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-9276000,-11808000,-11031000,-9935000,-8943000,-7508000,-7455000,-7540000,-7700000,-11500000,-19700000,-26700000,-28900000,-30800000,-29000000
94,Other Financing Activites,- -,- -,- -,- -,-3077000,-462989000,149962000,-123000,-1135000,1019000,839000,6462000,2711000,6000000,9000000,3800000,-1800000,-2500000,18200000,-65000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-3077000,-60595000,120949000,-135339000,-74662000,-109899000,-58464000,-10993000,-14829000,-62200000,-23600000,-26000000,-32900000,-119100000,-112200000,-94000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,669000,18901000,69719000,53190000,-11321000,-69008000,132475000,-111639000,-106158000,69070000,-47000000,10600000,6100000,27700000,53200000,5400000,-85000000
98,Cash at the End of Period,- -,- -,- -,61083000,79984000,149703000,202893000,191572000,119825000,252300000,140661000,34503000,103573000,56600000,67200000,73300000,102000000,155200000,160600000,75000000
99,Cash at the Beginning of Period,- -,- -,- -,60414000,61083000,79984000,149703000,202893000,188833000,119825000,252300000,140661000,34503000,103600000,56600000,67200000,74300000,102000000,155200000,160000000
100,Free Cash Flow,- -,- -,- -,258098000,112176000,115190000,63388000,36069000,55076000,38528000,126655000,160009000,160098000,104900000,117800000,134100000,170000000,111000000,27800000,7000000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1379041/000095013608001340/0000950136-08-001340-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000093041309001044/0000930413-09-001044-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000093041310000988/0000930413-10-000988-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904111000002/0001379041-11-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904112000005/0001379041-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904113000005/0001379041-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904114000008/0001379041-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904115000005/0001379041-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904116000232/0001379041-16-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904117000017/0001379041-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904118000030/0001379041-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904119000023/0001379041-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904120000030/0001379041-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904121000019/0001379041-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1379041/000137904122000021/0001379041-22-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
