,https://roic.ai/company/CBDS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
73,Net Income,10000,2596,-38192,-41544,-15817,-44109,- -,-14369732,-7432859,-3133376,-7564084,-4128346,-3936386,-2458544
74,Depreciation and Amortization,30000,31651,24160,23820,15923,2162,- -,78881,103614,361932,549305,562456,561434,235624
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84472,- -,- -
77,Change in Working Capital,- -,36194,-16491,-19298,-2443,-31054,-32411240,30207357,1994883,-116877,412239,-1173960,385269,-143773
78,Accounts Receivable,- -,-302,302,- -,- -,- -,- -,-3697,-4190,-12473,-1140,-6833,6095,2056
79,Inventory,- -,-1071,-331,593,272,575,- -,-12084,-7100,15809,617,2797,5714,-8498
80,Accounts Payable,- -,- -,- -,- -,- -,-472,- -,450332,-132463,228530,-190442,1912,- -,105621
81,Other Working Capital,-50000,-13806,-30297,-49595,-52038,-83092,-32494332,-2286975,-292092,-408969,3270,-1170690,-785421,-929194
82,Other Non-Cash Items,10000,-57565,14058,22729,2415,50991,32171240,-16324987,5055898,2636303,5637879,3965502,3084331,2174937
83,Cash Provided by Operating Activities,50000,12876,-16465,-14293,78,-22010,-240000,-408481,-278464,-252018,-964661,-689876,94648,-191756
84,CAPEX,- -,-2100,-885,- -,-975,-808,-10000,-21625,-8410,- -,-159598,-630,-2369,-58544
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,27707,73440,-44365,- -,- -,-50000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,147723,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,70000,50000,- -,-15000,-150000,1300,- -,50000
89,Cash Used for Investing Activites,- -,-2100,-885,- -,-975,-808,60000,203805,65030,-59365,-159598,670,-52369,-8544
90,Debt Repayment,- -,-55433,- -,- -,- -,-3000,- -,- -,- -,- -,-50500,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,771156,361750,50000,25000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-60000,10000,22000,5500,5000,21000,200000,215807,197796,558773,321714,303545,91882,161300
95,Cash Used/Provided by Financing Activities,-60000,-45433,22000,5500,5000,18000,200000,215807,197796,558773,1042370,665295,141882,186300
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10000,-34657,4650,-8793,4103,-4818,10000,11131,-15638,247390,-81889,-23911,184161,-14000
98,Cash at the End of Period,-10000,8068,12718,3925,8028,3210,10000,25994,10356,257746,175857,151946,336107,322107
99,Cash at the Beginning of Period,- -,42725,8068,12718,3925,8028,- -,14863,25994,10356,257746,175857,151946,336107
100,Free Cash Flow,50000,10776,-17350,-14293,-897,-22818,-250000,-430106,-286874,-252018,-1124259,-690506,92279,-250300
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1360442/000082357910000065/0000823579-10-000065-index.html,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586612000117/0001445866-12-000117-index.html,https://www.sec.gov/Archives/edgar/data/1360442/000144586613000315/0001445866-13-000315-index.html,https://www.sec.gov/Archives/edgar/data/1360442/000144586614000348/0001445866-14-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000144586615000450/0001445866-15-000450-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586617000585/0001445866-17-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000144586618000372/0001445866-18-000372-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360442/000144586620000975/0001445866-20-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1360442/000109690621000807/0001096906-21-000807-index.htm
102,false,,,,,,,,,,,,,,
