,https://roic.ai/company/ALRT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,1477859,2286139,1847937,1205526,1508759,1343640,1228239,1860237,1810000,2330000,2210000,2080000,5280000,1910000,1680000,1821616,1577130,1029030,1066290,2183260,3744400,- -,1383000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3446,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,471180,869014,1344422,1410509,2924805,813495,992716,- -,- -,- -,- -,3312298,6461210,1339399,4705880,4795168,9064706,1861971,1938877,5261137,-315926,5468000
14,Depreciation and Amortization,12116,4995,553296,886007,798787,19444,2978,2373,1700,1724,52134,309,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-1129849,-1937143,-2258879,-273522,-566603,-1394433,-976213,-1615600,-1578300,-2308276,-2147866,-2080000,-1967702,-1868790,-1660601,-1818170,-1503642,-1029024,-980059,-2183253,-3744403,- -,13911000
16,EBITDA ratio,-2.4636,-10.6433,-6.2001,-5.7347,-3.2226,-3.8290,-3.0603,-6.6603,-7.8915,-230.8276,-214.7866,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,1738.8750
17,Operating Income,-610768,-2104133,-1483609,-1157830,-1192517,-979461,-1020737,-1617636,-887203,-1878865,-2200301,-2071062,-1967533,-1907350,-1675079,-1821616,-1577128,-1029027,-1066290,-2183256,-3744400,-3826011,-1375000
18,Operating Income ratio,-1.3318,-11.5608,-4.0722,-24.2752,-6.7826,-2.6895,-3.1999,-6.6687,-4.4360,-187.8865,-220.0301,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-171.8750
19,Total Other Income Expenses (Gains),-99719,161995,-1328566,-1699,-32451,-434416,-69943,-307,-692797,-431135,301,-8938,-3312467,-6422650,-1324921,-4613934,-4721682,-9064703,-1775740,-1938874,-5261140,- -,9818000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-1580000,-2310000,-2200000,-2080000,-5280000,-8330000,-3000000,-6435550,-6298810,-10093730,-2842030,-4122130,-9005540,- -,8443000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-7.9000,-231.0000,-220.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,1055.3750
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1141965,-2413318,-3681189,-2503951,-2775899,-4338682,-1792686,-2610689,-1580000,-2310000,-2200000,-2080000,-5280000,-8330000,-3000000,-6435550,-6298810,-10093730,-2842030,-4122130,-9005540,- -,8443000
24,Net Income ratio,-2.4900,-13.2596,-10.1041,-52.4981,-15.7883,-11.9136,-5.6199,-10.7626,-7.9000,-231.0000,-220.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,1055.3750
25,EPS,0.04,0.11,-0.17,-0.12,-0.13,-0.14,-0.03,-0.03,-0.02,-0.02,-0.02,-0.01,-0.02,-0.04,-0.01,-0.03,-0.03,-0.04,-0.01,-0.02,-0.04,-0.02,0.03
26,EPS Diluted,0.04,0.11,-0.17,-0.12,-0.13,-0.14,-0.03,-0.03,-0.02,-0.02,-0.02,-0.01,-0.02,-0.04,-0.01,-0.03,-0.03,-0.04,-0.01,-0.02,-0.04,-0.02,0.03
27,Weighted Average Shares Outstanding,30747841,22040195,21078446,21078446,21078446,31297026,71475707,76078446,76078446,76078446,82387051,212344347,213897772,221539553,237703855,241038731,242777909,242777909,242777909,242777909,256668320,337033584,337033584
28,Weighted Average Shares Outstanding Diluted,30747841,22040195,21078446,21078446,21078446,31297026,71475707,76078446,76078446,76078446,82387051,212344347,213897772,221539553,237703855,241038731,242777909,242777909,242777909,242777909,256668320,337033584,337033584
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087022/000100201409000221/0001002014-09-000221-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087022/000100201413000148/0001002014-13-000148-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000100201414000126/0001002014-14-000126-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1087022/000172186817000139/0001721868-17-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186818000081/0001721868-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186818000081/0001721868-18-000081-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000172186819000156/0001721868-19-000156-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000172186820000153/0001721868-20-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186821000179/0001721868-21-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000190359622000108/0001903596-22-000108-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7261,3105,65705,979,29852,16632,263,8417,2973,10000,- -,- -,10000,10000,30000,58842,52690,2610,3110,3380,1840,66,116
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7261,3105,65705,979,29852,16632,263,8417,2973,10000,- -,- -,10000,10000,30000,58842,52690,2610,3110,3380,1840,66,116
34,Net Receivables,192419,- -,999,17220,128903,12377,3114,4931,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,106644,267183,- -,189216,113633,79169,34959,72040,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,61858,210995,35235,132227,- -,- -,- -,3498,7027,100000,- -,- -,- -,20000,- -,6710,1560,1430,- -,- -,- -,- -,- -
37,Total Current Assets,368182,481283,101939,339642,272388,108178,38336,88886,90000,120000,- -,- -,10000,30000,30000,65552,54250,4040,3110,3380,1840,66,116
38,PP&E,26714,9336,7831,11191,8210,9930,8553,6180,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,26714,9336,7831,11191,8210,9930,8553,6180,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63,77
47,Total Assets,394896,490619,109770,350833,280598,118108,46889,95066,90000,130000,10000,- -,10000,30000,30000,65552,54250,4040,3110,3380,1840,129,193
48,Accounts Payable,509715,733527,1161812,1230275,2161133,2835419,2414835,3473324,1119545,- -,- -,- -,- -,- -,- -,1055468,- -,- -,- -,- -,1128081,1114,- -
49,Short-Term Debt,672024,750000,2996667,4611818,5773403,5382869,5351926,5848339,5946578,6436393,5275333,6120899,8098485,9820606,11795049,14084683,16558413,18661881,20634161,22547969,24597026,17200411,3042
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1832729,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,65455,- -,25597,1961148,6013607,2044667,2499101,2901515,2679394,3184951,2620172,4117817,4572879,5345329,5850391,5364993,-17197379,- -
53,Total Current Liabilities,1181739,1483527,4158479,5842093,7934536,8283743,7766761,9347260,10860000,12450000,7320000,8620000,11000000,12500000,14980000,17760323,20676230,23234760,25979490,28398360,31090100,4146,3042
54,Long-Term Debt,13613,758657,409912,270912,270912,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11914,14009
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7455
58,Total Non-Current Liabilities,13613,758657,409912,270912,270912,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11914,21463
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29658,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1195352,2242184,4568391,6113005,8205448,8283743,7766761,9347260,10860000,12450000,7320000,8620000,11000000,12500000,14980000,17760323,20676230,23234760,25979490,28398360,31090100,21889,24505
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,32078,21078,21078,21078,21078,41078,76078,76078,80000,80000,210000,210000,210000,240000,240000,242777,242780,242780,242780,242780,268780,511,543
64,Retained Earnings,-2100570,-4513888,-8195077,-10699028,-13474927,-17813609,-19606295,-22216984,-23800000,-27980000,-30180000,-32260000,-37530000,-45860000,-48860000,-55293504,-61592320,-71686050,-74528080,-78650210,-87655750,- -,-102015
65,Other Comprehensive Income/Loss,-24036,-5012,-7447,37164,37164,37164,37164,37164,-20000,-30000,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11
66,Other Total Stockholders Equity,1292072,2746257,3722825,4878614,5491835,9569732,11773181,12851548,12970823,15611305,22680232,23436491,26336938,33150188,33671860,- -,40727568,48212545,48308921,50012444,56298704,-21761119,77172
67,Total Stockholders Equity,-800456,-1751565,-4458621,-5762172,-7924850,-8165635,-7719872,-9252194,-10769177,-12318695,-7319768,-8613509,-10983062,-12469812,-14948140,-17694771,-20621972,-23230725,-25976379,-28394986,-31088266,-21760608,-24312
68,Total Liabilities And Stockholders Equity,394896,490619,109770,350833,280598,118108,46889,95066,90823,131305,232,6491,16938,30188,31860,65552,54258,4035,3111,3374,1834,-21738719,193
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-823,-1305,9768,-6491,-6938,-188,-1860,- -,-8,5,-1,6,6,21738847,-0
70,Total Liabilities & Equity,394896,490619,109770,350833,280598,118108,46889,95066,90000,130000,10000,- -,10000,30000,30000,65552,54250,4040,3110,3380,1840,129,193
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087022/000100201409000221/0001002014-09-000221-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087022/000100201413000148/0001002014-13-000148-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000100201414000126/0001002014-14-000126-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1087022/000172186817000139/0001721868-17-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186818000081/0001721868-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186818000081/0001721868-18-000081-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000172186819000156/0001721868-19-000156-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000172186820000153/0001721868-20-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186821000179/0001721868-21-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000190359622000108/0001903596-22-000108-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1141965,-2413318,-3681189,-2503951,-2775899,-4338682,-1792686,-2610689,-1580000,-2310000,-2200000,-2080000,-5280000,-8330000,-3000000,-6435550,-6298810,-10093730,-2842030,-4122130,-9005540,- -,-8
74,Depreciation and Amortization,12116,4995,553296,886007,798787,19444,2978,2373,1700,1724,52134,309,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,596619,2682855,5597662,244913,3468421,3222992,7336554,200229,1581343,6124769,2828017,0
77,Change in Working Capital,198471,-188687,-3054296,-1445911,-2159697,-513417,447140,-1529949,-1511626,-1560000,5010000,-1300000,-2370000,-1480000,-2480000,-2744771,-2927209,-2608740,-2745660,-2418600,-2693280,31084181,1153
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-827,5048,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,160331,-160539,267183,-189216,75583,34464,44210,-37081,-6882,78922,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95106,13725,128813,72099,0
81,Other Working Capital,-813557,-1002244,-4056540,-5502451,-7662148,-8175565,-7728425,-9258374,-10770000,-12330000,-7320000,-8620000,-10990000,-12470000,-14950000,-17694771,-20621980,-23230720,-25976380,-28394980,-31088260,-4079,-2926
82,Other Non-Cash Items,12217,2010179,4336325,1266445,3295682,4569002,732800,3650072,3009482,3357229,-3034256,1938677,3257890,2682444,3827159,4224451,4467153,4314609,4617935,4333669,4839421,-34880752,-1147
83,Cash Provided by Operating Activities,-919161,-586831,-1845864,-1797410,-841127,-263653,-609768,-488193,-80444,-511047,-172122,-844395,-1709255,-1529894,-1407928,-1487449,-1535874,-1051307,-769526,-625718,-734630,-968554,-2
84,CAPEX,-8589,-1338,-1458,-6316,- -,-4567,-1601,- -,- -,-3353,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-4799,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-13388,-1338,-1458,-6316,- -,-4567,-1601,- -,- -,-3353,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,918043,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212140,1
92,Common Stock Repurchased,- -,-138178,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-11875,719147,1909922,1739000,870000,255000,595000,496347,75000,519328,154879,845566,1718429,1529974,1426404,1516733,1529720,1001226,770030,625985,733090,820766,1
95,Cash Used/Provided by Financing Activities,906168,580969,1909922,1739000,870000,255000,595000,496347,75000,519328,164879,845566,1718429,1529974,1426404,1516733,1529720,1001226,770030,625985,733090,1032906,2
96,Effect of Forex Changes on Cash,- -,3044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0
97,Net Change In Cash,-26381,-4156,62600,-64726,28873,-13220,-16369,8154,-5444,4928,-7243,1171,9173,80,18476,29284,-6154,-50081,504,267,-1540,64352,-66190
98,Cash at the End of Period,7261,3105,65705,979,29852,16632,263,8417,2973,7901,658,1829,11002,11082,29558,58842,52688,2607,3111,3378,1838,66190,0
99,Cash at the Beginning of Period,33642,7261,3105,65705,979,29852,16632,263,8417,2973,7901,658,1829,11002,11082,29558,58842,52688,2607,3111,3378,1838,66190
100,Free Cash Flow,-927750,-588169,-1847322,-1803726,-841127,-268220,-611369,-488193,-80444,-514400,-172122,-844395,-1709255,-1529894,-1407928,-1487449,-1535874,-1051307,-769526,-625718,-734630,-968554,-2
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087022/000100201409000221/0001002014-09-000221-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087022/000100201413000148/0001002014-13-000148-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000100201414000126/0001002014-14-000126-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1087022/000172186817000139/0001721868-17-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186818000081/0001721868-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186818000081/0001721868-18-000081-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000172186819000156/0001721868-19-000156-index.html,https://www.sec.gov/Archives/edgar/data/1087022/000172186820000153/0001721868-20-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000172186821000179/0001721868-21-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1087022/000190359622000108/0001903596-22-000108-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
