,https://roic.ai/company/UTGN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212718301,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388650107,366542058,348599765,332150573,359641690,378224116,379120579,400786529,39025754,71510912
38,PP&E,- -,- -,- -,- -,- -,- -,- -,2203408,2450109,2172636,1921841,3129331,1752199,1672968,1485253,1478935,1527285,1344851,1185108,2475829,2016611,1564944,1118826,688567,427736,348170,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,185262555,188703453,218133637,169807787,303756604,297905029,- -,339370099,- -,- -,- -,- -,- -,-10597907,-16876485,-19004016,-23717312,-19487458,159943656,332033380
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20035,1296043,- -,619043,1223682,549851,279333,- -,- -,13680396
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51319400,48090880,48824644,53038775,56547522,45556307,39177169,37018924,-159943656,-332033380
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52684286,50572031,51300473,45076522,42459663,28220968,16427757,17959202,348170,13680396
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,318902970,311557133,317868084,318831501,482731794,473654754,457779304,431518972,441588099,433721257,- -,- -,- -,- -,- -,- -,- -,- -,- -,380629241
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,318902970,311557133,317868084,318831501,482731794,473654754,457779304,431518972,441588099,433721257,441334393,417114089,399900238,377227095,402101353,406445084,395548336,418745731,39373924,438459757
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450626,- -,- -,209888,- -,2042786,- -,1933243,- -,- -,- -,- -,313662,268497,975373
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13222604,12995714,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2042786,- -,1933243,- -,- -,- -,- -,-12908942,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2042786,- -,1933243,- -,- -,- -,- -,313662,12995714,24000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2995275,2289776,- -,- -,22990081,19914346,15616766,14402889,10372239,9531645,18857954,19097534,4400000,- -,2900000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,12239060,6763648,8561010,8100615,16480068,16502035,14693795,11950254,13381278,13745751,12301577,9633641,9413794,3405467,15459049,10996404,9113480,13222604,12995714,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273214950
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,15234335,9053424,- -,- -,39470149,36416381,30310561,26353143,23753517,23277396,31159531,28731175,13813794,3405467,18359049,10996404,9113480,13222604,- -,273214950
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,285814438,276062508,267289041,263605116,457661400,447084903,428794624,403813376,400213859,381213605,394527812,373161663,329654503,305747463,327994341,307909197,298319259,300681401,268918888,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,270580103,267009084,267289041,263605116,418191251,410668522,398484063,377460233,376460342,357936209,365411067,344430488,317773952,302341996,309635292,296912793,289205779,287772459,281914602,297214950
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,70726,80008,79315,3902,3843,3849,- -,- -,- -,- -,3799,3776,3706,3699,3350,3333,3296,3279,3176,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,2503856,-4621955,-4897572,-3637349,232371,2374990,3028744,-1261503,6335072,12651687,21917318,25169646,32145662,33062282,34230307,39040456,69708901,85979678,88068284,97731347
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,2771941,1566397,6678542,4655238,2976488,4308457,1269404,322156,3679684,11792214,9664466,3459401,6853974,-1183552,20353692,32952338,62495,8977914,15584241,10253151
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,42976344,42672189,42590820,42295661,41813690,42067229,56266497,55320242,58792685,63133361,44337743,44050778,43122944,43002670,37878712,37536164,36567865,36012401,33025018,33260309
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,48322867,39696639,44451105,43317452,45026392,48754525,46245211,40846812,51451240,69499364,75923326,72683601,82126286,74885099,92466061,109532291,106342557,130973272,136680719,141244807
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,318902970,306705723,311740146,306922568,463217643,459423047,444729274,418307045,427911582,427435573,441334393,417114089,399900238,377227095,402101353,406445084,395548336,418745731,418595321,438459757
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,4851410,6127938,11908933,19514151,14231707,13050030,13211927,13676517,6285684,- -,- -,- -,- -,- -,- -,- -,- -,-379221397,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,318902970,311557133,317868084,318831501,482731794,473654754,457779304,431518972,441588099,433721257,441334393,417114089,399900238,377227095,402101353,406445084,395548336,418745731,39373924,438459757
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832480/000083248013000004/0000832480-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248014000004/0000832480-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248015000006/0000832480-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248016000038/0000832480-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248017000005/0000832480-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248018000008/0000832480-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248019000006/0000832480-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248020000005/0000832480-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248021000005/0000832480-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248022000005/0000832480-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3001245,-937903,-559248,-679492,1075909,-696426,2439573,1499618,-6396490,-275617,1260223,3869720,2142619,653754,-4290247,7596575,6316615,9947436,3870012,10043742,1206039,1168025,4810149,12391117,16270777,2088606,9755160
74,Depreciation and Amortization,980968,575636,624854,584364,597771,505221,526216,571037,8149136,3928631,4678007,4877708,5477158,1093746,1430501,1311029,1412661,1242149,1260697,1303829,814336,698374,701809,1067297,1039453,1697285,210665
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353887,325668,287934
77,Change in Working Capital,-7447846,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386607321,-20065263,-19875536,-14515949,27491117,18582426,896463,21352288,-374442827,21480872
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,1175305,1560166,390585,811085,594948,131076,1042457,- -,- -,- -,- -,3756502,1116386,998863,678391,89524,556891,198575,374515,541295,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-1631181,-1865973,286271,1073108,1017812,1976884,-2911180,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386607321,366542058,346666522,332150573,359641690,378224116,379120579,400472867,26030040,47510912
82,Other Non-Cash Items,3264577,3147353,-42857,2261301,-2301619,-1964286,-1600742,-2032009,-2685694,-3698964,-6229166,-10622922,-6810078,-552269,-1388738,-11893899,-18216480,-408438126,3990754,-5112274,1347038,-40733703,-37292632,-19773768,-47598220,357087882,-44188066
83,Cash Provided by Operating Activities,-6203546,2785086,22749,2166173,-627939,-2155491,1365047,38646,-933048,-45950,-290936,-1875494,809699,1195231,-4248484,-2986295,-10487204,-10641220,-10943800,-13640239,-11148536,-11376187,-13198248,-5418891,-8581815,-13243386,-12453435
84,CAPEX,- -,- -,-531528,-114449,-234791,-108346,-138388,-24439,-536600,-20548,- -,-1468660,-72674,-124136,-17403,-139291,-214475,- -,- -,-1600000,- -,- -,- -,- -,- -,- -,1324647
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-33175371,-35870124,-32439450,-58344103,-49132499,-50713230,-106410057,-51642124,-137418052,-95262175,-51602605,-81524728,-111755847,-47274298,-181966882,-247816148,-164795495,-165015169,-69001992,-79663646,-34576110,-16737855,-18891231,-77177798,-27262683,-32302175,- -
87,Sales/Maturities of Investments,25145433,52032869,29981962,64014309,44439065,46790618,106486375,60674746,122107938,99059437,50336890,74931518,121510965,73056619,161999869,236474907,236148159,115892602,62500744,61868073,35180452,44212664,37224505,76127676,28775574,60722435,21581106
88,Other Investing Activites,- -,- -,- -,- -,- -,90000,201064,- -,- -,- -,- -,- -,1191508,294374,22889389,- -,7712493,-6844752,12687051,53698367,12980001,-10811249,8651821,3064796,16871218,-1499415,-40960134
89,Cash Used for Investing Activites,-8029938,16162745,-2989016,5555757,-4928225,-3940958,138994,9008183,-15846714,3776714,-1265715,-8061870,10873952,25952559,2904973,-11480532,78850682,-55967319,6185803,34302794,13584343,16663560,26985095,2014674,18384109,26920845,-18054381
90,Debt Repayment,-605861,-10923475,-1874597,-12420373,-3149369,-1540800,-1302495,-3405395,-705499,-6839776,-3000000,-1200000,-24683158,-8297580,-10399892,-11320650,-8783594,-6994726,-2760420,-16297534,-4400000,- -,-2900000,- -,- -,- -,- -
91,Common Stock Issued,12500,500,- -,10999995,- -,- -,- -,706691,195906,167360,151320,- -,444099,- -,- -,- -,- -,- -,- -,- -,- -,- -,261487,360812,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-926599,-26527,-149955,- -,-1176653,-520253,-441144,-299057,-521892,-482030,-190554,-124015,-160904,-349675,-475547,-928902,-286988,-927904,-120281,-5124307,-604052,-1329148,-909368,-3313154,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15657803,-3226646,4547161,3997505,3504829,1674521,1387379,2745265,2437778,6350454,5271838,7887860,22019877,3523212,9401275,7127761,5337886,14927738,4322777,-9298292,-70354,3170867,-266631,-911484,-255459,-126180,22269340
95,Cash Used/Provided by Financing Activities,15064442,-14149621,1745965,2550600,205505,133721,-1091769,-473692,1487041,-621019,1901266,6205830,-2409736,-4898383,-1159521,-4542564,-3921255,7004110,1275369,-26523730,-4590635,-1953440,-3509196,-1879820,-1164827,-3439334,22269340
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,830958,4798210,-1220302,10272530,-5350659,-5962728,412272,8573137,-15292721,3109745,344615,-3731534,9273915,22249407,-2503032,-19009391,64442223,-59604429,-3482628,-5861175,-2154828,3333933,10277651,-5284037,8637467,10238125,-8238476
98,Cash at the End of Period,12528025,17326235,16105933,26378463,21027804,15065076,15477348,24050485,8749727,11859472,12204087,8472553,17746468,39995875,37492843,18483452,82925675,23321246,19838618,13977443,11822615,15156548,25434199,20150162,28787629,39025754,30787278
99,Cash at the Beginning of Period,11697067,12528025,17326235,16105933,26378463,21027804,15065076,15477348,24042448,8749727,11859472,12204087,8472553,17746468,39995875,37492843,18483452,82925675,23321246,19838618,13977443,11822615,15156548,25434199,20150162,28787629,39025754
100,Free Cash Flow,-6203546,2785086,-508779,2051724,-862730,-2263837,1226659,14207,-1469648,-66498,-290936,-3344154,737025,1071095,-4265887,-3125586,-10701679,-10641220,-10943800,-15240239,-11148536,-11376187,-13198248,-5418891,-8581815,-13243386,-11128788
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832480/000083248013000004/0000832480-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248014000004/0000832480-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248015000006/0000832480-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248016000038/0000832480-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248017000005/0000832480-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248018000008/0000832480-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248019000006/0000832480-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248020000005/0000832480-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248021000005/0000832480-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/832480/000083248022000005/0000832480-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
