,https://roic.ai/company/MCHX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1224133/000119312507057124/0001193125-07-057124-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312508052030/0001193125-08-052030-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312509055420/0001193125-09-055420-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312510051533/0001193125-10-051533-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312511065921/0001193125-11-065921-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312512110077/0001193125-12-110077-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312513103463/0001193125-13-103463-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312514080613/0001193125-14-080613-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312515085312/0001193125-15-085312-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312516495411/0001193125-16-495411-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459017003699/0001564590-17-003699-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459018005637/0001564590-18-005637-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459019008264/0001564590-19-008264-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459020010853/0001564590-20-010853-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459021017049/0001564590-21-017049-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459022012208/0001564590-22-012208-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1494300,6019119,24933066,63090941,46105827,36456307,27418396,33638002,37328052,37443000,15930000,30912000,80032000,109155000,103950000,104190000,45230000,42526000,33851000,27086000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1494300,6019119,24933066,63090941,46105827,36456307,27418396,33638002,37328052,37443000,15930000,30912000,80032000,109155000,103950000,104190000,45230000,42526000,33851000,27086000
34,Net Receivables,489664,1919053,4773646,14401814,23872509,20001081,24776579,20163458,23462794,30828000,26252000,30102000,26072000,24748000,19020000,14860000,16198000,17809000,6331000,8021000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,159145,404979,1938427,6082608,2892174,2985855,3731479,4413907,4436133,6367000,3497000,3959000,3143000,1784000,1531000,2041000,2657000,2084000,2232000,2407000
37,Total Current Assets,2143109,8343151,31645139,83575363,72870510,59443243,55926454,58215367,65226979,74638000,45679000,64973000,109247000,135687000,124501000,121091000,64085000,62419000,42414000,37514000
38,PP&E,473793,994793,1508446,3402262,7280075,7357903,5615396,5051717,4709907,6187000,6005000,5440000,5430000,5778000,3557000,2405000,2921000,8829000,6315000,5055000
39,Goodwill,- -,- -,- -,- -,200738098,204766826,35475782,35438289,35337428,82644000,65815000,65679000,65679000,63305000,- -,- -,24442000,33433000,18502000,17558000
40,Intangible Assets,- -,23954790,38440151,247431524,50054371,40901969,16467927,7976876,3646904,10279000,3689000,584000,108000,222000,- -,- -,20697000,19485000,8252000,4714000
41,Intangible Assets,- -,23954790,38440151,247431524,250792469,245668795,51943709,43415165,38984332,92923000,69504000,66263000,65787000,63527000,- -,- -,45139000,52918000,26754000,22272000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,52956,- -,- -,- -,2444782,7447315,56784228,52690910,50768525,46310000,27677000,25138000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9435,409878,- -,- -,- -,277089,- -,- -,- -,- -,282000,334000,205000,- -,214000,326000,917000,335000,2251000,986000
45,Total Non-Current Assets,536184,25359461,39948597,250833786,260517326,260751102,114343333,101157792,94462764,145420000,103468000,97175000,71422000,69305000,3771000,2731000,48977000,62082000,35320000,28313000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2679293,33702612,71593736,334409149,333387836,320194345,170269787,159373159,159689743,220058000,149147000,162148000,180669000,204992000,128272000,123822000,113062000,124501000,77734000,65827000
48,Accounts Payable,1294877,2842229,6227274,9258423,10739231,11625779,12351123,8763090,11165616,12896000,12378000,15922000,13766000,9460000,6811000,4928000,5968000,7082000,2424000,1363000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5123000,1794000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,848958,1947617,2291374,2430644,2906379,2255906,2020728,1649851,1930000,2009000,1388000,2117000,692000,349000,313000,1782000,1173000,1393000,2016000
52,Other Current Liabilities,983476,4810487,7407617,1755970,2913152,3668342,6331709,6158966,5106021,43644000,9609000,7988000,7515000,6712000,7707000,27492000,7022000,9290000,11964000,7500000
53,Total Current Liabilities,2278353,8501674,15582508,13305767,16083027,18200500,20938738,16942784,17921488,58470000,23996000,25298000,23398000,16864000,14867000,32733000,14772000,17545000,20904000,12673000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3136000,1466000
55,Deferred Revenue,27682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1829687,245657,397481,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1531000,981000,1162000,186000
57,Other Non-Current Liabilities,2993,21536919,93539,92309,91907,105368,23297,1005444,2076332,2580000,2216000,2095000,1118000,662000,134000,1090000,1733000,6137000,-156000,- -
58,Total Non-Current Liabilities,30675,23366606,339196,489790,91907,105368,23297,1005444,2076332,2580000,2216000,2095000,1118000,662000,134000,1090000,3264000,7118000,4142000,1652000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7164000,4963000,3260000
61,Total Liabilities,2309028,31868280,15921704,13795557,16174934,18305868,20962035,17948228,19997820,61050000,26212000,27393000,24516000,17526000,15001000,33823000,18036000,24663000,25046000,14325000
62,Preferred Stock,- -,- -,- -,54121678,2342884,1446649,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1818760,138175,257615,374121,395578,434778,398953,363256,359808,380000,382000,389000,428000,423000,433000,440000,423000,445000,414000,423000
64,Retained Earnings,-1439229,-3488237,-4641760,-2790154,-6132673,-7712206,-135624042,-137686046,-140729343,-137770000,-172966000,-171149000,-190239000,-163518000,-247584000,-253709000,-256198000,-260240000,-298686000,-303076000
65,Other Comprehensive Income/Loss,- -,-312399,-914678,-1771564,-3682867,-6509672,-9858034,-12701574,-14996714,-17185000,-20340000,-23174000,-24318000,-27567000,-25585000,-25678000,-25094000,-25821000,- -,- -
66,Other Total Stockholders Equity,-9266,5496793,60970855,270679511,324289980,314228928,294390875,291449295,295058172,313583000,315859000,328689000,370282000,378128000,386007000,368946000,375895000,385454000,350960000,354155000
67,Total Stockholders Equity,370265,1834332,55672032,320613592,317212902,301888477,149307752,141424931,139691923,159008000,122935000,134755000,156153000,187466000,113271000,89999000,95026000,99838000,52688000,51502000
68,Total Liabilities And Stockholders Equity,2679293,33702612,71593736,334409149,333387836,320194345,170269787,159373159,159689743,220058000,149147000,162148000,180669000,204992000,128272000,123822000,113062000,124501000,77734000,65827000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2679293,33702612,71593736,334409149,333387836,320194345,170269787,159373159,159689743,220058000,149147000,162148000,180669000,204992000,128272000,123822000,113062000,124501000,77734000,65827000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1224133/000119312507057124/0001193125-07-057124-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312508052030/0001193125-08-052030-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312509055420/0001193125-09-055420-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312510051533/0001193125-10-051533-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312511065921/0001193125-11-065921-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312512110077/0001193125-12-110077-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312513103463/0001193125-13-103463-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312514080613/0001193125-14-080613-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312515085312/0001193125-15-085312-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312516495411/0001193125-16-495411-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459017003699/0001564590-17-003699-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459018005637/0001564590-18-005637-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459019008264/0001564590-19-008264-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459020010853/0001564590-20-010853-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459021017049/0001564590-21-017049-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459022012208/0001564590-22-012208-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-89783,-2169352,-733093,3907806,-443637,-1505268,-127863628,-2062004,-3043297,2959000,-35196000,1817000,-19090000,26721000,-84066000,-6087000,-2678000,-4042000,-38446000,-4390000
74,Depreciation and Amortization,214562,3337108,5659300,22713193,26537080,26170077,26537080,11703791,7693840,9473000,8457000,6683000,4105000,3661000,3194000,2791000,2598000,8167000,7248000,5970000
75,Deferred Income Tax,-142876,-1878373,-1831932,-2690464,-3108963,-5135096,-3108963,4231713,2004233,1895000,16586000,1968000,24390000,- -,- -,- -,-185000,-1733000,-826000,-6000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,9597332,10831848,15143000,15696000,9264000,11903000,10025000,10183000,4597000,3040000,3147000,3834000,2674000
77,Change in Working Capital,416776,-23279,16221154,54206965,-13482113,-15544740,-6255027,6284867,6032908,-31137491,5515000,17992000,46174000,32974000,-9189000,-21276000,-39045000,-4439000,-23364000,3331000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,5975445,-6778466,-6965000,2948000,-5732000,2536000,999000,4017000,3836000,254000,-1910000,-80000,-2125000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-3659208,2486325,-1542000,-550000,3513000,-2199000,-4085000,-2611000,-1963000,618000,1149000,1791000,-1050000
81,Other Working Capital,-135244,-158523,16062631,70269596,56787483,41242743,34987716,41272583,47305491,16168000,21683000,39675000,85849000,118823000,109634000,88358000,49313000,44874000,21510000,24841000
82,Other Non-Cash Items,1141129,3640949,-15586406,-60680681,21305504,33083937,141498408,-12608439,-14131768,18449491,8843000,-24128000,-45063000,-60628000,76209000,21667000,41321000,3994000,48181000,-13921000
83,Cash Provided by Operating Activities,1539808,2907053,3729023,17456819,30807871,37068910,30807870,17147260,9387764,16782000,19901000,13596000,22419000,12753000,-3669000,1692000,5051000,5094000,-3373000,-6342000
84,CAPEX,-349856,-543245,-1005848,-2503717,-5872212,-14234271,-7119510,-2395204,-3557245,-4074000,-2999000,-3195000,-3482000,-4158000,-1000000,-1577000,-2228000,-1762000,-1357000,-1351000
85,Acquisitions Net,- -,-16523613,-10790150,-190130955,-18220428,-13475069,-18220428,- -,- -,-15801000,- -,1058000,304000,25980000,-224000,- -,-34335000,-7921000,2338000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59000
88,Other Investing Activites,15565,-45216,-723319,-16265972,567717,708885,1815015,4918193,6664840,9380000,6199000,3630000,-217000,-51000,-14000,-15000,-577000,-89000,-4000,459000
89,Cash Used for Investing Activites,-334291,-17112074,-12519317,-208900644,-23524923,-27000455,-23524923,2535130,3223584,-10392000,3320000,1647000,-3178000,21822000,-1224000,-1577000,-36563000,-9683000,981000,-951000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-38981,-6162,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,23955,20254017,28840902,232573452,2192648,3966903,2192648,50854,26609,36000,- -,- -,32527000,- -,- -,- -,- -,- -,- -,528000
92,Common Stock Repurchased,- -,- -,- -,- -,-26012474,-22848643,-26012474,-10721348,-6534158,-6159000,-1651000,-119000,-2486000,-3822000,-365000,- -,-5673000,- -,-10852000,- -
93,Dividends Paid,- -,- -,- -,-2056200,-2898882,-3361463,-2898882,-2902234,-2815898,-2938000,-9376000,- -,-3330000,-1685000,- -,- -,-21911000,- -,- -,- -
94,Other Financing Activites,- -,-29877,-1136661,-915552,2450647,2525228,2450647,148925,408311,2786000,-33707000,-142000,3168000,55000,53000,125000,136000,1885000,5364000,- -
95,Cash Used/Provided by Financing Activities,23955,20224140,27704241,229601700,-24268061,-19717975,-24268061,-13462784,-8921298,-6275000,-44734000,-261000,29879000,-5452000,-312000,125000,-27448000,1885000,-5488000,528000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1229472,20224140,18913947,38157875,-16985113,-9649520,-16985114,6219606,3690050,115000,-21513000,14982000,49120000,29123000,-5205000,240000,-58960000,-2704000,-7880000,-6765000
98,Cash at the End of Period,1494300,6019119,24933066,63090941,46105828,36456307,46105827,33638002,37328052,37443000,15930000,30912000,80032000,109155000,103950000,104190000,45230000,42526000,33851000,27086000
99,Cash at the Beginning of Period,264828,- -,6019119,24933066,63090941,46105827,63090941,27418396,33638002,37328000,37443000,15930000,30912000,80032000,109155000,103950000,104190000,45230000,41731000,33851000
100,Free Cash Flow,1189952,2363808,2723175,14953102,24935659,22834639,23688360,14752056,5830519,12708000,16902000,10401000,18937000,8595000,-4669000,115000,2823000,3332000,-4730000,-7693000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1224133/000119312507057124/0001193125-07-057124-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312508052030/0001193125-08-052030-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312509055420/0001193125-09-055420-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312510051533/0001193125-10-051533-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312511065921/0001193125-11-065921-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312512110077/0001193125-12-110077-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312513103463/0001193125-13-103463-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312514080613/0001193125-14-080613-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312515085312/0001193125-15-085312-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000119312516495411/0001193125-16-495411-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459017003699/0001564590-17-003699-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459018005637/0001564590-18-005637-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459019008264/0001564590-19-008264-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459020010853/0001564590-20-010853-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459021017049/0001564590-21-017049-index.htm,https://www.sec.gov/Archives/edgar/data/1224133/000156459022012208/0001564590-22-012208-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
