,https://roic.ai/company/MINM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183264,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1559847,291296
52,Other Current Liabilities,399507,375414,346074,373394,379841,322410,284736,292756,1051616,2003984,2229561,2769187,5905216,10379228
53,Total Current Liabilities,1610477,1390393,1257373,1432336,2222255,1334274,1851948,1716259,4860559,5621095,8340142,7793716,21783019,23272256
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37480,5163885
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443452
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37480,5607337
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102716,87886,- -
61,Total Liabilities,1610477,1390393,1257373,1432336,2222255,1334274,1851948,1716259,4860559,5621095,8340142,7793716,21820499,23814519
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2,19810,54506,69737,69737,79827,79827,134778,146853,152865,161247,209299,350749,458850
64,Retained Earnings,-27260044,-29836577,-29568392,-30438446,-31170788,-32235772,-32113286,-32946422,-35879562,-37246561,-37320838,-40596638,-57086943,-60673683
65,Other Comprehensive Income/Loss,-7406473,-7466009,-7492429,-496943,-505425,-515231,-522869,-553474,-641025,-754984,-891991,-1024623,-1195030,- -
66,Other Total Stockholders Equity,39623841,40349372,41262856,34487306,34508378,35057365,34714935,38518704,40534944,41020266,41927927,47520953,65721694,89313273
67,Total Stockholders Equity,4957326,3066596,4256541,3621654,2901902,2386189,2158607,5153586,4161210,3171586,3876345,6108991,7790470,29098440
68,Total Liabilities And Stockholders Equity,6567803,4456989,5513914,5053990,5124157,3720463,4010555,6869845,9021769,8792681,12216487,13902707,29610969,52912959
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -
70,Total Liabilities & Equity,6567803,4456989,5513914,5053990,5124157,3720463,4010555,6869845,9021769,8792681,12216487,13902708,29610969,52912959
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467761/000114036121015017/0001140361-21-015017-index.htm,https://www.sec.gov/Archives/edgar/data/1467761/000149315222008365/0001493152-22-008365-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-4159654,-2576533,268185,-870054,-732342,-1064984,122486,-833136,-2933140,-1366999,-74277,-3275800,-3858415,-3586740
74,Depreciation and Amortization,87774,59536,26428,23546,14082,9777,9048,121027,544694,500078,365076,608305,372175,1102633
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,278573,415176,91192,113710,39210,35189,14287,75534,177958,196313,399779,505188,440856,996937
77,Change in Working Capital,1761408,-1052170,1370806,-611985,-725629,-540693,-243699,2283940,-978845,-778216,774365,1961132,542190,21873920
78,Accounts Receivable,1091486,336640,2408,-386096,-748762,277754,-136768,735776,-1427001,269424,-530014,-1574778,-4969826,63217
79,Inventory,1496731,1318372,-1127467,-9226,247621,1306445,-92269,-1078181,-2174053,-476048,-2647677,468340,-8871803,118927
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6673914,862453
81,Other Working Capital,3894835,2842665,4213471,3601486,2875857,2335164,2091465,4375405,3396560,2618344,3392709,5353841,5896031,27769951
82,Other Non-Cash Items,-17546,2318178,-2791905,435683,65452,1756652,-313359,-2018228,-1015788,2783284,-3268538,-1335646,-4590680,-34659017
83,Cash Provided by Operating Activities,-2049445,-835813,-1035294,-909100,-1339227,195941,-411237,-370863,-4205121,1334460,-1803595,-1536821,-7093874,-14272267
84,CAPEX,-20476,-14659,-11703,-648,-19959,-34757,-25165,-177066,-58163,-99790,-236910,-484254,-1079934,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501845,- -
86,Purchases of Investments,-325497,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,772331,21525,166144,- -,39983,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-655000,-473000,-150000,-93000,-310000,-777415,-681828
89,Cash Used for Investing Activites,-345973,757672,9822,165496,-19959,5226,-25165,-832066,-531163,-249790,-329910,-484254,-578089,-681828
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,377561,- -,248677,- -,212960,1529501,- -,- -,4942610,3163370,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,94500,811793,- -,910807,-592489,522267,2699036,1539925,-1035298,2030269,-1680624,4713457,26452783
95,Cash Used/Provided by Financing Activities,- -,94500,811793,377561,910807,-343812,522267,2911996,3069426,-1035298,2030269,3261986,7876827,26452783
96,Effect of Forex Changes on Cash,-47252,2164,168,412,-282,2334,-3621,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2442670,18523,-213511,-365631,-448661,-140311,82244,1709067,-1666858,49372,-103236,1240911,204864,11498688
98,Cash at the End of Period,1204984,1223507,1009996,644365,195704,55393,137637,1846704,179846,229218,125982,1366893,1571757,13070445
99,Cash at the Beginning of Period,3647654,1204984,1223507,1009996,644365,195704,55393,137637,1846704,179846,229218,125982,1366893,1571757
100,Free Cash Flow,-2069921,-850472,-1046997,-909748,-1359186,161184,-436402,-547929,-4263284,1234670,-2040505,-2021075,-8173808,-14272267
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467761/000114036121015017/0001140361-21-015017-index.htm,https://www.sec.gov/Archives/edgar/data/1467761/000149315222008365/0001493152-22-008365-index.htm
102,false,,,,,,,,,,,,,,
