,https://roic.ai/company/GBT,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.91,-1.51,-3.95,-2.48,-2.76,-3.41,-4.57,-4.04,-4.82
26,EPS Diluted,-0.91,-1.51,-3.95,-2.48,-2.76,-3.41,-4.57,-4.04,-4.82
27,Weighted Average Shares Outstanding,21799488,13761829,12806697,33207382,42323686,51150728,58321612,61334037,62925081
28,Weighted Average Shares Outstanding Diluted,21799488,13761829,12806697,33207382,42323686,51150728,58321612,61334037,62925081
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1629137/000162913716000028/0001629137-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312517080322/0001193125-17-080322-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312518060818/0001193125-18-060818-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312519054260/0001193125-19-054260-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312520050084/0001193125-20-050084-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312521054629/0001193125-21-054629-index.htm,https://www.sec.gov/Archives/edgar/data/1629137/000095017022001781/0000950170-22-001781-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,3278000,52069000,148502000,92072000,198332000,275357000,302237000,494766000,684717000
32,Short-Term Investments,- -,- -,- -,55202000,116493000,202177000,307732000,66126000,- -
33,Cash and Short-Term Investments,3278000,52069000,148502000,147274000,314825000,477534000,609969000,560892000,684717000
34,Net Receivables,- -,- -,- -,- -,- -,- -,2637000,17500000,28800000
35,Inventory,- -,- -,- -,- -,- -,- -,1277000,40223000,58202000
36,Other Current Assets,448000,1524000,2318000,2495000,9487000,8246000,14114000,13548000,30251000
37,Total Current Assets,3726000,53593000,150820000,149769000,324312000,485780000,627997000,632163000,801970000
38,PP&E,2366000,2023000,2114000,2420000,16571000,14981000,79888000,88604000,82933000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,50058000,14607000,114281000,85030000,- -,50057000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,80000,140000,140000,140000,1230000,2601000,3184000,3235000,4248000
45,Total Non-Current Assets,2446000,2163000,2254000,52618000,32408000,131863000,168102000,91839000,137238000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6172000,55756000,153074000,202387000,356720000,617643000,796099000,724002000,939208000
48,Accounts Payable,845000,541000,3361000,4320000,7177000,6046000,10621000,19078000,15097000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1866000,4836000,5670000
50,Tax Payable,- -,- -,- -,2000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2916000,1996000,7362000,11195000,19087000,27727000,58966000,55118000,67231000
53,Total Current Liabilities,3761000,2537000,10723000,15515000,26264000,33773000,71453000,79032000,87998000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,73559000,148815000,653947000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,28385000,102545000,1556000,563000,11652000,11071000,72393000,79998000,853000
58,Total Non-Current Liabilities,28385000,102545000,1556000,563000,11652000,11071000,145952000,228813000,654800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,74225000,84012000,79176000
61,Total Liabilities,32146000,105082000,12279000,16078000,37916000,44844000,217405000,307845000,742798000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,29000,37000,46000,56000,61000,62000,65000
64,Retained Earnings,-28047000,-49328000,-98465000,-180933000,-297957000,-472150000,-738916000,-986469000,-1289560000
65,Other Comprehensive Income/Loss,-639000,-1305000,-2102000,-166000,-336000,-48000,754000,302000,100000
66,Other Total Stockholders Equity,2711000,1305000,241333000,367371000,617051000,1044941000,1316795000,1402262000,1485805000
67,Total Stockholders Equity,-25974000,-49326000,140795000,186309000,318804000,572799000,578694000,416157000,196410000
68,Total Liabilities And Stockholders Equity,6172000,55756000,153074000,202387000,356720000,617643000,796099000,724002000,939208000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6172000,55756000,153074000,202387000,356720000,617643000,796099000,724002000,939208000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1629137/000162913716000028/0001629137-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312517080322/0001193125-17-080322-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312518060818/0001193125-18-060818-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312519054260/0001193125-19-054260-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312520050084/0001193125-20-050084-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312521054629/0001193125-21-054629-index.htm,https://www.sec.gov/Archives/edgar/data/1629137/000095017022001781/0000950170-22-001781-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-18116000,-20807000,-46360000,-82468000,-117024000,-174193000,-266766000,-247553000,-303091000
74,Depreciation and Amortization,534000,666000,873000,1235000,1658000,4607000,9932000,10823000,8616000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,138000,350000,3223000,9235000,13682000,30080000,45651000,71477000,78670000
77,Change in Working Capital,289000,51091000,89041000,-5843000,163794000,153959000,104537000,-3413000,-42436000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-2637000,-14863000,-11300000
79,Inventory,- -,- -,- -,- -,- -,- -,-1277000,-36779000,-16148000
80,Accounts Payable,-465000,-304000,2705000,1066000,2771000,-1285000,4499000,8374000,-3722000
81,Other Working Capital,-35000,51056000,140097000,134254000,298048000,452007000,556544000,553131000,3727000
82,Other Non-Cash Items,2455000,-51421000,-77667000,10118000,-155132000,-149828000,-87771000,-43196000,1428000
83,Cash Provided by Operating Activities,-14700000,-20121000,-30890000,-67723000,-93022000,-135375000,-194417000,-211862000,-256813000
84,CAPEX,-940000,-323000,-993000,-1352000,-3101000,-4824000,-3460000,-8754000,-3233000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-105500000,-127724000,-361405000,-434919000,-57936000,-50353000
87,Sales/Maturities of Investments,- -,- -,- -,- -,96009000,181997000,361473000,384002000,65696000
88,Other Investing Activites,- -,-60000,- -,- -,-1090000,75000,45000,- -,- -
89,Cash Used for Investing Activites,-940000,-383000,-993000,-106852000,-35906000,-184157000,-76861000,317312000,12110000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,43000,- -,128338000,116995000,231955000,396501000,219443000,- -,46143000
92,Common Stock Repurchased,- -,- -,-67000,-90000,-421000,-12000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15236000,69295000,45000,1240000,3654000,1417000,78715000,87120000,388192000
95,Cash Used/Provided by Financing Activities,15279000,69295000,128316000,118145000,235188000,397906000,298158000,87120000,434335000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,319000
97,Net Change In Cash,-361000,48791000,96433000,-56430000,106260000,78374000,26880000,192570000,189951000
98,Cash at the End of Period,3278000,52069000,148502000,92072000,198332000,277752000,304632000,497202000,687153000
99,Cash at the Beginning of Period,3639000,3278000,52069000,148502000,92072000,199378000,277752000,304632000,497202000
100,Free Cash Flow,-15640000,-20444000,-31883000,-69075000,-96123000,-140199000,-197877000,-220616000,-260046000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1629137/000162913716000028/0001629137-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312517080322/0001193125-17-080322-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312518060818/0001193125-18-060818-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312519054260/0001193125-19-054260-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312520050084/0001193125-20-050084-index.html,https://www.sec.gov/Archives/edgar/data/1629137/000119312521054629/0001193125-21-054629-index.htm,https://www.sec.gov/Archives/edgar/data/1629137/000095017022001781/0000950170-22-001781-index.htm
102,false,,,,,,,,,
