,https://roic.ai/company/ELTP,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,-288.5305,-150.4414,-1.5949,-6.5566,-25.2206,-19.5897,-12.4986,-10.3266,-7.7208,-2.9020,-2.4091,-3.2545,-6.4115,0.3332,-21.0519,5.7677,-0.0963,0.2017,-0.6327,-1.3154,-0.1244,0.1633
22,Income Tax expense (Gain),- -,200,-363961,-135388,-71274,1000,1000,1000,1770,3120,3120,- -,-301413,-483952,-353718,-292611,-3248,-520452,- -,- -,- -,2000,-943907
23,Net Income,-1700000,-2976392,-13964981,-1774527,-4061422,-6514217,-5906890,-6883914,-11803512,-13893060,-6604708,-8056874,-13582159,-15058274,1487928,-96575271,28929674,-683012,3811181,-3673172,-9279321,-2240351,5088421
24,Net Income ratio,-8.5000,-288.5499,-146.6201,-1.4819,-6.4435,-25.2245,-19.5930,-12.5004,-10.3192,-9.8315,-2.9034,-2.4091,-3.1838,-6.2119,0.4372,-20.9883,5.7683,-0.0546,0.3954,-0.4925,-1.2260,-0.1245,0.2005
25,EPS,-0.23,-0.35,-1.53,-0.19,-0.40,-0.58,-0.47,-0.49,-0.64,-0.73,-0.27,-0.11,-0.14,-0.06,0.00,-0.21,0.05,-0.01,0.03,-0.00,-0.01,-0.00,0.01
26,EPS Diluted,-0.23,-0.35,-1.53,-0.19,-0.40,-0.58,-0.47,-0.49,-0.64,-0.73,-0.27,-0.11,-0.14,-0.06,0.00,-0.21,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00,0.01
27,Weighted Average Shares Outstanding,7237613,8287648,9135369,9561299,10069991,11168618,12869924,18463514,19815780,21801042,32047421,75581345,100020520,259163279,349075642,463021991,591214959,673905485,838665804,796069419,814172891,832326965,942997875
28,Weighted Average Shares Outstanding Diluted,7237613,8287648,9135369,9561299,10069991,11168618,12869924,18463514,19815780,21801042,32047421,75581345,100020520,259163279,526880118,463021991,757579152,673905485,844506245,798169419,816312992,993260953,942997875
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1053369/000114420409034990/0001144204-09-034990-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420410036954/0001144204-10-036954-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000114420411038267/0001144204-11-038267-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420412037392/0001144204-12-037392-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000114420413036025/0001144204-13-036025-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420414040327/0001144204-14-040327-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420415037217/0001144204-15-037217-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420416108327/0001144204-16-108327-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420417032547/0001144204-17-032547-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420418034237/0001144204-18-034237-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000121390019011224/0001213900-19-011224-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000121390020016181/0001213900-20-016181-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000121390021032329/0001213900-21-032329-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,3264081,2104869,3902003,8919354,2045390,3702615,282578,578187,1825858,668407,369023,6941777,7464180,11512179,10594693,7179237,2277643,1131728,3192768
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,3264081,2104869,3902003,8919354,2045390,3702615,282578,578187,1825858,668407,369023,6941777,7464180,11512179,10594693,7179237,2277643,1131728,3192768
34,Net Receivables,- -,- -,- -,- -,4681,153250,142113,- -,215837,148484,1177,404961,571667,396847,665154,732076,1446441,1530296,934059,675879,1321805,4106846,3496376
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,2124420,1703766,1371292,616362,304882,1358146,1932486,3032001,3293729,6415966,4898001,4515723,4142472,5012902
36,Other Current Assets,- -,- -,- -,- -,231472,341887,460330,1644529,1149185,177972,331622,131507,133472,127704,151051,318424,388061,377752,468002,949284,741371,870233,492621
37,Total Current Assets,- -,- -,- -,- -,3500234,2600006,4504446,10563883,3410412,6153491,2319143,2485947,3147359,1497840,2543374,9924763,12330683,16713956,18412720,13702401,8856542,10251279,12194667
38,PP&E,- -,- -,- -,- -,4390553,4090250,4194437,4308969,5454026,5008701,4575487,4095814,4118274,4284786,4028941,4199602,6401802,8110721,9039404,8993708,8443849,7590930,6864039
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,104842,102196,81184,59457,42809,35276,27743,96407,- -,642848,694424,6349919,6381774,6411799,6419091,7713001,6634035,6634035,6634035
41,Intangible Assets,- -,- -,- -,- -,104842,102196,81184,59457,42809,35276,27743,96407,597556,642848,694424,6349919,6381774,6411799,6419091,7713001,6634035,6634035,6634035
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3329322,3329322,3329322,3329322,3329322,3329322,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,700593,1060982,465225,769932,789082,4112802,668453,599173,595351,556921,529068,514113,806019,642074,439927,473498,467508,480336,496751
45,Total Non-Current Assets,- -,- -,- -,- -,5195988,5253428,4740846,5138358,6285917,9156779,8601005,8120716,8640503,8813877,8581755,14392956,13589595,15164594,15898422,17180207,15545392,14705301,13994825
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,8696222,7853434,9245292,15702241,9696329,15310270,10920148,10606663,11787862,10311717,11125129,24317719,25920278,31878550,34311142,30882608,24401934,24956580,26189492
48,Accounts Payable,- -,- -,- -,- -,334721,1085242,882917,1740263,2205781,850442,- -,986777,- -,4451494,1325126,2214871,- -,1804429,1049815,1658137,1375347,1577860,929690
49,Short-Term Debt,- -,- -,- -,- -,215000,225000,292946,175000,185000,209864,220788,3467302,13105,13316,3991296,3932620,1058236,1281253,486970,654663,653851,2060556,598908
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13333,13333,13333,13333,13333,1013333,1013333,1013333,1163333,180000,13333
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,33333,- -,63255,1339679,306440,4642877,70966,27500,- -,3997528,555352,794628,1788571,3713601,4821132,4270600
53,Total Current Liabilities,- -,- -,- -,- -,549721,1310242,1175863,1948596,2390781,1123561,1560467,4760519,4669315,4549109,5357255,6160824,5069097,4654367,3344746,5114704,6906132,8639548,5812531
54,Long-Term Debt,- -,- -,- -,- -,2720000,2495000,2367128,3980000,3795000,3637388,3416600,19823,6717,- -,- -,87574,2065000,2365827,2161568,3331154,3326584,1800391,1779600
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178890,165558,152223,157711,125557,3298415,2265557,1252223,238890,58891,45558
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16424186,24804220,20580732,14289040,99109765,53391711,10396463,875234,2709015,2534232,3801929,2399874
58,Total Non-Current Liabilities,- -,- -,- -,- -,2720000,2495000,2367128,3980000,3795000,3637388,3416600,16444009,24989827,20746290,14441263,99355050,55582268,16060705,5302359,7292392,6099706,5661211,4225032
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375293,226956
61,Total Liabilities,- -,- -,- -,- -,3269721,3805242,3542991,5928596,6185781,4760949,4977067,21204528,29659142,25295399,19798518,105515874,60651365,20715072,8647105,12407096,13005838,14300759,10037563
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,100,97,276,239,- -,- -,- -,- -,- -,- -,44285715,- -,13903960,13903960,13903960,- -
63,Common Stock,- -,- -,- -,- -,105444,122044,180222,191902,207991,231310,608394,83950,180546,331650,374495,560244,631162,711546,928034,802629,824949,840507,1009279
64,Retained Earnings,- -,- -,- -,- -,-28590934,-35105151,-41177459,-50216623,-62811317,-81190402,-90001793,-101278870,-114861029,-129919303,-128431375,-225006646,-196076975,-142664747,-138853566,-142526738,-151806059,-154046410,-148957989
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1100306,-1400609,-1722846,-2056594,-75000,-75000,-3360606,-3840279,-4189619,-4659670,-5068522,-5508377,-6074117,-6726401,-7426752,-8408979,-9651718,-10957334,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,35012297,40431908,48422384,61854860,66188777,91583137,98696847,94437334,100998822,119263641,124452017,148756627,166788844,115557365,171016321,154704640,158124964,160915098,164100639
67,Total Stockholders Equity,- -,- -,- -,- -,5426501,4048192,5702301,9773645,3510548,10549321,5943081,-10597865,-17871280,-14983682,-8673385,-81198152,-34731086,11163478,25664037,18475512,11396096,10655821,16151929
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,8696222,7853434,9245292,15702241,9696329,15310270,10920148,10606663,11787862,10311717,11125133,24317722,25920279,31878550,34311142,30882608,24401934,24956580,26189492
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4,-3,-1,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,8696222,7853434,9245292,15702241,9696329,15310270,10920148,10606663,11787862,10311717,11125129,24317719,25920278,31878550,34311142,30882608,24401934,24956580,26189492
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1053369/000114420409034990/0001144204-09-034990-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420410036954/0001144204-10-036954-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000114420411038267/0001144204-11-038267-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420412037392/0001144204-12-037392-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000114420413036025/0001144204-13-036025-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420414040327/0001144204-14-040327-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420415037217/0001144204-15-037217-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420416108327/0001144204-16-108327-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420417032547/0001144204-17-032547-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420418034237/0001144204-18-034237-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000121390019011224/0001213900-19-011224-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000121390020016181/0001213900-20-016181-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000121390021032329/0001213900-21-032329-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1700000,-2976392,-13964981,-1774527,-4061422,-6514217,-5906890,-6883914,-11803512,-13893060,-6604708,-8056874,-13582159,-15058274,1487928,-96575271,28929674,-683012,3811181,-3673172,-9279321,-2240351,5088421
74,Depreciation and Amortization,100000,86290,194038,266919,310876,332836,356438,486687,439994,413701,500817,508610,483473,484151,423340,453746,581855,666461,714530,996406,1256917,1510601,1524591
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42017,237682,45866,82947,260047,907030,767705,1169753,1717619,1028753,935624
77,Change in Working Capital,200000,- -,- -,- -,2950513,-1660749,2038819,5286704,-7595656,4010299,-4271254,-3033248,752616,-1529313,237388,6577820,3497647,4798003,3008385,-6480277,-6637287,-338679,4770405
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147307,- -,- -,- -,-268305,-66922,-714365,33240,596237,258180,-545926,-2785041,610470
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1311451,420654,20488,754931,311480,-1053264,-574340,-1099518,-261727,-3122237,1517965,382278,373251,-870430
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251611,883446,1811258,-2211414,-925088,677268,61002,344395,-1768862
81,Other Working Capital,- -,- -,- -,- -,2950513,1289764,3328583,8615287,1019631,5029930,758676,-2274572,-1521956,-3051269,-2813881,3763939,7261586,12059589,15067974,8587697,1950410,1611731,6382136
82,Other Non-Cash Items,-100000,111252,11864959,-61279,-1773681,4183809,-1371870,-3515026,10644906,-365217,5835077,9216764,13856868,15471672,-4137931,85243883,-48372456,-8453903,-16185662,3178099,6149312,-1754145,-9125180
83,Cash Provided by Operating Activities,-1500000,-2778850,-1905984,-1568887,-2573714,-3658321,-4883503,-4625549,-8314268,-9834277,-4540068,-1364748,1552815,-394082,-1943409,-4216875,-15103233,-2765421,-7883861,-4809191,-6792760,-1793821,3193861
84,CAPEX,-1100000,-1305874,-273933,-347197,-679485,-16696,-27843,-448280,-1554225,-520283,-45892,-96404,-1387950,-668625,-204586,-560446,-1996871,-1948829,-1104854,-274847,-19130,-34953,-329981
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-100000,110844,- -,- -,- -,- -,-4992160,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,-2004518,88770,-84489,- -,-478195,315570,-1175971,1141517,-17080,104644,-63805,-832733,-34457,-38814,-55401,-155769,-30025,-7414,-96395,350000,- -,67200
89,Cash Used for Investing Activites,-1300000,-3310392,-185163,-531686,-468641,-494891,287727,-1624251,-412708,-5529523,58752,-63805,-1354533,-657790,-191822,-557669,2879213,-1948829,-1104976,-277332,330870,-34953,-262781
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-209864,-275839,-13106,-13411,-6297,-1515,-1329010,-614131,-621485,-632497,-496681,-748442,-1925532
91,Common Stock Issued,- -,5789547,5565632,1401305,65843,3209000,6376109,10085664,2088500,20374505,- -,- -,- -,- -,- -,10000000,13236624,6199643,7593289,1999878,2092265,1437978,42223
92,Common Stock Repurchased,- -,- -,- -,- -,-306841,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-34141,-410832,-163403,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,2677469,-115000,255000,-305000,-215000,16801,1181487,-201347,-1708803,1434546,2000000,1062500,-92169,1842144,1348814,838810,3176737,1099547,303686,-28729,- -,1013480
95,Cash Used/Provided by Financing Activities,-100000,8467016,5450632,1656305,-545998,2994000,6392910,11267151,1853012,18254870,1061279,1724161,1049394,-105580,1835847,11347299,12746424,8762249,8071351,1671067,1566855,689536,-869829
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2700000,2377774,3359485,-444268,-3588353,-1159212,1797134,5017351,-6873964,2891070,-3420037,295609,1247671,-1157451,-299384,6572754,522403,4047999,-917486,-3415456,-4895035,-1139238,2061251
98,Cash at the End of Period,1600000,3937217,7296702,6852434,3264081,2104869,3902003,8919354,2045390,3702615,282578,578187,1825858,668407,369023,6941777,7464180,11512179,10594693,7179237,2675768,1536530,3597781
99,Cash at the Beginning of Period,4300000,1559443,3937217,7296702,6852434,3264081,2104869,3902003,8919354,811545,3702615,282578,578187,1825858,668407,369023,6941777,7464180,11512179,10594693,7570803,2675768,1536530
100,Free Cash Flow,-2600000,-4084724,-2179917,-1916084,-3253199,-3675017,-4911346,-5073829,-9868493,-10354560,-4585960,-1461152,164865,-1062707,-2147995,-4777321,-17100104,-4714250,-8988715,-5084038,-6811890,-1828774,2863880
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1053369/000114420409034990/0001144204-09-034990-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420410036954/0001144204-10-036954-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000114420411038267/0001144204-11-038267-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420412037392/0001144204-12-037392-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000114420413036025/0001144204-13-036025-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420414040327/0001144204-14-040327-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420415037217/0001144204-15-037217-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420416108327/0001144204-16-108327-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420417032547/0001144204-17-032547-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000114420418034237/0001144204-18-034237-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000121390019011224/0001213900-19-011224-index.html,https://www.sec.gov/Archives/edgar/data/1053369/000121390020016181/0001213900-20-016181-index.htm,https://www.sec.gov/Archives/edgar/data/1053369/000121390021032329/0001213900-21-032329-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
