,https://roic.ai/company/EML,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110796000002/0000031107-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110797000003/0000031107-97-000003-index.html,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110798000003/0000031107-98-000003-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110799000002/0000031107-99-000002-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110701000003/0000031107-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110702000004/0000031107-02-000004-index.html,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110708000027/form10k2007.htm,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110709000023/0000031107-09-000023-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110710000022/0000031107-10-000022-index.html,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110713000006/0000031107-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110714000006/form10k2013.htm,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110715000010/fm10k2014.htm,https://www.sec.gov/Archives/edgar/data/31107/000003110717000008/0000031107-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110718000010/0000031107-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110719000011/0000031107-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110720000008/0000031107-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/31107/000165495421002839/0001654954-21-002839-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2800000,2500000,2300000,1700000,3200000,3900000,2900000,3000000,2500000,2600000,1500000,2300000,- -,2100000,4800000,4500000,5000000,5900000,- -,4900000,6345947,3100000,8200000,- -,9000000,16700000,11147297,18500000,20000000,- -,15834440,22725376,22275480,13925770,17996510,- -,16101635
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34310,- -,28951
33,Cash and Short-Term Investments,2800000,2500000,2300000,1700000,3200000,3900000,2900000,3000000,2500000,2600000,1500000,2300000,- -,2100000,4800000,4500000,5900000,6700000,- -,4900000,6345947,3100000,8200000,- -,9000000,16700000,11147297,18500000,20000000,- -,15834440,22725376,22275480,13925770,18030820,- -,16130586
34,Net Receivables,8600000,8000000,8000000,8800000,8600000,7600000,6900000,8200000,8300000,9700000,7800000,7000000,- -,8700000,8600000,13500000,10800000,10800000,- -,11000000,14825014,24900000,20400000,- -,18300000,15300000,19281038,19500000,16300000,- -,17444250,18135792,27119910,31419160,37941900,- -,37749129
35,Inventory,9600000,9400000,10900000,11800000,10400000,10100000,10600000,10700000,11200000,10500000,11800000,10900000,- -,12400000,12800000,17100000,18600000,16500000,- -,16900000,20767749,28000000,30500000,- -,30800000,24500000,29793434,29400000,30700000,- -,34402200,34030286,47268760,52773210,54599270,- -,- -
36,Other Current Assets,1000000,500000,700000,1000000,1200000,1100000,2100000,1800000,1400000,2000000,2000000,2300000,- -,2900000,2500000,3000000,2200000,2000000,- -,2200000,3106446,3300000,4200000,- -,3600000,3300000,5194961,4400000,4000000,- -,3609760,2805472,3401450,3071890,4343490,- -,57856057
37,Total Current Assets,22000000,20400000,21900000,23300000,23400000,22700000,22500000,23700000,23400000,24800000,23100000,22500000,- -,26100000,28700000,38100000,37500000,36000000,- -,35000000,45045156,59300000,63300000,- -,61700000,59800000,65416730,71800000,71000000,- -,71290650,77696926,100065600,101190030,114915480,- -,111735772
38,PP&E,15400000,15000000,13000000,14300000,13300000,13000000,13800000,13200000,12400000,13000000,13700000,13900000,- -,13400000,15000000,27300000,26000000,25100000,- -,24900000,22396686,25800000,25200000,- -,23900000,23000000,24634096,25700000,27400000,- -,28051430,26165514,29192390,29853380,54365090,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,10600000,10500000,- -,10500000,10641532,13700000,14000000,- -,13700000,13900000,13905209,13900000,13800000,- -,14960350,14819835,32228890,34840380,79518010,- -,76895015
40,Intangible Assets,600000,500000,600000,500000,500000,700000,700000,800000,1100000,1100000,1000000,2000000,- -,2000000,1700000,2700000,2400000,3200000,- -,3000000,2782554,4300000,4100000,- -,3600000,2900000,1922454,1800000,1600000,- -,2673230,1930761,12961220,13967780,31864390,- -,27096006
41,Intangible Assets,600000,500000,600000,500000,500000,700000,700000,800000,1100000,1100000,1000000,2000000,- -,2000000,1700000,14100000,13000000,13700000,- -,13500000,13424086,18000000,18100000,- -,17300000,16800000,15827663,15700000,15400000,- -,17633580,16750596,45190110,48808160,111382400,- -,103991021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28951
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2400000,- -,2500000,2500000,3400000,3100000,700000,- -,1200000,- -,1100000,2400000,- -,- -,- -,821485,- -,1100000,- -,- -,3585360,1723540,1516010,5270470,- -,- -
44,Other Non-Current Assets,100000,500000,800000,1300000,1300000,1600000,2000000,2500000,3600000,3000000,1100000,1700000,- -,1800000,2200000,2000000,2300000,600000,- -,- -,755907,-700000,-600000,- -,3100000,1300000,- -,2700000,-1000000,- -,4294900,- -,286760,-120010,-5270460,- -,- -
45,Total Non-Current Assets,16100000,16000000,14400000,16100000,15100000,15300000,16500000,16500000,17100000,17100000,18000000,20000000,- -,19700000,21400000,46800000,44400000,40100000,- -,39600000,36576679,44200000,45100000,- -,44300000,41100000,41283244,44100000,42900000,- -,49979910,46501470,76392800,80057540,165747500,- -,104019972
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,38100000,36400000,36300000,39400000,38500000,38000000,39000000,40200000,40500000,41900000,41100000,42500000,- -,45800000,50100000,84900000,81900000,76100000,- -,74600000,81621835,103500000,108400000,- -,106000000,100900000,106699974,115900000,113900000,- -,121270560,124198396,176458400,181247570,280662980,- -,215755744
48,Accounts Payable,- -,- -,- -,- -,- -,- -,3000000,3500000,2600000,3200000,3000000,2400000,- -,3500000,3000000,4600000,3500000,3800000,- -,4200000,5599260,13200000,8200000,- -,7100000,5300000,8412245,7600000,7300000,- -,8256600,7048174,14712410,18497630,19960510,- -,23507719
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,3500000,- -,3500000,- -,- -,- -,2628664,- -,2007273,3420523,3111908,3123742,- -,2240202,7142858,3714286,1428571,1785714,- -,1071429,892857,6550000,2325000,5187689,- -,9361450
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1256780000,- -,1225723000,1129898000,- -,1064202000,818662000,- -,950024000,- -,1723543000,1396006000,5270465000,- -,2899075
52,Other Current Liabilities,7200000,7100000,6600000,8100000,6900000,6900000,4400000,3100000,3100000,3800000,1900000,1800000,- -,4200000,4600000,7200000,6400000,3971336,- -,3892727,4802799,7488092,-1251903742,- -,-1222163202,-1126840858,4059621,-1058330571,-814147714,- -,-945906049,4925051,-1713490730,-1386680530,-5263681859,- -,4897716
53,Total Current Liabilities,7200000,7100000,6600000,8100000,6900000,6900000,7400000,6600000,5700000,7000000,5900000,7700000,- -,11200000,7600000,11800000,9900000,10400000,- -,10100000,13822582,23800000,16200000,- -,12900000,15500000,16186152,14900000,13600000,- -,13445980,12866082,31314680,30148100,31931340,- -,40665960
54,Long-Term Debt,5400000,4700000,5300000,5200000,5100000,4000000,3000000,2000000,1300000,200000,300000,200000,- -,100000,8600000,28500000,25000000,18900000,- -,15800000,12384338,17500000,14400000,- -,11400000,4300000,3035714,6100000,4300000,- -,3214290,892857,28675000,26350000,93577540,- -,6437689
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,800000,1200000,1200000,1800000,1700000,1600000,1700000,1200000,1300000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,895019,- -,- -,- -,- -,- -,- -,1064202,1111755,- -,- -,- -,1723543,1516012,5270465,- -,- -
57,Other Non-Current Liabilities,-100000,- -,-100000,- -,-100000,- -,- -,3500000,3800000,2900000,5100000,5200000,- -,5300000,5400000,6000000,6900000,8900000,- -,8200000,8348131,7800000,6900000,- -,19200000,14500000,18319780,22235798,13388245,- -,29635380,27971943,27814587,26364818,44446375,- -,1144127
58,Total Non-Current Liabilities,6100000,5900000,6400000,7000000,6700000,5600000,4700000,6700000,6400000,5000000,5400000,5400000,- -,5400000,14000000,34500000,31900000,27800000,- -,24000000,21627488,25300000,21300000,- -,30600000,18800000,21355494,29400000,18800000,- -,32849670,28864800,58213130,54230830,143294380,- -,7581816
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138137751
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12342475,- -,12806929
61,Total Liabilities,13300000,13000000,13000000,15100000,13600000,12500000,12100000,13300000,12100000,12000000,11300000,13100000,- -,16600000,21600000,46300000,41800000,38200000,- -,34100000,35450070,49100000,37500000,- -,43500000,34300000,37541646,44300000,32400000,- -,46295650,41730882,89527810,84378930,175225720,- -,171221895
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,8300000,- -,6100000,1500000,900000,800000,900000,- -,17200000,17694851,18000000,22200000,- -,24400000,26200000,- -,28600000,28600000,- -,28932060,29146622,29501120,29994890,30651820,- -,- -
64,Retained Earnings,14000000,13600000,13800000,14900000,15500000,16100000,17700000,18000000,19500000,20900000,22100000,21800000,- -,24200000,28200000,38600000,40900000,42600000,- -,44400000,50335658,58300000,66300000,- -,68700000,67600000,73200362,78700000,83000000,- -,87680670,95631216,97921900,109671360,120189110,- -,122840131
65,Other Comprehensive Income/Loss,-15500000,-17000000,-15200000,-15400000,-16500000,-13500000,-10400000,-9600000,-10000000,-11000000,-600000,-1400000,- -,-2200000,-2400000,-13000000,-1700000,-5619200,- -,-4564236,-5203703,-5207240,-651531,- -,-13036206,-8821958,-13436090,-16615265,-11017679,- -,-22532095,-23204601,-21386713,-22628515,-25234571,- -,-29496751
66,Other Total Stockholders Equity,26300000,26800000,24700000,24800000,25900000,22900000,19600000,18500000,18900000,20000000,300000,700000,- -,1100000,1200000,12000000,100000,22046,- -,-16528196,-16655041,-16701555,-17031201,- -,-17582229,-18380738,- -,-19102636,-19077470,- -,-19105728,-19105723,-19105717,-20169096,-20169102,- -,10963079
67,Total Stockholders Equity,24800000,23400000,23300000,24300000,24900000,25500000,26900000,26900000,28400000,29900000,29800000,29400000,- -,29200000,28500000,38500000,40100000,37902846,- -,40507568,46171765,54391205,70817268,- -,62481565,66597304,69158328,71582099,81504851,- -,74974907,82467514,86930590,96868639,105437257,- -,104306459
68,Total Liabilities And Stockholders Equity,38100000,36400000,36300000,39400000,38500000,38000000,39000000,40200000,40500000,41900000,41100000,42500000,- -,45800000,50100000,84800000,81900000,76102846,- -,74607568,81621835,103491205,108317268,- -,105981565,100897304,106699974,115882099,113904851,- -,121270557,124198396,176458400,181247569,280662977,- -,275528354
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,-2846,- -,-7568,- -,8795,82732,- -,18435,2696,- -,17901,-4851,- -,3,- -,- -,1,3,- -,-59772610
70,Total Liabilities & Equity,38100000,36400000,36300000,39400000,38500000,38000000,39000000,40200000,40500000,41900000,41100000,42500000,- -,45800000,50100000,84900000,81900000,76100000,- -,74600000,81621835,103500000,108400000,- -,106000000,100900000,106699974,115900000,113900000,- -,121270560,124198396,176458400,181247570,280662980,- -,215755744
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110796000002/0000031107-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110797000003/0000031107-97-000003-index.html,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110798000003/0000031107-98-000003-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110799000002/0000031107-99-000002-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110701000003/0000031107-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110702000004/0000031107-02-000004-index.html,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110708000027/form10k2007.htm,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110709000023/0000031107-09-000023-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110710000022/0000031107-10-000022-index.html,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110713000006/0000031107-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110714000006/form10k2013.htm,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110715000010/fm10k2014.htm,https://www.sec.gov/Archives/edgar/data/31107/000003110717000008/0000031107-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110718000010/0000031107-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110719000011/0000031107-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110720000008/0000031107-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/31107/000165495421002839/0001654954-21-002839-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2600000,1800000,- -,2600000,1600000,2800000,2800000,1500000,2800000,2600000,2500000,900000,- -,3700000,5400000,7100000,3900000,3300000,- -,3400000,4367187,9700000,10100000,- -,4500000,1000000,5504930,8600000,6900000,- -,7661480,7785323,5045260,14505940,13266140,- -,5405522
74,Depreciation and Amortization,2600000,2900000,- -,2800000,3100000,2700000,2300000,2200000,2300000,2500000,2600000,3000000,- -,3000000,2900000,3639384,4460704,3565460,- -,3619328,3459747,3745693,4369998,- -,4128312,4103317,3707216,3439800,3825286,- -,3486302,3814393,4719185,5329208,6454881,- -,8477512
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,300000,-800000,500000,700000,300000,- -,- -,-100000,-100000,659300,461200,454200,- -,390788,-27293,-119413,-404618,- -,286046,235788,1857885,1101701,531023,- -,229226,- -,1198020,947851,-2093654,- -,-2118551
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354501,493767,656925,- -,849226
77,Change in Working Capital,- -,2000000,- -,-100000,1300000,-700000,-700000,2000000,600000,100000,-600000,-2400000,- -,100000,6200000,1600000,1300000,-2000000,- -,-700000,4522574,4277426,11600000,- -,1700000,-4500000,1030578,7669422,500000,- -,444670,4725504,3920076,2291010,11942210,- -,-11914328
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1573393,-2470834,307524,1776744,- -,-207631,-1062654,-2574823,-3483484,5982435,- -,-488156
79,Inventory,- -,- -,- -,- -,- -,- -,-600000,200000,-600000,1600000,-2300000,900000,- -,-1600000,-500000,69855,-1485460,2191677,- -,-270871,-88147,-5601588,-1923947,- -,-1099265,6671197,-1825171,586576,-1400893,- -,-2825155,2514371,152130,-5356646,1463409,- -,767796
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-889663,-253994,- -,998502,-1755159,892439,4106130,-2337146,- -,3160622
81,Other Working Capital,13300000,15300000,- -,15200000,16500000,15800000,15100000,17100000,17700000,17800000,17200000,14800000,- -,14900000,21100000,26300000,27600000,25600000,- -,24900000,31222574,35500000,47100000,- -,48800000,44300000,49230578,56900000,57400000,- -,57844670,64830844,68750920,71041930,82984140,- -,71069812
82,Other Non-Cash Items,-5200000,-6700000,- -,-5300000,-6000000,-4800000,-400000,-1800000,-3000000,-2100000,900000,1000000,- -,-500000,-6100000,-2588998,-3160867,6048063,- -,-339899,-7123810,-9740752,-16905302,- -,-3001133,12504453,-10654153,-7165091,-439273,- -,-2474494,-3909980,-4056860,-10691714,-7268338,- -,19989381
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,4300000,3100000,3200000,3800000,5700000,2500000,- -,6200000,8300000,10409686,6961037,11367723,- -,6370217,5198405,7862954,8760078,- -,7613225,13343558,1446456,13645832,11317036,- -,9347184,12415240,11180182,12876062,22958164,- -,20688762
84,CAPEX,- -,- -,- -,- -,- -,- -,-3800000,-1600000,-1400000,-2800000,-3300000,-2900000,- -,-2200000,-4400000,-5065275,-1894723,-1559863,- -,-2763130,-1750252,-6721581,-2867829,- -,-2331341,-2226025,-3394726,-4216970,-5523742,- -,-3633165,-2863470,-2762949,-5410545,-5440488,- -,-3098983
