,https://roic.ai/company/CIH,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1744000,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,4212000
45,Total Non-Current Assets,- -,5075000,3932000,52468000,48458000,44528000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,244927000,186331000,425173000,757981000,480797000
48,Accounts Payable,- -,3690000,5184000,7844000,9343000,11465000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,22608000,14480000,23396000,26737000,25474000
51,Deferred Revenue,- -,137860000,143254000,203531000,224141000,216188000
52,Other Current Liabilities,- -,77379000,94692000,115380000,117566000,137431000
53,Total Current Liabilities,- -,218929000,243130000,326755000,351050000,365084000
54,Long-Term Debt,- -,- -,- -,37679000,27427000,29570000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,15496000,39757000,56086000,75288000
58,Total Non-Current Liabilities,- -,- -,15496000,77436000,83513000,104858000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,37679000,27427000,29570000
61,Total Liabilities,- -,218929000,258626000,404191000,434563000,469942000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,25820000,-72522000,663000,663000,663000
64,Retained Earnings,- -,25820000,-72522000,20145000,323092000,-5177000
65,Other Comprehensive Income/Loss,- -,178000,227000,220000,1496000,14043000
66,Other Total Stockholders Equity,- -,-25820000,72522000,-46000,-42000,-39000
67,Total Stockholders Equity,- -,25998000,-72295000,20982000,325209000,9490000
68,Total Liabilities And Stockholders Equity,- -,244927000,186331000,425173000,759772000,479432000
69,Minority Interest,- -,- -,- -,- -,-1791000,1365000
70,Total Liabilities & Equity,- -,244927000,186331000,425173000,757981000,480797000
71,SEC Link,undefined,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,111030000,128153000,165420000,245451000,294339000,- -
74,Depreciation and Amortization,765000,697000,1188000,1119000,- -,- -
75,Deferred Income Tax,2899000,- -,- -,- -,- -,- -
76,Stock Based Compensation,4626000,6283000,6808000,8234000,- -,- -
77,Change in Working Capital,35577000,59150000,33951000,68969000,- -,- -
78,Accounts Receivable,-4136000,-2308000,-7239000,-13551000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1291000,1770000,1494000,2660000,- -,- -
81,Other Working Capital,26922000,38651000,29106000,68223000,- -,- -
82,Other Non-Cash Items,- -,-2171000,-4848000,10266000,-294339000,- -
83,Cash Provided by Operating Activities,154897000,192112000,202519000,334039000,- -,- -
84,CAPEX,-3261000,-2121000,-65000,-63000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-500000000,-1300000000,-340000000,- -,- -
87,Sales/Maturities of Investments,- -,502129000,1304842000,215714000,- -,- -
88,Other Investing Activites,- -,112000,26000,1000,- -,- -
89,Cash Used for Investing Activites,-3261000,120000,4803000,-124348000,- -,- -
90,Debt Repayment,-190000000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,390321000,-332936000,-274385000,-160194000,- -,- -
95,Cash Used/Provided by Financing Activities,200321000,-332936000,-274385000,-160194000,- -,- -
96,Effect of Forex Changes on Cash,129000,-91000,77000,377000,- -,- -
97,Net Change In Cash,352086000,-140795000,-66986000,49874000,- -,- -
98,Cash at the End of Period,371983000,231188000,164202000,214076000,- -,- -
99,Cash at the Beginning of Period,19897000,371983000,231188000,164202000,- -,- -
100,Free Cash Flow,151636000,189991000,202454000,333976000,- -,- -
101,SEC Link,- -,- -,- -,- -,- -,undefined
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
