,https://roic.ai/company/TZOO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,- -,3200000,4932916,8371572,14252408,22646232,35902086,39772000,58287000,78293000,80265000,89272000,133320000,125679000,155956000,121026000,134570000,117484000,101979000,103084000,101948000,64754000,64025000
12,Interest Income ,- -,- -,- -,2702,3971,13192,126499,960772,1249000,1309000,298000,61000,166000,383000,305000,429000,141000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,138628,194373,163284,161329,166957,131000,193000,667000,1992000,2389000,2725000,2539000,2980000,2824000,2788000,2530000,2075000,1828000,1318000,2314000,1820000
15,EBITDA,29000,105000,362000,1023631,1620054,3915309,11321151,15983092,31136000,22304000,4576000,14450000,25870000,18049000,28337000,5687000,24015000,8692000,13411000,8731000,10114000,10267000,-13547000,3585000
16,EBITDA ratio,0.3452,0.1101,0.0916,0.1665,0.1645,0.2176,0.3361,0.3148,0.4478,0.2826,0.0562,0.1538,0.2294,0.1217,0.1875,0.0359,0.1690,0.0613,0.1043,0.0820,0.0909,0.0922,-0.2527,0.0572
17,Operating Income,- -,- -,750000,882301,1421710,3738833,11033000,14870055,29753000,20624000,3111000,13708000,23512000,15022000,25489000,2278000,21050000,7146000,11068000,4545000,8238000,9464000,-14073000,915000
18,Operating Income ratio,- -,- -,0.1899,0.1435,0.1444,0.2078,0.3276,0.2929,0.4279,0.2614,0.0382,0.1459,0.2085,0.1013,0.1686,0.0144,0.1482,0.0504,0.0861,0.0427,0.0740,0.0849,-0.2626,0.0146
19,Total Other Income Expenses (Gains),- -,- -,- -,2702,3971,13192,126822,946080,1252000,1487000,798000,-17000,-31000,302000,309000,429000,141000,-1242000,-187000,173000,48000,-515000,455000,1778000
20,Income Before Tax,- -,- -,- -,885003,1425681,3752025,11159822,15816135,31005000,22111000,3909000,13691000,23481000,15324000,25798000,2707000,21191000,5904000,10881000,4718000,8286000,8949000,-13618000,2693000
21,Income Before Tax Ratio,- -,- -,- -,0.1440,0.1448,0.2085,0.3314,0.3115,0.4460,0.2802,0.0480,0.1457,0.2082,0.1033,0.1707,0.0171,0.1492,0.0417,0.0846,0.0443,0.0744,0.0803,-0.2541,0.0429
22,Income Tax expense (Gain),- -,- -,- -,521268,572610,1701899,5122445,7853118,14202000,13002000,8025000,7273000,10324000,12005000,7600000,7718000,4839000,-4960000,4250000,3126000,3625000,4794000,-2438000,1778000
23,Net Income,29000,105000,362000,363735,853071,2050126,6037377,7963017,16803000,9109000,-4116000,5185000,13157000,3319000,18198000,-5011000,16352000,10864000,6631000,3530000,4661000,4155000,-13423000,-13000
24,Net Income ratio,0.3452,0.1101,0.0916,0.0592,0.0866,0.1140,0.1793,0.1568,0.2417,0.1154,-0.0506,0.0552,0.1167,0.0224,0.1204,-0.0317,0.1151,0.0767,0.0516,0.0331,0.0419,0.0373,-0.2504,-0.0002
25,EPS,0.00,0.01,0.02,0.02,0.04,0.11,0.36,0.49,1.08,0.61,-0.29,0.53,0.80,0.20,1.15,-0.33,1.11,0.74,0.47,0.27,0.38,0.35,-1.18,-0.00
26,EPS Diluted,0.00,0.01,0.02,0.02,0.04,0.10,0.33,0.45,1.01,0.57,-0.29,0.52,0.80,0.20,1.14,-0.33,1.10,0.74,0.47,0.27,0.37,0.34,-1.18,-0.00
27,Weighted Average Shares Outstanding,9432000,19323000,19373000,19425147,19425147,19425147,16879227,16249231,15503000,14847000,14273000,16408000,16444000,16315000,15866000,15269000,14768000,14722000,13997000,12882000,12323000,11809000,11344000,11344000
28,Weighted Average Shares Outstanding Diluted,9432000,19355000,19467000,19425147,19896353,20526951,18474775,17730876,16712000,16074000,14273000,16416000,16453000,16414000,15901000,15269000,14809000,14722000,13997000,12894000,12510000,12035000,11344000,11344000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133311/000095013403004824/0000950134-03-004824-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013704002303/0000950137-04-002303-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013705003969/0000950137-05-003969-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013706003129/0000950137-06-003129-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000089161807000161/0000891618-07-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000089161808000169/0000891618-08-000169-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013409005463/0000950134-09-005463-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095012310025134/0000950123-10-025134-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095012311025992/0000950123-11-025992-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000119312512067884/0001193125-12-067884-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000144530513000195/0001445305-13-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331114000009/0001133311-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331115000006/0001133311-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331116000050/0001133311-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331117000010/0001133311-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331118000007/0001133311-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331119000008/0001133311-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331120000011/0001133311-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000162828021006272/0001628280-21-006272-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331122000012/0001133311-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12000,11000,46000,609919,1258273,3521637,26434989,24468732,33415000,22641000,14179000,19776000,41184000,38744000,61169000,66223000,54812000,35128000,26838000,22553000,18017000,19505000,63061000,43815000
32,Short-Term Investments,- -,- -,- -,- -,22339,97086,10031738,19887487,- -,- -,- -,- -,- -,278000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12000,11000,46000,609919,1280612,3618723,36466727,44356219,33415000,22641000,14179000,19776000,41184000,39022000,61169000,66223000,54812000,35128000,26838000,22553000,18017000,19505000,63061000,43815000
34,Net Receivables,- -,- -,- -,892337,1311399,2369915,5327279,9020363,7274000,10968000,11582000,17340000,13554000,16965000,13626000,13986000,14608000,16398000,14415000,11769000,12646000,13006000,4519000,14871000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,115738,196222,356888,1228233,1679089,2663000,2648000,4041000,2208000,3029000,3877000,11525000,21265000,7943000,5535000,3213000,2917000,2503000,3599000,2464000,6437000
37,Total Current Assets,- -,- -,- -,1617994,2788233,6345526,43022239,55055671,43352000,36257000,29802000,39324000,57767000,59864000,86320000,101474000,77363000,57061000,44466000,37239000,33166000,36110000,70044000,65123000
38,PP&E,- -,- -,- -,137200,142091,164034,108399,158767,172000,622000,4259000,4089000,3425000,3557000,4314000,8245000,9022000,7905000,6158000,4921000,3790000,11868000,9888000,8359000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10944000,10944000
40,Intangible Assets,- -,- -,- -,360238,212293,146793,83563,19887,34000,58000,45000,1411000,1058000,704000,986000,404000,163000,- -,- -,- -,- -,- -,4534000,3426000
41,Intangible Assets,- -,- -,- -,360238,212293,146793,83563,19887,34000,58000,45000,1411000,1058000,704000,986000,404000,163000,- -,- -,- -,- -,- -,15478000,14370000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2694000,2484000,- -,- -
43,Tax Assets,- -,- -,- -,15298,32054,27552,43237,28232,- -,- -,- -,52000,349000,344000,1710000,2032000,1460000,1769000,1052000,1516000,1645000,2051000,5067000,3949000
44,Other Non-Current Assets,- -,- -,- -,- -,64923,42525,- -,189674,142000,349000,1216000,1256000,3403000,3879000,4503000,2647000,2480000,1844000,1854000,1996000,2129000,2025000,1923000,7926000
45,Total Non-Current Assets,- -,- -,- -,512736,451361,380904,235199,396560,348000,1029000,5520000,6808000,8235000,8484000,11513000,13328000,13125000,11518000,9064000,8433000,10258000,18428000,32356000,34604000
46,Other Assets,107000,405000,1556000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,107000,405000,1556000,2130730,3239594,6726430,43257438,55452231,43700000,37286000,35322000,46132000,66002000,68348000,97833000,114802000,90488000,68579000,53530000,45672000,43424000,54538000,102400000,99727000
48,Accounts Payable,- -,- -,- -,175351,442349,223627,439425,2372650,2839000,4960000,6605000,6834000,9931000,21731000,28695000,31766000,23008000,23655000,19714000,19105000,17129000,20406000,6996000,3411000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5658000,- -,- -,- -,5301000,6436000,3180000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000,279000,- -,- -,574000,477000,691000,961000,489000,914000,326000,3325000
51,Deferred Revenue,- -,- -,- -,- -,19179,22312,91137,295878,750000,450000,703000,828000,1325000,2282000,2698000,1578000,1192000,1085000,719000,825000,1339000,896000,2688000,1733000
52,Other Current Liabilities,- -,- -,- -,1017496,987112,2639411,2464269,4250204,3291000,4645000,5087000,4412000,6948000,6590000,12273000,37218000,12102000,10617000,9390000,9663000,8342000,8391000,66750000,79560000
53,Total Current Liabilities,- -,- -,- -,1192847,1448640,2885350,2994831,6918732,6880000,10055000,12395000,12074000,18204000,30603000,43666000,70562000,36302000,41015000,29823000,29593000,26810000,34994000,82870000,87884000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,814000,9111000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3000,- -,465000,533000,- -,2225000,10030000,10436000,10936000,3000000,- -,373000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1329000,1699000,2754000,1909000,761000,798000,2469000,3436000,3177000,5643000,2628000,2555000,8681000,12216000,2364000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3000,1329000,2164000,3287000,1909000,2986000,10828000,12905000,14372000,6177000,5643000,3001000,2555000,8681000,13030000,11475000
59,Other Liabilities,18000,211000,982000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13539000,14361000,- -
61,Total Liabilities,18000,211000,982000,1192847,1448640,2885350,2994831,6918732,6883000,11384000,14559000,15361000,20113000,33589000,54494000,83467000,50674000,47192000,35466000,32594000,29365000,43675000,95900000,99359000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,78173,194251,194251,162332,162505,153000,143000,143000,164000,164000,164000,163000,163000,163000,150000,135000,125000,120000,115000,114000,126000
64,Retained Earnings,- -,- -,- -,859710,1712781,3762907,9800284,17763301,34566000,25939000,21823000,27008000,40165000,43484000,42948000,37117000,53122000,17386000,21716000,16550000,18153000,14200000,-406000,508000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-248976,-346525,-441934,-37771,22000,-180000,-1388000,-1173000,-1038000,-1422000,-737000,-530000,-2997000,-3908000,-3787000,-3597000,-4214000,-3452000,-4059000,-3793000
66,Other Total Stockholders Equity,89000,194000,574000,- -,132898,230447,30741925,30645464,2076000,- -,185000,4772000,6598000,-7467000,965000,-5415000,-10474000,7759000,- -,- -,- -,- -,6242000,- -
67,Total Stockholders Equity,89000,194000,574000,937883,1790954,3841080,40262607,48533499,36817000,25902000,20763000,30771000,45889000,34759000,43339000,31335000,39814000,21387000,18064000,13078000,14059000,10863000,1891000,-4232000
68,Total Liabilities And Stockholders Equity,107000,405000,1556000,2130730,3239594,6726430,43257438,55452231,43700000,37286000,35322000,46132000,66002000,68348000,97833000,114802000,90488000,68579000,53530000,45672000,43424000,54538000,97791000,95127000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4609000,4600000
70,Total Liabilities & Equity,107000,405000,1556000,2130730,3239594,6726430,43257438,55452231,43700000,37286000,35322000,46132000,66002000,68348000,97833000,114802000,90488000,68579000,53530000,45672000,43424000,54538000,102400000,99727000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133311/000095013403004824/0000950134-03-004824-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013704002303/0000950137-04-002303-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013705003969/0000950137-05-003969-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013706003129/0000950137-06-003129-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000089161807000161/0000891618-07-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000089161808000169/0000891618-08-000169-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013409005463/0000950134-09-005463-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095012310025134/0000950123-10-025134-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095012311025992/0000950123-11-025992-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000119312512067884/0001193125-12-067884-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000144530513000195/0001445305-13-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331114000009/0001133311-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331115000006/0001133311-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331116000050/0001133311-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331117000010/0001133311-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331118000007/0001133311-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331119000008/0001133311-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331120000011/0001133311-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000162828021006272/0001628280-21-006272-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331122000012/0001133311-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,363735,853071,2050126,6037377,7963017,16803000,9109000,-4116000,5185000,13157000,3319000,18198000,-5011000,16352000,10864000,6631000,3530000,4661000,4155000,-13423000,902000
74,Depreciation and Amortization,- -,- -,- -,138628,194373,163284,161329,166957,131000,193000,667000,1992000,2389000,2725000,2539000,2980000,2824000,2788000,2530000,2075000,1828000,1318000,2314000,1820000
75,Deferred Income Tax,- -,- -,- -,28196,-33018,-139455,-181310,-676440,-929000,584000,769000,139000,-1276000,-605000,-2178000,706000,304000,-269000,-199000,309000,-336000,258000,-3413000,813000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000,750000,750000,1207000,1384000,982000,401000,933000,1006000,915000,993000,6203000,3748000
77,Change in Working Capital,- -,- -,- -,344528,914446,2120583,36567232,8109531,-11664939,-10270000,-8795000,9843000,12313000,-10302000,13393000,-11742000,10149000,-25015000,-1403000,-6997000,-1290000,-5240000,-13942000,-9935000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-197000,-2323000,-146000,-285000,-173000,-1154000,-789000,1313000,3065000,-1519000,-728000,6196000,425000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,877000,3232000,12074000,6403000,2826000,-6883000,-1139000,-2463000,-1588000,-25000,3061000,-748000,-3311000
81,Other Working Capital,- -,- -,- -,425147,1339593,3460176,40027408,48136939,36472000,26202000,17407000,27250000,39563000,29261000,42654000,30912000,41061000,16046000,14643000,7646000,6356000,1116000,-12826000,-22761000
82,Other Non-Cash Items,- -,- -,- -,-104389,-1159772,-1811032,-38049300,-7438220,12967939,10278000,8150000,-12128000,-3408000,19744000,3541000,28535000,-29081000,15423000,230000,2153000,-461000,9752000,69280000,-5431000
83,Cash Provided by Operating Activities,- -,- -,- -,770698,769100,2383506,4535328,8124845,17308000,9894000,-3325000,5125000,23925000,15631000,36700000,16852000,1530000,4192000,8722000,2076000,5317000,11236000,47019000,-8083000
84,CAPEX,- -,- -,- -,-156365,-120746,-120142,-39776,-155707,-153000,-663000,-3867000,-3752000,-1279000,-2460000,-3421000,-5461000,-3260000,-1282000,-909000,-738000,-752000,-474000,-253000,-29000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2061000,- -,- -,- -,- -,- -,- -,- -,- -,-3083000,-673000,1928000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-10031738,-49500165,-14663000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-430000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,39693099,35000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-125000,- -,- -,-2688,- -,- -,- -,-875000,-3821000,-2248000,- -,-949000,1786000,200000,64000,- -,2890000,150000,- -,822000,133000
89,Cash Used for Investing Activites,- -,- -,- -,-156365,-120746,-120142,-10074202,-9962773,20184000,-663000,-4742000,-3752000,-3527000,-2460000,-3693000,-3675000,-3060000,-1218000,-909000,2152000,-3685000,-1147000,2067000,104000
90,Debt Repayment,- -,- -,- -,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3635000,-5658000,- -,- -,- -,-9500000,-2458000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,28452226,34550,- -,- -,75000,- -,- -,- -,-11509000,- -,- -,- -,- -,- -,- -,- -,- -,-5560000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-123729,-28579000,-19822000,- -,- -,- -,-15123000,-11510000,-7764000,-5855000,-1569000,-9662000,-9712000,-5292000,-10816000,-1205000,-5488000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000,4219000,1076000,308000,11509000,-688000,-479000,-14808000,58000,- -,- -,1710000,3723000,2348000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-50000,- -,- -,28452226,-89179,-28579000,-19822000,185000,4219000,1076000,-14815000,-11510000,-8452000,-6334000,-20012000,-15262000,-9712000,-5292000,-9106000,-6982000,-11158000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-39150,33000,-183000,-580000,5000,-66000,-796000,928000,329000,-3547000,-3251000,-841000,1199000,-880000,266000,1571000,-259000
97,Net Change In Cash,- -,- -,- -,564333,648354,2263364,22913352,-1966257,8946000,-10774000,-8462000,5597000,21408000,-2440000,22425000,5054000,-11411000,-20289000,-8290000,-4285000,-4540000,1249000,43675000,-19396000
98,Cash at the End of Period,- -,- -,- -,609919,1258273,3521637,26434989,24468732,33415000,22641000,14179000,19776000,41184000,38744000,61169000,66223000,54812000,35128000,26838000,22553000,19461000,20710000,64385000,44989000
99,Cash at the Beginning of Period,- -,- -,- -,45586,609919,1258273,3521637,26434989,24469000,33415000,22641000,14179000,19776000,41184000,38744000,61169000,66223000,55417000,35128000,26838000,24001000,19461000,20710000,64385000
100,Free Cash Flow,- -,- -,- -,614333,648354,2263364,4495552,7969138,17155000,9231000,-7192000,1373000,22646000,13171000,33279000,11391000,-1730000,2910000,7813000,1338000,4565000,10762000,46766000,-8112000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1133311/000095013403004824/0000950134-03-004824-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013704002303/0000950137-04-002303-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013705003969/0000950137-05-003969-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013706003129/0000950137-06-003129-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000089161807000161/0000891618-07-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000089161808000169/0000891618-08-000169-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095013409005463/0000950134-09-005463-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095012310025134/0000950123-10-025134-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000095012311025992/0000950123-11-025992-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000119312512067884/0001193125-12-067884-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000144530513000195/0001445305-13-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331114000009/0001133311-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331115000006/0001133311-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331116000050/0001133311-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331117000010/0001133311-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331118000007/0001133311-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331119000008/0001133311-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331120000011/0001133311-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000162828021006272/0001628280-21-006272-index.htm,https://www.sec.gov/Archives/edgar/data/1133311/000113331122000012/0001133311-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
