,https://roic.ai/company/ITPOF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,13694490,11404088,15561232,18990811,27292242,30800589,34965577,52716287,29943000,58627000,16277000,35552000,45579000,43692000,54549000,24396000,29209000,-22633000,-10374000,-24590000,31306000,37418000,38206000,64878000,70815000,75709000,80855000,77333000,92538000,115774000,150953000
18,Operating Income ratio,0.1380,0.1274,0.1535,0.1506,0.1652,0.1556,0.1437,0.1402,0.0525,0.0897,0.0274,0.0591,0.0734,0.0631,0.0678,0.0300,0.0381,-0.0307,-0.0169,-0.0341,0.0398,0.0477,0.0489,0.0798,0.0906,0.0936,0.0900,0.0734,0.0799,0.0954,0.0986
19,Total Other Income Expenses (Gains),-6397426,-3301183,-3192048,-2298888,-2299347,-1300025,-21179150,-12474847,-22149000,-21705000,-38911000,-102773000,-31526000,-61983000,-25230000,-221803000,-25285000,-66726000,- -,- -,-20432000,-14536000,-6653000,-6159000,-3160000,-5003000,-3848000,-20882000,-35004000,-23198000,-56884000
20,Income Before Tax,7297064,8102905,12369184,16691923,24992895,29500564,13786427,40241440,7794000,36922000,-22634000,-67221000,14053000,-18291000,29319000,-197407000,3924000,-89359000,-10374000,-24590000,10874000,22882000,31553000,58719000,67655000,70706000,77007000,56451000,57534000,92576000,94069000
21,Income Before Tax Ratio,0.0735,0.0905,0.1220,0.1323,0.1512,0.1490,0.0567,0.1070,0.0137,0.0565,-0.0380,-0.1117,0.0226,-0.0264,0.0364,-0.2430,0.0051,-0.1212,-0.0169,-0.0341,0.0138,0.0292,0.0404,0.0722,0.0865,0.0874,0.0857,0.0536,0.0497,0.0763,0.0614
22,Income Tax expense (Gain),3498593,3601291,5087326,6496856,9197385,8600164,4295771,11670018,-304000,3500000,-10392000,-12767000,-4125000,-29749000,1528000,-30714000,12317000,3440000,4015000,31855000,1920000,375000,-35804000,22903000,10983000,19569000,13049000,9802000,16310000,19121000,24064000
23,Net Income,3798471,4501614,7281858,10195067,15795510,20900400,9490656,28571423,8098000,33422000,-12242000,-54454000,18178000,11358000,27791000,-166693000,-8393000,-92799000,-14389000,-56445000,8954000,22507000,67357000,35816000,56672000,51120000,64224000,46753000,41216000,72670000,67813000
24,Net Income ratio,0.0383,0.0503,0.0719,0.0808,0.0956,0.1056,0.0390,0.0760,0.0142,0.0511,-0.0206,-0.0905,0.0293,0.0164,0.0345,-0.2052,-0.0109,-0.1259,-0.0234,-0.0783,0.0114,0.0287,0.0862,0.0441,0.0725,0.0632,0.0715,0.0444,0.0356,0.0599,0.0443
25,EPS,0.27,0.23,0.36,0.51,0.75,0.86,0.38,1.14,0.29,1.18,-0.43,-1.66,0.51,0.28,0.67,-4.07,-0.19,-1.57,-0.24,-0.96,0.15,0.38,1.12,0.59,0.97,0.87,1.09,0.79,0.70,1.23,1.15
26,EPS Diluted,0.27,0.23,0.36,0.48,0.71,0.82,0.37,1.09,0.29,1.16,-0.43,-1.66,0.50,0.27,0.67,-4.07,-0.19,-1.57,-0.24,-0.96,0.15,0.37,1.09,0.58,0.97,0.85,1.08,0.79,0.70,1.22,1.15
27,Weighted Average Shares Outstanding,14070667,19478947,20275169,18040423,21061606,21950047,18194815,25121627,27924138,28323729,28469767,32803614,35643137,40564286,41479104,40956511,44173684,59000000,58951050,58953550,58961050,59072407,60379533,60718776,58667535,58727751,58921101,58815526,58798488,59010485,59010485
28,Weighted Average Shares Outstanding Diluted,14070667,19478947,20275169,19167983,22248093,22921288,18881411,26168362,27924138,28812069,28469767,32803614,36356000,42066667,41479104,40956511,44173684,59000000,58951050,58953550,59099198,60629136,61632652,62060923,58667535,60369227,59466667,59084175,58989134,59630873,59010485
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21882000,10134000,17299000,15529000,15390000,3671000,3968000,4345000,5891000,2500000,8342000,17615000,20956000,9093000,18651000,7047000,16467000,26292000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,497000,- -,- -,- -,- -,1438000,1270000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22379000,10134000,17299000,15529000,15390000,5109000,5238000,4345000,5891000,2500000,8342000,17615000,20956000,9093000,18651000,7047000,16467000,26292000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96370000,101149000,115009000,141565000,99099000,94397000,79560000,77213000,90786000,87492000,79238000,83938000,86561000,82093000,95934000,115488000,142366000,144433000,172099000,222410000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73346000,83109000,90677000,120401000,87469000,112838000,104965000,94204000,107759000,105305000,106352000,107893000,110570000,115816000,119838000,146804000,190675000,184937000,194516000,280323000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10281000,10606000,22915000,24548000,17601000,14753000,12101000,15702000,12205000,6581000,7486000,7690000,8240000,5123000,5509000,7334000,11314000,11030000,11184000,13684000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179997000,194864000,250980000,296648000,221468000,237517000,212016000,192228000,215988000,203723000,198967000,202021000,213713000,220647000,242237000,278719000,363006000,347447000,394266000,542709000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351530000,354627000,352610000,362827000,322867000,317866000,289763000,274470000,241445000,203648000,185592000,181612000,188146000,198085000,233478000,313520000,377076000,415311000,415214000,459356000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184756000,63746000,70250000,- -,- -,- -,- -,- -,- -,- -,7476000,30841000,41690000,107714000,107677000,132894000,151834000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158639000,173056000,179958000,- -,- -,- -,3956000,3550000,2344000,3137000,1980000,1597000,1581000,12568000,34050000,47318000,122389000,38014000,124274000,138725000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158639000,173056000,179958000,184756000,63746000,70250000,3956000,3550000,2344000,3137000,1980000,1597000,1581000,20044000,64891000,89008000,230103000,- -,257168000,290559000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,853000,552000,253000,- -,1629000,2738000,4210000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3812000,36689000,24014000,57404000,53990000,47067000,43736000,23143000,33489000,36016000,76319000,60078000,45308000,36611000,27627000,25069000,- -,29677000,24579000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13178000,12886000,16474000,21071000,26901000,23176000,22364000,21869000,23185000,2726000,2744000,3098000,2905000,3178000,1751000,4260000,5376000,262982000,13310000,16549000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,523347000,544381000,585731000,592668000,470918000,465282000,363150000,343625000,290117000,243000000,227185000,263178000,252963000,266615000,338360000,437153000,641834000,678293000,715369000,791043000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,703344000,739245000,836711000,889316000,692386000,702799000,575166000,535853000,506105000,446723000,426152000,465199000,466676000,487262000,580597000,715872000,1004840000,1025740000,1109635000,1333752000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80916000,95270000,97849000,104256000,81467000,88866000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144851000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37841000,30869000,3032000,17784000,19743000,3074000,623000,1721000,2837000,3147000,9688000,8703000,5669000,5702000,7604000,14979000,14389000,26319000,26219000,18119000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1014000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78249000,68228000,85145000,75924000,77531000,78282000,79819000,84435000,104067000,128459000,162166000,5900000,202437000,331469000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118757000,126139000,100881000,122040000,101210000,91940000,78872000,69949000,87982000,79071000,87219000,86985000,85488000,90137000,111671000,143438000,176555000,178084000,228656000,349588000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283498000,235066000,331095000,328113000,310734000,240285000,250802000,215281000,218177000,191142000,141611000,121111000,117590000,147134000,172221000,264484000,485596000,445158000,463745000,537142000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,641000,- -,- -,- -,2525000,3036000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4446000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9332000,13769000,42321000,- -,37347000,38925000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3550000,530000,435000,4748000,6724000,10564000,12175000,12820000,13112000,39332000,43488000,26675000,36098000,33263000,43789000,39459000,38940000,- -,60680000,52813000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291494000,235596000,331530000,332861000,317458000,250849000,262977000,228101000,231289000,230474000,185099000,147786000,153688000,180397000,225983000,317712000,566857000,445158000,564297000,631916000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020586000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410251000,361735000,432411000,454901000,418668000,342789000,341849000,298050000,319271000,309545000,272318000,234771000,239176000,270534000,337654000,461150000,743412000,753512000,792953000,981504000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239185000,286841000,289180000,- -,- -,- -,- -,348143000,348148000,348148000,351702000,359201000,357840000,347325000,351203000,350759000,350267000,354559000,354880000,358953000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50113000,68291000,79609000,107161000,-59532000,-67482000,-160533000,-174909000,-231354000,-228774000,-217462000,-148500000,-146720000,-133216000,-124605000,-106687000,-95814000,-87899000,-51114000,-18113000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3795000,19228000,35511000,33830000,36141000,67462000,32552000,50408000,54915000,1193000,3208000,-770000,-8113000,-20679000,-19647000,-13469000,-21680000,-22702000,-21886000,-25749000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3150000,- -,602240000,634974000,779402000,758034000,14161000,15125000,16611000,16386000,20497000,24493000,23298000,29585000,17530000,17074000,16782000,22776000,23070000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293093000,377510000,404300000,434415000,273718000,360010000,233317000,237803000,186834000,137178000,153834000,230428000,227500000,216728000,236536000,248133000,249847000,260740000,304656000,338161000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,703344000,739245000,836711000,889316000,692386000,702799000,575166000,535853000,506105000,446723000,426152000,465199000,466676000,487262000,574190000,709283000,993259000,1014252000,1097609000,1319665000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6407000,6589000,11581000,11488000,12026000,14087000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,703344000,739245000,836711000,889316000,692386000,702799000,575166000,535853000,506105000,446723000,426152000,465199000,466676000,487262000,580597000,715872000,1004840000,1025740000,1109635000,1333752000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3798471,4501614,7281858,10195067,15795510,20900400,9490656,28571423,8098000,33422000,-12242000,-54454000,18178000,11358000,27791000,-166693000,-8393000,-92799000,-14389000,-56445000,8954000,22507000,67357000,35816000,56672000,51120000,64224000,46753000,41216000,72670000,67813000
74,Depreciation and Amortization,6097547,6602367,7281858,7396421,8397613,9300178,12887312,20422531,31229000,27934000,33831000,28653000,29375000,29889000,31131000,36622000,38902000,36538000,37486000,37368000,30882000,30397000,27746000,26169000,30880000,30978000,36138000,44829000,61415000,63840000,65547000
75,Deferred Income Tax,1899236,1700610,2294285,2398839,1199659,1500028,1798230,8551306,-3197000,482000,-9165000,-15198000,-7148000,-28806000,714000,-32263000,11439000,4006000,3284000,31865000,- -,375000,-35804000,22903000,10983000,19569000,13049000,9802000,16310000,19121000,24064000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1268000,1037000,964000,818000,1832000,4937000,6185000,3249000,8201000,3291000,1914000,501000,22879000,21655000
77,Change in Working Capital,199920,-4301542,-1396521,-4497824,- -,- -,-15384854,- -,10374000,-17907000,34204000,4951000,2262000,-31781000,-25321000,44243000,-5449000,-4343000,7927000,-13342000,-5422000,5774000,-8644000,-7820000,4335000,-7567000,-20083000,-26497000,-12654000,390000,-42439000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12310000,3177000,-12201000,3356000,6269000,-2778000,-4258000,4605000,-8920000,-6847000,-9660000,-3893000,-25947000,-40726000
79,Inventory,- -,-6202223,- -,-2998549,- -,- -,-1598426,- -,-6085000,3493000,16064000,9084000,-5915000,-20115000,-2511000,27013000,-19553000,-7862000,15831000,-15029000,393000,-2467000,-4062000,-5176000,-7092000,-5127000,-9969000,-30388000,4341000,-4742000,-86759000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2646000,-1865000,1746000,3090000,5304000,-1493000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-757000,-570000,2463000,787000,-1968000,725000,-1863000,859000,-1658000,1682000,-2923000
82,Other Non-Cash Items,199919,300108,99752,299855,-6498152,-25500488,18282002,-37122729,- -,-3906000,1450000,71280000,-2268000,15281000,-1948000,171700000,1257000,76118000,-435000,11616000,13520000,23588000,26568000,3657000,-3851000,5834000,-4487000,13997000,28224000,685000,23767000
83,Cash Provided by Operating Activities,12195093,8803156,15561232,15792359,18894629,6200118,27073347,20422531,46504000,40025000,48078000,35232000,40399000,-4059000,32367000,53609000,37756000,20788000,34910000,12026000,48752000,84473000,82160000,86910000,102268000,108135000,92132000,90798000,135012000,179585000,160407000
84,CAPEX,-8596541,-14905344,-8877882,-18091247,-31091162,-35800684,-36264298,-158249465,-57154000,-48142000,-25942000,-11716000,-19197000,-18408000,-24326000,-27388000,-18770000,-24255000,-14080000,-9476000,-15324000,-21616000,-47157000,-41288000,-34475000,-49972000,-87226000,-77339000,-50424000,-47682000,-86895000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-108172000,-28195000,- -,- -,- -,-5500000,-28118000,-167000,- -,- -,- -,- -,- -,- -,- -,- -,-26383000,-41855000,-67027000,-165763000,- -,-35704000,-34660000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1500028,1298721,- -,- -,- -,- -,- -,- -,- -,489000,- -,- -,- -,1044000,- -,- -,198000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1299477,-1300466,-5187078,-1499274,-2499290,-15800302,-50250528,-8953721,-10577000,21876000,-592000,-5213000,-1435000,-13178000,-3852000,-2001000,68000,-800000,-796000,-6829000,8684000,276000,1926000,3802000,1454000,-22000,-576000,-1731000,-751000,-1275000,-5435000
89,Cash Used for Investing Activites,-7297064,-16205810,-14064960,-19590521,-33590452,-50100958,-85216105,-167203186,-175903000,-54461000,-26534000,-16929000,-20632000,-37583000,-55807000,-29556000,-18702000,-21848000,-12893000,-15456000,-5322000,-21078000,-44892000,-36814000,-59230000,-91849000,-152915000,-243275000,-48916000,-82807000,-121363000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157729000,-48245000,-38239000,-132404000,-178168000,-134671000,-300643000,-160473000,-155630000,-162107000,-762622000,-225902000,-325881000,-753571000
91,Common Stock Issued,9096340,21907854,99752,699662,49785848,5700109,3096951,1207243,78583000,176000,3379000,49689000,43009000,2717000,89000,136000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-798012,- -,-3199091,- -,- -,- -,-2542000,-4194000,-922000,- -,- -,-418000,-340000,- -,- -,- -,-18000,- -,- -,- -,- -,-7826000,-30018000,-1697000,-7451000,-2160000,-329000,- -,- -
93,Dividends Paid,- -,- -,- -,-899565,-1099688,-1500028,-1698328,-2112676,-2993000,-3006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4759000,-14520000,-24249000,-29695000,-31365000,-33199000,-32776000,-33992000,-35386000,-38641000
94,Other Financing Activites,-10495777,-8403012,-2294285,17591488,-1099687,5300101,38761839,46177053,57398000,24219000,-22495000,-69734000,-59419000,60884000,11968000,-17128000,-22083000,160119000,13953000,42247000,89462000,120908000,108728000,288997000,188948000,177157000,250494000,961725000,161358000,273438000,765130000
95,Cash Used/Provided by Financing Activities,-1399437,13504842,-2992545,17391585,44387383,9500182,40160462,45271621,130446000,17195000,-20038000,-20045000,-16410000,63183000,11717000,-16992000,-22083000,2390000,-34310000,4008000,-42942000,-62019000,-40463000,-43721000,-31238000,-11535000,47737000,164167000,-98865000,-87829000,-27082000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,100002,-2097934,-3722333,-1047000,-2759000,-1506000,1742000,-3357000,- -,-25000,104000,1259000,-1469000,574000,-281000,-111000,170000,-196000,-533000,-2527000,-1410000,1183000,-2132000,1165000,471000,-2137000
97,Net Change In Cash,-1399437,13504842,-2992545,17391585,44387383,9500182,40160462,45271621,130446000,17195000,-20038000,-20045000,-16410000,21541000,-11748000,7165000,-1770000,-139000,-11719000,297000,377000,1546000,-3391000,5842000,9273000,3341000,-11863000,9558000,-11604000,9420000,9825000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21882000,10134000,17299000,15529000,15390000,3671000,3968000,4345000,5891000,2500000,8342000,17615000,20956000,9093000,18651000,7047000,16467000,26292000
99,Cash at the Beginning of Period,-16393403,-11704196,-5286828,-6496856,7397897,37000707,2597443,-16297783,- -,- -,- -,- -,- -,341000,21882000,10134000,17299000,15529000,15390000,3671000,3968000,4345000,5891000,2500000,8342000,17615000,20956000,9093000,18651000,7047000,16467000
100,Free Cash Flow,3598552,-6102188,6683350,-2298888,-12196533,-29600566,-9190951,-137826934,-10650000,-8117000,22136000,23516000,21202000,-22467000,8041000,26221000,18986000,-3467000,20830000,2550000,33428000,62857000,35003000,45622000,67793000,58163000,4906000,13459000,84588000,131903000,73512000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
