,https://roic.ai/company/AGNC,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1423689/000119312509030689/0001193125-09-030689-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000119312510038638/0001193125-10-038638-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000119312511046920/d10k.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368912000005/0001423689-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368913000007/0001423689-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368914000008/agnc10k123113.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368915000006/agnc10k123114.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368916000053/0001423689-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368917000011/0001423689-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368918000007/0001423689-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368919000007/0001423689-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368920000019/0001423689-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368921000011/0001423689-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368922000014/0001423689-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,56012000,202803000,173258000,1366895000,2430000000,2143000000,1720000000,1110000000,1208000000,1046000000,921000000,831000000,1017000000,998000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,56012000,202803000,173258000,1366895000,2430000000,2143000000,1720000000,1110000000,1208000000,1046000000,921000000,831000000,1017000000,998000000
34,Net Receivables,7851000,90421000,638431000,1224659000,- -,652000000,239000000,- -,21000000,- -,489000000,- -,210000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,54042313000,96517000000,66733000000,61325000000,53833000000,53712000000,44614000000,21324000000,111725000000,-210000000,- -
37,Total Current Assets,- -,- -,- -,56633867000,98947000000,69528000000,63284000000,54943000000,54941000000,45660000000,22734000000,112556000000,1017000000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,526000000,526000000,526000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,554000000,551000000,526000000,526000000,526000000,526000000
42,Investments,1573383000,4300115000,13510280000,54783690000,85245000000,70000000000,59243000000,52531000000,46681000000,57109000000,84333000000,100539000000,66414000000,54892000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-53445260000,-83739000000,-63273000000,-54761000000,-50453000000,-45296000000,-32944000000,1648000000,-100539000000,-66414000000,- -
45,Total Non-Current Assets,- -,- -,- -,1338430000,1506000000,6727000000,4482000000,2078000000,1939000000,24716000000,86507000000,526000000,526000000,- -
46,Other Assets,1656325000,4625684000,14475829000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68149000000
47,Total Assets,1656325000,4625684000,14475829000,57972297000,100453000000,76255000000,67766000000,57021000000,56880000000,70376000000,109241000000,113082000000,1543000000,68149000000
48,Accounts Payable,3664000,2007000,727374000,1919490000,132000000,492000000,100000000,61000000,211000000,299000000,518000000,424000000,219000000,400000000
49,Short-Term Debt,- -,- -,72927000,54061000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,66156000000,57477000000,48394000000,48853000000,60966000000,98542000000,99064000000,177000000,- -
53,Total Current Liabilities,- -,- -,800301000,1973551000,- -,66648000000,57577000000,48455000000,49064000000,61265000000,99060000000,99488000000,396000000,- -
54,Long-Term Debt,- -,- -,- -,- -,937000000,910000000,761000000,4348000000,3497000000,357000000,275000000,228000000,177000000,126000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-3753000000,-3037000000,- -,- -,2325000000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,937000000,910000000,761000000,595000000,460000000,357000000,275000000,2553000000,177000000,126000000
59,Other Liabilities,1398174000,4078862000,12103464000,49786943000,90494000000,- -,- -,- -,- -,- -,- -,- -,70519000000,57984000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1398174000,4078862000,12903765000,51760494000,89557000000,67558000000,58338000000,49050000000,49524000000,61622000000,99335000000,102041000000,70738000000,57858000000
62,Preferred Stock,- -,- -,- -,- -,167000000,167000000,336000000,336000000,336000000,484000000,484000000,932000000,1489000000,1489000000
63,Common Stock,150000,243000,649000,2241000,3000000,4000000,4000000,3000000,3000000,4000000,5000000,5000000,5000000,5000000
64,Retained Earnings,-2310000,19940000,78116000,-37922000,-289000000,-497000000,-1674000000,-2350000000,-2518000000,-2562000000,-3433000000,-3886000000,-5106000000,-5214000000
65,Other Comprehensive Income/Loss,-25606000,19174000,-68609000,310294000,1555000000,-1383000000,430000000,-66000000,-397000000,-345000000,-943000000,97000000,719000000,301000000
66,Other Total Stockholders Equity,285917000,507465000,1561908000,5937190000,9460000000,10406000000,10332000000,10048000000,9932000000,11173000000,13793000000,13893000000,13972000000,13710000000
67,Total Stockholders Equity,258151000,546822000,1572064000,6211803000,10896000000,8697000000,9428000000,7971000000,7356000000,8754000000,9906000000,11041000000,11079000000,10291000000
68,Total Liabilities And Stockholders Equity,1656325000,4625684000,14475829000,57972297000,100453000000,76255000000,67766000000,57021000000,56880000000,70376000000,109241000000,113082000000,81817000000,68149000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80274000000,- -
70,Total Liabilities & Equity,1656325000,4625684000,14475829000,57972297000,100453000000,76255000000,67766000000,57021000000,56880000000,70376000000,109241000000,113082000000,1543000000,68149000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1423689/000119312509030689/0001193125-09-030689-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000119312510038638/0001193125-10-038638-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000119312511046920/d10k.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368912000005/0001423689-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368913000007/0001423689-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368914000008/agnc10k123113.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368915000006/agnc10k123114.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368916000053/0001423689-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368917000011/0001423689-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368918000007/0001423689-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368919000007/0001423689-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368920000019/0001423689-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368921000011/0001423689-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368922000014/0001423689-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,35352000,118611000,288116000,770480000,1277000000,1259000000,-233000000,215000000,623000000,771000000,129000000,688000000,-266000000,749000000
74,Depreciation and Amortization,10763000,26084000,- -,- -,- -,- -,- -,- -,2000000,3000000,25000000,- -,1082000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,45000,94000,176000,- -,- -,- -,- -,1000000,4000000,6000000,13000000,18000000,19000000
77,Change in Working Capital,-3612000,- -,- -,56633867000,42313133000,-96067000000,2827000000,781000000,-611000000,-21482000000,-60721000000,89394000000,-12447000000,-46000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-1657000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,56633867000,98947000000,2880000000,5707000000,6488000000,5877000000,-15605000000,-76326000000,13068000000,621000000,- -
82,Other Non-Cash Items,-11821000,-51510000,-307823000,-56388491000,-41269133000,97309000000,-972000000,432000000,1337000000,21964000000,61674000000,-88915000000,13360000000,818000000
83,Cash Provided by Operating Activities,30682000,93230000,-19613000,1016032000,2321000000,2501000000,1622000000,1428000000,1352000000,1260000000,1113000000,1180000000,1747000000,1540000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-555000000,- -,- -,- -,- -,- -
86,Purchases of Investments,-2653815000,-9154890000,-22645213000,-103428915000,-133900000000,-146357000000,-78094000000,-82621000000,-4712000000,-12858000000,-12401000000,-28229000000,-27096000000,-69431000000
87,Sales/Maturities of Investments,1073689000,6598495000,13643147000,64898198000,113837000000,144997000000,94742000000,83805000000,9033000000,15309000000,22290000000,13575000000,27005000000,71995000000
88,Other Investing Activites,11764000,-9546000,255853000,-727336000,-11118000000,10235000000,-4299000000,2909000000,679000000,-13779000000,-37825000000,436000000,36616000000,1272000000
89,Cash Used for Investing Activites,-1568362000,-2565941000,-8746213000,-39258053000,-31181000000,8875000000,12349000000,4093000000,4445000000,-11328000000,-27936000000,-14218000000,36525000000,3836000000
90,Debt Repayment,-10682034000,- -,- -,-18866000,-150000000,-209000000,-158000000,-9359000000,-2949000000,-3141000000,-78000000,-55000000,-62000000,-49000000
91,Common Stock Issued,- -,221596000,1054755000,4376698000,3601000000,1803000000,- -,- -,- -,1238000000,2611000000,190000000,439000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-77000000,-856000000,-74000000,-285000000,-116000000,-173000000,- -,-278000000,-378000000,-281000000
93,Dividends Paid,-19656000,-80317000,-173192000,-663506000,-1415000000,-1659000000,-1094000000,-902000000,-799000000,-795000000,-974000000,-1139000000,-970000000,-860000000
94,Other Financing Activites,12295382000,2478223000,7854718000,35741332000,27964000000,-10742000000,-13068000000,4415000000,-1835000000,12777000000,25421000000,14082000000,-36259000000,-4985000000
95,Cash Used/Provided by Financing Activities,1593692000,2619502000,8736281000,39435658000,29923000000,-11663000000,-14394000000,-6131000000,-5699000000,9906000000,26980000000,12800000000,-37230000000,-6175000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,146791000,-29545000,1193637000,1063000000,-287000000,-423000000,-610000000,98000000,-162000000,157000000,-238000000,1042000000,-799000000
98,Cash at the End of Period,56012000,202803000,173258000,1366895000,2430000000,2143000000,1720000000,1110000000,1208000000,1046000000,1520000000,1282000000,2324000000,1525000000
99,Cash at the Beginning of Period,- -,56012000,202803000,173258000,1367000000,2430000000,2143000000,1720000000,1110000000,1208000000,1363000000,1520000000,1282000000,2324000000
100,Free Cash Flow,30682000,93230000,-19613000,1016032000,2321000000,2501000000,1622000000,1428000000,1352000000,1260000000,1113000000,1180000000,1747000000,1540000000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1423689/000119312509030689/0001193125-09-030689-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000119312510038638/0001193125-10-038638-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000119312511046920/d10k.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368912000005/0001423689-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368913000007/0001423689-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368914000008/agnc10k123113.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368915000006/agnc10k123114.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368916000053/0001423689-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368917000011/0001423689-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368918000007/0001423689-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368919000007/0001423689-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368920000019/0001423689-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1423689/000142368921000011/0001423689-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368922000014/0001423689-22-000014-index.htm
102,false,,,,,,,,,,,,,,
