,https://roic.ai/company/CTRA,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.5308,0.3570,0.2370,0.2690,0.2690,0.2235,-0.4413,0.4543,0.4673,0.3133,0.4049,0.2587,0.3471,0.3400,0.2574,0.4562,0.5048,0.8392,0.5483,0.5509,0.5727,0.7032,0.6633,0.6289,0.6881,0.3401,0.3919,0.0163,0.2395,0.5433,0.6586,0.4678,0.6544
17,Operating Income,14100000,15700000,13700000,17500000,18700000,15000000,9500000,47200000,63700000,26900000,19500000,64856000,95340000,49088000,66587000,160653000,258731000,528946000,274693000,372012000,285572000,160145000,306850000,306133000,550480000,106186000,-90362000,-566554000,-151260000,771801000,955750000,295476000,1564000000
18,Operating Income ratio,0.0944,0.1227,0.0975,0.1186,0.1138,0.0633,0.0444,0.2894,0.3441,0.1685,0.1177,0.1759,0.2133,0.1388,0.1307,0.3029,0.3789,0.6942,0.3752,0.3933,0.3248,0.1897,0.3132,0.2541,0.3152,0.0489,-0.0666,-0.4902,-0.0857,0.3527,0.4625,0.2015,0.4535
19,Total Other Income Expenses (Gains),23900000,6900000,-7600000,-9300000,-9000000,-16600000,-151100000,-15800000,-17800000,-18100000,-5800000,-22917000,-20791000,-25311000,-23545000,-22029000,-22497000,-18441000,-17161000,-36389000,-62282000,38353000,-71663000,-68293000,-64942000,-73785000,-96911000,-93045000,-77175000,-73664000,-55526000,-54353000,-62000000
20,Income Before Tax,38000000,22600000,6100000,8200000,9700000,-1600000,-141600000,31400000,45900000,8800000,13700000,41939000,74549000,23777000,43042000,138624000,236234000,510505000,257532000,335623000,223290000,198498000,235187000,237840000,485538000,32401000,-187273000,-659599000,-228435000,698137000,900224000,241123000,1502000000
21,Income Before Tax Ratio,0.2544,0.1766,0.0434,0.0556,0.0590,-0.0067,-0.6620,0.1925,0.2480,0.0551,0.0827,0.1138,0.1668,0.0672,0.0845,0.2614,0.3460,0.6700,0.3517,0.3549,0.2539,0.2352,0.2400,0.1975,0.2780,0.0149,-0.1380,-0.5707,-0.1295,0.3191,0.4357,0.1644,0.4355
22,Income Tax expense (Gain),12400000,8000000,4800000,6000000,6200000,-600000,-55000000,10600000,17600000,3500000,5200000,16467000,27465000,7674000,15063000,50246000,87789000,189330000,90109000,124333000,74947000,95112000,112779000,106110000,205765000,-72067000,-73382000,-242475000,-328828000,141094000,219154000,40594000,344000000
23,Net Income,25600000,14600000,1300000,2200000,3500000,-1000000,-86600000,20800000,28300000,5300000,8500000,25472000,47084000,16103000,21132000,88378000,148445000,321175000,167423000,211290000,148343000,103386000,122408000,131730000,279773000,104468000,-113891000,-417124000,100393000,557043000,681070000,200529000,1158000000
24,Net Income ratio,0.1714,0.1141,0.0093,0.0149,0.0213,-0.0042,-0.4049,0.1275,0.1529,0.0332,0.0513,0.0691,0.1053,0.0455,0.0415,0.1666,0.2174,0.4215,0.2287,0.2234,0.1687,0.1225,0.1249,0.1094,0.1602,0.0481,-0.0839,-0.3609,0.0569,0.2546,0.3296,0.1367,0.3357
25,EPS,0.03,0.02,0.00,0.00,0.00,-0.02,-0.34,0.06,0.08,0.01,0.02,0.09,0.13,0.04,0.06,0.23,0.38,0.83,0.43,0.53,0.36,0.25,0.29,0.32,0.67,0.25,-0.28,-0.91,0.22,1.25,1.64,0.50,2.30
26,EPS Diluted,0.03,0.02,0.00,0.00,0.00,-0.02,-0.34,0.06,0.08,0.01,0.02,0.09,0.13,0.04,0.05,0.22,0.37,0.81,0.43,0.52,0.36,0.25,0.29,0.32,0.67,0.25,-0.28,-0.91,0.22,1.25,1.64,0.50,2.30
27,Weighted Average Shares Outstanding,245580000,245457272,245457272,245457272,246872560,264216000,273300000,273684000,279264000,296796000,296712000,328608000,363312000,380844000,384600000,389856000,390848000,387216000,387912000,402948000,414464000,415644000,416996000,419076000,420188000,415840000,413696000,456847000,463735000,445538000,415514000,398521000,503000000
28,Weighted Average Shares Outstanding Diluted,245580000,245457272,245457272,245457272,246872560,264216000,273300000,273684000,287010309,296796000,296712000,328608000,369286275,386472000,387480000,394716000,397800000,394400000,392520000,406904000,418332000,415644000,416996000,419076000,420188000,415840000,413696000,456847000,463735000,445538000,415514000,398521000,503000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858470/000085847021000013/0000858470-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858470/000085847022000009/0000858470-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2561000,724000,10026000,10626000,41854000,18498000,28101000,40158000,55949000,29911000,30736000,23400000,20954000,514000,498542000,480047000,2287000,200227000,140113000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2561000,724000,10026000,10626000,41854000,18498000,28101000,40158000,55949000,29911000,30736000,23400000,20954000,514000,498542000,480047000,2287000,200227000,140113000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70028000,87425000,125754000,168248000,141058000,113138000,109613000,89271000,94488000,115769000,172419000,222476000,239009000,124552000,201343000,272670000,471654000,338818000,220895000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15252000,18241000,24049000,24616000,32997000,27353000,45677000,27990000,29667000,21278000,14173000,17468000,14026000,17049000,13304000,8006000,11076000,13932000,15270000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5280000,15006000,34850000,26822000,99773000,62424000,277160000,124083000,22904000,178842000,52982000,115555000,139458000,2671000,2692000,4234000,59528000,15271000,39437000,2136000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93121000,121396000,194679000,230312000,315682000,221413000,460551000,281502000,203008000,345800000,270310000,378899000,413447000,144786000,715881000,764957000,544545000,568248000,415715000,2136000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,954737000,895955000,994081000,1238055000,1480201000,1908117000,3135828000,3358199000,3762760000,3934584000,4310977000,4546227000,4925711000,4976879000,4250125000,3072204000,3463606000,3891622000,4078347000,17375000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20636000,- -,- -,6915000,26892000,68029000,103517000,129524000,86077000,163181000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14855000,19587000,30912000,47847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7013000,6850000,7341000,7416000,7696000,31217000,105285000,23064000,39263000,51109000,28111000,29062000,30529000,36717000,27039000,804106000,27497000,27375000,29470000,389000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,961750000,902805000,1016277000,1265058000,1518809000,1987181000,3241113000,3401899000,3802023000,3985693000,4346003000,4602181000,5024269000,5117113000,4406688000,3962387000,3654284000,3918997000,4107817000,17764000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1054871000,1024201000,1210956000,1495370000,1834491000,2208594000,3701664000,3683401000,4005031000,4331493000,4616313000,4981080000,5437716000,5261899000,5122569000,4727344000,4198829000,4487245000,4523532000,19900000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73578000,84943000,104969000,140006000,147680000,173497000,222985000,215588000,229981000,19422000,22977000,26023000,54949000,30038000,27355000,7815000,30033000,21663000,12896000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,20000000,20000000,20000000,35857000,- -,- -,- -,75000000,- -,- -,20000000,- -,304000000,- -,90124000,191991000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22780000,25957000,14373000,11686000,52162000,23934000,19701000,17656000,17351000,22430000,20821000,16762000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44203000,14093000,88000,- -,- -,81500000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49446000,69758000,71920000,58578000,83347000,58769000,120071000,93153000,73854000,323922000,301959000,367789000,443981000,185514000,230457000,236735000,257231000,216247000,185339000,1220000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123024000,154701000,196889000,218584000,251027000,252266000,378913000,308741000,303835000,343344000,444139000,407905000,499018000,235552000,257812000,630050000,287264000,328034000,390226000,1220000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365000000,270000000,250000000,320000000,220000000,330000000,831143000,805000000,975000000,950000000,1012000000,1147000000,1752000000,2005000000,1520530000,1217891000,1226104000,1165702000,975552000,3125000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200207000,179926000,247376000,289381000,347430000,481770000,599106000,644801000,714953000,802592000,882672000,1067912000,843876000,807236000,579447000,227030000,458597000,702104000,774195000,3101000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15983000,54377000,61029000,67194000,70836000,74301000,101940000,112345000,138543000,130789000,146055000,153661000,200089000,204923000,197113000,128468000,138705000,139918000,167852000,716000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,581190000,504303000,558405000,676575000,638266000,886071000,1532189000,1562146000,1828496000,1883381000,2040727000,2368573000,2795965000,3017159000,2297090000,1573389000,1823406000,2007724000,1917599000,6942000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35801000,33619000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,704214000,659004000,755294000,895159000,889293000,1138337000,1911102000,1870887000,2132331000,2226725000,2484866000,2776478000,3294983000,3252711000,2554902000,2203439000,2110670000,2335758000,2307825000,8162000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3213000,3254000,3312000,5008000,5071000,10268000,10356000,10386000,10421000,20902000,21043000,42201000,42292000,42377000,47504000,47555000,47610000,47688000,47783000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11674000,27763000,110935000,252167000,565591000,722344000,921561000,1057472000,1148391000,1258291000,1373264000,1627805000,1698995000,1552014000,1098703000,1162430000,1607658000,2143213000,2184352000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12939000,-23135000,-20351000,-15115000,37160000,-894000,186426000,42436000,-3683000,104547000,23880000,-8361000,-2151000,-365000,985000,2077000,4437000,1360000,2419000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348709000,357315000,361766000,358151000,337376000,338539000,672219000,702220000,717571000,721028000,713260000,542957000,403597000,415162000,1420475000,1311843000,428454000,-40774000,-18847000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350657000,365197000,455662000,600211000,945198000,1070257000,1790562000,1812514000,1872700000,2104768000,2131447000,2204602000,2142733000,2009188000,2567667000,2523905000,2088159000,2151487000,2215707000,11738000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1054871000,1024201000,1210956000,1495370000,1834491000,2208594000,3701664000,3683401000,4005031000,4331493000,4616313000,4981080000,5437716000,5261899000,5122569000,4727344000,4198829000,4487245000,4523532000,19900000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1054871000,1024201000,1210956000,1495370000,1834491000,2208594000,3701664000,3683401000,4005031000,4331493000,4616313000,4981080000,5437716000,5261899000,5122569000,4727344000,4198829000,4487245000,4523532000,19900000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858470/000085847021000013/0000858470-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858470/000085847022000009/0000858470-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,14600000,1300000,2200000,3500000,-1000000,-86600000,20800000,28300000,5300000,8500000,25472000,47084000,16103000,21132000,88378000,148445000,321175000,167423000,211290000,148343000,103386000,122408000,131730000,279773000,104468000,-113891000,-417124000,100393000,557043000,681070000,200529000,1158000000
74,Depreciation and Amortization,- -,23100000,27200000,31500000,34500000,54600000,47200000,42700000,40600000,41200000,53400000,53441000,80619000,96512000,94903000,103343000,108458000,128975000,143951000,185403000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693000000
75,Deferred Income Tax,- -,500000,2600000,-1300000,7100000,-800000,-55100000,12000000,10700000,5800000,9100000,13162000,14157000,7882000,-9837000,31769000,39628000,52011000,95152000,120851000,101815000,61809000,74744000,80929000,138380000,-112567000,-72968000,-230707000,-321113000,229603000,244418000,71777000,126000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29559000,15413000,52940000,46872000,45863000,18349000,13645000,25982000,33419000,31443000,29009000,40796000,52000000
77,Change in Working Capital,- -,200000,1200000,-12400000,5300000,8000000,5300000,-13800000,-2700000,9600000,600000,-7614000,19928000,-13611000,-24729000,-21232000,-9880000,1289000,-10610000,-8080000,23202000,27455000,-47335000,-27967000,-54779000,-36925000,41637000,-68326000,-77942000,-163460000,85026000,93273000,-144000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28725000,-14125000,-19893000,-58037000,-49398000,-11689000,112406000,-71060000,-25036000,-146921000,153379000,-5700000,- -
79,Inventory,- -,4900000,-900000,-1200000,100000,-2700000,2800000,-3200000,1900000,-2400000,-1600000,-108000,-6523000,2308000,-2989000,-5808000,-567000,-8381000,5644000,-18324000,17687000,-1677000,7708000,7104000,-3033000,3441000,-3023000,3044000,1334000,-3927000,-2856000,-1981000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5794000,-2552000,30468000,-30176000,-30040000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8306000,-22427000,-3545000,531000,6204000,-17494000,5321000,20988000,-32293000,-2396000,-3510000,-51509000,-36537000,-35335000,133122000,- -
82,Other Non-Cash Items,- -,5900000,7300000,7900000,5100000,6500000,130700000,13800000,18100000,25300000,20900000,34549000,88647000,58255000,160169000,70764000,77909000,-146346000,66221000,124983000,311133000,276848000,299082000,420529000,615289000,1263110000,872314000,1082552000,1163403000,450274000,406268000,371860000,-218000000
83,Cash Provided by Operating Activities,- -,44300000,39600000,27900000,55500000,67300000,41500000,75500000,95000000,87200000,92500000,119010000,250435000,165141000,241638000,273022000,364560000,357104000,462137000,634447000,614052000,484911000,501839000,652093000,1024526000,1236435000,740737000,392377000,898160000,1104903000,1445791000,778235000,1667000000
84,CAPEX,- -,-45600000,-46100000,-37000000,-94400000,-72700000,-24700000,-60700000,-73500000,-203600000,-82200000,-99359000,-127129000,-103189000,-122018000,-207346000,-351306000,-516827000,-557211000,-817440000,-560029000,-857251000,-891277000,-927977000,-1194739000,-1479632000,-955602000,-375153000,-764558000,-894470000,-788368000,-575847000,-728000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-187785000,- -,- -,- -,- -,- -,- -,-605748000,- -,- -,- -,-6863000,-18875000,-252793000,-45385000,-28484000,-57039000,-77263000,240125000,-9459000,1033000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,4500000,-6100000,-5500000,-4500000,-86100000,10700000,-6900000,35100000,-18500000,44800000,-16708000,-64336000,-35479000,-29838000,-48011000,-60844000,329474000,-32711000,-29101000,-480243000,-613741000,-487620000,-758651000,-899332000,-1412047000,-947949000,-324734000,-649114000,-216120000,-784040000,-575019000,-720000000
89,Cash Used for Investing Activites,- -,-41100000,-52200000,-42500000,-98900000,-158800000,-14000000,-67600000,-38400000,-222100000,-37400000,-116067000,-379250000,-138668000,-151856000,-255357000,-412150000,-187353000,-589922000,-1452289000,-531027000,-613741000,-487620000,-765514000,-918207000,-1664840000,-993334000,-353218000,-706153000,-293383000,-543915000,-584478000,313000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-167000000,-355000000,-355000000,-263000000,-895000000,-1427000000,-604000000,-587000000,- -,-455000000,-102000000,-283000000,-2000000
91,Common Stock Issued,- -,55700000,- -,- -,1700000,700000,300000,600000,2200000,3600000,1700000,85104000,7749000,3461000,6728000,12474000,4586000,6235000,5099000,316230000,83000,801000,- -,- -,- -,- -,- -,995279000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,-4400000,- -,-51600000,- -,- -,- -,-15631000,-19183000,-46492000,-10670000,- -,- -,- -,- -,- -,-164634000,-138852000,- -,- -,-123741000,-872761000,-519863000,- -,- -
93,Dividends Paid,- -,-1600000,-96700000,-3300000,-4200000,-7100000,-9200000,-9200000,-5600000,-7400000,-7400000,-6552000,-4802000,-5079000,-5043000,-5206000,-7213000,-7751000,- -,-12073000,-12432000,-12467000,-12508000,-16757000,-25232000,-33278000,-33090000,-36187000,-78838000,-111369000,-145515000,-159390000,-780000000
94,Other Financing Activites,- -,-55900000,106500000,16800000,47800000,98800000,-19300000,-1000000,-49100000,143500000,-50000000,-24000000,124000000,-28000000,-92345000,- -,70000000,-90515000,110000000,523288000,108381000,511287000,327251000,394003000,971211000,2025089000,869247000,86777000,-7923000,149850000,76998000,186541000,-304000000
95,Cash Used/Provided by Financing Activities,- -,-1800000,9800000,13500000,45300000,92400000,-28200000,-9600000,-56200000,135300000,-55700000,2952000,126947000,-29618000,-90660000,-8363000,48190000,-138523000,104429000,827445000,-70968000,144621000,-40257000,114246000,-113655000,425959000,232157000,458869000,-210502000,-1289280000,-690380000,-255849000,-1086000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1800000,9800000,13500000,45300000,92400000,-28200000,-9600000,-56200000,135300000,-500000,5895000,-1868000,-3145000,-878000,9302000,600000,31228000,-23356000,9603000,12057000,15791000,-26038000,825000,-7336000,-2446000,-20440000,498028000,-18495000,-477760000,211496000,-62092000,-1086000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,7574000,5706000,2561000,724000,10026000,10626000,41854000,18498000,28101000,40158000,55949000,29911000,30736000,23400000,20954000,514000,498542000,480047000,2287000,213783000,151691000,- -
99,Cash at the Beginning of Period,- -,600000,5000000,2200000,1100000,2900000,3800000,3000000,1400000,1800000,2200000,1679000,7574000,5706000,1602000,724000,10026000,10626000,41854000,18498000,28101000,40158000,55949000,29911000,30736000,23400000,20954000,514000,498542000,480047000,2287000,213783000,- -
