,https://roic.ai/company/FLSS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
38,PP&E,92131350,204132089,330951116,308559885,274231466,285944684,348441432,341869000,322663000,277029000,233362000,117191000,148608000,131644000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19700000,- -
40,Intangible Assets,- -,- -,39459977,36598781,33737585,30876389,28015133,25154000,22292000,19431000,3220000,11852000,13980000,12339000
41,Intangible Assets,- -,- -,39459977,36598781,33737585,30876389,28015133,25154000,22292000,19431000,3220000,11852000,33680000,12339000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1142346,2532457,12747010,18086025,17983802,49795206,10590794,10136000,8762000,4168000,2269000,1185000,3072000,991000
45,Total Non-Current Assets,93273696,206664546,383158103,363244691,325952853,366616279,387047359,377159000,353717000,300628000,238851000,130228000,185360000,144974000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,128518277,259995166,482801391,457432896,451829867,550423053,512661867,500558000,483613000,412427000,312881000,201757000,256385000,190265000
48,Accounts Payable,11093733,66496676,29936230,24274831,28826651,51789382,18087909,27016000,19305000,8995000,4505000,7508000,17841000,9366000
49,Short-Term Debt,17067296,3823422,6811802,12432900,6463820,10517232,13025793,9374000,11204000,25243000,298932000,7566000,59321000,73535000
50,Tax Payable,- -,- -,- -,- -,249022,1268545,- -,575000,- -,- -,- -,- -,1064000,1470000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,5368429,11258219,20188212,23130248,21873682,34734443,14953809,16714000,20273000,12196000,35336000,12082000,16341000,15768000
53,Total Current Liabilities,33529458,81578317,56936244,59837979,57164153,97041057,46067511,53104000,50782000,46434000,338773000,27156000,93503000,98669000
54,Long-Term Debt,51009012,100409507,205378040,214465329,212914685,285633042,293321374,290266000,286687000,283071000,240000,51288000,71095000,62636000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,500000,62068620,36622111,29685339,27491812,26586818,21610000,17653000,899000,1096000,379000,357000,245000
57,Other Non-Current Liabilities,5179075,7048075,- -,- -,15270293,14476783,14518267,14560000,14602000,14644000,15298000,- -,- -,4759000
58,Total Non-Current Liabilities,56188087,107957582,267446660,251087440,257870317,327601637,334426459,326436000,318942000,298614000,16634000,51667000,71452000,67640000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6235000
61,Total Liabilities,89717545,189535899,324382904,310925419,315034470,424642694,380493970,379540000,369724000,345048000,355407000,78823000,164955000,166309000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,14518267,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,621112,836737,836737,836737,843705,859000,874000,889000,889000,53000,54000,55000
64,Retained Earnings,- -,- -,-8878679,-38209388,-49519306,-61863993,-60277812,-73368000,-81689000,-127763000,-236892000,-25985000,-58592000,-126991000
65,Other Comprehensive Income/Loss,- -,- -,-47186317,-83529327,342974,-1077678,- -,-237380000,-279435000,-324138000,-364597000,-18808000,-45934000,-63768000
66,Other Total Stockholders Equity,38800732,70459267,213862371,267409455,185134992,187885293,177083737,430907000,474139000,518391000,558074000,167674000,195902000,214660000
67,Total Stockholders Equity,38800732,70459267,158418487,146507477,136795397,125780359,132167897,121018000,113889000,67379000,-42526000,122934000,91430000,23956000
68,Total Liabilities And Stockholders Equity,128518277,259995166,482801391,457432896,451829867,550423053,512661867,500558000,483613000,412427000,312881000,201757000,256385000,190265000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,128518277,259995166,482801391,457432896,451829867,550423053,512661867,500558000,483613000,412427000,312881000,201757000,256385000,190265000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434842/000143484219000025/0001434842-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1434842/000143484220000003/0001434842-20-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,32273077,43593666,-29747590,-29330709,-11309918,-12344687,1586181,-13090000,-8321000,-46074000,-109129000,- -,-32607000,-68399000
74,Depreciation and Amortization,7409381,15341906,33724218,39576270,39960295,41831957,50996689,54838000,54959000,55034000,52374000,- -,30543000,29404000
75,Deferred Income Tax,- -,500000,61568620,-25446509,-6936774,-2193527,-867180,-4977000,-3957000,-16754000,197000,- -,-22000,-112000
76,Stock Based Compensation,- -,- -,1449995,2491994,2696952,2936890,4430235,2852000,3264000,442000,-298000,- -,1103000,925000
77,Change in Working Capital,-17103131,-13199988,-16157290,22910586,-25950684,-39670800,11973656,13401000,-791000,41775000,25360000,- -,-3890000,11752000
78,Accounts Receivable,-10441547,-19227480,-28883810,7914749,-30619696,-53134399,43207059,8857000,-2453000,54989000,8220000,- -,-9645000,18692000
79,Inventory,- -,- -,-892800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,956218,9393723,7875883,13247171,-20683241,6278000,-5887000,-8679000,-4274000,- -,6918000,-8475000
81,Other Working Capital,27041,2328691,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,1079434,346226,14372113,5177770,3989238,15439594,314784,3314000,2090000,2159000,17578000,- -,4111000,35699000
83,Cash Provided by Operating Activities,23658761,46581810,65210066,15379402,2449109,5999427,68434365,56338000,47244000,36582000,-13918000,- -,-762000,9269000
84,CAPEX,-40883585,-68234687,-176940028,-30024471,-6951297,-58205581,-111769771,-42541000,-37877000,-9568000,-8917000,- -,-18855000,-12768000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67202000,285000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1783832,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-72500,11478,50017,-9492504,1197571,7268691,29172415,1508000,5430000,4146000,2142000,- -,4402000,13991000
89,Cash Used for Investing Activites,-40956085,-68223209,-176890011,-37733143,-5753726,-50936890,-82597356,-41033000,-32447000,-5422000,-6775000,- -,-81655000,1508000
90,Debt Repayment,-13331267,-29444099,-151880935,-18381026,-8474950,-4346000,-4477684,-5306000,-5083000,-5564000,-5722000,- -,-2327000,-22058000
91,Common Stock Issued,- -,- -,189779432,14927705,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-120000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-14734271,- -,- -,-918845,-735072,-735000,-735000,-735000,-123000,- -,- -,- -
94,Other Financing Activites,35014550,48645208,226775441,30763362,13836631,57340571,-37426,-474000,-470000,14832000,-27636000,- -,57420000,8422000
95,Cash Used/Provided by Financing Activities,21683283,19201109,129939667,27310041,5361681,52075726,-5250182,-6515000,-6288000,8533000,-33481000,- -,55093000,-13636000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-23974,-996629,431982,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4385959,-2440290,18259722,4956300,2033090,6141634,-18981191,8790000,8509000,39693000,-54174000,- -,-27324000,-2859000
98,Cash at the End of Period,7649635,5209345,23469067,28425367,30458457,36600091,17618900,26409000,34918000,74611000,20437000,- -,8156000,5297000
99,Cash at the Beginning of Period,3263676,7649635,5209345,23469067,28425367,30458457,36600091,17619000,26409000,34918000,74611000,- -,35480000,8156000
100,Free Cash Flow,-17224824,-21652877,-111729962,-14645069,-4502188,-52206154,-43335406,13797000,9367000,27014000,-22835000,- -,-19617000,-3499000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1434842/000143484219000025/0001434842-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1434842/000143484220000003/0001434842-20-000003-index.htm
102,false,,,,,,,,,,,,,,
