,https://roic.ai/company/QTT,2016,2017,2018,2019,2020
65,Other Comprehensive Income/Loss,- -,24651,-16428875,-17934525,84319590
66,Other Total Stockholders Equity,1118808,8856316,3684130058,3683027517,4642085956
67,Total Stockholders Equity,-11191017,165334680,1514507305,-701481954,-1280774510
68,Total Liabilities And Stockholders Equity,29896180,476580750,2755746042,2944058562,2920446847
69,Minority Interest,- -,- -,-3274525,-3861667,-4589258
70,Total Liabilities & Equity,29896180,476580750,2752471517,2940196895,2915857589
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-10862379,-94759689,-1942571687,-2688680705,-1104438841
74,Depreciation and Amortization,21360,330238,5893447,20558884,25169660
75,Deferred Income Tax,- -,- -,-400541,-2403243,-2403240
76,Stock Based Compensation,393766,3378827,951626250,271978493,463213874
77,Change in Working Capital,23166543,223277030,553962532,-61240783,-449054897
78,Accounts Receivable,-9654384,-32099995,-160733479,-322838858,-297664140
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,5077380,7050837,115892236,197019533,120574857
81,Other Working Capital,729004,33376649,119393755,80077575,-150336982
82,Other Non-Cash Items,- -,- -,-3274525,92492284,203739302
83,Cash Provided by Operating Activities,12719290,132226406,-434764524,-2367295070,-863774142
84,CAPEX,-153274,-4543180,-87021911,-26320967,-13783663
85,Acquisitions Net,- -,- -,-10729825,- -,- -
86,Purchases of Investments,-45250000,-539360549,-4164032230,-2492191695,-1378052256
87,Sales/Maturities of Investments,32880000,421985200,4189115780,1294361059,2173594307
88,Other Investing Activites,- -,- -,-71921687,-4971310,-6799195
89,Cash Used for Investing Activites,-12523274,-121918529,-72492552,-1224151603,782544989
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,592507394,356494701,- -
92,Common Stock Repurchased,- -,- -,- -,-142228779,-135744000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,272121039,1705536357,1553735388,443490200
95,Cash Used/Provided by Financing Activities,- -,272121039,2298043751,1768001310,307746200
96,Effect of Forex Changes on Cash,- -,-4239131,117043158,12845762,-7414861
97,Net Change In Cash,196016,278189785,1907829833,-1810599601,219102186
98,Cash at the End of Period,268628,278458413,2186288246,375688645,594790831
99,Cash at the Beginning of Period,72612,268628,278458413,2186288246,375688645
100,Free Cash Flow,12566016,127683226,-521786435,-2393616037,-877557805
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532
