,https://roic.ai/company/CLCN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394638/000135448812000199/0001354488-12-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000135448812006626/0001354488-12-006626-index.html,https://www.sec.gov/Archives/edgar/data/1394638/000147793214005318/0001477932-14-005318-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000147793215002139/0001477932-15-002139-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000155335016002465/0001553350-16-002465-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000155335016002847/0001553350-16-002847-index.html,https://www.sec.gov/Archives/edgar/data/1394638/000161577418000094/0001615774-18-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112219000540/0001731122-19-000540-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112220000338/e1831_10k.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112220001347/0001731122-20-001347-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112222000038/0001731122-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,70000,1900,85842,174,27271,517830,1041786,2004947,3061458,2450609,276685,213950,80693,522071,427659,349923
32,Short-Term Investments,- -,- -,- -,12603,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23886
33,Cash and Short-Term Investments,70000,1900,85842,12777,27271,517830,1041786,2004947,3061458,2450609,276685,213950,80693,522071,427659,373809
34,Net Receivables,- -,- -,7971,- -,- -,91123,298506,404451,505304,759591,682173,359560,206790,282109,269211,109551
35,Inventory,- -,32201,3412,3412,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,26334,1884,236582,396242,282447,191674,95408,260946,251927,167768
37,Total Current Assets,70000,34101,97225,16189,27271,608953,1366626,2411282,3803344,3606442,1241305,765184,382891,1065126,948797,651128
38,PP&E,- -,- -,- -,- -,41154,157619,283522,264305,292101,283955,299320,260094,357930,323789,131618,25830
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,25250,125828,156312,100504,100504,23300,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,25250,125828,156312,100504,100504,23300,- -,- -,- -,162400
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2595,343444,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,34739,- -,- -,9819,17619,32619,122491,149174,98095,61575,74203,4470,773062,- -,263672
45,Total Non-Current Assets,10000,34739,- -,- -,50973,175238,341391,512624,597587,485149,804843,357597,362400,1096851,131618,451902
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,80000,68840,97225,16189,78244,784191,1708017,2923906,4400931,4091591,2046148,1122781,745291,2161977,1080415,1103030
48,Accounts Payable,- -,8735,8461,4816,39700,80634,183442,171889,- -,119353,171828,148021,161011,107697,69527,168848
49,Short-Term Debt,- -,15000,- -,13875,200000,- -,- -,3560,2225,- -,- -,- -,- -,- -,119980,119980
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,13131,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,96737,55882,5188,- -,- -,986039,915103,697675
52,Other Current Liabilities,- -,653,1307,1307,-6380,4123,189532,308581,873891,722341,509694,285586,111939,125720,8743,246747
53,Total Current Liabilities,- -,24388,9768,19998,233320,84757,372974,484030,972853,897576,686710,433607,272950,1219456,1113353,1233250
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3382107,- -,1271803
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,22230,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,5297,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,5297,22230,- -,- -,- -,- -,3382107,- -,1271803
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2297576,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,24388,9768,19998,233320,84757,372974,489327,995083,897576,686710,433607,272950,4601563,3410929,2505053
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,57,78,78,258,1029,1155,1181,1183,1200,1200,1207,1207,1360,1334,1352
64,Retained Earnings,-30000,-60548,-159681,-270799,-771027,-1277040,-672231,275725,1141164,676387,-1141690,-2172692,-2391525,-5393874,- -,-4448811
65,Other Comprehensive Income/Loss,- -,- -,- -,19852,-589,-11280,-29805,-60073,-98238,-134207,-187918,-240000,-282541,-382367,- -,- -
66,Other Total Stockholders Equity,100000,104943,247060,247060,671016,1986725,2035924,2217746,2361739,2650635,2687846,3100659,3145200,3335295,-1818259,- -
67,Total Stockholders Equity,70000,44452,87457,-3809,-100342,699434,1335043,2434579,3405848,3194015,1359438,689174,472341,-2439586,-1816925,-1402023
68,Total Liabilities And Stockholders Equity,70000,68840,97225,16189,132978,784191,1708017,2923906,4400931,4091591,2046148,1122781,745291,2161977,1594004,1103030
69,Minority Interest,10000,- -,- -,- -,-54734,- -,- -,- -,- -,- -,- -,- -,- -,- -,-513589,- -
70,Total Liabilities & Equity,80000,68840,97225,16189,78244,784191,1708017,2923906,4400931,4091591,2046148,1122781,745291,2161977,1080415,1103030
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394638/000135448812000199/0001354488-12-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000135448812006626/0001354488-12-006626-index.html,https://www.sec.gov/Archives/edgar/data/1394638/000147793214005318/0001477932-14-005318-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000147793215002139/0001477932-15-002139-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000155335016002465/0001553350-16-002465-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000155335016002847/0001553350-16-002847-index.html,https://www.sec.gov/Archives/edgar/data/1394638/000161577418000094/0001615774-18-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112219000540/0001731122-19-000540-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112220000338/e1831_10k.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112220001347/0001731122-20-001347-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112222000038/0001731122-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-30000,-32082,-99133,-111118,-778029,- -,- -,947956,857600,-456940,-1818080,-1031000,-218830,2017340,- -,324902
74,Depreciation and Amortization,- -,- -,- -,- -,589,10691,18525,30267,36380,41301,53711,57175,51607,115627,112543,114543
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-2889,-77636,-261861,343444,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,30800,108280,147600,- -,- -,360738,2000,90422,2500,- -
77,Change in Working Capital,- -,-60287,77744,-91266,-202240,730245,469456,933600,903239,-121625,-2154271,-223018,-221636,-264271,-10226,-495960
78,Accounts Receivable,- -,- -,-7971,7971,- -,-89005,-106488,-125703,-59134,-393477,43962,-285604,-513107,-17256,-339896,214128
79,Inventory,- -,-32201,28789,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-274,-3645,- -,44685,99308,-2363,173407,-221064,52715,-23807,-15818,-53314,-38170,9321
81,Other Working Capital,70000,9713,87457,-3809,-206049,524196,993652,1927252,2830491,2708866,554595,331577,109941,-154330,-164556,-1243201
82,Other Non-Cash Items,10000,35634,-51959,155928,697841,-863748,164854,-904151,-785234,-29478,2075653,449275,456831,-1561244,-104789,-18621
83,Cash Provided by Operating Activities,-20000,-56735,-73348,-46456,-281839,-122812,683635,1115952,1156696,-644378,-2104848,-43386,69972,397874,28,-75136
84,CAPEX,- -,- -,- -,- -,-41743,-127156,-169679,-82791,-128340,-7870,-69076,-19349,-192621,-118838,- -,-21155
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-318129,-1069479,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,321542,1016392,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-40000,-24739,-31123,- -,- -,-10000,-15250,-126800,30425,70000,- -,- -,-10608,157787,94072,-14688
89,Cash Used for Investing Activites,-40000,-24739,-27710,-53087,-41743,-137156,-159679,-152791,-87915,62130,-69076,-19349,-203229,38949,94072,-17843
90,Debt Repayment,- -,- -,-24300,-4000,- -,-200650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,200000,- -,93201,951177,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,130000,- -,- -,- -,- -,- -,- -,- -,- -,-18126,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,15000,9300,17875,200000,- -,- -,- -,-20000,- -,- -,- -,- -,- -,119980,- -
95,Cash Used/Provided by Financing Activities,130000,15000,185000,13875,293201,750527,- -,- -,-20000,-18126,- -,- -,- -,- -,119980,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,70000,-66474,83942,-85668,-30381,490559,523956,963161,1048781,-600374,-2173924,-62735,-133257,436823,-92168,-92979
98,Cash at the End of Period,70000,1900,85842,174,27271,517830,1041786,2004947,3050983,2450609,276685,213950,80693,540021,447853,354874
99,Cash at the Beginning of Period,- -,68374,1900,85842,57652,27271,517830,1041786,2002202,3050983,2450609,276685,213950,103198,540021,447853
100,Free Cash Flow,-20000,-56735,-73348,-46456,-323582,-249968,513956,1033161,1028356,-652248,-2173924,-62735,-122649,279036,28,-96291
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394638/000135448812000199/0001354488-12-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000135448812006626/0001354488-12-006626-index.html,https://www.sec.gov/Archives/edgar/data/1394638/000147793214005318/0001477932-14-005318-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000147793215002139/0001477932-15-002139-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000155335016002465/0001553350-16-002465-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000155335016002847/0001553350-16-002847-index.html,https://www.sec.gov/Archives/edgar/data/1394638/000161577418000094/0001615774-18-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112219000540/0001731122-19-000540-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112220000338/e1831_10k.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112220001347/0001731122-20-001347-index.htm,https://www.sec.gov/Archives/edgar/data/1394638/000173112222000038/0001731122-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,
