,https://roic.ai/company/ARTH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,944707,5045766,1176824,104485,3430033,3191752,2995690,- -,2974612
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2359036,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3061,6066,1400316,7769433,2462902,1983265,3863564,3480137,3709501,3005277,4702159
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4000,6030,60145,72051,107392,134432,149943,159815,172612,193045,236720
64,Retained Earnings,- -,- -,-4631871,-12774694,-15722220,-21714590,-29503446,-34317478,-38865060,- -,-49796919
65,Other Comprehensive Income/Loss,-5037,-41648,-5669,-3925,-3925,-3925,-5423,-10765,-19003,- -,- -
66,Other Total Stockholders Equity,16000,34270,4764411,5814125,17158870,24745078,31585445,35528256,37904154,-1693536,- -
67,Total Stockholders Equity,14963,-1348,187016,-6892443,1540117,3160995,2226519,1359828,-807297,-1500491,-1025674
68,Total Liabilities And Stockholders Equity,18024,4718,1587332,876990,4003019,5144260,6090083,4839965,2902204,1504786,3676485
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1496734,- -
70,Total Liabilities & Equity,18024,4718,1587332,876990,4003019,5144260,6090083,4839965,2902204,8052,3676485
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1537561/000116552712001353/0001165527-12-001353-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420413069281/0001144204-13-069281-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420414073579/0001144204-14-073579-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420415070409/0001144204-15-070409-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420416137852/0001144204-16-137852-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420417059213/0001144204-17-059213-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420418065134/0001144204-18-065134-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000110465919065500/0001104659-19-065500-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000110465920134664/0001104659-20-134664-index.htm,https://www.sec.gov/Archives/edgar/data/1537561/000141057821000550/0001410578-21-000550-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-5037,-36611,-1853791,-8142823,-2947526,-5992370,-7788856,-4814032,-4547582,-4691377,-6240482
74,Depreciation and Amortization,- -,- -,586,322,- -,- -,1498,5342,8238,6926,2587
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,287927,1101286,1047685,1098160,2105980,1742459,1184349,898293,496066
77,Change in Working Capital,2901,-16311,1122687,-2968016,4563618,548539,2380384,-1115045,-2354949,-679136,-111614
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-346647,60385,-307760
80,Accounts Payable,- -,25,56343,-138937,55929,137420,-110020,-103930,372609,-191505,66033
81,Other Working Capital,14963,-1348,1121339,-1846677,2716941,3265480,5645864,4530819,2175870,1496734,- -
82,Other Non-Cash Items,- -,19165,-893741,6660729,-6903163,-401356,-2315254,-1732287,441642,4685031,-105185
83,Cash Provided by Operating Activities,-2136,-33757,-1336332,-3348502,-4239386,-4747027,-5616248,-5913563,-5268302,219737,-5958628
84,CAPEX,- -,- -,- -,- -,- -,- -,-8686,-15415,- -,-2455,-3275
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-8686,-15415,- -,-2455,-3275
90,Debt Repayment,- -,- -,-373488,- -,- -,- -,-1000000,- -,- -,- -,- -
91,Common Stock Issued,20000,20300,2000000,2624703,3015966,3114654,5987122,4461248,2748821,2167162,6219233
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,61,- -,250000,1000000,4350000,2708749,1595388,141088,32400,1659028,1050000
95,Cash Used/Provided by Financing Activities,20061,20300,1876512,3624703,7365966,5823403,6582510,4602336,2781221,3826190,7269233
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-13457,540180,276201,3126580,1076376,957576,-1326642,-2487081,-1221020,1307330
98,Cash at the End of Period,17925,4468,557319,833520,3960100,5036476,5994052,4667410,2180329,959309,2266639
99,Cash at the Beginning of Period,- -,17925,17139,557319,833520,3960100,5036476,5994052,4667410,2180329,959309
100,Free Cash Flow,-2136,-33757,-1336332,-3348502,-4239386,-4747027,-5624934,-5928978,-5268302,217282,-5961903
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1537561/000116552712001353/0001165527-12-001353-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420413069281/0001144204-13-069281-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420414073579/0001144204-14-073579-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420415070409/0001144204-15-070409-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420416137852/0001144204-16-137852-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420417059213/0001144204-17-059213-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000114420418065134/0001144204-18-065134-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000110465919065500/0001104659-19-065500-index.html,https://www.sec.gov/Archives/edgar/data/1537561/000110465920134664/0001104659-20-134664-index.htm,https://www.sec.gov/Archives/edgar/data/1537561/000141057821000550/0001410578-21-000550-index.htm
102,false,,,,,,,,,,,
