,https://roic.ai/company/SOHOB,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,2196038,2167706,2019677,21586207,24913091,51535274,57719425,60064674,65156223,67644492,70958164,74510666,77038338,78296755,107259588,122744861,133873307,136612913,157555061,167317879,101252246000,135642930
12,Interest Income ,- -,- -,- -,3668,- -,126741,253954,- -,72547,41999,22305,14808,16158,17914,19865,50461,115785,218656,352951,444459,210426,147025
13,Interest Expense (Gain),2645232,- -,- -,2369422,- -,2802230,4261422,- -,6811460,9661871,10030517,10821815,12382146,11647141,14636870,16515827,17735107,15727628,19953746,19768193,18056874000,-22686694
14,Depreciation and Amortization,2196038,2167706,2019677,2045250,1887633,4309575,5053589,5050234,6346222,8420085,8506802,8702880,8661769,8467228,11969284,13591495,15019071,16999619,20884643,21637316,19896772,19909226000
15,EBITDA,4715598,1609962,1897638,4554508,146689,10101351,12749989,7323363,11084100,13264243,16368719,15585704,18240469,18181492,24293760,34127955,32313260,34907554,41417674,43065473,-30325691228,19857972274
16,EBITDA ratio,0.1974,0.0668,0.0906,0.1864,0.0055,0.1746,0.1896,0.1049,0.1566,0.1855,0.2115,0.1920,0.2088,0.2034,0.1976,0.2464,0.2114,0.2263,0.2325,0.2318,-0.4241,155.6415
17,Operating Income,3000370,2964723,2602588,2848999,-382068,6320287,9522372,9749705,5606509,3874234,6424180,6661838,10304882,11077772,12505331,15330050,18607126,16163888,20106311,18346515,-29749670,-8055006
18,Operating Income ratio,0.1256,0.1230,0.1243,0.1166,-0.0144,0.1092,0.1416,0.1397,0.0792,0.0542,0.0830,0.0821,0.1180,0.1239,0.1017,0.1107,0.1217,0.1048,0.1128,0.0987,-0.0004,-0.0631
19,Total Other Income Expenses (Gains),-3126042,-3315759,-2470793,-343409,-2374648,-2910867,-4135344,-6113609,-8002218,-8691947,-9462096,-12231626,-14331364,-13991775,-14971563,-10268430,-19074611,-14396595,-20245119,-17420427,-48372712330,-20457242
20,Income Before Tax,-125672,-351036,131795,- -,-2756716,3409420,5387028,3636096,-2395709,-4817713,-3037916,-5569788,-4026482,-2914003,-2466232,5061620,-467485,1767293,-138808,926088,-48402462000,-28512248
21,Income Before Tax Ratio,-0.0053,-0.0146,0.0063,- -,-0.1039,0.0589,0.0801,0.0521,-0.0339,-0.0674,-0.0393,-0.0686,-0.0461,-0.0326,-0.0201,0.0365,-0.0031,0.0115,-0.0008,0.0050,-0.6769,-0.2235
22,Income Tax expense (Gain),- -,- -,- -,- -,-200000,508095,253966,-187888,-1475695,-1807126,214344,905455,1301229,1521182,-1727723,-1336033,-1367634,1737804,469349,-249480,-5280443000,-27392
23,Net Income,-125672,-557744,-122039,139836,-1540944,2481451,3181012,2461017,-597887,-3010587,-2382944,-4844446,-4104675,-3454059,-584671,5356666,926716,442503,109936,1909444,-43122019000,-28539640
24,Net Income ratio,-0.0053,-0.0231,-0.0058,0.0057,-0.0581,0.0429,0.0473,0.0353,-0.0084,-0.0421,-0.0308,-0.0597,-0.0470,-0.0386,-0.0048,0.0387,0.0061,0.0029,0.0006,0.0103,-0.6031,-0.2237
25,EPS,-0.03,-0.13,-0.03,0.03,-0.35,0.56,0.72,0.56,-0.13,-0.68,-0.54,-1.09,-0.93,-0.78,-0.13,1.21,0.21,0.10,0.02,0.43,-4.05,-6.44
26,EPS Diluted,-0.03,-0.13,-0.03,0.03,-0.35,0.56,0.72,0.56,-0.13,-0.68,-0.54,-1.09,-0.93,-0.78,-0.13,1.21,0.21,0.10,0.02,0.43,-4.05,-6.44
27,Weighted Average Shares Outstanding,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709
28,Weighted Average Shares Outstanding Diluted,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709,4431709
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1301236/000156459021015129/0001564590-21-015129-index.htm,https://www.sec.gov/Archives/edgar/data/1301236/000156459022011824/0001564590-22-011824-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,67365,8314353,501810,1445491,3988700,1719147,3490487,2992888,4409959,7175716,9376628,16634499,11493914,31766775,29777845,33792773,23738066,25297771000,13166883
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1441176,1080882,720588,- -,240196,- -,- -,- -,- -,- -,- -,- -,375885224
33,Cash and Short-Term Investments,- -,- -,- -,67365,8314353,501810,1445491,3988700,1719147,4931663,4073770,5130547,7175716,9616824,16634499,11493914,31766775,29777845,33792773,23738066,25297771000,389052107
34,Net Receivables,- -,- -,- -,1534590,1561375,2337555,2339285,2078231,1505998,1757605,1985755,1827496,1487580,2083530,2106436,6898438,4131923,5981103,7029268,4914250,1779776000,4822187
35,Inventory,- -,- -,- -,117390,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5333000,- -,- -,- -,7726980000,6894228
36,Other Current Assets,- -,- -,- -,811848,- -,- -,- -,- -,7176562,8997136,9288442,8629596,4764845,6000920,9956265,10226271,9244614,10943762,9338392,9894942,- -,- -
37,Total Current Assets,- -,- -,- -,2531193,- -,- -,- -,- -,10401707,15686404,15347967,15587639,13428141,17701274,28697200,28618623,50476312,46702710,50160433,38547258,34804527000,400768522
38,PP&E,- -,- -,- -,27528738,78418173,105986366,111416404,140667796,187397384,188587507,183898660,181469432,480392,240196,- -,- -,- -,- -,2465421,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,412283,- -,- -,- -,5583072,10253732,9685844,9464389,8966795,8638967,2446039,1982107,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2649282,1186122,3543295,5390374,6949340,5451118,5131179,5412084,- -,- -
44,Other Non-Current Assets,- -,- -,- -,285242,- -,- -,- -,- -,3165611,- -,872415,3275580,178834087,206466471,265597441,359049356,348593912,357799512,435725814,443267448,- -,- -
45,Total Non-Current Assets,- -,- -,- -,28226263,- -,- -,- -,- -,200816727,198273351,194235464,193711807,190602728,210338828,271122843,364439730,355543252,363250630,443322414,448679532,- -,- -
46,Other Assets,- -,- -,30600738,- -,94232244,118385923,127602813,159958990,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438229284000,35286308
47,Total Assets,- -,- -,30600738,30757456,94232244,118385923,127602813,159958990,211218434,213959755,209583431,209299446,204030869,228040102,299820043,393058353,406019564,409953340,493482847,487226790,473033811000,436054830
48,Accounts Payable,- -,- -,- -,1787243,- -,3302909,3624657,6670558,11451976,4613163,- -,7437246,6786684,7650219,12044886,12334878,12970960,13813623,16268096,20189903,- -,- -
49,Short-Term Debt,- -,- -,- -,1528809,- -,- -,- -,- -,- -,4613163,4493970,9275220,4025220,27600000,52900000,52900000,24308713,- -,23894658,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625822,666758,1220729,1651840,2315787,1572388,2815283,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1046614,- -,- -,- -,- -,- -,2083442,6335145,3201847,-4261863,-78561,-367815,-316517,60740,1501095,594310,4210494,- -,- -
53,Total Current Liabilities,- -,- -,- -,4362666,- -,- -,- -,- -,11451976,11309768,10829115,19914313,7175863,35838416,65797800,66570201,39656200,16887106,43572347,24400397,- -,- -
54,Long-Term Debt,- -,- -,- -,28561929,27753188,46186943,56835331,89387858,145444026,148261108,147390111,119695115,139699652,160363549,205291657,271977944,282708289,297318816,364828845,358633884,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625822,666758,1220729,1651840,2315787,1572388,2815283,2785338,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,521268,- -,- -,- -,- -,546236,547653,555902,25806775,19197402,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,29083197,27753188,46186943,56835331,89387858,145990262,148808761,147946013,145501890,159522876,161030307,206512386,273629784,285024076,298891204,367644128,361419222,- -,- -
59,Other Liabilities,- -,- -,33678765,- -,61119862,99551398,121415069,189470952,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428832506000,419551900
60,Capital Lease Obligations,- -,- -,- -,57811,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,33678765,33445863,33366674,53364455,64579738,100083094,157442238,160118529,158775128,165416203,166698739,196868723,272310186,340199985,324680276,315778310,411216475,385819619,428832506000,419551900
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16100,29100,29621,43646,43646,- -
63,Common Stock,- -,- -,- -,- -,60040,67040,67120,68970,69396,90969,95413,99538,99998,102069,105709,144907,144685,140788,142093,142723,150238000,174410
64,Retained Earnings,- -,- -,- -,- -,-2534222,-4611491,-5992599,-8204032,-12341122,-14454238,-16837182,-22074739,-27179392,-32210917,-35388313,-33890834,-39545754,-48765860,-61052418,-73990690,-127197489000,-152814205
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,42221495,47760347,47947267,48321505,48586775,52543562,55682976,56911039,57020979,57534113,58659799,82749058,118395082,141616227,142705370,176410224,127096757422,169142725
67,Total Stockholders Equity,- -,- -,-2588662,-1645871,39747313,43215896,42021788,40186443,36315049,38180293,38941207,34935838,29941585,25425265,23377195,49003131,79010113,93020255,81824666,102605903,49550068,16502930
68,Total Liabilities And Stockholders Equity,- -,- -,31090103,31799992,73113987,96580351,106601526,140269537,193757287,198298822,197716335,200352041,196640324,222293988,295687381,389203116,403690389,408798565,493041141,488425522,428882056068,436054830
69,Minority Interest,- -,- -,-489365,-1042536,21118257,21805572,21001287,19689453,17461147,15660933,11867096,8947405,7390545,5746114,4132662,3855237,2329175,1154775,441706,-1198732,44151754932,- -
70,Total Liabilities & Equity,- -,- -,30600738,30757456,94232244,118385923,127602813,159958990,211218434,213959755,209583431,209299446,204030869,228040102,299820043,393058353,406019564,409953340,493482847,487226790,473033811000,436054830
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1301236/000156459021015129/0001564590-21-015129-index.htm,https://www.sec.gov/Archives/edgar/data/1301236/000156459022011824/0001564590-22-011824-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,139836,-1540944,2481451,3181012,2461017,-597887,-3010587,-2382944,-4844446,-4104675,-3454059,-584671,5356666,926716,442503,109936,1909444,-43122019000,-28539640
74,Depreciation and Amortization,- -,- -,- -,2045250,1887633,4309575,5053589,5050234,6346222,8420085,8506802,8702880,8661769,8467228,11969284,13591495,15019071,16999619,20884643,21637316,19896772,19909226000
75,Deferred Income Tax,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,265696,134510,254626,74930,110400,176440,245565,285978,211682,347387,379153,385561,754111,689547000
77,Change in Working Capital,- -,- -,- -,182100,1831473,- -,- -,- -,-1050269,5426905,142216,-8845526,10578952,-24389420,-18963458,-850978,48771690,18995492,-23227518,7558775,34790380139,-34403758478
78,Accounts Receivable,- -,- -,- -,- -,-1540746,-2018177,48200,-1024893,314214,-272958,-243220,165764,212822,-111698,369685,-2050703,165804,-1881970,-754475,2115018,2732550,-2640487000
79,Inventory,- -,- -,- -,- -,- -,-390789,-54720,-1443084,-2750024,-514294,-371523,380260,122645,16536,-1677032,-623980,-334063,-2780246,1620941,-162621,- -,- -
80,Accounts Payable,- -,- -,- -,- -,2732733,-82091,156831,2360533,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1630584000
81,Other Working Capital,- -,- -,- -,-1831473,- -,- -,- -,- -,-1050269,4376636,4518852,-4326674,6252278,-18137142,-37100600,-37951578,10820112,29815604,6588086,14146861,34804527000,400768522
82,Other Non-Cash Items,- -,- -,- -,343409,-1860199,-351390,2609104,5275176,2250804,-7788308,-1792430,12462304,-6234489,28794562,22184535,-7005787,-47789750,-21027453,28017157,-9030286,8299724038,16156028118
83,Cash Provided by Operating Activities,- -,- -,- -,2710595,117963,6439636,10843705,12786427,7214566,3182605,4728270,7550142,9011957,9594751,14851255,11377374,17139409,15757548,26163371,22460810,-11263940,2322503000
84,CAPEX,- -,- -,- -,-1278647,-55548608,-12760313,-14734996,-33257184,-46537561,-12792570,-2886325,-5979832,- -,-35631959,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-6606155,-4622164,318521,238386,437500,- -,-30725959,-61106085,-25525754,- -,-3986849,-79732716,-6346378,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-2397600,-3464611,-3000000,2027267,4861025,-771976,1466835,-821669,-587941,-3156121,36830329,-9990493,-15606848,-12940766,-14309338,-21166331,-12362701,-3778981,-2387755000
89,Cash Used for Investing Activites,- -,- -,- -,-2397600,-59013219,-15760313,-12707729,-35002314,-51931701,-11007214,-3469608,-6130273,-3156121,-29527589,-71096578,-41132602,-12940766,-18296187,-100899047,-18709079,-3778981,-2387755000
90,Debt Repayment,- -,- -,- -,-916459,-1292311,-3554496,-12350983,-564958,-1102565,-5138990,-1055783,-55613747,-33270683,-8703390,-24171892,-120154764,-117219564,-51290271,-107237891,-31633624,-2609861,- -
91,Common Stock Issued,- -,- -,- -,- -,60000000,7000000,- -,- -,- -,3412288,- -,- -,- -,- -,124911,23250818,- -,- -,574174,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5192627,-490000,- -,- -,- -,- -,-35289,-7150,-11549782,-14446843,-25621,- -,-2061407,-8583649,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-3419040,-4560760,-4672450,-4704448,-214037,- -,-258825,-1167216,-1823723,-2686567,-4103529,-6191702,-9727040,-12149583,-14961867,-4189328,- -
94,Other Financing Activites,- -,- -,- -,516449,13775017,1971670,19719448,29996504,48254595,11536688,-665189,55876924,42897602,47107706,90262363,125622118,141546891,70150669,197988215,32959715,29158420,-9656757000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-400010,67290079,1508134,2807705,24759096,42447582,9595949,-1756261,-2798,-3090079,22133750,63503194,24614643,16074218,549709,79174915,-13635776,22359231,-9656757000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-87016,-87016,-7812543,943681,2543209,-2269553,1771340,-497599,1417071,2765757,2200912,7257871,-5140585,20272861,-1988930,4439239,-9884045,7316310,25543236454
98,Cash at the End of Period,- -,- -,- -,67365,67365,501810,1445491,3988700,1719147,3490487,2992888,4409959,7175716,9376628,16634499,11493914,31766775,29777845,37868281,27984236,35300546,25578537000
99,Cash at the Beginning of Period,- -,- -,- -,154381,154381,8314353,501810,1445491,3988700,1719147,3490487,2992888,4409959,7175716,9376628,16634499,11493914,31766775,33429042,37868281,27984236,35300546
100,Free Cash Flow,- -,- -,- -,1431948,-55430645,-6320677,-3891291,-20470757,-39322995,-9609965,1841945,1570310,9011957,9594751,14851255,11377374,17139409,15757548,26163371,22460810,-11263940,2322503000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1301236/000156459021015129/0001564590-21-015129-index.htm,https://www.sec.gov/Archives/edgar/data/1301236/000156459022011824/0001564590-22-011824-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
