,https://roic.ai/company/MMRTY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19,Total Other Income Expenses (Gains),- -,-1538000000,-1778300000,-2122900000,-2543900000,-32200000,-3607400000,-4065500000,-4573000000,-50400000,-117200000,-204100000,-76700000,-365300000,-525200000,-522700000,-393100000,-621600000,-2063200000,-2833400000
20,Income Before Tax,- -,490200000,654500000,846700000,916000000,1295900000,1628900000,2021000000,1902000000,1820000000,1504100000,1834100000,1897400000,1620800000,1675100000,1911500000,2170800000,1268100000,-1090100000,-1876200000
21,Income Before Tax Ratio,- -,0.0293,0.0321,0.0356,0.0345,0.0432,0.0468,0.0508,0.0441,0.0384,0.0284,0.0300,0.0263,0.0207,0.0198,0.0209,0.0232,0.0139,-0.0116,-0.0217
22,Income Tax expense (Gain),- -,164400000,215200000,275500000,307000000,444600000,554800000,662900000,620400000,608200000,585300000,618200000,555300000,483400000,505900000,588900000,649100000,399400000,206300000,-122800000
23,Net Income,- -,321700000,429300000,562300000,606800000,853200000,1074100000,1358100000,1281600000,1211800000,918800000,1179600000,1283000000,1079800000,1112800000,1308200000,1507700000,888600000,-1307500000,-1737700000
24,Net Income ratio,- -,0.0193,0.0211,0.0236,0.0228,0.0285,0.0309,0.0341,0.0297,0.0255,0.0174,0.0193,0.0178,0.0138,0.0131,0.0143,0.0161,0.0098,-0.0140,-0.0201
25,EPS,- -,6.55,8.71,11.36,12.25,16.69,21.05,26.53,24.39,22.62,16.56,10.72,11.64,9.80,10.11,11.91,13.79,8.08,-12.01,-15.97
26,EPS Diluted,- -,6.50,8.47,10.95,11.84,16.25,20.67,25.90,23.85,21.64,15.70,10.49,11.52,9.71,9.97,11.70,13.53,7.91,-12.01,-15.97
27,Weighted Average Shares Outstanding,- -,49109110,49285946,49510101,49524861,49648413,49885998,49521281,49652298,49958097,50646266,109465684,110174636,110160738,110059821,109878963,109332190,109898173,108843224,108843224
28,Weighted Average Shares Outstanding Diluted,- -,49470916,50707566,51325182,51279216,50987048,50775950,50733434,50781900,52214206,53425199,111875524,111359642,111251344,111669073,111777963,111402250,112279124,109896568,108843224
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,612100000,1105800000,841100000,1441600000,1245700000,1059600000,1055800000,1368300000,1549100000,1305400000,2196100000,2067400000,2004900000,2802300000,2393600000,2369800000,1291800000,3349200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43600000,- -,20600000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,612100000,1105800000,841100000,1441600000,1245700000,1059600000,1055800000,1368300000,1549100000,1305400000,2196100000,2111000000,2004900000,2822900000,2393600000,2369800000,1291800000,3349200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,2236700000,2356500000,2658000000,3221000000,4027300000,4758600000,4893200000,5601500000,6199700000,7615600000,10115500000,11228800000,11934500000,11803000000,10984600000,12180900000,11893800000,11880600000
36,Other Current Assets,- -,- -,1464400000,1997800000,1848400000,1921700000,2128400000,2074600000,2180400000,2344700000,3678800000,2974900000,3724500000,4530300000,4748200000,4722400000,5515600000,6054500000,5245500000,3217100000
37,Total Current Assets,- -,- -,4313200000,5460100000,5347500000,6584300000,7401400000,7892800000,8129400000,9314500000,11427600000,11895900000,16036100000,17870100000,18687600000,19348300000,18893800000,20605200000,18431100000,18446900000
38,PP&E,- -,- -,546200000,570100000,918900000,944300000,1123800000,1393000000,1696600000,2055200000,2717800000,3520600000,5988100000,7239200000,8117800000,8470100000,9214700000,9647200000,16869100000,16796900000
39,Goodwill,- -,- -,499700000,614000000,1149900000,1196400000,1346800000,1362300000,1588200000,1875000000,2049400000,- -,2532000000,2542900000,- -,2592900000,2596100000,2599200000,2598200000,2074600000
40,Intangible Assets,- -,- -,- -,- -,- -,102300000,130200000,132000000,159200000,220800000,309000000,- -,396800000,415800000,- -,566100000,782800000,1057100000,1267400000,1198000000
41,Intangible Assets,- -,- -,499700000,614000000,1149900000,1298700000,1477000000,1494300000,1747400000,2095800000,2358400000,2868500000,2928800000,2958700000,2999100000,3159000000,3378900000,3656300000,3865600000,3272600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,- -,122700000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,419200000,238300000,265000000,330200000,672100000,662200000,749200000,724200000,652600000,743100000,885700000,1558800000
44,Other Non-Current Assets,- -,- -,434900000,396200000,672900000,791100000,847400000,1120800000,534300000,585600000,505500000,559700000,522800000,86200000,176600000,59200000,176100000,130800000,286500000,664400000
45,Total Non-Current Assets,- -,- -,1480800000,1580300000,2741700000,3034100000,3448200000,4008100000,4397500000,4974900000,5846700000,7279000000,10111800000,11036300000,12042700000,12535200000,13422300000,14177400000,21906900000,22292700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,5794000000,7040400000,8089200000,9618400000,10849600000,11900900000,12526900000,14289400000,17274300000,19174900000,26147900000,28906400000,30730300000,31883500000,32316100000,34782600000,40338000000,40739600000
48,Accounts Payable,- -,- -,3598800000,4422200000,4872500000,- -,- -,- -,8028600000,9194300000,9381800000,11441700000,13807000000,14841500000,20077700000,16139400000,17396700000,18698200000,17764300000,15785400000
49,Short-Term Debt,- -,- -,107600000,159600000,528800000,240300000,37000000,37700000,30700000,57400000,804700000,1281500000,1094700000,1404000000,1652500000,1180500000,1299400000,2360100000,1714000000,5646200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,93400000,275700000,293500000,6291900000,7425600000,8080800000,512600000,550600000,1700900000,259000000,3670200000,3896900000,155600000,3657600000,3294000000,3501200000,4937500000,6168100000
53,Total Current Liabilities,- -,- -,3799800000,4857500000,5694800000,6532200000,7462600000,8118500000,8571900000,9802300000,11887400000,12982200000,18571900000,20142400000,21885800000,20977500000,21990100000,24559500000,24415800000,27599700000
54,Long-Term Debt,- -,- -,248500000,202100000,139800000,519700000,402700000,267700000,- -,385800000,1016000000,852700000,2001000000,3048300000,1819600000,4471700000,3464700000,2953200000,2007000000,300700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,25700000,64900000,97500000,97200000,115500000,141900000,148500000,19400000,22200000,28500000,86600000,61300000,73500000,73900000,66300000,76700000,79700000,153000000
57,Other Non-Current Liabilities,- -,- -,31500000,34000000,504400000,516900000,604000000,606300000,667800000,490100000,167000000,746700000,118800000,127200000,1160300000,176800000,403600000,664600000,9034500000,9734700000
58,Total Non-Current Liabilities,- -,- -,305700000,301000000,741700000,1133800000,1122200000,1015900000,816300000,895300000,1205200000,1627900000,2206400000,3236800000,3053400000,4722400000,3934600000,3694500000,11121200000,10188400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,4105500000,5158500000,6436500000,7666000000,8584800000,9134400000,9388200000,10697600000,13092600000,14610100000,20778300000,23379200000,24939200000,25699900000,25924700000,28254000000,35537000000,37788100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,- -,2200000,2200000,2200000,2200000,2200000,2200000,2200000,2200000
64,Retained Earnings,- -,- -,1009900000,1390300000,1304800000,1493800000,1776900000,2313100000,2604600000,2861100000,2775600000,- -,3909900000,4048300000,4223400000,5099100000,5491400000,5643100000,3809800000,2074800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1583100000,-1866300000,- -,-2910100000,-3344200000,- -,-4469100000,-5009600000,-5574000000,-7679700000,-9857600000
66,Other Total Stockholders Equity,- -,- -,676600000,489600000,345900000,456600000,485900000,451400000,490100000,2311800000,3270400000,4564800000,4367600000,4820900000,1565500000,5551500000,5907400000,6457300000,8668500000,10732100000
67,Total Stockholders Equity,- -,- -,1688500000,1881900000,1652700000,1952400000,2264800000,2766500000,3096700000,3591800000,4181700000,4564800000,5369600000,5527200000,5791100000,6183700000,6391400000,6528600000,4800800000,2951500000
68,Total Liabilities And Stockholders Equity,- -,- -,5794000000,7040400000,8089200000,9618400000,10849600000,11900900000,12484900000,14289400000,17274300000,19174900000,26147900000,28906400000,30730300000,31883600000,32316100000,34782600000,40337800000,40739600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,42000000,- -,- -,- -,- -,- -,- -,-100000,- -,- -,200000,- -
70,Total Liabilities & Equity,- -,- -,5794000000,7040400000,8089200000,9618400000,10849600000,11900900000,12526900000,14289400000,17274300000,19174900000,26147900000,28906400000,30730300000,31883500000,32316100000,34782600000,40338000000,40739600000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,321700000,429300000,562300000,606800000,853200000,1074100000,1358100000,1281600000,1211800000,918800000,1179600000,1283000000,1079800000,1112800000,1308200000,1507700000,888600000,-1307500000,-1737700000
74,Depreciation and Amortization,- -,106200000,107800000,133500000,156900000,202900000,240900000,297800000,343100000,386500000,486300000,594200000,772700000,871200000,946200000,1113100000,1114400000,1156000000,3301700000,3849800000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,149400000,110700000,- -,126300000,127900000,- -,194600000,163700000,194600000,128000000,10500000
77,Change in Working Capital,- -,38900000,-63600000,255300000,97900000,260400000,-28300000,-73200000,63800000,292600000,-625400000,53900000,752600000,-295100000,372000000,-263000000,705800000,-545800000,-82000000,-187900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-629900000,-589300000,- -,-424000000,-1112400000,-705700000,131500000,260800000,-1024600000,143400000,-489100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,7300000,28300000,-10000000,-351600000,-397600000,-473600000,-653200000,-799900000,-786700000,-776900000,-704800000,-1020100000,-1038200000,-660600000,-97400000,-819600000,-351400000,126400000,584100000
83,Cash Provided by Operating Activities,- -,474100000,501800000,941100000,510000000,918900000,813100000,929500000,888600000,1253600000,113500000,1122900000,1914500000,745600000,1770400000,2255500000,2672000000,1342000000,2166600000,2518800000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-710400000,-2087000000,-2179500000,-1694400000,-1780400000,-1816800000,-1606000000,-1371900000,-1034100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1188400000,- -,-50000000,-100000,-710700000,-953700000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-196600000,-509000000,-435300000,-1109000000,-459500000,-690800000,-898200000,-697400000,-1130700000,-109500000,-1608000000,-270800000,-100000000,759500000,728200000,-349700000,-371700000,-393400000,-164900000
89,Cash Used for Investing Activites,- -,-196600000,-509000000,-435300000,-1109000000,-459500000,-690800000,-898200000,-697400000,-1130700000,-1297900000,-1608000000,-2306300000,-2146500000,-1645600000,-1774900000,-1806700000,-1546900000,-1311300000,-1005400000
90,Debt Repayment,- -,-88400000,-48300000,-65100000,-73500000,- -,-45200000,-135400000,-167700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1062200000,-5288300000
91,Common Stock Issued,- -,- -,- -,12800000,- -,- -,- -,- -,- -,- -,481900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-29500000,- -,- -,-226000000,-99700000,-82200000,-97500000,-140200000,- -,-121800000,-27400000,- -,-103200000,-193100000,-221100000,-48400000,-66200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-145500000,79100000,42000000,50900000,506000000,-17200000,12400000,89200000,291300000,273600000,345900000,414800000,1377100000,-25500000,1062700000,-949100000,459800000,-951200000,6032600000
95,Cash Used/Provided by Financing Activities,- -,-233900000,30800000,-39800000,-22600000,506000000,-288400000,-222700000,-160700000,193800000,615300000,345900000,293000000,1349700000,-25500000,959500000,-1142200000,238700000,-2061800000,678100000
96,Effect of Forex Changes on Cash,- -,7900000,-10500000,-4200000,5400000,6100000,-1500000,4600000,-27300000,-30900000,2600000,67600000,47200000,-53700000,-24200000,-376900000,-38700000,29900000,-12700000,-88200000
97,Net Change In Cash,- -,51500000,13100000,461800000,-616200000,971500000,-167600000,-186800000,-160700000,285800000,-566500000,-71600000,-51600000,-104900000,75100000,1063200000,-315600000,63700000,-1219200000,2103300000
98,Cash at the End of Period,- -,550300000,563400000,1025200000,409000000,1376300000,1208700000,1021900000,- -,1310900000,744400000,672800000,1588300000,1483400000,1558500000,2621700000,2306100000,2369800000,1150600000,3253900000
99,Cash at the Beginning of Period,- -,498800000,550300000,563400000,1025200000,404800000,1376300000,1208700000,- -,1025100000,1310900000,744400000,1639900000,1588300000,1483400000,1558500000,2621700000,2306100000,2369800000,1150600000
100,Free Cash Flow,- -,474100000,501800000,941100000,510000000,918900000,813100000,929500000,888600000,1253600000,113500000,412500000,-172500000,-1433900000,76000000,475100000,855200000,-264000000,794700000,1484700000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,0.0973,0.1335,0.1626,0.15,0.1395,0.1421,0.1277,0.1293,0.1303,0.14706,0.1224,0.09481,0.08639,0.06455,0.07275,0.08073,0.06955,0.07141,0.06801
