,https://roic.ai/company/OIIM,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,2347000,2967000,4910000,5257000,6378000,12059000,13442000,11550000,3467000,2273000,2996000,2397000,1534000,1187000,1134000,2857000,722000,1020000,2018000,1112000,2585000,2126000
37,Total Current Assets,- -,- -,50687000,130978000,131481000,145076000,147128000,141701000,113919000,142280000,134621000,140924000,140923000,147963000,116149000,94750000,79453000,70404000,70482000,65915000,62572000,66850000,79409000,90399000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3766000,3875000,3944000,4274000,4141000,4242000,17266000,23611000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1407000,1379000,1350000,4929000,4266000,1936000,1565000,1238000,1179000,1151000,743000,724000,706000,687000,668000,84089000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1407000,1379000,1350000,4929000,4266000,1936000,1565000,1238000,1179000,1151000,743000,724000,706000,687000,668000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,17000000,24000000,27000000,13199000,15190000,20676000,15939000,15530000,16121000,14754000,9304000,4253000,3112000,10445000,4172000,992000,992000
43,Tax Assets,- -,- -,133000,219000,- -,- -,- -,62000,295000,477000,- -,- -,- -,- -,125000,95000,114000,203000,184000,120000,50000,91000,- -,- -
44,Other Non-Current Assets,- -,- -,3787000,5222000,14355000,24217000,38068000,39485000,57427000,57305000,40524000,36934000,34099000,32944000,38284000,25274000,17500000,11679000,11102000,10955000,11414000,12976000,4369000,3340000
45,Total Non-Current Assets,- -,- -,3920000,5441000,14355000,24217000,38068000,57954000,83101000,86132000,58652000,56390000,56711000,50448000,55177000,42669000,37285000,25804000,20207000,19167000,26737000,22149000,22627000,27943000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,54607000,136419000,145836000,169293000,185196000,199655000,197020000,228412000,193273000,197314000,197634000,198411000,171326000,137419000,116738000,96208000,90689000,85082000,89309000,88999000,102036000,118342000
48,Accounts Payable,- -,- -,3767000,3570000,5202000,6334000,3635000,- -,- -,- -,- -,7368000,8299000,7437000,3756000,4169000,2131000,3333000,4329000,2460000,4582000,4867000,7995000,9175000
49,Short-Term Debt,- -,- -,41000,9000,7000,- -,- -,5760000,9851000,10841000,4120000,8760000,- -,6641000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1076000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272000,- -
52,Other Current Liabilities,- -,- -,2807000,4409000,5479000,8232000,10780000,17999000,13203000,12662000,8495000,774000,8525000,1406000,6939000,5591000,6699000,9347000,4282000,4720000,4594000,6277000,6799000,6080000
53,Total Current Liabilities,- -,- -,6615000,7988000,10688000,14566000,14415000,23759000,23054000,23503000,12615000,16902000,16824000,15484000,10695000,9760000,8830000,12680000,8611000,7180000,9176000,11144000,15066000,16331000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341000,- -,66000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1775000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302000,- -,302000,- -,- -,- -,- -,- -,930000,906000,681000,589000,- -,537000
57,Other Non-Current Liabilities,- -,- -,64000,7000,- -,- -,- -,- -,455000,730000,576000,627000,808000,757000,10259000,1049000,642000,411000,364000,441000,406000,2211000,- -,215000
58,Total Non-Current Liabilities,- -,- -,64000,7000,- -,- -,- -,- -,455000,730000,878000,968000,1110000,823000,10259000,1049000,642000,411000,1294000,1347000,1087000,2800000,- -,2527000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2881000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2759000,2956000,2851000
61,Total Liabilities,- -,- -,6679000,7995000,10688000,14566000,14415000,23759000,23509000,24233000,13493000,17870000,17934000,16307000,20954000,10809000,9472000,13091000,9905000,8527000,10263000,13944000,17947000,18858000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,33000,38000,39000,39000,39000,39000,38000,38000,37000,36000,34000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
64,Retained Earnings,- -,- -,-223000,-1121000,9608000,18133000,31271000,38739000,33877000,56847000,36746000,33214000,36937000,42658000,16865000,-2234000,-17291000,-38386000,-41372000,-47517000,-45912000,-51773000,-46744000,-35158000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2991000,-4673000,-6904000,-9695000,-12851000,-15244000,-21230000,-22737000,-24449000,-26264000,-29237000,-28178000,-28478000,7000000,5000000,4000000,5000000,5000000,5000000,5740000,5873000
66,Other Total Stockholders Equity,- -,- -,48118000,132498000,130174000,143459000,149166000,149969000,154840000,168524000,165734000,170643000,168993000,168650000,161652000,157289000,117524000,116470000,118123000,119039000,119925000,121795000,125060000,128736000
67,Total Stockholders Equity,- -,- -,47928000,128424000,135148000,154727000,170781000,175896000,173511000,204179000,179780000,179444000,179700000,182104000,150372000,126610000,107266000,83117000,80784000,76555000,79046000,75055000,84089000,99484000
68,Total Liabilities And Stockholders Equity,- -,- -,54607000,136419000,145836000,169293000,185196000,199655000,197020000,228412000,193273000,197314000,197634000,198411000,171326000,137419000,116738000,96208000,90689000,85082000,89309000,88999000,102036000,118342000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,54607000,136419000,145836000,169293000,185196000,199655000,197020000,228412000,193273000,197314000,197634000,198411000,171326000,137419000,116738000,96208000,90689000,85082000,89309000,88999000,102036000,118342000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1095348/000101287003002335/d20f.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095348/000119312509108579/d20f.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184310000975/f20f_052010.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184311001579/f20f_052011.htm,- -,https://www.sec.gov/Archives/edgar/data/1095348/000117184313001663/f20f_043013.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184314002034/f20f_042914.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184315002381/f20f_043015.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184316009559/f20f_042816p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184317002014/f20f_040617p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184318002832/f20f_042018p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184319002736/f20f_042619p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184320003137/f20f_043020p.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,838000,6644000,5634000,10729000,13201000,14084000,8147000,743000,24984000,-13809000,-2817000,12202000,9006000,-25793000,-19099000,-15057000,-21095000,-2986000,-6145000,2088000,-5039000,6127000,- -
74,Depreciation and Amortization,- -,1236000,1262000,1346000,2055000,2958000,3078000,3948000,5186000,6927000,6924000,5929000,5282000,5077000,5372000,4685000,3718000,2446000,1682000,1667000,1641000,1780000,3225000,- -
75,Deferred Income Tax,- -,- -,-264000,-153000,198000,386000,-68000,527000,-845000,-194000,46000,-15000,242000,-92000,101000,41000,78000,1989000,-1231000,40000,-155000,-133000,-5000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2688000,3395000,3894000,3672000,3067000,2609000,2120000,1912000,1606000,1589000,1421000,1462000,1414000,- -
77,Change in Working Capital,- -,-494000,-4799000,2664000,-3564000,-1879000,-2628000,-1611000,-2690000,-12896000,12922000,5987000,-2820000,3425000,6756000,-12019000,-1990000,1013000,-5722000,-4874000,-4436000,2718000,-10992000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13605000,-3978000,1317000,1177000,3289000,-1251000,3235000,1592000,-2008000,-1979000,-2204000,1053000,-6095000,- -
79,Inventory,- -,-1947000,-2355000,111000,-1606000,-2646000,-1618000,-4712000,1867000,-8164000,5720000,6931000,-4228000,5757000,-1211000,-200000,-2963000,-1933000,-1140000,-697000,-2286000,133000,-4197000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2885000,413000,-2038000,1202000,996000,-1869000,2122000,285000,3128000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,90000,-7000,-1224000,- -,- -,-1454000,-66000,-8918000,-985000,-416000,-375000,-553000,-983000,-571000,-3019000,- -
82,Other Non-Cash Items,- -,-2000,225000,21000,105000,90000,-337000,8000,884000,2562000,16993000,250000,2213000,-1188000,3512000,793000,803000,5120000,-1147000,485000,-8594000,73000,-522000,- -
83,Cash Provided by Operating Activities,- -,1578000,3068000,9512000,9523000,14756000,14129000,11019000,3278000,21383000,25764000,12729000,21013000,19900000,-6985000,-22990000,-10328000,-8615000,-7798000,-7238000,-8035000,861000,-753000,- -
84,CAPEX,- -,-806000,-1502000,-2295000,-4275000,-1749000,- -,-14870000,-23367000,-8123000,-2701000,-1123000,-2307000,-2013000,-2151000,-743000,-1004000,-724000,-673000,-704000,-1272000,-1672000,-2476000,- -
85,Acquisitions Net,- -,- -,-125000,-122000,- -,- -,-8354000,- -,- -,- -,-319000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-500000,-11514000,-194199000,-116285000,-170906000,-157381000,-106828000,-75499000,-104963000,-38245000,-33543000,-39506000,-24722000,-15746000,-22346000,-7128000,-28797000,-8505000,-11197000,-34649000,-4491000,- -
87,Sales/Maturities of Investments,- -,- -,- -,1513000,165970000,105146000,156041000,158132000,134297000,66672000,55849000,37116000,35648000,20146000,48964000,52131000,35637000,17292000,24330000,13798000,25122000,12014000,14542000,- -
88,Other Investing Activites,- -,-424000,-1718000,-213000,-2165000,-10632000,-2009000,-5162000,-2406000,2682000,15716000,-227000,1103000,423000,-9788000,10275000,2097000,3419000,3877000,167000,4000,2176000,284000,- -
89,Cash Used for Investing Activites,- -,-1230000,-3845000,-12631000,-34669000,-23520000,-25228000,-19281000,1696000,-14268000,-36125000,-2479000,901000,-20950000,12303000,45917000,14384000,12859000,-1263000,4756000,12657000,-22131000,7859000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,23000,32486000,75129000,2400000,6575000,2314000,2295000,1339000,3374000,869000,575000,500000,541000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-6823000,-647000,-1368000,-4355000,-7550000,-4330000,-11779000,-3905000,-20460000,-10233000,-10916000,-8279000,-4965000,-3233000,-619000,-708000,-451000,-510000,-146000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-331000,-31000,-93000,-10000,-6000,- -,- -,- -,- -,65000,114000,33000,453000,612000,360000,302000,211000,75000,113000,96000,116000,553000,- -
95,Cash Used/Provided by Financing Activities,- -,-308000,32455000,75036000,-4433000,5922000,946000,-2060000,-6211000,-956000,-10845000,-3216000,-19927000,-9239000,-10304000,-7919000,-4663000,-3022000,-544000,-595000,-355000,-394000,407000,- -
96,Effect of Forex Changes on Cash,- -,-13000,-176000,-429000,99000,-3000,-16000,377000,300000,1000000,453000,-47000,1459000,574000,322000,-613000,-617000,-1092000,-262000,265000,-374000,-53000,545000,- -
97,Net Change In Cash,- -,27000,31502000,71488000,-29480000,-2845000,-10169000,-9945000,-937000,7159000,-20753000,6987000,3446000,-9715000,-4664000,14395000,-1224000,130000,-9867000,-2812000,3893000,-21717000,8058000,- -
98,Cash at the End of Period,- -,5946000,37448000,108936000,69334000,66489000,56320000,46375000,45438000,52597000,31844000,38831000,42277000,32562000,27898000,42293000,41069000,41199000,31332000,28520000,32448000,10731000,18789000,- -
99,Cash at the Beginning of Period,- -,5919000,5946000,37448000,98814000,69334000,66489000,56320000,46375000,45438000,52597000,31844000,38831000,42277000,32562000,27898000,42293000,41069000,41199000,31332000,28555000,32448000,10731000,- -
100,Free Cash Flow,- -,772000,1566000,7217000,5248000,13007000,14129000,-3851000,-20089000,13260000,23063000,11606000,18706000,17887000,-9136000,-23733000,-11332000,-9339000,-8471000,-7942000,-9307000,-811000,-3229000,- -
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095348/000101287003002335/d20f.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095348/000119312509108579/d20f.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184310000975/f20f_052010.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184311001579/f20f_052011.htm,- -,https://www.sec.gov/Archives/edgar/data/1095348/000117184313001663/f20f_043013.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184314002034/f20f_042914.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184315002381/f20f_043015.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184316009559/f20f_042816p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184317002014/f20f_040617p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184318002832/f20f_042018p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184319002736/f20f_042619p.htm,https://www.sec.gov/Archives/edgar/data/1095348/000117184320003137/f20f_043020p.htm,- -,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,
