,https://roic.ai/company/STE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,13333333,20000000,34136000,34740000,35044000,39008000,67356000,67871503,68467742,65531250,65850000,68958209,69680702,69296324,69338710,68241748,65202381,63201639,58778000,58826000,59306000,58367000,58305000,58966000,59413000,70698000,85473000,85028000,84577000,84778000,85203000
28,Weighted Average Shares Outstanding Diluted,13333333,20000000,34136000,34740000,35044000,39008000,67356000,70049198,70750000,69900000,65850000,71080000,70925000,70859398,69902439,68910784,65724000,64255000,59544000,59423000,60148000,58963000,58844000,59745000,60045000,71184000,86094000,85713000,85468000,85641000,85898000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1757898/000175789820000012/0001757898-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789821000017/0001757898-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25941000,80408000,26179000,72732000,52296000,51868000,154180000,214971000,193016000,150821000,142008000,152802000,167689000,248841000,282918000,201534000,220633000,319581000,220531000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25941000,80408000,26179000,72732000,52296000,51868000,154180000,214971000,193016000,150821000,142008000,152802000,167689000,248841000,282918000,201534000,220633000,319581000,220531000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211687000,255437000,281401000,242002000,251207000,249814000,238438000,214940000,272248000,280324000,275937000,313686000,325289000,471523000,483451000,528066000,564830000,586481000,609406000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90135000,98249000,96197000,112224000,131997000,147210000,130218000,121135000,167344000,157712000,144443000,155146000,160818000,192792000,197837000,205731000,208243000,248259000,315067000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26669000,28584000,16355000,33357000,49220000,64484000,30294000,25411000,73198000,63026000,51552000,53111000,66636000,59369000,53596000,54326000,60029000,54430000,66750000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354432000,462678000,420132000,460315000,484720000,513376000,553130000,576457000,705806000,651883000,613940000,674745000,720432000,972525000,1017802000,989657000,1053735000,1208751000,1211754000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,345621000,374102000,413578000,401536000,388899000,384642000,350996000,346858000,370402000,386409000,431952000,454410000,493053000,1064319000,915908000,1010524000,1031582000,1243692000,1385542000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332947000,337980000,- -,- -,- -,305849000,489466000,517011000,592641000,2156603000,2231303000,2433784000,2322928000,2356085000,3026049000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192416000,230993000,350156000,326529000,- -,- -,- -,- -,- -,31935000,214958000,230704000,268004000,1123339000,724887000,726980000,604614000,565473000,898406000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192416000,230993000,350156000,326529000,332947000,337980000,305189000,305311000,318810000,337784000,704424000,747715000,860645000,3279942000,2956190000,3160764000,2927542000,2921558000,3924455000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160270000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2523000,2037000,1856000,593000,2604000,3294000,7624000,9776000,31667000,29620000,10793000,10292000,25336000,29630000,34555000,39389000,60212000,-108689000,52720000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540560000,607132000,765590000,728658000,724450000,725916000,663809000,661945000,720879000,753813000,1147169000,1212417000,1379034000,4373891000,3906653000,4210677000,4019336000,4216831000,5362717000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894992000,1069810000,1185722000,1188973000,1209170000,1239292000,1216939000,1238402000,1426685000,1405696000,1761109000,1887162000,2099466000,5346416000,4924455000,5200334000,5073071000,5425582000,6574471000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72969000,67988000,67550000,87057000,76184000,75532000,68573000,66035000,90981000,83188000,79374000,102430000,99340000,139572000,133479000,135866000,152913000,149341000,156950000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22774000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27561000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22919000,24833000,- -,- -,- -,51412000,40422000,39441000,34910000,56238000,71020000,74698000,55333000,160270000,62492000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118082000,122440000,154265000,147089000,118296000,129994000,133453000,131094000,253765000,143795000,99041000,112635000,149081000,204796000,177084000,187898000,256950000,193996000,335704000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191051000,190428000,221815000,234146000,217399000,230359000,202026000,197129000,344746000,278395000,218837000,254506000,283331000,400606000,381583000,398462000,465196000,503607000,577920000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59704000,109090000,104274000,114480000,100800000,179280000,210000000,210000000,210000000,210000000,492290000,493480000,623250000,1567796000,1478361000,1316001000,1183227000,1150521000,1780213000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29568000,38862000,35135000,17826000,5902000,18109000,20749000,26662000,42703000,44924000,59053000,71905000,254824000,171805000,159971000,151038000,- -,236860000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74707000,60025000,65133000,74385000,98853000,117276000,69068000,56030000,56612000,51934000,58078000,38877000,47334000,84298000,82673000,108600000,87812000,377578000,88010000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134411000,198683000,208269000,224000000,217479000,302458000,297177000,286779000,293274000,304637000,595292000,591410000,742489000,1906918000,1732839000,1584572000,1422077000,1528099000,2105083000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133923000,152447000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325462000,389111000,430084000,458146000,434878000,532817000,499203000,483908000,638020000,583032000,814129000,845916000,1025820000,2307524000,2114422000,1983034000,1887273000,2031706000,2683003000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,15000,15000,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224355000,224999000,211657000,- -,- -,- -,- -,- -,- -,244091000,239648000,246186000,264853000,2151719000,2085134000,2048037000,1998564000,1982164000,2002825000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357303000,451546000,537526000,596878000,667267000,721331000,814359000,798809000,816846000,914401000,1031183000,1112240000,1193791000,939459000,954155000,1146223000,1339024000,1647175000,1939408000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-209081000,-247648000,-290833000,-327574000,-375136000,-412165000,-406105000,-453971000,-485259000,-523018000,-549356000,-590959000,-627694000,-683948000,-667007000,-779865000,-955735000,-235000000,-61243000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196953000,251802000,297288000,461523000,482161000,397309000,309482000,409656000,457078000,185927000,223467000,271238000,240682000,615789000,426305000,791550000,795957000,-463000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569530000,680699000,755638000,730827000,774292000,706152000,717736000,753714000,787569000,821401000,944942000,1038705000,1071632000,3023034000,2798602000,3205960000,3177810000,3393876000,3880990000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894992000,1069810000,1185722000,1188973000,1209170000,1238969000,1216939000,1237622000,1425589000,1404433000,1759071000,1884621000,2097452000,5330558000,4913024000,5188994000,5065083000,5425582000,6563993000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323000,- -,780000,1096000,1263000,2038000,2541000,2014000,15858000,11431000,11340000,7988000,- -,10478000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894992000,1069810000,1185722000,1188973000,1209170000,1239292000,1216939000,1238402000,1426685000,1405696000,1761109000,1887162000,2099466000,5346416000,4924455000,5200334000,5073071000,5425582000,6574471000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1757898/000175789820000012/0001757898-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789821000017/0001757898-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,2500000,6300000,8700000,12800000,-30600000,65496000,84900000,10485000,1317000,46202000,79436000,94243000,85980000,70289000,82155000,77106000,110685000,128467000,51265000,136115000,159977000,129442000,135064000,110763000,109965000,290915000,304051000,407605000,397400000
74,Depreciation and Amortization,200000,200000,400000,700000,1200000,1800000,16500000,24202000,33300000,39672000,46571000,46884000,46515000,48683000,51192000,57919000,60257000,62778000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225921000,197235000,219237000
75,Deferred Income Tax,- -,- -,- -,1400000,-100000,-700000,-12200000,7446000,14000000,4057000,1652000,12866000,3982000,7970000,14265000,-7552000,-10114000,-10160000,6817000,2178000,-43071000,22093000,23751000,15176000,-4916000,704000,31274000,-24722000,-6511000,9423000,4240000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7370000,7370000,10186000,7858000,8917000,11100000,14921000,16147000,18794000,22187000,23965000,23811000,25966000
77,Change in Working Capital,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163381000,- -,108869000,-73933000,27852000,41152000,15696000,68087000,28224000,-18268000,12428000,21615000,25136000,16862000,134818000,64300000,-45024000,-2656000,116605000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000,27764000,-54517000,-6517000,21866000,-28794000,-2774000,-31560000,-48140000,-37731000,-48486000,-17866000,12076000
79,Inventory,-400000,-100000,-500000,-1100000,-700000,-6900000,5100000,-11311000,-13000000,-8449000,32483000,4317000,-12213000,12488000,7848000,-9943000,-16905000,-4903000,675000,15271000,-42233000,11833000,28015000,2767000,-9902000,1810000,-12829000,-5178000,-14617000,-39067000,3769000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2741000,-4522000,23714000,-9120000,-12536000,19377000,-3146000,5249000,6884000,563000,21244000,-2779000,-7213000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163381000,163381000,272250000,198317000,226169000,267321000,283017000,351104000,379328000,361060000,373488000,395103000,420239000,437101000,571919000,636219000,591195000,588539000,705144000
82,Other Non-Cash Items,-100000,-1800000,-2200000,-5500000,-4800000,-8500000,42600000,-85151000,-67700000,16893000,52799000,36071000,-160023000,-27594000,-108917000,115232000,-64410000,-27475000,26816000,18852000,71140000,1574000,22742000,32298000,75835000,110199000,129235000,104952000,37103000,-44859000,-73808000
83,Cash Provided by Operating Activities,-300000,-1600000,700000,2900000,5000000,5400000,16300000,11993000,64500000,71107000,102339000,142023000,133291000,123302000,151389000,161955000,95740000,143401000,167384000,224954000,117744000,149372000,227815000,209631000,246040000,254675000,424086000,457632000,539505000,590559000,689640000
84,CAPEX,-500000,-700000,-1000000,-2700000,-8800000,-10000000,-20500000,-39181000,-118700000,-77131000,-51017000,-65678000,-58592000,-67560000,-56167000,-51170000,-49024000,-56974000,-40889000,-44087000,-77442000,-66682000,-87412000,-86367000,-85255000,-126407000,-172901000,-165457000,-189715000,-214516000,-239262000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-126505000,- -,- -,- -,- -,- -,-37599000,-131106000,-7165000,- -,- -,- -,-1500000,-4000000,-34635000,-399676000,-67059000,-194662000,-604021000,70156000,-37383000,-10835000,-109375000,-908674000
86,Purchases of Investments,- -,- -,- -,-26900000,-9200000,-12700000,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4150000,-1500000,-16900000,- -,- -,- -,-4681000,- -,-6356000,- -,-4955000,- -,-4400000
87,Sales/Maturities of Investments,- -,- -,- -,8400000,13600000,16700000,13200000,2977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2500000,-5100000,-74100000,43084000,- -,-8134000,90000,-2933000,-140000,-2900000,- -,22111000,5752000,5154000,19341000,4605000,1301000,42000,34000,4774000,829000,844000,4846000,-989000,-7719000,4156000,-1823000
89,Cash Used for Investing Activites,-500000,-700000,-1000000,-21200000,-6900000,-11100000,-88400000,-119625000,-118700000,-85265000,-50927000,-68611000,-58732000,-108059000,-187273000,-36224000,-43272000,-51820000,-25698000,-42482000,-97041000,-101275000,-487054000,-148652000,-283769000,-729584000,-104255000,-203829000,-213224000,-319735000,-1154159000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119980000,- -,- -,- -,- -,-70000000,- -,-92567000,-369113000,-222500000,-112087000,-26500000,-65461000
91,Common Stock Issued,- -,3200000,20700000,1500000,900000,4800000,27800000,6584000,10200000,8340000,3368000,6736000,11344000,13187000,21587000,11834000,8997000,14619000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-11400000,-10051000,-17700000,-28712000,- -,- -,-16070000,-16609000,-33868000,-84153000,-60170000,-177171000,-80466000,-310000,-29965000,-56751000,-8002000,-25469000,-30687000,-14369000,-97509000,-65485000,-81494000,-51241000,-14646000
93,Dividends Paid,- -,- -,-1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10937000,-11766000,-14609000,-17657000,-144017000,-33228000,-38560000,-43195000,-48385000,-53513000,-65203000,-93193000,-102929000,-112503000,-123034000,-133837000
94,Other Financing Activites,700000,-300000,100000,-300000,-200000,-600000,-61700000,108154000,68600000,46116000,-64947000,-92173000,-58100000,41459000,-6872000,6855000,-12740000,81231000,190127000,16514000,15255000,7237000,305443000,89648000,153950000,732428000,292716000,34730000,11292000,37629000,559564000
95,Cash Used/Provided by Financing Activities,700000,2900000,19200000,1200000,700000,4200000,-45300000,104687000,61100000,25744000,-61579000,-85437000,-62826000,38037000,-19153000,-76401000,-75679000,-95930000,-27976000,-127813000,-47938000,-88074000,254246000,-54206000,69750000,560289000,-267099000,-356184000,-294792000,-163146000,345620000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-2900000,-459000,-300000,210000,-599000,-261000,1784000,1187000,808000,-145000,2775000,3921000,-11398000,6132000,5280000,-2218000,-3820000,4021000,-17134000,-4228000,-18655000,20997000,-12390000,-8730000,19849000
97,Net Change In Cash,700000,2900000,19200000,1200000,700000,4200000,-45300000,-3404000,61100000,11796000,-10766000,-12286000,13517000,54467000,-54229000,49185000,-20436000,-428000,102312000,60791000,-21955000,-42195000,-8813000,10794000,14887000,81152000,34077000,-81384000,19099000,98948000,-99050000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,17172000,- -,35476000,24710000,12424000,25941000,80408000,26179000,72732000,52296000,51868000,154180000,214971000,193016000,150821000,142008000,152802000,167689000,248841000,282918000,201534000,220633000,319581000,220531000
99,Cash at the Beginning of Period,400000,300000,1000000,19900000,2700000,1600000,140800000,20576000,17200000,23680000,35476000,24710000,12424000,25941000,80408000,23547000,72732000,52296000,51868000,154180000,214971000,193016000,150821000,142008000,152802000,167689000,248841000,282918000,201534000,220633000,319581000
100,Free Cash Flow,-800000,-2300000,-300000,200000,-3800000,-4600000,-4200000,-27188000,-54200000,-6024000,51322000,76345000,74699000,55742000,95222000,110785000,46716000,86427000,126495000,180867000,40302000,82690000,140403000,123264000,160785000,128268000,251185000,292175000,349790000,376043000,450378000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1757898/000175789820000012/0001757898-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1757898/000175789821000017/0001757898-21-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
