,https://roic.ai/company/LPCN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-27.2394,-78.8360,-551700500.0000,-0.0393
22,Income Tax expense (Gain),- -,- -,-55048,200,200,752,700,700,200,200,0
23,Net Income,-5162,-76654,-10590106,-20372676,-18208378,-18971508,-20982860,-11660022,-13007344,-20964819,-634
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-27.2411,-78.8372,-551705763.1579,-0.0393
25,EPS,-0.29,-2.00,-1.44,-1.60,-1.11,-1.04,-1.05,-0.55,-0.50,-0.38,-0.01
26,EPS Diluted,-0.29,-2.00,-1.44,-1.60,-1.11,-1.04,-1.05,-0.55,-0.50,-0.38,-0.01
27,Weighted Average Shares Outstanding,18000,33743,7363076,12766295,16470814,18258149,20051934,21352339,25882273,55688085,86934618
28,Weighted Average Shares Outstanding Diluted,18000,33743,7363076,12766295,16470814,18258149,20051934,21352339,25882273,55688085,86934618
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1535955/000147793213000891/0001477932-13-000891-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420414019291/0001144204-14-019291-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420415015256/0001144204-15-015256-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420416087232/0001144204-16-087232-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420417012930/0001144204-17-012930-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420418013981/0001144204-18-013981-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420419012434/0001144204-19-012434-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000110465920032764/0001104659-20-032764-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000110465921034761/0001104659-21-034761-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000149315222006353/0001493152-22-006353-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,22943,577,45263698,27666055,20007659,5560716,3210749,8077539,9728523,19217382,2950552
32,Short-Term Investments,- -,- -,- -,- -,24375168,21279570,18257321,7173037,4340041,449992,- -
33,Cash and Short-Term Investments,22943,577,45263698,27666055,44382827,26840286,21468070,15250576,14068564,19667374,2950552
34,Net Receivables,- -,- -,- -,- -,144536,38943,3342994,38514,16522,391,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9500,- -,770030,229912,350160,329548,408227,5520113,5545887,5661258,43429123
37,Total Current Assets,32443,577,46033728,27895967,44877523,27208777,25219291,20809203,19630973,25329023,46379675
38,PP&E,- -,- -,28794,73782,75750,103440,75070,18997,3554,- -,7211
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,400252,- -,- -,- -,- -,- -,41667405
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,45000,23753,23753,30753,30753,23753,23753,23753,-35571852
45,Total Non-Current Assets,- -,- -,73794,97535,499755,134193,105823,42750,27307,23753,6102764
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32443,577,46107522,27993502,45377278,27342970,25325114,20851953,19658280,25352776,52482439
48,Accounts Payable,7367,11655,1027021,306276,507067,245915,598070,671280,1182241,1597220,1289342
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,3333333,3333333,3333333,2310825
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,238,238,256754,1327256,2884794,1080254,5747056,487135,449303,1653178,2016458
53,Total Current Liabilities,7605,11893,1283775,1633532,3391861,1326169,6345126,4491748,4964877,6583731,5616625
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,6926532,3814407,2257075,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4591200,1170051,1295796
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,6926532,8405607,3427126,1295796
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7605,11893,1283775,1633532,3391861,1326169,6345126,11418280,13370484,10010857,6912421
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,300,350,1267,1280,1825,1846,2127,2174,3766,7005,8830
64,Retained Earnings,- -,-81816,-47864401,-68237077,-86445455,-105416963,-126399823,-138059845,-151067189,-172032008,-172666407
65,Other Comprehensive Income/Loss,-5162,- -,-1019409,-1034029,-32900,-8493,-4616,-963,-38,- -,-18016
66,Other Total Stockholders Equity,29700,70150,93706290,95629796,128461947,131440411,145382300,147492307,157351257,187366922,218245611
67,Total Stockholders Equity,24838,-11316,44823747,26359970,41985417,26016801,18979988,9433673,6287796,15341919,45570018
68,Total Liabilities And Stockholders Equity,32443,577,46107522,27993502,45377278,27342970,25325114,20851953,19658280,25352776,52482439
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32443,577,46107522,27993502,45377278,27342970,25325114,20851953,19658280,25352776,52482439
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1535955/000147793213000891/0001477932-13-000891-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420414019291/0001144204-14-019291-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420415015256/0001144204-15-015256-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420416087232/0001144204-16-087232-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420417012930/0001144204-17-012930-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420418013981/0001144204-18-013981-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420419012434/0001144204-19-012434-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000110465920032764/0001104659-20-032764-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000110465921034761/0001104659-21-034761-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000149315222006353/0001493152-22-006353-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-5162,-76654,-10590106,-20372676,-18208378,-18971508,-20982860,-11660022,-13007344,-20964819,-634
74,Depreciation and Amortization,- -,- -,21767,14620,26721,31960,28370,18595,15443,3554,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,979151,1892835,1150418,2372615,2716142,1457720,1035834,1373182,- -
77,Change in Working Capital,-2133,-36154,44761269,-18487518,15223227,-15603054,-7008443,-2556710,-1651359,4079196,22017758
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,668811,-449562,200791,-261152,352155,73210,510961,414979,- -
81,Other Working Capital,24838,-11316,44749953,26262435,41485662,25882608,18874165,16317455,14666096,18745292,40763050
82,Other Non-Cash Items,- -,49942,-43760537,19648576,-13548292,13888049,8544776,661592,1941209,205789,-22017124
83,Cash Provided by Operating Activities,-7295,-62866,-8588456,-17304163,-15356304,-18281938,-16702015,-12078825,-11666217,-15303098,- -
84,CAPEX,- -,- -,-1206,-59608,-28689,-59650,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-25789710,-25272225,-33055980,-25552679,-16851568,-6315297,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,800000,28568000,36182000,36838960,19849795,10208000,- -
88,Other Investing Activites,- -,- -,- -,21247,- -,-7000,- -,7000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1206,-38361,-25018399,3229125,3126020,11293281,2998227,3892703,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-3333334,-1666667,- -
91,Common Stock Issued,30000,40500,48518771,- -,32439313,- -,10644883,652334,13595953,14657508,- -
92,Common Stock Repurchased,- -,- -,-53100,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,238,- -,10575,-255119,276994,605870,581145,10000000,56355,7908413,- -
95,Cash Used/Provided by Financing Activities,30238,40500,48476246,-255119,32716307,605870,11226028,10652334,10318974,20899254,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-22366,39886584,-17597643,-7658396,-14446943,-2349967,9866790,1650984,9488859,- -
98,Cash at the End of Period,22943,577,45263698,27666055,20007659,5560716,3210749,13077539,14728523,24217382,- -
99,Cash at the Beginning of Period,- -,22943,5377114,45263698,27666055,20007659,5560716,3210749,13077539,14728523,24217382
100,Free Cash Flow,-7295,-62866,-8589662,-17363771,-15384993,-18341588,-16702015,-12078825,-11666217,-15303098,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1535955/000147793213000891/0001477932-13-000891-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420414019291/0001144204-14-019291-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420415015256/0001144204-15-015256-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420416087232/0001144204-16-087232-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420417012930/0001144204-17-012930-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420418013981/0001144204-18-013981-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000114420419012434/0001144204-19-012434-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000110465920032764/0001104659-20-032764-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000110465921034761/0001104659-21-034761-index.htm,https://www.sec.gov/Archives/edgar/data/1535955/000149315222006353/0001493152-22-006353-index.htm
102,false,,,,,,,,,,,
