,https://roic.ai/company/MLCO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,2113000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2113000,106112000,421208000,2279920000,3620268000,4498289000,4900369000,4884440000,6269980000,7947466000,8813639000,10432563000,10409782000,9340341000,8895056000,8877383000,9488422000,9020967000,8883690000
48,Accounts Payable,- -,568000,149000,2509000,5736000,2494000,8719000,8880000,38733000,13745000,9825000,14428000,15588000,17434000,16041000,24879000,21882000,9483000,5992000
49,Short-Term Debt,- -,- -,- -,6000,- -,- -,44504000,202997000,- -,854940000,262566000,262750000,106505000,50583000,51032000,395547000,146000,- -,65450000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11913000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,42832000,72141000,80421000,80898000,83265000,259693000,423603000,386869000,255884000,277867000,- -
52,Other Current Liabilities,1863000,16956000,138592000,205098000,477949000,447642000,505944000,463727000,521554000,780840000,885158000,958581000,1009328000,1151430000,1193338000,1322712000,1247548000,828900000,950441000
53,Total Current Liabilities,1863000,17524000,138741000,207613000,483685000,450136000,559167000,675604000,603119000,1721666000,1237970000,1316657000,1214686000,1479140000,1684014000,2130007000,1525460000,1116250000,1021883000
54,Long-Term Debt,- -,- -,- -,115647000,614825000,1528163000,1754350000,1661139000,2325980000,2339924000,2270894000,3640031000,3856200000,3669692000,3506530000,3665370000,4393985000,5645391000,6970372000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6321000,14997000,24046000,21286000,19191000,17757000,18010000,70028000,66350000,62806000,58949000,55598000,56451000,53994000,54063000,56677000,45952000,41030000
57,Other Non-Current Liabilities,113000,- -,9286000,42248000,71931000,92195000,60051000,6496000,83201000,78770000,316987000,375256000,351439000,311644000,314902000,282240000,369072000,375303000,30520000
58,Total Non-Current Liabilities,113000,6321000,24283000,181941000,708042000,1639549000,1832158000,1685645000,2479209000,2485044000,2650687000,4074236000,4263237000,4037787000,3875426000,4001673000,4819734000,6066646000,7041922000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,205000,- -,8000,10000,- -,- -,- -,- -,- -,- -,280294000,301539000,300269000,293087000,299283000,288033000,423176000,453160000,475840000
61,Total Liabilities,1976000,23845000,163024000,389554000,1191727000,2089685000,2391325000,2361249000,3082328000,4206710000,3888657000,5390893000,5477923000,5516927000,5559440000,6131680000,6345194000,7182896000,8063805000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6250000,5000000,11809000,13209000,13216000,15956000,16056000,16531000,16581000,16667000,16337000,16309000,14759000,14784000,14830000,14565000,14565000,14565000
64,Retained Earnings,- -,-1007000,-4087000,-77566000,-255717000,-258180000,-566641000,- -,-282510000,134693000,772156000,1227177000,1270074000,570925000,-772338000,-703576000,-644788000,-1987396000,-2799555000
65,Other Comprehensive Income/Loss,- -,-1142000,-4991000,-12993000,-52638000,-107847000,-249780000,-481040000,-730313000,-973189000,-1196725000,-17000000,-22000000,-25000000,-27000000,-59000000,-19000000,-3868223000,-76008000
66,Other Total Stockholders Equity,137000,78131000,242770000,1969116000,2723687000,2761415000,3309509000,2988175000,3952447000,4207854000,4654572000,3059627000,3075250000,2783186000,3672105000,2875082000,3088191000,6943175000,3105744000
67,Total Stockholders Equity,137000,82232000,238692000,1890366000,2428541000,2408604000,2509044000,2523191000,2956155000,3385939000,4246670000,4286141000,4339633000,3343870000,2887551000,2127336000,2438968000,1102121000,244746000
68,Total Liabilities And Stockholders Equity,2113000,106077000,401716000,2279920000,3620268000,4498289000,4900369000,4884440000,6038483000,7592649000,8135327000,9677034000,9817556000,8860797000,8446991000,8259016000,8784162000,8285017000,8308551000
69,Minority Interest,- -,35000,19492000,- -,- -,- -,- -,- -,231497000,354817000,678312000,755529000,592226000,479544000,448065000,618367000,704260000,735950000,575139000
70,Total Liabilities & Equity,2113000,106112000,421208000,2279920000,3620268000,4498289000,4900369000,4884440000,6269980000,7947466000,8813639000,10432563000,10409782000,9340341000,8895056000,8877383000,9488422000,9020967000,8883690000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381640/000114554908000637/h02015e20vf.htm,https://www.sec.gov/Archives/edgar/data/1381640/000136231009004568/0001362310-09-004568-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000095012310030436/0000950123-10-030436-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000095012311031782/0000950123-11-031782-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000119312512169612/d305012d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312513159811/d480016d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312514143622/d634556d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312515130190/d807931d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312516537953/d215050d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312517119393/d259833d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312518115018/d403262d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312519091845/0001193125-19-091845-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000119312520091982/0001193125-20-091982-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1007000,-3259000,-73479000,-178151000,-2463000,-308461000,-10525000,294656000,417203000,637463000,608280000,105747000,175906000,347002000,351515000,373173000,-1263492000,-956464000
74,Depreciation and Amortization,- -,1872000,8503000,36512000,114937000,126885000,217496000,313065000,350862000,378597000,382806000,368394000,470634000,552272000,540575000,564076000,651205000,618530000,579847000
75,Deferred Income Tax,- -,- -,- -,-1814000,-2755000,- -,- -,- -,- -,- -,- -,- -,30254000,5459000,2813000,4095000,3733000,5786000,3023000
76,Stock Based Compensation,- -,- -,- -,- -,- -,6855000,11385000,6043000,8624000,8973000,14987000,20401000,20827000,18487000,17305000,25143000,31797000,54392000,67957000
77,Change in Working Capital,- -,69000,-617000,14501000,203352000,-148267000,-59185000,43303000,16477000,113231000,31242000,-84621000,-36652000,369227000,174906000,79608000,-365869000,-475935000,-36348000
78,Accounts Receivable,- -,- -,- -,- -,- -,-28743000,-243702000,-45795000,-69741000,-42367000,-15261000,-7732000,-56172000,-18339000,54903000,-60475000,-77627000,27503000,67571000
79,Inventory,- -,-15000,-72000,-109000,-1288000,-686000,-4364000,-3694000,-268000,-1318000,-1593000,-4942000,-9963000,-5878000,-2076000,-27847000,-593000,-2187000,16134000
80,Accounts Payable,- -,- -,- -,- -,- -,-3670000,6225000,64000,3143000,1722000,-3920000,4603000,1160000,448339000,181661000,161542000,- -,- -,- -
81,Other Working Capital,- -,-216000,-845000,- -,-6949000,-120000,-2772000,565000,-2190000,-3759000,-3532000,-3879000,-2794000,-54895000,-59582000,6388000,54107000,- -,- -
82,Other Non-Cash Items,- -,1283000,-343000,4043000,13755000,5832000,26508000,50069000,74041000,32229000,85436000,-17840000,-68784000,36777000,79899000,32261000,142123000,199756000,33494000
83,Cash Provided by Operating Activities,- -,2217000,4284000,-20237000,151138000,-11158000,-112257000,401955000,744660000,950233000,1151934000,894614000,522026000,1158128000,1162500000,1056698000,836162000,-860963000,-268774000
84,CAPEX,- -,-4305000,-77958000,-35114000,-673637000,-1096082000,-970345000,-232411000,-109501000,-282018000,-656660000,-1364881000,-1351890000,-508241000,-502755000,-615108000,-449916000,-463867000,-679394000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-290058000,-5315000,- -,- -,- -,- -,- -,- -,-15037000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-626940000,-110616000,-1034173000,-260197000,-153615000,-69871000,-678000000,-150000000,-298666000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,626940000,420053000,774093000,263547000,74688000,109821000,560001000,298666000
88,Other Investing Activites,- -,-1170000,-103300000,-3531000,-298983000,140390000,-203853000,12299000,-201100000,-1102215000,-486882000,-1784435000,421342000,-97488000,-346678000,-260987000,-111073000,-254453000,- -
89,Cash Used for Investing Activites,- -,-5475000,-181258000,-38645000,-972620000,-913602000,-1143639000,-190310000,-585388000,-1335718000,-1209270000,-1605269000,-469656000,280604000,-410226000,-609696000,-1031849000,-53312000,-674551000
90,Debt Repayment,- -,- -,- -,- -,- -,-181000,- -,-551402000,-117076000,-2755000,-1668007000,-262791000,-70351000,-124333000,-896396000,-592680000,-2592631000,-1454910000,-502983000
91,Common Stock Issued,- -,- -,- -,1067474000,722796000,- -,383529000,- -,- -,- -,338461000,122167000,- -,- -,- -,213527000,83233000,218441000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8770000,-302216000,- -,-805785000,- -,-854919000,- -,-44977000,-60989000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-342718000,-62850000,-385569000,-821328000,-271531000,-300995000,-79116000,- -
94,Other Financing Activites,- -,8795000,191206000,-444365000,350109000,904666000,269821000,569082000,674986000,937490000,1073349000,1712508000,103513000,-24030000,671683000,1100732000,2907507000,2624169000,-37396000
95,Cash Used/Provided by Financing Activities,- -,8795000,191206000,623109000,1072905000,904485000,653350000,17680000,557910000,934735000,-264967000,926950000,-29688000,-1339717000,-1046041000,-404871000,97114000,1263607000,821745000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-1081000,1935000,-5149000,-397000,-9311000,-7731000,-332000,-11160000,10486000,-26064000,19359000
97,Net Change In Cash,- -,8795000,14232000,564227000,251423000,-20275000,-602546000,229325000,716101000,551185000,-327452000,215898000,13371000,91284000,-294099000,30971000,-88087000,323268000,821745000
98,Cash at the End of Period,- -,5537000,19769000,583996000,835419000,815144000,212598000,441923000,1158024000,1709209000,1381757000,1597655000,1611026000,1702310000,1408211000,1484724000,1432502000,1755770000,1653315000
99,Cash at the Beginning of Period,- -,- -,5537000,19769000,583996000,835419000,815144000,212598000,441923000,1158024000,1709209000,1381757000,1597655000,1611026000,1702310000,1453753000,1520589000,1432502000,1755770000
100,Free Cash Flow,- -,-2088000,-73674000,-55351000,-522499000,-1107240000,-1082602000,169544000,635159000,668215000,495274000,-470267000,-829864000,649887000,659745000,441590000,386246000,-1324830000,-948168000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381640/000114554908000637/h02015e20vf.htm,https://www.sec.gov/Archives/edgar/data/1381640/000136231009004568/0001362310-09-004568-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000095012310030436/0000950123-10-030436-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000095012311031782/0000950123-11-031782-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000119312512169612/d305012d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312513159811/d480016d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312514143622/d634556d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312515130190/d807931d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312516537953/d215050d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312517119393/d259833d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312518115018/d403262d20f.htm,https://www.sec.gov/Archives/edgar/data/1381640/000119312519091845/0001193125-19-091845-index.html,https://www.sec.gov/Archives/edgar/data/1381640/000119312520091982/0001193125-20-091982-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,
