,https://roic.ai/company/CDNA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1217234/000119312515113712/d852478d10k.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459016015429/0001564590-16-015429-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000156459017006883/cdna-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459018006584/0001564590-18-006584-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000156459019006533/0001564590-19-006533-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000121723420000033/0001217234-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000121723421000046/0001217234-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723422000056/0001217234-22-000056-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,5830000,5128000,36431000,29888000,17258000,16895000,64616000,38223000,134669000,348485000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,90034000,- -
33,Cash and Short-Term Investments,5830000,5128000,36431000,29888000,17258000,16895000,64616000,38223000,224703000,348485000
34,Net Receivables,952000,2270000,2687000,2367000,2768000,2991000,9760000,24057000,34624000,59761000
35,Inventory,576000,518000,686000,766000,5461000,5529000,4943000,6014000,10012000,17186000
36,Other Current Assets,248000,255000,542000,1341000,1186000,1352000,1795000,3628000,3758000,7928000
37,Total Current Assets,7606000,8171000,40346000,34362000,26673000,26767000,81114000,71922000,273097000,433360000
38,PP&E,2118000,1553000,1968000,2425000,2931000,2075000,4134000,9160000,25932000,40037000
39,Goodwill,- -,- -,12005000,12005000,13839000,12005000,12005000,23857000,23857000,36983000
40,Intangible Assets,- -,- -,6650000,6650000,33124000,33139000,33252000,45541000,44355000,50195000
41,Intangible Assets,- -,- -,18655000,18655000,46963000,45144000,45257000,69398000,68212000,87178000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,152000,149000,172000,196000,163000,9579000,192000,1256000,1270000,6046000
45,Total Non-Current Assets,2270000,1702000,20795000,21276000,50057000,56798000,49583000,79814000,95414000,133261000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9876000,9873000,61141000,55638000,76730000,83565000,130697000,151736000,368511000,566621000
48,Accounts Payable,637000,618000,1128000,1644000,3065000,3391000,4711000,5506000,9653000,13337000
49,Short-Term Debt,1513000,4504000,6031000,2937000,22914000,15734000,172000,3017000,2033000,3958000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,813000,80000,505000,142000,42000,292000,39000,3686000,24026000,4208000
52,Other Current Liabilities,3474000,2391000,3471000,5429000,14811000,23489000,14582000,22619000,33505000,55798000
53,Total Current Liabilities,6437000,7593000,11135000,10152000,40832000,42906000,19504000,34828000,69217000,77301000
54,Long-Term Debt,13410000,10914000,5451000,12887000,1098000,18338000,- -,- -,16069000,17394000
55,Deferred Revenue,- -,1623000,471000,703000,759000,730000,691000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,6057000,4933000,2968000,1973000,1299000,415000
57,Other Non-Current Liabilities,137232000,140416000,2786000,2402000,8223000,22612000,11606000,15935000,4247000,5635000
58,Total Non-Current Liabilities,150642000,152953000,8708000,15992000,16137000,46613000,15265000,17908000,21615000,23444000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,58000,43000,70000,71000,68000,13000,172000,3017000,18102000,21352000
61,Total Liabilities,157079000,160546000,19843000,26144000,56969000,89519000,34769000,52736000,90832000,100745000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,12000,12000,21000,29000,41000,42000,49000,52000
64,Retained Earnings,-156614000,-160156000,-159375000,-173082000,-212553000,-268022000,-311845000,-333813000,-352527000,-383189000
65,Other Comprehensive Income/Loss,-10329000,-10902000,-11092000,-11873000,-3659000,-2345000,-4278000,-5205000,-2096000,-4670000
66,Other Total Stockholders Equity,19739000,20384000,211753000,214437000,235673000,264204000,412010000,437976000,632253000,853683000
67,Total Stockholders Equity,-147203000,-150673000,41298000,29494000,19482000,-6134000,95928000,99000000,277679000,465876000
68,Total Liabilities And Stockholders Equity,9876000,9873000,61141000,55638000,76451000,83385000,130697000,151736000,368511000,566621000
69,Minority Interest,- -,- -,- -,- -,279000,180000,- -,- -,- -,- -
70,Total Liabilities & Equity,9876000,9873000,61141000,55638000,76730000,83565000,130697000,151736000,368511000,566621000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1217234/000119312515113712/d852478d10k.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459016015429/0001564590-16-015429-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000156459017006883/cdna-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459018006584/0001564590-18-006584-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000156459019006533/0001564590-19-006533-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000121723420000033/0001217234-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000121723421000046/0001217234-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723422000056/0001217234-22-000056-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-5059000,-3542000,781000,-13707000,-39469000,-55469000,-46756000,-21968000,-18714000,-30662000
74,Depreciation and Amortization,1072000,663000,512000,796000,2920000,3759000,4215000,5523000,9544000,11885000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,69000,72000,535000,1341000,1998000,1744000,7138000,22417000,23401000,36081000
77,Change in Working Capital,1697000,-591000,28633000,-5001000,-38369000,-1980000,77749000,-24516000,166786000,-40970000
78,Accounts Receivable,-150000,-1318000,-417000,320000,1047000,-109000,-3967000,-12675000,-10402000,-24416000
79,Inventory,-152000,58000,-168000,-80000,492000,1025000,363000,-1270000,-3196000,-6927000
80,Accounts Payable,-113000,-19000,510000,489000,-620000,292000,-168000,1351000,4389000,1789000
81,Other Working Capital,1169000,578000,29211000,24210000,-14159000,-16139000,61610000,37094000,203880000,6137000
82,Other Non-Cash Items,445000,2852000,-33811000,6819000,56397000,37639000,-46353000,15775000,-147586000,4372000
83,Cash Provided by Operating Activities,-1776000,-546000,-3350000,-9752000,-16523000,-14307000,-4007000,-2769000,33431000,-19294000
84,CAPEX,-141000,-98000,-733000,-1199000,-549000,-186000,-7237000,-3349000,-10360000,-20259000
85,Acquisitions Net,- -,- -,-600000,- -,- -,-5919000,-692000,-18230000,- -,-15434000
86,Purchases of Investments,-1623000,- -,- -,- -,- -,- -,- -,-1000000,-90034000,-5500000
87,Sales/Maturities of Investments,2406000,- -,- -,- -,- -,- -,- -,- -,- -,88905000
88,Other Investing Activites,- -,- -,- -,- -,-20568000,-59000,-5202000,-3349000,-10360000,-20259000
89,Cash Used for Investing Activites,642000,-98000,-1333000,-1199000,-21117000,-6164000,-7929000,-22579000,-100394000,47712000
90,Debt Repayment,-12994000,-58000,-4528000,-11466000,-3944000,-14359000,-28766000,-172000,-183000,-66000
91,Common Stock Issued,- -,- -,39246000,203000,7926000,18328000,52910000,- -,158135000,188855000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17601000,- -,1268000,15671000,20945000,16035000,26124000,40000,5197000,-3147000
95,Cash Used/Provided by Financing Activities,4607000,-58000,35986000,4408000,24927000,20004000,50268000,-132000,163149000,185642000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,83000,104000,2000,-849000,274000,-303000
97,Net Change In Cash,3473000,-702000,31303000,-6543000,-12630000,-363000,38334000,-26329000,96460000,213757000
98,Cash at the End of Period,5830000,5128000,36431000,29888000,17258000,16895000,64808000,38479000,134939000,348696000
99,Cash at the Beginning of Period,2357000,5830000,5128000,36431000,29888000,17258000,26474000,64808000,38479000,134939000
100,Free Cash Flow,-1917000,-644000,-4083000,-10951000,-17072000,-14493000,-11244000,-6118000,23071000,-39553000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1217234/000119312515113712/d852478d10k.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459016015429/0001564590-16-015429-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000156459017006883/cdna-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459018006584/0001564590-18-006584-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000156459019006533/0001564590-19-006533-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000121723420000033/0001217234-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1217234/000121723421000046/0001217234-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723422000056/0001217234-22-000056-index.htm
102,false,,,,,,,,,,
