,https://roic.ai/company/SNDA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,278251000,421333000,431175000,434051000,394488000,390053000,388120000,380503000,382781000,462326000,636942000,745549000,897701000,1019033000,1145781000,1182671000,1149144000,1267696000,702833000
48,Accounts Payable,- -,- -,- -,- -,- -,2322000,2158000,2480000,2953000,3566000,1980000,1920000,2037000,1951000,2611000,6980000,3814000,2547000,3362000,5051000,7801000,9095000,10382000,14967000
49,Short-Term Debt,- -,- -,- -,- -,- -,9715000,23488000,42242000,10374000,6110000,9035000,12026000,9347000,5780000,8246000,20996000,12866000,34718000,14891000,19228000,22834000,17455000,63548000,304585000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11311000,12716000,13269000,14198000,14462000,14591000,14485000,15606000,9371000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1370000,4306000,5174000,6174000,6838000,7242000,8740000,9733000,12704000,16102000,17878000,17829000,15234000,16194000,8448000,4806000
52,Other Current Liabilities,- -,- -,- -,- -,- -,5661000,8540000,9414000,12540000,13702000,14806000,15254000,13582000,17424000,20616000,24445000,29321000,47449000,34411000,39282000,41134000,42286000,46647000,48764000
53,Total Current Liabilities,- -,- -,- -,- -,- -,17698000,34186000,54136000,27237000,27684000,30995000,35374000,31804000,32397000,40213000,62154000,58705000,100816000,70542000,81390000,87003000,85030000,129025000,373122000
54,Long-Term Debt,- -,- -,- -,- -,- -,140385000,255549000,219526000,252733000,196647000,185733000,177541000,173822000,170109000,224971000,384512000,508469000,637876000,793784000,919943000,987011000,1005055000,1124292000,605262000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16747000,14493000,26175000,19990000,18021000,15949000,13992000,12205000,10033000,8151000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,845000,460000,- -,- -,1941000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1201000,7231000,7714000,8666000,26073000,23168000,20056000,- -,1959000,1826000,1692000,1559000,1426000,4969000,15325000,16250000,15643000,- -,3714000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,141586000,262780000,227240000,261399000,222720000,208901000,197597000,190569000,186561000,252972000,406194000,528894000,655711000,812745000,947473000,1015235000,1028849000,1124292000,608976000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218000,81000,42912000,42041000,41070000,40092000,38778000,51911000,48760000,266384000,954000
61,Total Liabilities,- -,- -,- -,- -,- -,159284000,296966000,281376000,288636000,250404000,239896000,232971000,222373000,218958000,293185000,468348000,587599000,756527000,883287000,1028863000,1102238000,1113879000,1253317000,982098000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,197000,198000,258000,263000,264000,266000,267000,273000,274000,280000,286000,292000,294000,299000,305000,310000,318000,319000,21000
64,Retained Earnings,- -,- -,- -,- -,- -,26094000,31833000,24326000,18972000,16372000,20732000,24456000,27215000,31469000,34494000,31375000,14871000,-9255000,-23539000,-51556000,-95906000,-149502000,-172896000,-468264000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,91990000,92336000,124963000,126180000,127448000,129159000,130426000,130642000,132080000,134367000,136933000,142787000,150135000,158986000,168169000,176029000,184449000,186956000,188978000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,118281000,124367000,149547000,145415000,144084000,150157000,155149000,158130000,163823000,169141000,168594000,157950000,141174000,135746000,116918000,80433000,35265000,14379000,-279265000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,277565000,421333000,430923000,434051000,394488000,390053000,388120000,380503000,382781000,462326000,636942000,745549000,897701000,1019033000,1145781000,1182671000,1149144000,1267696000,702833000
69,Minority Interest,- -,- -,- -,- -,- -,686000,- -,252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,278251000,421333000,431175000,434051000,394488000,390053000,388120000,380503000,382781000,462326000,636942000,745549000,897701000,1019033000,1145781000,1182671000,1149144000,1267696000,702833000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043000/000119312521145122/0001193125-21-145122-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3700000,12000000,4800000,1239000,2756000,4682000,4990000,-6758000,-5354000,-2600000,4360000,3724000,2759000,4254000,3025000,-3119000,-16504000,-24126000,-14284000,-28017000,-44168000,-53596000,-36030000,-295368000
74,Depreciation and Amortization,2100000,2900000,5200000,5681000,7979000,6713000,8871000,12912000,13793000,13329000,12215000,13350000,13262000,14030000,18299000,35130000,43238000,49487000,53017000,60398000,66199000,62824000,64190000,60302000
75,Deferred Income Tax,- -,-300000,- -,346000,-230000,2805000,1605000,-714000,-2213000,-7312000,2300000,1706000,3125000,4221000,-2493000,-3532000,10793000,- -,- -,- -,1941000,-2245000,157000,76000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1201000,919000,1497000,2444000,4322000,7262000,8833000,11645000,7682000,8428000,2509000,1724000
77,Change in Working Capital,2000000,-8300000,-24500000,6160000,3175000,1141000,-2373000,-2568000,-5075000,-8505000,-4601000,-2432000,990000,-5996000,-6513000,14762000,-1432000,2944000,-641000,-1817000,3786000,3405000,1872000,10558000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,853000,-1098000,-833000,-1497000,1317000,-2457000,-2928000,-2505000,-8159000,-3173000,-1326000,-1021000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000,-86000,660000,4369000,-3166000,-1267000,815000,1695000,2750000,1294000,-715000,6124000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7780000,-2134000,795000,-228000,-5139000,-7793000,1547000,-1273000,5352000,388000,-1315000,-1884000,492000,538000,105000
82,Other Non-Cash Items,1900000,400000,17600000,6277000,654000,-1429000,-10552000,1351000,827000,441000,-1821000,-1336000,-1702000,-1878000,269000,710000,2227000,10745000,1970000,10070000,20154000,18054000,-27469000,215915000
83,Cash Provided by Operating Activities,9700000,6700000,3100000,19703000,14334000,13912000,2541000,4223000,1978000,-4647000,12453000,15012000,19635000,15550000,14084000,46395000,42644000,46312000,48895000,52279000,55594000,36870000,5229000,-6793000
84,CAPEX,-2400000,-73800000,-1900000,-3121000,-2138000,-2199000,-1591000,-2391000,-3236000,-6650000,-8637000,-8065000,-8049000,-10447000,-10472000,-12302000,-13562000,-18742000,-42430000,-62371000,-39959000,-21965000,-20306000,-15634000
85,Acquisitions Net,- -,- -,- -,-102014000,- -,- -,- -,-6317000,- -,- -,- -,- -,- -,3165000,-82809000,-178353000,-150391000,-157573000,-162460000,-138750000,-85000000,- -,- -,- -
86,Purchases of Investments,-79800000,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,-1014000,-704000,- -,- -,- -,-243000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744000,- -,- -,21000,- -,102000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,700000,-11000000,-14600000,-11108000,-13564000,-2632000,2316000,1112000,6378000,36608000,2319000,1397000,-8048000,-8447000,5372000,-12040000,-11905000,-17946000,1033000,-62299000,-39940000,-21908000,47778000,8514000
89,Cash Used for Investing Activites,-81500000,-86500000,-16500000,-116243000,-15702000,-4831000,725000,-7596000,3142000,29958000,-7332000,-7372000,-7304000,-5282000,-77437000,-190615000,-162296000,-175417000,-161427000,-201049000,-124940000,-21908000,47778000,8514000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8324000,-10154000,-6737000,-16399000,-24410000,-141921000,-116874000,-18994000,-22968000,-207244000,-96593000,-23512000
91,Common Stock Issued,110300000,- -,- -,- -,- -,35000,256000,32525000,977000,399000,503000,232000,223000,359000,505000,165000,3163000,170000,42000,67000,- -,- -,- -,- -
92,Common Stock Repurchased,-1000000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-934000,- -,- -,- -,- -,- -,- -,-2496000,- -,- -,- -,- -
93,Dividends Paid,-700000,- -,-1200000,- -,- -,- -,-296000,- -,-233000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,500000,67600000,11700000,87527000,-11532000,-7323000,-8400000,-16231000,-3548000,-21972000,-7834000,-5351000,-204000,1803000,60620000,156908000,135773000,296454000,246242000,148132000,75934000,205578000,36329000,7595000
95,Cash Used/Provided by Financing Activities,109100000,67500000,10500000,87527000,-11532000,-7288000,-8440000,16294000,-2804000,-21573000,-7331000,-5119000,-9239000,-7992000,54388000,140674000,114526000,154703000,129410000,126709000,52966000,-1666000,-60264000,-15917000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,109100000,67500000,-2800000,-9013000,-12900000,1793000,-5174000,12921000,2316000,3738000,-2210000,2521000,3092000,2276000,-8965000,-3546000,-5126000,25598000,16878000,-22061000,-16380000,13296000,-7257000,-14196000
98,Cash at the End of Period,- -,- -,33000000,23975000,9975000,11768000,6594000,19515000,21831000,25569000,23359000,25880000,28972000,31248000,22283000,18737000,13611000,39209000,56087000,34026000,17646000,44320000,37063000,22867000
99,Cash at the Beginning of Period,10800000,48100000,35800000,32988000,22875000,9975000,11768000,6594000,19515000,21831000,25569000,23359000,25880000,28972000,31248000,22283000,18737000,13611000,39209000,56087000,34026000,31024000,44320000,37063000
100,Free Cash Flow,7300000,-67100000,1200000,16582000,12196000,11713000,950000,1832000,-1258000,-11297000,3816000,6947000,11586000,5103000,3612000,34093000,29082000,27570000,6465000,-10092000,15635000,14905000,-15077000,-22427000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043000/000119312521145122/0001193125-21-145122-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
