,https://roic.ai/company/SSL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,757860350,996709830,877792350,977292500,1419610500,1763498514,2338189200,5048917500,10215450000,11257485120,12114141900,8224738780,10627053680,12740433600,20181040000,33712000000,19136000000,22019000000,21889000000,45762000000,50018000000,44537000000,49798000000,51951000000,58287000000,65890000000,63993000000,67752000000
11,COGS and Expenses,7081470000,9124931220,10212185100,11583750500,13336681050,15554141358,18935943840,32129475000,47692800000,56010479490,49407779350,52493381300,37927218480,73835322600,90236740000,122220000000,98319000000,112486000000,132931000000,135330000000,152758000000,138273000000,137485000000,139591000000,151318000000,174447000000,176677000000,170766000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,241575000,238050000,- -,177968650,113031980,242985760,789230400,687280000,1790000000,1332000000,991000000,796000000,684000000,1182000000,1228000000,1796000000,1509000000,1196000000,745000000,878000000,856000000
13,Interest Expense (Gain),292557700,57453540,242074950,88886000,- -,- -,- -,531465000,879750000,- -,362074150,332447000,185812640,260727900,1077780000,2531000000,2114000000,1817000000,2030000000,1987000000,1866000000,2117000000,2183000000,2986000000,3297000000,528000000,7168000000,6598000000
14,Depreciation and Amortization,757860350,996709830,877792350,977292500,1175154750,1404524304,1904438160,2456012500,124200000,4865269500,4799016700,- -,3258867840,4016619000,4889060000,6245000000,6712000000,7400000000,9651000000,12030000000,13516000000,13567000000,16367000000,16204000000,16425000000,17968000000,22575000000,17644000000
15,EBITDA,3444884800,3847569030,4511081850,5207994000,4415518800,5085367422,8071835760,14027455000,15535350000,16991018100,13586985900,15279264120,19796192800,29920288200,37558290000,32904000000,31752000000,38207000000,47010000000,52892000000,59658000000,59831000000,40466000000,48059000000,34009000000,25951000000,-87505000000,33459000000
16,EBITDA ratio,0.3574,0.3218,0.3354,0.3293,0.2698,0.2652,0.3153,0.3227,0.2470,0.2504,0.2341,0.2266,0.3474,0.2994,0.3079,0.2387,0.2597,0.2682,0.2774,0.2918,0.2943,0.3229,0.2340,0.2788,0.1874,0.1275,-0.4597,0.1657
17,Operating Income,2556124550,2829768660,3237914850,4232969000,3028306050,3619908000,6662144880,11345972500,15214500000,11848802490,8622274250,14933519240,19052942240,26086883400,31739840000,24666000000,23937000000,29950000000,36758000000,40628000000,41674000000,46549000000,24239000000,31705000000,30143000000,29129000000,13690000000,31144000000
18,Operating Income ratio,0.2652,0.2367,0.2407,0.2676,0.1850,0.1888,0.2603,0.2610,0.2419,0.1746,0.1486,0.2215,0.3344,0.2611,0.2602,0.1790,0.1958,0.2103,0.2169,0.2241,0.2056,0.2513,0.1402,0.1839,0.1661,0.1431,0.0719,0.1542
19,Total Other Income Expenses (Gains),-161657800,-36363000,153299700,-91153500,212058000,60935118,-494747280,-305995000,-610650000,-67365270,-61368500,-192819260,64319760,84560400,-148390000,-471000000,-565000000,-534000000,-755000000,-849000000,3439000000,-956000000,-521000000,-1697000000,-14439000000,-19898000000,-131101000000,-20427000000
20,Income Before Tax,2394466750,2793405660,3391214550,4141815500,3240364050,3680843118,6167397600,11039977500,14603850000,11781437220,8560905750,14740699980,19117262000,26171443800,31591450000,24195000000,23372000000,29416000000,36003000000,39779000000,45113000000,45593000000,23718000000,30008000000,15704000000,9231000000,-117411000000,10717000000
21,Income Before Tax Ratio,0.2485,0.2337,0.2521,0.2619,0.1980,0.1920,0.2409,0.2539,0.2321,0.1736,0.1475,0.2186,0.3355,0.2619,0.2590,0.1755,0.1912,0.2065,0.2125,0.2194,0.2226,0.2461,0.1371,0.1741,0.0865,0.0453,-0.6168,0.0531
22,Income Tax expense (Gain),893409700,933801840,917632950,1592692000,1202840100,1202412774,2128091040,3655835000,4874850000,4214071890,3135930350,5159577440,5946004480,8301012600,9504770000,10480000000,6985000000,9196000000,11746000000,12597000000,14696000000,14431000000,8691000000,8495000000,5558000000,3157000000,-26139000000,185000000
23,Net Income,1501057050,1859603820,2473581600,2549123500,2037523950,2478430344,4039306560,7384142500,9656550000,7911676710,5289964700,9787239680,10405507840,17341928700,22086680000,13648000000,15941000000,19794000000,23583000000,26278000000,29580000000,29716000000,13225000000,20374000000,8729000000,4298000000,-91109000000,9032000000
24,Net Income ratio,0.1558,0.1556,0.1839,0.1612,0.1245,0.1293,0.1578,0.1698,0.1535,0.1166,0.0912,0.1452,0.1826,0.1736,0.1811,0.0990,0.1304,0.1390,0.1392,0.1450,0.1459,0.1604,0.0765,0.1182,0.0481,0.0211,-0.4786,0.0447
25,EPS,2.25,3.24,4.07,4.22,3.36,4.10,6.57,11.76,15.73,12.02,8.67,15.88,18.26,27.33,37.21,22.90,26.68,32.97,39.10,43.38,48.57,48.71,21.66,33.36,14.26,6.97,-147.45,14.57
26,EPS Diluted,2.15,3.02,3.90,3.95,3.18,3.86,6.10,11.76,15.73,11.81,8.59,15.61,17.97,27.00,36.69,22.80,26.54,32.85,38.95,43.31,48.27,48.70,21.66,33.27,14.18,6.93,-147.45,14.39
27,Weighted Average Shares Outstanding,666190476,574606742,607659574,604408602,606842105,604117647,604400000,627300000,612500000,658214700,609904078,616286888,569913648,634551142,601000000,596100000,597600000,600400000,603200000,605700000,609000000,610100000,610700000,610700000,612200000,616600000,617900000,619900000
28,Weighted Average Shares Outstanding Diluted,699500000,616144578,634666667,646091954,640555556,641875000,660800000,627300000,625000000,669879384,615512486,626905845,579131613,642300988,601903445,614000000,615500000,614500000,616200000,606800000,620800000,610200000,610700000,612400000,615900000,620300000,622300000,627800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/314590/000104746908010739/0001047469-08-010739-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746909008856/0001047469-09-008856-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746910008317/0001047469-10-008317-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746911008417/0001047469-11-008417-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746912009473/0001047469-12-009473-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746913009571/0001047469-13-009571-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746914007933/0001047469-14-007933-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746915007768/0001047469-15-007768-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746916015748/0001047469-16-015748-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746917005415/0001047469-17-005415-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746918005825/0001047469-18-005825-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746919005924/0001047469-19-005924-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1336895700,2137053510,2442835050,2438923000,2298473100,807842802,501524640,2383540000,3798450000,3458083860,1393064950,2347075820,2587083680,6095395500,4162730000,19425000000,14870000000,14716000000,12746000000,25271000000,37155000000,48329000000,49985000000,27643000000,15148000000,15877000000,34739000000,31231000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,238050000,- -,- -,- -,- -,91607100,70290000,163000000,77000000,76000000,426000000,1526000000,420000000,124000000,42000000,2739000000,1621000000,630000000,645000000,1514000000
33,Cash and Short-Term Investments,1336895700,2137053510,2442835050,2438923000,2298473100,807842802,501524640,2383540000,4036500000,3458083860,1393064950,2347075820,2587083680,6187002600,4233020000,19588000000,14947000000,14792000000,13172000000,26797000000,37575000000,48453000000,50027000000,30382000000,16769000000,16507000000,35384000000,32745000000
34,Net Receivables,1722442400,2131962690,2292999750,2436202000,2952907650,3648867264,4771261440,10146150000,10598400000,10845808470,10260813200,11635645000,10262575040,17074154100,23695540000,17040000000,20397000000,23174000000,25822000000,28422000000,29959000000,28512000000,30211000000,29046000000,32202000000,27883000000,28911000000,30186000000
35,Inventory,1291831800,1608335490,1368438000,2359107000,2499339150,2841024462,3659774400,7239197500,9087300000,9071856360,7855168000,9647611940,7075173600,14664182700,18853340000,14589000000,16472000000,18512000000,20668000000,24056000000,26758000000,23141000000,23798000000,25374000000,29364000000,29646000000,27801000000,29742000000
36,Other Current Assets,- -,- -,-433050,- -,- -,- -,- -,- -,- -,1092814380,920527500,618351420,11420330720,1162705500,4678190000,1767000000,1907000000,3303000000,5809000000,10327000000,3079000000,6572000000,4097000000,3152000000,2922000000,3979000000,85873000000,12491000000
37,Total Current Assets,4351169900,5877351690,6103839750,7234232000,7750719900,7297734528,8932560480,19768887500,23722200000,24468563070,20429573650,24248684180,31345163040,39088044900,51460090000,52984000000,53723000000,59781000000,65471000000,89602000000,97371000000,106678000000,108133000000,87954000000,81257000000,78015000000,177969000000,105164000000
38,PP&E,9991310400,10891445760,11465864850,13168733000,14871745350,16043432256,16943400000,28046857500,36949500000,41437126080,39196060950,46589122580,44166235200,76498975200,73179700000,84866000000,92199000000,108997000000,129457000000,149314000000,162769000000,197799000000,259065000000,289507000000,332818000000,361313000000,246088000000,210924000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,807570320,598969500,820050000,805000000,738000000,747000000,787000000,859000000,644000000,590000000,469000000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,155656044,1741781520,555622500,1335150000,2896706610,2246087100,1994682000,- -,641249700,905960000,1068000000,1193000000,1265000000,1214000000,1532000000,1882000000,1703000000,2211000000,2361000000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,155656044,1741781520,555622500,1335150000,2896706610,2246087100,1994682000,807570320,1240219200,1726010000,1873000000,1931000000,2012000000,2001000000,2391000000,2526000000,2293000000,2680000000,2361000000,2687000000,3357000000,2800000000,2482000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2744000000,4158000000,3756000000,3466000000,3459000000,11033000000,12696000000,14061000000,12800000000,11942000000,11114000000,13738000000,12847000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,321856290,257747700,425532160,800423680,859697400,1366750000,1184000000,1099000000,1101000000,1514000000,2318000000,3143000000,1752000000,3389000000,3082000000,4096000000,8563000000,31665000000,24511000000
44,Other Non-Current Assets,318666150,250904700,443010150,597713000,471829050,751734228,765841680,1771550000,2339100000,4019461110,5725681050,7167557320,9347805120,3558583500,3787850000,2187000000,3374000000,2325000000,1844000000,2411000000,3422000000,2381000000,3386000000,3235000000,6435000000,7606000000,6902000000,4815000000
45,Total Non-Current Assets,10309976550,11142350460,11908875000,13766446000,15343574400,16950822528,19451023200,30374030000,40623750000,48675150090,47425576800,56176894060,55122034320,82157475300,80060310000,92854000000,102761000000,118191000000,138282000000,159893000000,182893000000,216921000000,282581000000,310985000000,357978000000,391953000000,301193000000,255579000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14661146450,17019702150,18012714750,21000678000,23094294300,24248557056,28383583680,50142917500,64345950000,73143713160,67855150450,80425578240,86467197360,121245520200,131520400000,145838000000,156484000000,177972000000,203753000000,249495000000,280264000000,323599000000,390714000000,398939000000,439235000000,469968000000,479162000000,360743000000
48,Accounts Payable,1706705800,2248687920,2280008250,2504227000,2854536300,2877223542,3680106480,7448562500,6768900000,4812874290,4093278950,5179524260,4316570560,5940368100,13792460000,16223000000,17384000000,20957000000,12333000000,14630000000,16111000000,12888000000,12178000000,11941000000,13510000000,15749000000,13535000000,17197000000
49,Short-Term Debt,526460800,784713540,294040950,297042500,1525050450,491704170,1050490800,3494785000,5288850000,10381736610,7118746000,5618354300,2408417680,6673224900,4139300000,4842000000,1661000000,1811000000,3294000000,2448000000,3016000000,3650000000,2136000000,9841000000,14798000000,3841000000,44113000000,7580000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675000000,550000000,725000000,895000000,5174000000,4474000000,4853000000,4449000000,6104000000,6762000000,1272000000,984000000,980000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42280200,156200000,464000000,266000000,885000000,737000000,1171000000,101000000,397000000,170000000,282000000,220000000,210000000,579000000,576000000
52,Other Current Liabilities,1123021000,1007618730,999912450,1190437500,794039400,812066028,2080649520,2802270000,4978350000,5973053940,5928197100,6103726920,11856275760,11648195100,7731900000,4686000000,3558000000,3621000000,14525000000,17876000000,19766000000,24407000000,27118000000,30109000000,31428000000,29298000000,34891000000,32211000000
53,Total Current Liabilities,3356187600,4041020190,3573961650,3991707000,5173626150,4180993740,6811246800,13745617500,17036100000,21167664840,17140222050,16901605480,18581264000,24304068300,25819860000,26215000000,22869000000,27274000000,30889000000,36125000000,38994000000,41342000000,41602000000,52173000000,59956000000,49098000000,93118000000,57564000000
54,Long-Term Debt,2305054250,1150525320,2034468900,1028538000,1009631700,1027450554,1023381360,4992550000,5475150000,6706586880,8972074700,12386975220,12149288000,13656504600,14721850000,13615000000,14111000000,14356000000,12828000000,22357000000,23419000000,39269000000,78015000000,74312000000,96691000000,134795000000,163336000000,111043000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000000,273000000,498000000,455000000,305000000,293000000,425000000,631000000,910000000,879000000,924000000,842000000,400000000
56,Deferred Tax Liabilities,1659138350,1646153010,1627401900,3166337000,3450654900,3143890098,3273464880,4702660000,5495850000,5748503040,4706963950,5924205540,5374273280,8456040000,7927150000,9168000000,10406000000,12272000000,13839000000,16173000000,18246000000,22570000000,23691000000,25860000000,25908000000,27586000000,20450000000,7793000000
57,Other Non-Current Liabilities,126965750,363630,99168450,949175500,580803300,667873026,630294480,4275877500,5775300000,3690119790,3455046550,4029257640,3430387200,10400929200,8895590000,10326000000,11583000000,13232000000,17428000000,21260000000,24543000000,23510000000,34357000000,28450000000,27193000000,31770000000,42168000000,31472000000
58,Total Non-Current Liabilities,4091158350,2797041960,3761039250,5144050500,5041089900,4839213678,4927140720,13971087500,16746300000,16145209710,17134085200,22340438400,20953948480,32513473800,31544590000,33406000000,36373000000,40358000000,44550000000,60095000000,66501000000,85774000000,136694000000,129532000000,150671000000,195075000000,226796000000,150708000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7280000000,7445000000,17719000000,15677000000
61,Total Liabilities,7447345950,6838062150,7335000900,9135757500,10214716050,9020207418,11738387520,27716705000,33782400000,37312874550,34274307250,39242043880,39535212480,56817542100,57364450000,59621000000,59242000000,67632000000,75439000000,96220000000,105495000000,127116000000,178296000000,181705000000,210627000000,244173000000,319914000000,208272000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,3061377270,2939551150,3357714700,- -,- -,- -,- -,- -,- -,- -,28711000000,29084000000,29228000000,29282000000,29282000000,15775000000,9888000000,9888000000,9888000000
64,Retained Earnings,5850438700,6836607630,6764241000,10264519000,11284430850,13583704770,15350720400,30341820000,38895300000,37125748800,36587899700,44009333860,47146384080,61059655500,- -,74882000000,85463000000,98590000000,112547000000,128038000000,144126000000,161078000000,164917000000,176714000000,184352000000,181706000000,90890000000,99516000000
65,Other Comprehensive Income/Loss,-5859379950,-6975877920,-7424642250,-8399727000,-9561459600,-11091398112,-13514055840,-24205815000,-31733100000,-973053900,-2706350850,-2772607980,-1193488880,-1937842500,71789520000,-59190000000,137000000,-1895000000,2137000000,8688000000,13312000000,16348000000,29021000000,20881000000,26879000000,27906000000,51795000000,36185000000
66,Other Total Stockholders Equity,7222741750,10185276300,11209932300,9918045000,11067071400,12634082238,14693316480,16185525000,23142600000,-3892215600,-3596194100,-3650268060,- -,- -,- -,- -,- -,- -,- -,-15812000000,-15545000000,-15044000000,-16223000000,-15166000000,-4021000000,410000000,1734000000,900000000
67,Total Stockholders Equity,7213800500,10046006010,10549531050,11782837000,12790042650,15126388896,16529981040,22321530000,30304800000,35321856570,33224905900,40944172520,46660412560,62743816800,71789520000,83835000000,94730000000,107649000000,125234000000,149625000000,170977000000,191610000000,206997000000,211711000000,222985000000,219910000000,154307000000,146489000000
68,Total Liabilities And Stockholders Equity,14661146450,16884068160,17884531950,20918594500,23004758700,24146596314,28268368560,50038235000,64087200000,72634731120,67499213150,80186216400,86195625040,119561358900,129153970000,143456000000,153972000000,175281000000,200673000000,245845000000,276472000000,318726000000,385293000000,393416000000,433612000000,464083000000,474221000000,354761000000
69,Minority Interest,- -,135633990,128182800,82083500,89535600,101960742,115215120,104682500,258750000,508982040,355937300,239361840,271572320,1684161300,2366430000,2382000000,2512000000,2691000000,3080000000,3650000000,3792000000,4873000000,5421000000,5523000000,5623000000,5885000000,4941000000,5982000000
70,Total Liabilities & Equity,14661146450,17019702150,18012714750,21000678000,23094294300,24248557056,28383583680,50142917500,64345950000,73143713160,67855150450,80425578240,86467197360,121245520200,131520400000,145838000000,156484000000,177972000000,203753000000,249495000000,280264000000,323599000000,390714000000,398939000000,439235000000,469968000000,479162000000,360743000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/314590/000104746908010739/0001047469-08-010739-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746909008856/0001047469-09-008856-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746910008317/0001047469-10-008317-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746911008417/0001047469-11-008417-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746912009473/0001047469-12-009473-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746913009571/0001047469-13-009571-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746914007933/0001047469-14-007933-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746915007768/0001047469-15-007768-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746916015748/0001047469-16-015748-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746917005415/0001047469-17-005415-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746918005825/0001047469-18-005825-index.htm,https://www.sec.gov/Archives/edgar/data/314590/000104746919005924/0001047469-19-005924-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1501057050,1859603820,2473581600,2549123500,2037523950,2478430344,4039306560,7384142500,9656550000,7911676710,5289964700,9787239680,10405507840,17341928700,22086680000,13648000000,15941000000,19794000000,23583000000,26278000000,29580000000,29716000000,13225000000,20374000000,8729000000,4298000000,-91109000000,9032000000
74,Depreciation and Amortization,757860350,996709830,877792350,977292500,1175154750,1404524304,1904438160,2456012500,124200000,4865269500,4799016700,- -,3258867840,4016619000,4889060000,6245000000,6712000000,7400000000,9651000000,12030000000,13516000000,13567000000,16367000000,16204000000,16425000000,17968000000,22575000000,17644000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,366766470,-294568800,- -,- -,- -,- -,- -,- -,- -,- -,-11104000000,-14146000000,- -,- -,-9964000000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485000000,374000000,267000000,501000000,123000000,463000000,3776000000,1659000000,1946000000,1927000000
77,Change in Working Capital,-312586100,-1111253280,-1600552800,-1982702000,-312196500,-918249996,-867502080,-563675000,289800000,-1519461090,-1116906700,- -,-3051615280,-1261359300,-8817490000,10375000000,-3424000000,-2379000000,-2271000000,-1463000000,-2311000000,5706000000,2317000000,-5237000000,-1590000000,2410000000,5838000000,-7154000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7127000000,- -,-3481000000,-512000000,-3182000000,866000000,1573000000,3052000000,-346000000,-2789000000,- -,6431000000,-7198000000
79,Inventory,-59012250,-190905750,146803950,-496129000,-122522400,-246757062,-555743520,-628095000,-289800000,-217065870,-104326450,- -,-1486501120,-2057636400,-3998720000,4143000000,-2509000000,-2451000000,-1489000000,-2184000000,-3761000000,3764000000,1125000000,-3214000000,-3413000000,-829000000,3397000000,-4872000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2583000000,801000000,-633000000,-1860000000,1393000000,2441000000,- -,- -,4916000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-257279040,-14093400,-905960000,486000000,- -,-68000000,-621000000,293000000,-314000000,340000000,-1623000000,-3070000000,2171000000,1286000000,- -,- -
82,Other Non-Cash Items,65449950,1089071850,1105143600,1344627500,-976644900,-831372204,1125041760,201312500,1780200000,1017964080,883706400,4468087680,6767868080,-4002525600,-1304270000,570000000,-3700000000,1001000000,-3424000000,12332000000,17069000000,-8554000000,1903000000,6640000000,-986000000,5608000000,90480000000,12594000000
83,Cash Provided by Operating Activities,2011781250,2834132220,2855964750,2888341500,1923837300,2133332448,6201284400,9477792500,11850750000,12642215670,9561212300,14255327360,17380628480,16094662800,16853980000,30838000000,15529000000,25816000000,28024000000,38447000000,43975000000,40936000000,33935000000,28480000000,26354000000,31943000000,29730000000,34043000000
84,CAPEX,-1246052600,-1479610470,-1983802050,-2618055500,-2876920200,-2356560108,-1978989120,-3841042500,-8000550000,-9543413250,-8290884350,-10152931380,-9011913040,-12261258000,-10223290000,-15672000000,-16108000000,-20665000000,-29160000000,-32288000000,-38779000000,-45106000000,-70409000000,-60343000000,-53384000000,-55800000000,-35164000000,-15948000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43214000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-539517500,- -,- -,- -,- -,-1786660000,-84560400,-39050000,-89000000,-1295000000,-162000000,-121000000,-317000000,-281000000,-224000000,-223000000,-96000000,-124000000,-222000000,-121000000,-124000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6136850,- -,- -,- -,- -,7000000,14000000,70000000,1000000,278000000,237000000,264000000,171000000,28000000,114000000,142000000,483000000,168000000
88,Other Investing Activites,28969650,-102180030,59327850,-101130500,-14726250,-315535314,121992480,-233522500,31050000,-2844311400,-1264191100,-1735373340,-35733200,1613694300,85910000,3110000000,634000000,-3838000000,1615000000,201000000,929000000,2902000000,-595000000,3673000000,-620000000,-551000000,-3767000000,-2220000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12387724650,-9548938600,-11888304720,-10834306240,-10732124100,-10176430000,-12518000000,-16704000000,-24465000000,-27616000000,-32049000000,-37813000000,-42085000000,-71034000000,-56677000000,-53979000000,-56412000000,-38550000000,25093000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6911000000,-4846000000,-2115000000,-2150000000,-5191000000,-4704000000,-3943000000,-6489000000,-3774000000,-11806000000,-71730000000,-31373000000,-84331000000
91,Common Stock Issued,16451900,6908970,16888950,23128500,14726250,10256406,13554720,48315000,72450000,89820360,110463300,312500180,400211840,338241600,5388900000,1034000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1280921040,-1175665000,-1024650000,-202095810,-30684250,- -,- -,-3734751000,-6849370000,-1149000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1104709680,-32210000,-72450000,-3053892240,-2712487700,-2918884660,-3373214080,- -,- -,-583000000,-318000000,-419000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-355146450,-487264200,-627489450,-214052000,858245850,-1003921152,535411440,6578892500,-3529350000,5217065910,926664350,1143617680,-2751456400,443942100,-6435440000,6416000000,2463000000,2822000000,1121000000,13940000000,5613000000,17008000000,35667000000,12321000000,26193000000,94861000000,56485000000,26066000000
