,https://roic.ai/company/INSW,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,331435000,344891000,358681000,378894000,268322000,153292000,141924000,180331000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,102038000,47912000,32881000,49071000,81864000,86631000,57979000,66641000
45,Total Non-Current Assets,- -,1750011000,1633214000,1491612000,1532692000,1680981000,1566157000,1329705000,2122281000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2035183000,2029950000,1662521000,1664484000,1848601000,1753501000,1586539000,2346780000
48,Accounts Payable,- -,2460000,3371000,2866000,330000,1164000,4988000,2609000,1607000
49,Short-Term Debt,- -,6284000,6284000,6183000,24063000,51555000,83308000,70350000,187108000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,53000
51,Deferred Revenue,- -,3143000,1227000,6725000,918000,450000,272000,3060000,353000
52,Other Current Liabilities,- -,25349000,37535000,29329000,21924000,22101000,25908000,32877000,45543000
53,Total Current Liabilities,- -,37236000,48417000,45103000,47235000,75270000,114476000,108896000,234611000
54,Long-Term Debt,- -,595072000,588938000,433468000,528874000,759112000,590745000,474332000,938792000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,11932000,8809000,4438000,2721000,4364000,25987000,31269000,3045000
58,Total Non-Current Liabilities,- -,607004000,597747000,437906000,531595000,763476000,616732000,505601000,941837000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,30911000,19120000,20915000
61,Total Liabilities,- -,644240000,646164000,483009000,578830000,838746000,731208000,614497000,1176448000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,29825000,29825000,29825000,1306606000,1309269000,1313178000,1280501000,1591446000
64,Retained Earnings,- -,888000,92581000,-74457000,-180545000,-269485000,-270315000,-275846000,-409338000
65,Other Comprehensive Income/Loss,- -,-74373000,-64124000,-52267000,-40407000,-29929000,-20570000,-32613000,-12360000
66,Other Total Stockholders Equity,- -,1434603000,1325504000,1276411000,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,1390943000,1383786000,1179512000,1085654000,1009855000,1022293000,972042000,1169748000
68,Total Liabilities And Stockholders Equity,- -,2035183000,2029950000,1662521000,1664484000,1848601000,1753501000,1586539000,2346196000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,584000
70,Total Liabilities & Equity,- -,2035183000,2029950000,1662521000,1664484000,1848601000,1753501000,1586539000,2346780000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1679049/000114420417017875/0001144204-17-017875-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000114420418013984/0001144204-18-013984-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000114420419013398/0001144204-19-013398-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000155837020001928/0001558370-20-001928-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000155837021002852/0001558370-21-002852-index.htm,https://www.sec.gov/Archives/edgar/data/1679049/000155837022002682/0001558370-22-002682-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-723805000,-119099000,173170000,-18223000,-106088000,-88940000,-830000,-5531000,-133492000
74,Depreciation and Amortization,108675000,84931000,81653000,79885000,78853000,72428000,75653000,74343000,86674000
75,Deferred Income Tax,3498000,-10000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1012000,571000,2811000,2841000,3808000,3162000,4278000,5631000,10529000
77,Change in Working Capital,71083000,- -,100383000,-222513000,-41249000,7793000,-19482000,75070000,-21750000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,7608000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,247936000,247936000,348319000,125806000,84557000,92350000,72868000,147938000,-5280000
82,Other Non-Cash Items,641232000,-219688000,-135278000,274778000,60851000,-6923000,27867000,66627000,-18153000
83,Cash Provided by Operating Activities,101695000,-253295000,222739000,116768000,-3825000,-12480000,87486000,216140000,-76192000
84,CAPEX,-35305000,-21454000,-964000,-2895000,-173941000,-150042000,-37181000,-50556000,-79014000
85,Acquisitions Net,- -,- -,- -,-987000,-731000,3679000,125093000,2347000,46493000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1785000,37815000,115127000,27489000,48515000,270072000,19962000,80577000,86795000
89,Cash Used for Investing Activites,-33520000,16361000,114163000,23607000,-126157000,123709000,107874000,32368000,133288000
90,Debt Repayment,-12731000,-317411000,-6284000,-155232000,-513399000,-133679000,-160011000,-504706000,-624951000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3177000,- -,- -,-29997000,-16660000
93,Dividends Paid,- -,- -,-200000000,-202000000,- -,- -,- -,-6770000,-40939000
94,Other Financing Activites,12153000,558642000,- -,- -,614584000,69488000,-2750000,358399000,508710000
95,Cash Used/Provided by Financing Activities,-578000,241231000,-206284000,-357232000,98008000,-64191000,-162761000,-183074000,-173840000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,67597000,4297000,130618000,-216857000,-31974000,47038000,32599000,65434000,-116744000
98,Cash at the End of Period,173943000,178240000,308858000,92001000,60027000,117644000,150243000,215677000,98933000
99,Cash at the Beginning of Period,106346000,173943000,178240000,308858000,92001000,70606000,117644000,150243000,215677000
100,Free Cash Flow,66390000,-274749000,221775000,113873000,-177766000,-162522000,50305000,165584000,-155206000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1679049/000114420417017875/0001144204-17-017875-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000114420418013984/0001144204-18-013984-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000114420419013398/0001144204-19-013398-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000155837020001928/0001558370-20-001928-index.html,https://www.sec.gov/Archives/edgar/data/1679049/000155837021002852/0001558370-21-002852-index.htm,https://www.sec.gov/Archives/edgar/data/1679049/000155837022002682/0001558370-22-002682-index.htm
102,false,,,,,,,,,
